data;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
10/03/2010;1;1;8;1;2;;2
14/07/2010;1;1;;;;;1
03/11/2010;1;1;;;1;;2
15/11/2010;1;1;;;;;1
09/12/2011;1;7;;;;;1
02/02/2013;1;1;;;;;1
12/08/2013;1;1;;;;;1
16/09/2010;1;1;;;;;1
05/12/2011;1;2;;;;;1
30/04/2012;1;0;;1;;;2
26/02/2010;1;1;;;;;1
30/11/2011;3;2;1;;1;;2
17/04/2012;1;1;;;;2;3
20/04/2013;2;2;;;;;1
08/01/2011;1;4;;;;;1
28/04/2012;1;1;1;;;;1
31/08/2012;2;3;;;;;1
07/03/2015;1;1;2;0;0;0;1
16/03/2015;1;2;0;0;0;0;1
03/02/2010;1;0;;1;;;2
13/05/2010;1;2;;;;;1
01/03/2011;1;1;;1;;;2
01/03/2011;2;2;;;;;1
09/09/2011;1;1;;;;;1
06/01/2012;1;3;;;;;1
28/10/2012;1;0;3;;;;1
14/01/2013;1;1;;;;;1
09/07/2013;3;0;2;1;;;2
22/12/2013;1;1;;;;;1
17/09/2010;1;2;;;;;1
18/11/2010;1;1;;;;;1
20/01/2011;2;1;;2;;;2
01/03/2011;1;2;;;;;1
26/10/2011;4;2;;1;;1;3
15/05/2012;2;2;;;;;1
25/09/2012;1;1;;;;;1
18/06/2011;1;4;;;;;1
14/01/2015;1;1;;;;;1
04/11/2010;3;2;;2;;;2
18/11/2011;1;5;;;;;1
01/09/2013;2;0;2;;;;1
15/02/2014;1;0;1;;;;1
25/04/2010;1;5;;;;;1
16/08/2011;1;2;;;;;1
05/04/2012;1;1;4;;;;1
16/10/2013;1;1;;;;;1
26/03/2015;3;3;0;0;0;0;1
07/11/2011;1;3;;;;;1
08/05/2012;2;0;2;;;;1
20/11/2012;1;8;;;2;3;3
09/05/2014;1;0;;1;;;2
22/05/2014;1;0;1;;;;1
23/08/2014;1;3;;;;;1
19/03/2010;1;0;;;1;1;3
23/04/2010;1;1;;;;;1
28/09/2010;1;1;1;;;;1
23/01/2011;1;2;;3;;;2
16/08/2011;1;0;1;;;;1
23/11/2011;1;2;2;;;;1
07/01/2012;1;0;;1;;;2
02/02/2012;1;2;;;;;1
05/09/2012;1;1;;;;;1
18/09/2012;1;0;1;;;;1
07/08/2013;1;1;;;;;1
27/02/2014;1;1;;;;;1
27/02/2014;1;1;;;;;1
08/03/2014;1;1;2;;;;1
18/05/2015;1;0;1;;;;1
08/12/2010;1;1;;;;;1
05/01/2011;1;4;1;;;;1
07/12/2011;1;1;;;;;1
16/05/2013;1;1;;2;;;2
04/12/2014;1;2;;;;;1
17/06/2015;1;1;2;;;;1
26/02/2010;1;1;;;;;1
01/04/2010;1;0;;1;;;2
09/04/2010;2;1;;1;;;2
01/05/2011;2;2;;;;1;3
09/05/2011;1;0;1;;;;1
18/08/2011;1;1;;;;;1
26/09/2011;4;0;1;;2;1;3
17/10/2012;3;3;1;;;;1
07/11/2012;2;0;;;2;;2
06/03/2013;2;1;;1;;;2
30/06/2013;1;2;;;;;1
27/10/2013;2;1;;1;;;2
01/11/2014;2;1;;1;;;2
12/05/2010;1;2;;;;;1
27/07/2010;1;0;1;;;;1
31/01/2011;1;3;;;;;1
02/03/2011;1;2;;;;;1
09/06/2011;1;1;1;;;;1
24/08/2012;1;1;;;;;1
29/03/2014;1;1;;;;;1
01/11/2014;1;2;;;;;1
28/11/2014;2;2;;;;;1
22/12/2010;1;2;;;;;1
23/06/2011;1;2;1;;;;1
30/04/2012;1;0;;2;1;;2
24/06/2012;1;0;;2;;;2
19/09/2014;1;4;;;;;1
13/10/2014;1;1;;2;;;2
30/10/2014;2;3;1;;;;1
29/11/2014;1;2;;;;;1
01/02/2015;1;6;3;0;0;0;1
08/02/2015;1;4;0;0;0;0;1
12/02/2015;1;2;0;0;0;0;1
13/02/2015;1;6;0;0;0;0;1
03/03/2015;1;2;0;0;0;0;1
08/01/2010;1;1;1;;;;1
23/01/2010;1;2;;;;;1
27/05/2010;1;3;;;;;1
17/03/2012;1;1;;;;;1
02/12/2012;1;1;;;;;1
16/12/2012;1;0;1;;;;1
05/01/2013;1;1;;;;;1
05/10/2014;1;1;;;;;1
12/10/2014;1;1;;;;;1
26/10/2014;1;0;1;;;;1
20/02/2015;1;1;0;0;0;0;1
13/03/2015;1;0;0;1;0;0;2
01/05/2015;1;0;1;;;;1
08/10/2011;1;1;;;;;1
23/01/2013;1;4;;;;;1
25/06/2013;1;1;2;4;;;2
21/08/2013;2;2;;;;;1
02/08/2014;1;2;;;;1;3
21/12/2011;1;1;;;;1;3
11/12/2013;1;0;;;1;;2
27/10/2014;2;1;3;;;;1
30/01/2015;1;4;;;;;1
12/04/2010;1;1;;;1;;2
23/01/2011;1;2;;;;;1
16/05/2011;1;3;;1;;;2
17/08/2012;1;2;1;1;2;2;3
01/03/2013;1;1;;1;1;;2
14/12/2013;1;1;;;;1;3
15/12/2011;1;2;;;;;1
17/01/2012;3;4;;;;;1
08/06/2012;2;2;2;;;;1
19/09/2012;2;3;;;;;1
18/10/2012;2;2;;;;;1
26/10/2012;1;3;;;;;1
10/09/2014;2;2;;1;;;2
25/08/2010;2;2;1;;;;1
02/03/2011;1;2;;1;;;2
23/09/2012;2;2;;1;;;2
07/08/2013;2;2;;;;1;3
21/01/2014;2;0;4;1;;;2
10/10/2014;1;2;;;;;1
05/11/2014;1;1;;;;;1
28/01/2015;1;1;;;1;;2
02/07/2015;1;0;2;1;;;2
22/02/2011;1;2;;;;;1
20/06/2011;1;0;1;;;;1
30/12/2011;1;1;1;1;;;2
04/09/2013;1;2;;;;2;3
17/08/2014;1;1;3;;;;1
14/02/2010;1;0;;1;;;2
01/04/2010;1;6;;;;;1
27/06/2010;1;1;;1;;;2
04/01/2011;1;2;1;;;;1
01/01/2012;1;0;;1;;;2
28/09/2012;1;1;;;;;1
30/12/2013;1;1;;;;;1
02/03/2014;1;0;;2;;;2
04/09/2015;1;3;;;;;1
11/01/2011;1;2;;;;;1
21/01/2012;1;2;;1;1;1;3
26/03/2013;1;1;;;;;1
22/02/2014;1;1;;;;;1
25/06/2014;1;3;;;;;1
03/04/2015;1;1;;;;;1
29/07/2015;2;0;1;1;;;2
02/03/2011;1;4;;;;;1
18/07/2012;1;1;;1;;;2
06/11/2012;1;2;;;;;1
02/03/2013;1;2;;;;;1
02/03/2013;1;2;2;2;;;2
01/03/2014;2;2;;;;;1
03/04/2012;1;0;2;1;3;2;3
14/04/2012;1;2;;;;1;3
16/04/2012;1;4;;;;;1
06/08/2013;1;3;;;;;1
24/10/2013;2;0;3;;;1;3
30/08/2014;1;1;;;1;2;3
17/11/2015;1;1;;;;1;3
21/01/2010;1;3;;1;;;2
22/01/2010;1;3;;;;;1
12/08/2011;2;3;1;;;;1
02/01/2012;2;2;;;;;1
04/12/2012;1;2;;;;;1
12/06/2013;1;2;;1;;;2
18/01/2014;1;1;;2;;;2
24/06/2014;1;2;;;;;1
01/09/2014;1;0;;;;1;3
14/12/2014;1;1;;;;1;3
19/11/2015;2;1;1;;;;1
03/01/2010;1;3;;;;;1
28/10/2010;1;3;;;;;1
17/01/2013;1;1;;;;;1
03/05/2013;1;2;;;;;1
28/12/2010;1;1;;;;;1
14/12/2012;1;0;1;;;;1
25/01/2013;1;2;1;1;;1;3
08/11/2013;2;3;;;1;;2
28/10/2015;1;2;;;;;1
05/12/2012;2;3;;;;;1
16/03/2012;2;2;;;;;1
25/09/2011;1;1;;1;;;2
17/02/2013;1;1;1;;;;1
15/02/2012;1;1;;2;;;2
25/04/2014;1;1;;1;;;2
11/01/2010;2;3;;;;;1
30/01/2010;1;2;;;;;1
03/11/2012;1;1;;;;;1
22/02/2013;1;1;;;;;1
01/06/2013;1;1;1;1;;;2
28/06/2013;1;0;4;;;;1
03/06/2014;1;2;;;;;1
16/07/2010;2;2;;;;;1
28/11/2011;1;1;;;;;1
22/05/2012;1;1;;;;;1
07/09/2012;1;1;;;;;1
27/01/2013;1;1;;;;;1
06/08/2014;1;5;;;;;1
21/10/2014;1;2;;;;;1
23/02/2015;1;1;1;1;;;2
14/06/2015;1;1;;1;;;2
08/09/2015;2;2;;;;;1
05/05/2010;1;25;;;;;1
09/09/2010;1;51;;1;1;;2
24/09/2010;1;2;1;;;;1
13/01/2013;1;14;;;;;1
01/07/2010;1;29;1;3;;;2
31/01/2011;1;2;;;;;1
09/09/2011;1;1;;;;1;3
19/10/2011;1;1;1;;;;1
17/12/2011;1;4;;;;;1
09/03/2012;1;2;;;;;1
23/02/2013;1;2;;;1;;2
30/04/2015;1;3;;;;1;3
09/02/2011;1;0;3;;;;1
01/10/2011;2;2;;;;;1
09/04/2013;1;1;;;;;1
14/05/2013;1;4;1;1;;;2
01/04/2014;1;1;;;;;1
20/05/2015;1;2;;;;;1
30/07/2010;1;2;;;;;1
03/09/2011;1;1;;4;;;2
17/01/2012;1;3;;;;;1
17/01/2012;1;0;39;5;1;3;3
05/02/2012;1;4;;;;;1
13/04/2012;1;2;;;;;1
04/10/2012;2;2;;;;;1
15/11/2014;1;4;;;;;1
