data;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
01/01/2010;2;3;;;;;1
02/01/2010;1;1;;;;;1
02/01/2010;1;3;3;;;;1
02/01/2010;2;3;;;;;1
03/01/2010;1;4;;;;1;3
03/01/2010;1;1;;2;;;2
03/01/2010;1;1;1;;;;1
03/01/2010;2;8;1;1;;;2
04/01/2010;1;4;;;;;1
04/01/2010;1;2;;;;;1
04/01/2010;1;2;;;;;1
05/01/2010;1;0;1;2;;;2
05/01/2010;1;3;;;;;1
05/01/2010;1;2;;;;;1
05/01/2010;1;1;;;;;1
05/01/2010;1;2;;;;;1
05/01/2010;1;0;1;;;;1
05/01/2010;2;2;;;;;1
05/01/2010;2;2;;;;;1
05/01/2010;1;2;;;;;1
05/01/2010;2;1;1;;;;1
05/01/2010;1;2;;;;;1
06/01/2010;1;3;;;;;1
06/01/2010;1;1;6;;;;1
06/01/2010;1;1;;1;;;2
06/01/2010;1;3;;;;;1
06/01/2010;2;3;;;;;1
06/01/2010;1;0;1;;;;1
06/01/2010;1;2;;;;;1
06/01/2010;1;0;1;;;;1
06/01/2010;1;1;;;;;1
07/01/2010;1;1;;;;;1
07/01/2010;1;1;1;;;;1
07/01/2010;2;2;;;;;1
07/01/2010;1;3;;;;;1
07/01/2010;1;2;;;;;1
07/01/2010;1;2;;;;;1
07/01/2010;1;1;1;;;;1
08/01/2010;1;2;;;;;1
08/01/2010;1;2;;;;;1
08/01/2010;1;2;;;;;1
08/01/2010;1;2;;;;;1
08/01/2010;1;1;;;;;1
08/01/2010;1;2;;;;;1
08/01/2010;1;1;;;;;1
08/01/2010;1;2;;;;;1
08/01/2010;1;1;;;;;1
09/01/2010;1;2;;;;;1
09/01/2010;1;1;;;;;1
09/01/2010;1;1;;;;;1
09/01/2010;1;0;1;;;;1
09/01/2010;1;1;;;;;1
09/01/2010;1;1;;;;;1
09/01/2010;1;2;;;;;1
10/01/2010;2;4;;;;;1
10/01/2010;1;5;;;;;1
10/01/2010;1;1;;;;;1
10/01/2010;1;6;;;;;1
10/01/2010;1;1;1;;;;1
11/01/2010;2;4;;;;;1
11/01/2010;2;2;;;;;1
11/01/2010;2;3;;;;;1
11/01/2010;1;2;1;;;;1
11/01/2010;1;1;;;;;1
11/01/2010;1;1;;;;;1
11/01/2010;1;2;1;;;;1
12/01/2010;1;1;;;;;1
12/01/2010;1;1;;;;;1
12/01/2010;1;2;;;;;1
12/01/2010;1;2;;;;;1
12/01/2010;1;1;;;;;1
12/01/2010;1;1;;;;;1
12/01/2010;1;1;;;;;1
13/01/2010;1;8;;;;;1
13/01/2010;2;6;;;;;1
13/01/2010;1;2;;;;;1
13/01/2010;2;2;;1;;;2
13/01/2010;2;2;;;;;1
14/01/2010;1;1;;;;;1
14/01/2010;1;1;1;;;;1
14/01/2010;1;4;;;;;1
14/01/2010;1;1;;;;;1
14/01/2010;2;2;;;;;1
14/01/2010;2;3;;;;;1
14/01/2010;1;1;;;;;1
14/01/2010;1;1;;;;;1
14/01/2010;2;2;;;;;1
14/01/2010;1;5;;;;;1
14/01/2010;2;1;1;;;;1
15/01/2010;1;4;;;;;1
15/01/2010;1;0;1;;;;1
15/01/2010;2;2;;;;;1
15/01/2010;1;2;;;;;1
15/01/2010;1;2;;;;;1
16/01/2010;1;0;;1;;;2
16/01/2010;1;1;;;;;1
17/01/2010;1;2;;;;;1
17/01/2010;1;2;;;;;1
17/01/2010;2;2;;;;;1
17/01/2010;1;1;;;;;1
17/01/2010;1;1;;;;;1
18/01/2010;1;1;;;;;1
18/01/2010;1;1;;;;;1
18/01/2010;1;2;;;;;1
18/01/2010;1;1;;;;;1
19/01/2010;1;18;;;;;1
19/01/2010;1;2;;;;;1
19/01/2010;2;2;;;;;1
19/01/2010;2;3;;;;;1
20/01/2010;1;3;;;;;1
20/01/2010;2;3;;;;;1
20/01/2010;1;1;;;;;1
20/01/2010;1;1;3;;;;1
20/01/2010;1;3;1;;;;1
20/01/2010;1;1;;;;;1
20/01/2010;1;0;;1;;;2
20/01/2010;2;3;;;;;1
21/01/2010;1;2;;;;;1
21/01/2010;1;1;2;;;;1
21/01/2010;2;2;;;;;1
21/01/2010;2;2;;;;;1
21/01/2010;2;1;;1;;;2
21/01/2010;1;1;;;;;1
21/01/2010;1;1;1;;;;1
21/01/2010;1;1;;;;;1
21/01/2010;1;1;;;;;1
21/01/2010;2;2;;;;;1
21/01/2010;1;24;4;2;;;2
21/01/2010;1;3;;;;;1
21/01/2010;1;5;;;;;1
21/01/2010;1;0;1;;;;1
22/01/2010;1;3;;;;;1
22/01/2010;1;0;2;;;;1
22/01/2010;1;1;;;;;1
22/01/2010;1;1;;;;;1
22/01/2010;1;5;2;;;;1
22/01/2010;2;2;;;;;1
22/01/2010;1;1;;;;;1
22/01/2010;1;2;;;;;1
