data;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
01/12/2014;1;1;1;;;;1
01/12/2014;1;3;;;;;1
01/12/2014;1;0;;1;;;2
02/12/2014;1;2;;;;;1
02/12/2014;1;0;1;;;;1
02/12/2014;1;2;;;;;1
02/12/2014;1;1;;;;;1
02/12/2014;1;0;1;;;;1
03/12/2014;2;3;;;;;1
03/12/2014;3;4;;;;;1
03/12/2014;1;2;;;;;1
03/12/2014;1;2;;;;;1
03/12/2014;1;1;;;;;1
03/12/2014;1;1;;2;;;2
04/12/2014;1;3;;;;;1
04/12/2014;2;3;;;;;1
04/12/2014;1;1;;;;;1
04/12/2014;2;2;;;;;1
05/12/2014;1;2;;;;;1
05/12/2014;2;1;;1;;;2
05/12/2014;1;2;;;;;1
05/12/2014;1;4;;;;;1
05/12/2014;2;1;;;;1;3
05/12/2014;2;2;1;;;;1
05/12/2014;1;4;;;;;1
05/12/2014;2;2;;;;;1
06/12/2014;2;1;1;;;;1
06/12/2014;1;1;2;;;;1
06/12/2014;1;0;2;;;;1
06/12/2014;1;1;;;;;1
06/12/2014;1;1;;;;;1
06/12/2014;1;2;;;;;1
06/12/2014;2;2;;;;;1
06/12/2014;2;2;;;;;1
06/12/2014;1;3;2;;;;1
07/12/2014;1;2;;;;;1
07/12/2014;2;2;;;;;1
07/12/2014;1;1;1;;;;1
07/12/2014;1;1;;;;;1
07/12/2014;1;1;;;;;1
08/12/2014;1;1;1;;;;1
08/12/2014;2;2;;;;;1
08/12/2014;1;1;1;;;;1
08/12/2014;3;3;;;;;1
09/12/2014;1;2;;;;;1
09/12/2014;2;2;;;;;1
09/12/2014;2;3;;;;;1
09/12/2014;1;1;;1;;;2
09/12/2014;1;2;;;;;1
09/12/2014;1;1;;;;;1
10/12/2014;1;0;1;;;;1
10/12/2014;1;2;;;;;1
10/12/2014;1;2;;;;;1
10/12/2014;2;2;;;;;1
10/12/2014;2;3;;;;;1
10/12/2014;1;1;1;;;;1
10/12/2014;1;1;1;;;;1
10/12/2014;1;1;;;;;1
10/12/2014;1;1;;;;;1
10/12/2014;1;2;;;;;1
11/12/2014;2;2;;1;;;2
11/12/2014;2;2;;;;;1
11/12/2014;2;3;;;;;1
11/12/2014;3;5;;;;;1
11/12/2014;1;1;;;;;1
11/12/2014;2;2;;;;;1
12/12/2014;1;1;1;;;;1
12/12/2014;1;1;;;;;1
12/12/2014;3;6;;;;;1
12/12/2014;1;0;1;;;;1
12/12/2014;2;3;2;2;;;2
12/12/2014;1;4;;;;;1
12/12/2014;2;2;;;;;1
13/12/2014;1;0;;2;;;2
13/12/2014;1;5;1;;;;1
13/12/2014;2;3;;2;;;2
13/12/2014;1;1;;1;;;2
14/12/2014;1;2;2;;;;1
14/12/2014;1;3;2;4;2;;2
14/12/2014;1;0;1;;;;1
14/12/2014;1;4;;;;;1
14/12/2014;1;4;;;;;1
15/12/2014;1;4;;;;;1
15/12/2014;2;2;;;;;1
16/12/2014;1;4;;;;;1
16/12/2014;1;3;;;;;1
16/12/2014;1;3;;;;;1
16/12/2014;2;2;;;;;1
17/12/2014;1;2;;;;;1
17/12/2014;1;0;1;;;;1
17/12/2014;1;1;;2;;;2
17/12/2014;1;1;1;;;;1
17/12/2014;1;3;;;;;1
17/12/2014;1;1;;;;;1
18/12/2014;1;1;;;;;1
18/12/2014;2;2;1;;;;1
18/12/2014;1;1;;;;;1
18/12/2014;1;2;;;;;1
18/12/2014;2;2;;;;;1
18/12/2014;1;6;1;;;;1
18/12/2014;2;3;;;;;1
18/12/2014;3;3;;;;;1
