data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
05/01/2010;23:25:00;56;com vítima;106,9;BR-116/RJ;Norte;Colisão traseira;1;1;1;;;;1
05/01/2010;14:11:00;26;com vítima;108,1;BR-116/RJ;Norte;Atropel. de pedestre atravessando;2;2;1;;;;1
08/01/2010;20:35:00;29;com vítima;83,6;BR-116/RJ;Norte;Colisão traseira;1;1;;1;;;2
08/01/2010;06:40:00;6;sem vítima;143,8;BR-116/RJ;Sul;Colisão traseira;2;4;;;;;1
10/01/2010;19:15:00;37;com vítima;103,7;BR-116/RJ;Sul;Choque em defensa;1;;1;;1;;2
15/01/2010;07:02:00;4;com vítima;137,09;BR-116/RJ;Sul;Colisão traseira;1;8;;16;;;2
15/01/2010;11:31:00;21;sem vítima;138,2;BR-116/RJ;Sul;Colisão traseira;1;18;;;;;1
15/01/2010;05:58:00;3;com vítima;139,5;BR-116/RJ;Norte;Colisão traseira;1;55;2;;;;1
15/01/2010;07:22:00;5;sem vítima;141,2;BR-116/RJ;Norte;Colisão traseira;1;2;;;;;1
19/01/2010;21:07:00;43;sem vítima;7,1;BR-116/RJ;Norte;Queda de carga;1;1;;;;;1
19/01/2010;15:53:00;29;com vítima;65,6;BR-116/RJ;Sul;Abalroamento transversal;1;;3;3;;;2
19/01/2010;11:02:00;18;sem vítima;143,9;BR-116/RJ;Sul;Colisão traseira;1;22;;;;;1
21/01/2010;08:55:00;12;com vítima;96;BR-116/RJ;Sul;Colisão traseira;1;2;1;;;;1
22/01/2010;20:50:00;34;com vítima;139,2;BR-116/RJ;Sul;Colisão traseira;1;16;3;;;;1
22/01/2010;19:56:00;33;com vítima;141,6;BR-116/RJ;Sul;Colisão traseira;2;1;;;3;;2
25/01/2010;06:09:00;7;com vítima;54,9;BR-116/RJ;Sul;Derrapagem;1;;;3;;;2
25/01/2010;17:49:00;48;com vítima;137,3;BR-116/RJ;Sul;Colisão traseira;1;1;;1;;;2
25/01/2010;19:26:00;54;com vítima;141,1;BR-116/RJ;Sul;Choque em barreira New Jersey ;1;1;1;;;;1
26/01/2010;21:25:00;21;com vítima;122,2;BR-116/RJ;Sul;Atropel. de pedestre atravessando;1;;2;;;;1
28/01/2010;04:11:00;3;com vítima;95,1;BR-116/RJ;Norte;Capotamento;1;;2;;;;1
29/01/2010;23:36:00;69;com vítima;43,6;BR-116/RJ;Norte;Choque em objeto fixo;1;;;;;1;3
29/01/2010;04:02:00;2;com vítima;126,8;BR-116/RJ;Norte;Derrapagem;1;;1;;;;1
31/01/2010;16:57:00;32;sem vítima;90;BR-116/RJ;Sul;Colisão traseira;1;0;;;;;1
02/02/2010;15:57:00;37;com vítima;122,5;BR-116/RJ;Sul;Choque em defensa;1;;3;;;;1
04/02/2010;13:46:00;29;sem vítima;133,4;BR-116/RJ;Sul;Colisão traseira;1;2;;;;;1
04/02/2010;17:22:00;46;com vítima;72,3;BR-116/RJ;Norte;Derrapagem;1;4;2;;;;1
04/02/2010;19:34:00;52;sem vítima;33,2;BR-116/RJ;Norte;Derrapagem;1;1;;;;;1
05/02/2010;07:49:00;6;com vítima;109,5;BR-116/RJ;Sul;Colisão traseira;2;2;1;;;;1
08/02/2010;08:35:00;12;com vítima;142,6;BR-116/RJ;Sul;Colisão traseira;1;2;;1;;;2
08/02/2010;15:21:00;30;com vítima;14;BR-116/RJ;Sul;Abalroamento longitudinal;1;;3;;;;1
08/02/2010;16:24:00;34;com vítima;124,2;BR-116/RJ;Sul;Abalroamento longitudinal;1;;2;1;;;2
10/02/2010;18:13:00;38;sem vítima;122;BR-116/RJ;Norte;Abalroamento longitudinal;1;2;;;;;1
11/02/2010;11:58:00;25;sem vítima;134,4;BR-116/RJ;Sul;Abalroamento longitudinal;1;3;;;;;1
12/02/2010;11:02:00;20;sem vítima;124,6;BR-116/RJ;Norte;Abalroamento longitudinal;1;2;;;;;1
13/02/2010;09:05:00;23;com vítima;133,8;BR-116/RJ;Norte;Colisão traseira;1;2;;5;;;2
15/02/2010;10:40:00;17;sem vítima;133,5;BR-116/RJ;Norte;Abalroamento longitudinal;1;6;;;;;1
18/02/2010;05:43:00;4;com vítima;139,6;BR-116/RJ;Sul;Colisão traseira;2;3;2;2;;;2
18/02/2010;10:25:00;15;sem vítima;139,3;BR-116/RJ;Sul;Colisão frontal;2;2;;;;;1
18/02/2010;12:00:00;28;com vítima;141,5;BR-116/RJ;Sul;Choque em defensa;2;2;1;;;;1
18/02/2010;23:56:00;42;com vítima;141,2;BR-116/RJ;Sul;Choque em defensa;1;;;2;;;2
19/02/2010;16:10:00;19;com vítima;90;BR-116/RJ;Norte;Colisão traseira;1;1;;1;;;2
