data;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
05/06/2015;1;2;0;0;0;0;1
13/06/2015;1;2;0;0;0;0;1
21/06/2015;1;1;0;0;0;0;1
11/07/2015;1;1;1;;;;1
29/07/2015;1;2;;;;;1
13/07/2015;1;2;;;;;1
14/07/2015;1;2;;;;;1
14/07/2015;1;3;;;;;1
31/07/2015;1;3;1;;;;1
10/07/2015;1;2;;;;;1
03/08/2015;1;0;0;1;0;0;2
14/08/2015;1;0;0;0;0;0;1
20/08/2015;1;6;2;0;0;0;1
21/08/2015;1;0;1;0;0;0;1
29/08/2015;1;1;0;0;0;0;1
08/09/2015;1;1;0;0;0;0;1
08/09/2015;1;1;0;0;0;0;1
11/09/2015;1;0;1;0;0;0;1
12/09/2015;1;0;6;0;0;0;1
16/09/2015;1;2;0;0;0;0;1
02/10/2015;1;0;2;0;0;0;1
05/11/2015;1;0;0;0;1;0;2
06/11/2015;1;1;0;0;0;0;1
06/11/2015;3;0;3;0;0;0;1
11/11/2015;1;2;0;0;0;0;1
27/11/2015;1;0;1;0;0;0;1
09/12/2015;1;0;0;1;0;0;2
12/12/2015;2;1;0;0;0;0;1
21/12/2015;1;0;1;0;0;0;1
23/12/2015;1;1;0;0;0;0;1
05/01/2016;2;1;0;0;0;0;1
07/01/2016;1;0;0;1;0;0;2
11/01/2016;2;1;0;0;0;0;1
12/01/2016;2;2;0;0;0;0;1
07/03/2016;1;1;0;0;0;0;1
11/03/2016;4;0;4;0;0;1;3
12/03/2016;1;0;6;0;0;0;1
14/03/2016;1;0;3;0;0;0;1
21/03/2016;3;0;1;0;0;0;1
30/03/2016;1;0;0;1;0;0;2
12/04/2016;1;0;0;0;1;0;2
20/04/2016;1;0;0;1;1;0;2
25/04/2016;1;0;1;0;0;0;1
01/02/2016;1;0;2;0;0;0;1
04/02/2016;1;1;0;0;0;0;1
05/02/2016;1;0;0;1;0;0;2
06/02/2016;1;0;2;0;0;0;1
19/02/2016;1;0;1;0;0;0;1
27/02/2016;1;0;0;1;0;0;2
13/05/2016;1;1;0;0;0;0;1
16/05/2016;1;1;0;0;0;0;1
18/05/2016;1;0;1;0;0;0;1
25/06/2016;1;0;4;1;0;0;2
06/07/2016;1;1;0;0;0;0;1
06/08/2016;1;1;0;0;0;0;1
22/08/2016;2;1;0;0;0;0;1
08/09/2016;1;1;0;0;0;0;1
09/09/2016;1;1;0;0;0;0;1
02/10/2016;1;3;0;0;0;0;1
11/10/2016;1;0;1;0;0;0;1
15/10/2016;1;0;1;0;0;0;1
25/10/2016;1;1;0;0;0;0;1
14/11/2016;1;0;1;0;0;0;1
02/12/2016;1;2;0;0;0;0;1
08/12/2016;1;1;0;0;0;0;1
08/12/2016;1;0;1;0;0;0;1
22/12/2016;1;1;0;0;0;0;1
04/01/2017;1;1;0;0;0;0;1
06/01/2017;1;1;0;0;0;0;1
11/01/2017;1;0;2;0;0;0;1
23/01/2017;1;0;7;5;0;0;2
26/01/2017;1;2;0;0;0;0;1
30/01/2017;1;0;1;0;0;0;1
31/01/2017;1;0;1;0;0;0;1
03/02/2017;1;1;1;0;0;0;1
08/02/2017;1;0;1;0;0;0;1
13/02/2017;1;1;0;0;0;0;1
24/02/2017;1;2;0;0;0;0;1
25/02/2017;1;1;0;0;0;0;1
02/03/2017;1;1;0;0;0;0;1
10/03/2017;1;1;0;0;0;0;1
13/03/2017;1;1;0;0;0;0;1
14/03/2017;1;1;0;0;0;0;1
17/03/2017;2;1;0;0;0;0;1
31/03/2017;2;1;0;0;0;0;1
04/04/2017;1;2;0;1;0;0;2
05/04/2017;1;1;0;0;0;0;1
07/04/2017;1;1;0;0;0;0;1
13/04/2017;1;4;0;0;0;0;1
13/04/2017;1;1;0;0;0;0;1
09/05/2017;1;1;0;0;0;0;1
18/05/2017;1;1;0;0;0;0;1
18/05/2017;1;0;1;0;0;0;1
22/05/2017;1;1;0;0;0;0;1
26/05/2017;1;2;0;0;0;0;1
30/05/2017;2;2;0;0;0;0;1
01/06/2017;1;1;0;0;0;0;1
09/06/2017;1;1;0;0;0;0;1
09/06/2017;1;2;0;0;0;0;1
14/06/2017;1;1;0;0;0;0;1
14/06/2017;1;1;0;0;0;0;1
19/06/2017;1;1;0;0;0;0;1
23/06/2017;1;1;0;0;0;0;1
23/06/2017;1;2;0;0;0;0;1
29/06/2017;1;2;0;0;0;0;1
30/06/2017;1;6;1;0;0;0;1
03/08/2017;1;3;0;0;0;0;1
04/08/2017;1;1;0;0;0;0;1
09/08/2017;1;1;0;0;0;0;1
10/08/2017;1;1;0;1;0;0;2
10/08/2017;1;1;0;0;0;0;1
13/08/2017;1;1;0;0;0;0;1
14/08/2017;1;2;0;0;0;0;1
24/08/2017;1;2;0;0;0;0;1
26/08/2017;1;1;0;0;0;0;1
30/08/2017;1;4;0;0;0;0;1
08/07/2017;1;1;0;0;0;0;1
14/07/2017;1;2;0;0;0;0;1
15/07/2017;1;3;1;0;0;0;1
24/07/2017;2;0;1;0;0;0;1
24/07/2017;1;2;0;0;0;0;1
26/07/2017;1;1;0;0;0;0;1
29/07/2017;1;2;0;0;0;0;1
31/07/2017;1;1;0;0;0;0;1
18/09/2017;1;2;0;0;0;0;1
21/09/2017;1;1;0;0;0;0;1
23/09/2017;1;0;3;0;0;0;1
23/09/2017;1;1;0;0;0;0;1
23/09/2017;1;2;0;0;0;0;1
24/09/2017;1;1;0;0;0;0;1
26/09/2017;1;0;1;0;0;0;1
09/11/2017;1;2;0;0;0;0;1
10/11/2017;1;1;0;0;0;0;1
14/11/2017;1;0;0;1;0;0;2
16/11/2017;1;1;0;0;0;0;1
21/11/2017;1;1;0;0;0;0;1
23/11/2017;2;0;6;0;0;0;1
24/11/2017;1;1;0;0;0;0;1
03/10/2017;1;2;0;0;0;0;1
10/10/2017;1;1;0;0;0;0;1
