data;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
04/04/2017;1;1;0;1;0;0;2
04/04/2017;1;1;0;0;0;0;1
06/04/2017;1;2;0;0;0;0;1
06/04/2017;1;2;0;1;0;0;2
07/04/2017;1;1;0;0;0;0;1
10/04/2017;1;2;0;0;0;0;1
10/04/2017;1;1;0;0;0;0;1
10/04/2017;1;1;0;0;2;0;2
10/04/2017;1;3;2;0;0;0;1
11/04/2017;2;1;0;1;0;0;2
12/04/2017;1;2;0;0;0;0;1
13/04/2017;1;0;1;0;0;0;1
13/04/2017;1;2;0;1;0;0;2
17/04/2017;2;2;0;0;0;0;1
18/04/2017;1;0;1;0;0;0;1
19/04/2017;1;3;0;0;0;0;1
19/04/2017;1;0;1;0;0;0;1
20/04/2017;1;1;0;0;0;0;1
24/04/2017;1;0;0;1;0;0;2
25/04/2017;1;0;1;0;0;0;1
25/04/2017;1;0;1;0;0;0;1
26/04/2017;1;1;0;0;0;0;1
26/04/2017;1;0;0;1;1;1;3
26/04/2017;1;2;0;1;0;0;2
03/05/2017;2;1;1;0;0;0;1
03/05/2017;1;2;0;0;0;0;1
04/05/2017;1;0;0;0;1;0;2
05/05/2017;2;0;0;1;0;1;3
07/05/2017;1;0;0;0;1;0;2
08/05/2017;1;2;0;1;0;0;2
14/05/2017;1;1;0;0;0;0;1
16/05/2017;1;4;0;0;0;0;1
20/05/2017;1;1;0;0;0;1;3
21/05/2017;1;4;1;1;0;1;3
23/05/2017;1;3;0;0;0;0;1
26/05/2017;1;2;0;0;0;0;1
27/05/2017;1;2;1;0;0;0;1
30/05/2017;2;1;0;1;0;0;2
03/01/2017;3;3;2;0;0;0;1
12/01/2017;1;2;1;1;0;0;2
13/01/2017;1;1;0;0;0;0;1
18/01/2017;1;1;0;0;0;0;1
18/01/2017;1;0;3;1;0;0;2
24/01/2017;1;0;1;0;0;0;1
26/01/2017;2;1;1;0;0;0;1
26/01/2017;1;4;0;0;0;0;1
02/02/2017;1;4;1;0;0;0;1
08/02/2017;1;1;2;0;0;0;1
08/02/2017;1;0;1;0;0;0;1
11/02/2017;6;5;0;1;2;4;3
13/02/2017;1;2;0;1;0;0;2
15/02/2017;1;1;1;0;0;0;1
16/02/2017;1;1;1;0;0;0;1
17/02/2017;1;1;0;0;0;0;1
18/02/2017;1;0;1;0;0;0;1
20/02/2017;1;0;0;0;0;1;3
01/03/2017;1;2;0;0;0;0;1
03/03/2017;1;1;1;0;0;0;1
04/03/2017;1;0;1;0;0;0;1
06/03/2017;1;2;0;0;0;0;1
07/03/2017;1;1;0;0;0;0;1
07/03/2017;1;1;0;0;0;0;1
13/03/2017;1;1;2;0;0;0;1
14/03/2017;3;3;0;0;0;0;1
16/03/2017;1;1;0;0;1;0;2
17/03/2017;1;1;0;0;0;0;1
21/03/2017;1;1;1;0;0;0;1
22/03/2017;2;2;0;0;0;0;1
24/03/2017;1;0;0;1;0;0;2
24/03/2017;1;2;0;0;0;0;1
25/03/2017;1;0;0;1;0;0;2
27/03/2017;1;1;1;0;0;0;1
28/03/2017;1;5;0;0;0;0;1
28/03/2017;1;3;0;0;0;0;1
30/03/2017;2;2;0;0;0;0;1
05/06/2017;2;6;1;0;0;0;1
05/06/2017;1;1;0;0;1;0;2
06/06/2017;1;1;1;0;1;0;2
06/06/2017;1;0;1;0;0;1;3
