data;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
03/09/2020;1;1;1;;;;1
10/09/2020;1;1;;;;;1
12/09/2020;1;2;;;;;1
16/09/2020;1;0;1;;;;1
17/09/2020;1;0;;;1;;2
17/09/2020;1;1;1;;;;1
18/09/2020;1;1;;;;;1
21/09/2020;1;1;;;;;1
21/09/2020;1;1;;;;;1
28/09/2020;1;2;;;;;1
29/09/2020;1;1;;;;;1
01/10/2020;1;0;;1;;;2
01/10/2020;1;0;;;1;;2
02/10/2020;1;4;;;;;1
02/10/2020;1;1;;;;;1
03/10/2020;1;3;;;;;1
05/10/2020;2;2;;;;;1
07/10/2020;2;2;;;;;1
08/10/2020;1;0;1;;;;1
08/10/2020;2;1;;;;;1
11/10/2020;1;1;;;;;1
12/10/2020;1;2;;4;;;2
13/10/2020;1;0;1;;;;1
13/10/2020;1;1;;;;;1
17/10/2020;1;0;;;;1;3
18/10/2020;1;2;1;;;;1
19/10/2020;1;1;;;;;1
20/10/2020;2;1;1;;;;1
22/10/2020;1;0;1;;;;1
23/10/2020;2;2;2;;;;1
27/10/2020;1;0;1;;;;1
28/10/2020;1;6;;;;;1
29/10/2020;4;4;;;;;1
31/10/2020;1;1;5;1;2;1;3
04/11/2020;1;1;2;;;;1
06/11/2020;1;1;;;;;1
09/11/2020;1;1;;1;;;2
14/11/2020;1;1;1;;;;1
14/11/2020;1;2;;;;;1
14/11/2020;1;6;;1;;;2
16/11/2020;1;3;;;;;1
16/11/2020;2;3;;;;;1
17/11/2020;1;1;;;;;1
19/11/2020;1;4;;;;;1
20/11/2020;1;1;;;;;1
22/11/2020;1;1;1;;;;1
25/11/2020;1;1;;1;;;2
26/11/2020;2;3;1;;;;1
26/11/2020;1;1;;;;;1
27/11/2020;1;4;;;;;1
27/11/2020;2;5;;;;;1
28/11/2020;1;1;;;;;1
28/11/2020;1;2;1;;;;1
05/12/2020;1;1;1;;;;1
06/12/2020;1;1;2;;;;1
06/12/2020;1;0;1;;;;1
07/12/2020;1;1;;;;;1
11/12/2020;1;0;1;;;;1
17/12/2020;1;0;1;;;;1
17/12/2020;1;5;;;;;1
17/12/2020;1;4;;;;;1
20/12/2020;1;0;1;;;;1
23/12/2020;1;3;;;;;1
27/12/2020;1;2;;;;;1
04/01/2021;1;4;1;;;;1
08/01/2021;1;1;;;;;1
17/01/2021;1;0;1;;;;1
22/01/2021;1;0;;2;;;2
22/01/2021;1;1;;;;;1
24/01/2021;2;1;2;;;;1
31/01/2021;1;0;1;;;;1
03/02/2021;1;1;1;;;;1
03/02/2021;2;1;1;;;;1
06/02/2021;1;2;1;1;;;2
08/02/2021;2;2;1;1;;;2
08/02/2021;1;1;;;;;1
12/02/2021;1;3;;;;;1
12/02/2021;1;1;2;;;;1
13/02/2021;1;3;;;;;1
18/02/2021;1;4;;;;;1
19/02/2021;1;3;;;;;1
19/02/2021;1;7;;;;;1
19/02/2021;2;1;1;;;;1
20/02/2021;2;3;;;;;1
