data;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
01/01/2010;1;2;0;0;0;0;1
02/01/2010;1;1;0;0;0;0;1
02/01/2010;1;2;0;0;0;0;1
03/01/2010;1;4;1;0;0;0;1
04/01/2010;1;4;0;0;0;0;1
04/01/2010;1;4;0;0;0;0;1
04/01/2010;1;4;1;0;0;0;1
04/01/2010;1;1;0;1;0;0;2
04/01/2010;1;2;0;0;0;0;1
04/01/2010;1;0;3;0;0;0;1
05/01/2010;2;2;0;0;0;0;1
05/01/2010;2;3;0;0;0;0;1
05/01/2010;1;0;0;1;0;0;2
05/01/2010;1;4;1;0;0;0;1
05/01/2010;1;2;0;0;0;0;1
05/01/2010;1;5;0;0;0;0;1
05/01/2010;1;2;0;0;0;0;1
06/01/2010;1;3;0;0;0;0;1
06/01/2010;1;2;0;1;0;0;2
06/01/2010;2;2;0;0;0;0;1
06/01/2010;1;1;1;0;0;0;1
06/01/2010;1;2;0;0;0;0;1
06/01/2010;2;2;0;0;0;0;1
06/01/2010;1;1;0;0;0;0;1
06/01/2010;1;2;0;0;0;0;1
06/01/2010;2;25;5;2;0;0;2
06/01/2010;1;2;1;0;0;0;1
06/01/2010;2;2;0;0;0;0;1
07/01/2010;1;8;0;0;0;0;1
07/01/2010;1;2;0;0;0;0;1
07/01/2010;1;1;1;0;0;0;1
07/01/2010;1;1;0;0;0;0;1
07/01/2010;2;4;0;0;0;0;1
07/01/2010;1;2;0;0;1;1;3
07/01/2010;1;3;0;0;0;0;1
08/01/2010;1;2;0;0;0;0;1
08/01/2010;1;4;0;0;0;0;1
08/01/2010;1;3;0;0;0;0;1
08/01/2010;1;46;0;0;0;0;1
08/01/2010;1;1;0;1;0;0;2
08/01/2010;1;2;0;0;0;0;1
08/01/2010;1;4;0;0;0;0;1
08/01/2010;1;2;0;0;0;0;1
08/01/2010;1;2;0;0;0;0;1
08/01/2010;3;2;1;0;0;0;1
08/01/2010;2;2;0;0;0;0;1
08/01/2010;1;1;0;0;0;0;1
08/01/2010;1;2;0;0;0;0;1
08/01/2010;1;1;0;0;0;0;1
08/01/2010;2;2;0;0;0;0;1
09/01/2010;1;2;0;0;0;0;1
09/01/2010;1;4;0;0;0;0;1
