data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
06/01/2010;14:01:00;35;com vítima;35,6;BR-153/SP;Sul;Choque contra Objeto Fixo;1;1;1;;;;1
06/01/2010;08:59:00;19;sem vítima;98,5;BR-153/SP;Sul;Tombamento;1;1;;;;;1
06/01/2010;09:44:00;21;sem vítima;290,6;BR-153/SP;Sul;Colisão Traseira;1;2;;;;;1
07/01/2010;03:57:00;6;com vítima;206,9;BR-153/SP;Norte;Colisão Traseira;2;1;;1;;;2
12/01/2010;15:09:00;56;sem vítima;261,7;BR-153/SP;Sul;Colisão Lateral;1;2;;;;;1
13/01/2010;17:26:00;64;com vítima;15,3;BR-153/SP;Sul;Colisão Frontal;1;0;1;1;;2;3
14/01/2010;16:10:00;68;com vítima;1,7;BR-153/SP;Norte;Colisão Traseira;1;5;3;;;;1
14/01/2010;16:06:00;61;sem vítima;98;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
16/01/2010;16:03:00;53;sem vítima;80;BR-153/SP;Norte;Tombamento;1;1;;;;;1
18/01/2010;07:28:00;15;com vítima;18,5;BR-153/SP;Sul;Saída de Pista;1;0;1;;;;1
19/01/2010;08:10:00;15;sem vítima;35;BR-153/SP;Norte;Saída de Pista;1;1;;;;;1
21/01/2010;10:05:00;39;com vítima;274,4;BR-153/SP;Norte;Colisão Lateral;2;1;1;;;;1
22/01/2010;19:09:00;80;sem vítima;184,9;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
23/01/2010;15:05:00;88;sem vítima;28,1;BR-153/SP;Sul;Colisão Lateral;2;2;;;;;1
24/01/2010;07:32:00;12;com vítima;171;BR-153/SP;Norte;Colisão Lateral;1;1;;1;1;;2
27/01/2010;03:46:00;7;sem vítima;96;BR-153/SP;Sul;Saída de Pista;1;2;;;;;1
27/01/2010;08:30:00;19;sem vítima;274,2;BR-153/SP;Norte;Tombamento;1;1;;;;;1
28/01/2010;17:30:00;71;sem vítima;268;BR-153/SP;Sul;Choque contra Objeto Fixo;1;1;;;;;1
29/01/2010;01:34:00;5;sem vítima;178,9;BR-153/SP;Sul;Tombamento;1;1;;;;;1
29/01/2010;12:04:00;41;sem vítima;268,6;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
30/01/2010;04:04:00;6;com vítima;63;BR-153/SP;Sul;Capotamento;1;1;;1;;;2
30/01/2010;11:15:00;49;com vítima;73;BR-153/SP;Norte;Colisão Transversal;1;2;;1;;;2
31/01/2010;09:49:00;25;sem vítima;21,2;BR-153/SP;Sul;Colisão Lateral;1;2;;;;;1
31/01/2010;20:27:00;76;com vítima;64;BR-153/SP;Sul;Saída de Pista;1;1;1;;;;1
31/01/2010;19:35:00;66;sem vítima;89,2;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
31/01/2010;06:44:00;12;sem vítima;99;BR-153/SP;Sul;Colisão Lateral;1;2;;;;;1
