data;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
22/10/2014;1;1;0;0;0;0;1
22/10/2014;1;2;0;0;0;0;1
22/10/2014;1;19;0;0;0;0;1
22/10/2014;1;2;0;0;0;0;1
23/10/2014;1;2;1;0;0;0;1
23/10/2014;1;1;1;0;0;0;1
24/10/2014;1;0;0;1;0;0;2
24/10/2014;3;7;0;1;0;0;2
24/10/2014;2;5;0;0;0;0;1
25/10/2014;2;2;0;0;0;0;1
25/10/2014;1;2;0;0;0;0;1
25/10/2014;1;3;0;0;2;0;2
25/10/2014;1;1;0;0;0;0;1
25/10/2014;1;1;0;0;0;0;1
26/10/2014;2;3;0;3;0;0;2
26/10/2014;1;3;0;0;0;0;1
26/10/2014;2;2;0;0;0;0;1
26/10/2014;1;2;0;0;0;0;1
26/10/2014;2;3;0;0;0;0;1
27/10/2014;1;2;0;0;0;0;1
27/10/2014;1;1;0;0;0;0;1
27/10/2014;1;2;0;0;0;0;1
27/10/2014;1;0;4;0;0;0;1
27/10/2014;1;1;0;0;0;0;1
27/10/2014;1;2;0;0;0;0;1
28/10/2014;1;2;0;0;0;0;1
28/10/2014;1;3;0;1;0;0;2
28/10/2014;1;1;0;0;0;0;1
29/10/2014;1;2;0;0;0;0;1
29/10/2014;1;1;0;0;0;0;1
30/10/2014;1;0;0;2;0;0;2
30/10/2014;1;2;0;0;0;0;1
30/10/2014;1;4;0;2;0;0;2
30/10/2014;1;1;0;0;0;0;1
30/10/2014;1;4;0;0;0;0;1
30/10/2014;1;1;0;0;0;0;1
30/10/2014;1;0;1;0;0;0;1
30/10/2014;1;1;0;0;0;0;1
31/10/2014;1;32;0;0;0;0;1
31/10/2014;2;2;0;1;0;0;2
31/10/2014;1;1;0;0;0;0;1
31/10/2014;1;4;0;0;0;0;1
31/10/2014;1;2;0;0;0;0;1
31/10/2014;1;2;0;0;0;0;1
31/10/2014;1;2;0;0;0;0;1
31/10/2014;1;2;0;0;0;0;1
01/11/2014;1;1;0;1;0;0;2
01/11/2014;2;0;0;1;2;0;2
02/11/2014;1;1;0;0;0;0;1
03/11/2014;1;1;0;0;0;0;1
03/11/2014;1;4;0;0;0;0;1
03/11/2014;1;2;0;0;0;0;1
03/11/2014;1;0;0;1;0;0;2
04/11/2014;1;1;0;0;0;0;1
04/11/2014;2;2;0;0;0;0;1
04/11/2014;2;2;0;0;0;0;1
04/11/2014;1;2;0;0;0;0;1
04/11/2014;1;1;0;0;0;0;1
05/11/2014;1;2;0;0;0;0;1
05/11/2014;1;1;0;0;0;0;1
05/11/2014;1;4;0;0;0;0;1
05/11/2014;2;2;0;0;0;0;1
05/11/2014;2;2;0;1;0;0;2
06/11/2014;1;2;0;0;0;0;1
06/11/2014;1;2;0;0;0;0;1
06/11/2014;2;2;0;0;0;0;1
