data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
01/05/2021;05:25:32;12;Acidente com VITIMA;350;BR-101/SC;Sul;Saída de pista;1;0;1;0;0;0;1
02/05/2021;23:12:00;134;Acidente com VITIMA;337;BR-101/SC;Norte;Colisão - Traseira;1;2;0;1;1;0;2
11/05/2021;00:08:51;1;Acidente com VITIMA;364;BR-101/SC;Norte;Colisão - Traseira;1;1;1;0;0;0;1
14/05/2021;18:09:00;127;Acidente sem VITIMA;331;BR-101/SC;Norte;Engavetamento;1;7;0;0;0;0;1
16/05/2021;00:04:00;2;Acidente com VITIMA;335;BR-101/SC;Norte;Colisão - Frontal;1;1;0;3;1;0;2
20/05/2021;12:15:00;96;Acidente com VITIMA;337;BR-101/SC;Sul;Choque - Arvore;1;1;0;1;0;0;2
27/05/2021;10:47:00;56;Acidente sem VITIMA;323;BR-101/SC;Norte;Colisão - Traseira;1;3;0;0;0;0;1
28/05/2021;08:59:00;51;Acidente com VITIMA FATAL;269;BR-101/SC;Sul;Choque - Poste;1;2;0;0;0;1;3
04/06/2021;10:51:00;53;Acidente sem VITIMA;256;BR-101/SC;Norte;Colisão - Lateral;1;2;0;0;0;0;1
08/06/2021;08:53:09;31;Acidente com VITIMA;362;BR-101/SC;Norte;Colisão - Traseira;1;1;1;0;0;0;1
09/06/2021;20:17:18;118;Acidente sem VITIMA;355;BR-101/SC;Norte;Colisão - Traseira;1;2;0;0;0;0;1
12/06/2021;20:47:00;92;Acidente sem VITIMA;290;BR-101/SC;Norte;Choque Defensa;1;2;0;0;0;0;1
16/06/2021;01:42:00;6;Acidente sem VITIMA;345;BR-101/SC;Sul;Tombamento;1;2;0;0;0;0;1
30/06/2021;01:58:45;3;Acidente sem VITIMA;372;BR-101/SC;Norte;Tombamento;1;1;0;0;0;0;1
06/07/2021;03:41:00;13;Acidente com VITIMA;441,000;BR-101/SC;Sul;;2;0;2;0;0;0;1
