data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
22/04/2019;01:56:28;6;Sem vítima;90;BR-290/RS;Leste;Tombamento;1;0;0;0;0;0;1
02/05/2019;09:26:40;42;Sem vítima;92,48;BR-290/RS;Leste;Choque Defensa;1;2;0;0;0;0;1
02/05/2019;15:05:57;84;com vítima;75;BR-290/RS;Oeste;Tombamento;1;0;0;1;0;0;2
07/05/2019;18:28:46;93;Sem vítima;68;BR-290/RS;Leste;Capotamento;1;1;0;0;0;0;1
08/05/2019;21:15:00;99;Sem vítima;39,37;BR-290/RS;Leste;Saída de pista;1;1;0;0;0;0;1
10/05/2019;05:39:10;9;Sem vítima;28;BR-290/RS;Oeste;Queda de ribanceira;1;1;0;0;0;0;1
11/05/2019;20:17:32;76;Sem vítima;41;BR-290/RS;Leste;;1;1;0;0;0;0;1
11/05/2019;20:58:59;77;com vítima;25;BR-290/RS;Leste;Colisão - Lateral;1;2;5;1;0;0;2
14/05/2019;10:45:20;27;Sem vítima;94;BR-290/RS;Oeste;Colisão - Traseira;2;3;0;0;0;0;1
15/05/2019;02:47:42;3;Sem vítima;0,4;BR-290/RS;Oeste;Queda de ribanceira;1;1;0;0;0;0;1
16/05/2019;15:24:35;99;Sem vítima;29;BR-290/RS;Oeste;;1;1;0;0;0;0;1
16/05/2019;23:06:13;140;com vítima;1;BR-290/RS;Leste;Choque Defensa;1;0;3;0;0;0;1
17/05/2019;15:17:00;59;Sem vítima;61,3;BR-290/RS;Oeste;Tombamento;1;1;0;0;0;0;1
19/05/2019;13:10:26;27;Sem vítima;92,34;BR-290/RS;Oeste;;1;1;0;0;0;0;1
21/05/2019;05:04:31;4;Sem vítima;66;BR-290/RS;Oeste;Tombamento;1;1;0;0;0;0;1
22/05/2019;11:46:03;42;com vítima;96;BR-290/RS;Leste;Colisão - Traseira;1;1;1;0;0;0;1
23/05/2019;18:17:34;81;com vítima;50;BR-290/RS;Oeste;Tombamento;1;0;1;0;0;0;1
30/05/2019;03:48:51;1;Sem vítima;87;BR-290/RS;Oeste;Capotamento;1;1;0;0;0;0;1
02/06/2019;03:22:15;12;Sem vítima;76;BR-290/RS;Oeste;Tombamento;1;2;0;0;0;0;1
03/06/2019;07:21:28;10;Sem vítima;63;BR-290/RS;Oeste;Colisão - Lateral;2;2;0;0;0;0;1
04/06/2019;12:26:34;53;com vítima;88;BR-290/RS;Leste;Colisão - Traseira;2;1;1;0;0;0;1
05/06/2019;18:50:18;83;Sem vítima;96;BR-290/RS;Oeste;Colisão - Lateral;1;2;0;0;0;0;1
06/06/2019;03:56:47;4;Sem vítima;62,17;BR-290/RS;Oeste;Queda de ribanceira;1;1;0;0;0;0;1
10/06/2019;21:21:26;119;Sem vítima;41;BR-290/RS;Oeste;Tombamento;1;1;0;0;0;0;1
17/06/2019;15:28:04;96;Sem vítima;92;BR-290/RS;Leste;Colisão - Lateral;1;2;0;0;0;0;1
26/06/2019;08:04:57;70;Sem vítima;95;BR-290/RS;Oeste;Colisão - Lateral;1;2;0;0;0;0;1
27/06/2019;06:42:04;40;Sem vítima;69,3;BR-290/RS;Oeste;Atropelamento de Animal;4;5;0;0;0;0;1
28/06/2019;02:45:16;31;Sem vítima;62;BR-290/RS;Oeste;Queda de ribanceira;1;1;0;0;0;0;1
28/06/2019;23:40:42;153;com vítima;36;BR-290/RS;Leste;Tombamento;1;0;1;0;0;0;1
29/06/2019;01:01:49;4;Sem vítima;36;BR-290/RS;Oeste;Queda de ribanceira;1;3;0;0;0;0;1
02/08/2019;18:57:50;135;Sem vítima;87;BR-290/RS;Leste;Colisão - Traseira;1;1;0;0;0;0;1
04/08/2019;04:35:35;5;Sem vítima;25;BR-290/RS;Oeste;Atropelamento de Animal;1;2;0;0;0;0;1
06/08/2019;23:40:03;178;com vítima;74;BR-290/RS;Leste;Atropelamento de Animal;2;0;0;1;0;0;2
09/08/2019;08:32:39;94;Sem vítima;95;BR-290/RS;Oeste;Colisão - Traseira;1;4;0;0;0;0;1
09/08/2019;19:51:59;188;Sem vítima;93;BR-290/RS;Oeste;Colisão - Lateral;1;7;0;0;0;0;1
10/08/2019;11:14:46;106;Sem vítima;92;BR-290/RS;Leste;Colisão - Lateral;1;3;0;0;0;0;1
11/08/2019;19:53:34;91;Sem vítima;72;BR-290/RS;Leste;Outros;1;1;0;0;0;0;1
12/08/2019;08:57:09;74;Sem vítima;79;BR-290/RS;Leste;;2;1;0;0;0;0;1
12/08/2019;14:42:44;157;Sem vítima;76,08;BR-290/RS;Oeste;Colisão - Traseira;1;2;0;0;0;0;1
12/08/2019;17:10:50;191;Sem vítima;94,07;BR-290/RS;Oeste;Choque Defensa;1;1;0;0;0;0;1
12/08/2019;21:31:39;239;Sem vítima;400;BR-386/RS;Sul;Choque Talude;2;3;0;0;0;0;1
15/08/2019;13:46:01;79;Sem vítima;82;BR-101/RS;Ambos;Colisão - Lateral;1;1;0;0;0;0;1
16/08/2019;09:18:10;62;Sem vítima;19;BR-290/RS;Oeste;;1;2;0;0;0;0;1
16/08/2019;17:08:47;189;com vítima;92;BR-290/RS;Leste;Colisão - Traseira;2;1;1;0;0;0;1
18/08/2019;04:46:41;39;Sem vítima;48;BR-101/RS;Sul;Choque Defensa;1;1;0;0;0;0;1
19/08/2019;03:38:57;14;com vítima;52;BR-290/RS;Oeste;Colisão - Traseira;2;0;0;1;0;0;2
19/08/2019;19:21:48;130;com vítima;242;BR-386/RS;Norte;Colisão - Lateral;1;0;2;0;0;0;1
21/08/2019;10:27:30;78;Sem vítima;325;BR-386/RS;Norte;Colisão - Traseira;1;2;0;0;0;0;1
21/08/2019;18:50:00;196;Sem vítima;94;BR-290/RS;Leste;Colisão - Traseira;2;2;0;0;0;0;1
01/07/2019;02:35:06;11;Sem vítima;63;BR-290/RS;Oeste;Queda de ribanceira;1;1;0;0;0;0;1
01/07/2019;16:02:02;103;Sem vítima;92,27;BR-290/RS;Leste;Colisão - Traseira;1;3;0;0;0;0;1
03/07/2019;06:46:33;48;Sem vítima;68;BR-290/RS;Oeste;Choque com veículo na faixa de rolamento;2;2;0;0;0;0;1
05/07/2019;03:35:21;44;Sem vítima;23,38;BR-290/RS;Leste;Queda de ribanceira;1;1;0;0;0;0;1
05/07/2019;21:17:40;187;Sem vítima;45,11;BR-290/RS;Oeste;Colisão - Lateral;1;2;0;0;0;0;1
05/07/2019;23:59:27;1;Sem vítima;5,5;BR-290/RS;Leste;Tombamento;1;1;0;0;0;0;1
09/07/2019;13:24:47;132;com vítima;79;BR-290/RS;Oeste;Colisão - Traseira;1;1;0;0;1;0;2
09/07/2019;12:00:45;111;Sem vítima;47;BR-290/RS;Leste;Colisão - Traseira;2;2;0;0;0;0;1
10/07/2019;06:18:01;73;Sem vítima;75;BR-290/RS;Leste;Tombamento;1;1;0;0;0;0;1
10/07/2019;12:11:37;116;Sem vítima;98;BR-290/RS;Leste;Colisão - Traseira;1;3;0;0;0;0;1
13/07/2019;02:10:59;28;Sem vítima;10;BR-290/RS;Leste;Choque Defensa;2;1;0;0;0;0;1
16/07/2019;22:11:55;138;Sem vítima;19;BR-290/RS;Leste;Colisão - Traseira;1;2;0;0;0;0;1
18/07/2019;09:05:19;103;Sem vítima;75;BR-290/RS;Leste;Colisão - Lateral;1;1;0;0;0;0;1
20/07/2019;23:21:44;155;Sem vítima;50;BR-290/RS;Oeste;Queda de ribanceira;2;1;0;0;0;0;1
23/07/2019;10:57:29;117;Sem vítima;92;BR-290/RS;Oeste;Choque Defensa;1;1;0;0;0;0;1
23/07/2019;19:19:55;178;Sem vítima;52;BR-290/RS;Oeste;Choque com objeto sobre a pista;2;1;0;0;0;0;1
24/07/2019;12:23:53;115;Sem vítima;98;BR-290/RS;Leste;Tombamento;1;1;0;0;0;0;1
30/07/2019;14:50:43;134;com vítima;94;BR-290/RS;Leste;Tombamento;1;0;1;0;0;0;1
30/07/2019;02:24:55;47;Sem vítima;26;BR-290/RS;Leste;Colisão - Traseira;2;2;0;0;0;0;1
01/09/2019;18:24:52;131;Sem vítima;92;BR-290/RS;Leste;Colisão - Lateral;1;1;0;0;0;0;1
02/09/2019;18:06:52;153;com vítima;10;BR-448/RS;Sul;Colisão - Lateral;1;0;1;0;0;0;1
04/09/2019;08:11:31;38;Sem vítima;7,18;BR-448/RS;Norte;Colisão - Traseira;1;4;0;0;0;0;1
04/09/2019;10:13:51;87;com vítima;30;BR-290/RS;Oeste;Engavetamento;1;2;2;0;0;0;1
04/09/2019;20:28:59;193;Sem vítima;85;BR-101/RS;Norte;Tombamento;1;1;0;0;0;0;1
05/09/2019;16:25:32;154;Sem vítima;235;BR-386/RS;Sul;Colisão - Traseira;1;3;0;0;0;0;1
06/09/2019;00:23:13;3;com vítima;423;BR-386/RS;Norte;Atropelamento - Morador/Trabalhador/Estudante;1;0;0;0;1;0;2
06/09/2019;15:11:42;117;com vítima;332;BR-386/RS;Norte;Colisão - Frontal;1;3;2;0;0;1;3
06/09/2019;17:02:53;138;Sem vítima;361;BR-386/RS;Sul;Colisão - Frontal;1;34;0;0;0;0;1
06/09/2019;19:15:07;158;Sem vítima;74;BR-290/RS;Leste;Colisão - Traseira;1;4;0;0;0;0;1
08/09/2019;10:24:58;45;com vítima;310;BR-386/RS;Norte;Colisão - Lateral;1;1;1;0;0;0;1
09/09/2019;08:18:22;35;Sem vítima;442;BR-386/RS;Norte;Tombamento;1;1;0;0;0;0;1
10/09/2019;08:04:51;36;Sem vítima;45;BR-101/RS;Norte;Colisão - Traseira;1;2;0;0;0;0;1
10/09/2019;23:15:54;199;Sem vítima;63;BR-290/RS;Oeste;Colisão - Traseira;1;2;0;0;0;0;1
11/09/2019;06:03:36;21;Sem vítima;404;BR-386/RS;Sul;Tombamento;1;1;0;0;0;0;1
11/09/2019;10:46:40;66;Sem vítima;436;BR-386/RS;Sul;Colisão - Transversal;2;2;0;0;0;0;1
12/09/2019;07:06:28;18;Sem vítima;307;BR-386/RS;Norte;Colisão - Lateral;1;2;0;0;0;0;1
12/09/2019;08:26:31;36;Sem vítima;221;BR-386/RS;Sul;Colisão - Traseira;1;6;0;0;0;0;1
13/09/2019;06:18:04;14;com vítima;349;BR-386/RS;Norte;Colisão - Traseira;1;0;0;0;1;0;2
13/09/2019;13:46:27;131;Sem vítima;347;BR-386/RS;Norte;Colisão - Lateral;1;2;0;0;0;0;1
15/09/2019;16:41:45;132;com vítima;292;BR-386/RS;Norte;Atropelamento - Usuário;1;1;0;0;1;0;2
15/09/2019;20:08:14;167;com vítima;24;BR-101/RS;Norte;Queda de moto;1;0;1;0;0;0;1
17/09/2019;00:30:21;2;com vítima;64;BR-290/RS;Oeste;Tombamento;1;0;2;0;0;0;1
17/09/2019;13:57:28;78;Sem vítima;92;BR-290/RS;Oeste;Colisão - Traseira;2;2;0;0;0;0;1
17/09/2019;17:48:02;105;Sem vítima;222;BR-386/RS;Sul;Queda de ribanceira;1;1;0;0;0;0;1
17/09/2019;20:29:41;124;Sem vítima;96;BR-290/RS;Oeste;Colisão - Traseira;1;2;0;0;0;0;1
18/09/2019;07:32:34;31;Sem vítima;39;BR-290/RS;Leste;Queda de ribanceira;1;1;0;0;0;0;1
18/09/2019;21:27:29;185;Sem vítima;32;BR-290/RS;Oeste;Queda de ribanceira;2;1;0;0;0;0;1
18/09/2019;23:17:31;195;com vítima;362,07;BR-386/RS;Norte;Tombamento;1;0;1;0;0;0;1
19/09/2019;15:42:51;134;Sem vítima;91;BR-290/RS;Leste;Capotamento;1;1;0;0;0;0;1
19/09/2019;16:54:41;156;Sem vítima;261;BR-386/RS;Norte;Saída de pista;1;1;0;0;0;0;1
21/09/2019;03:44:11;15;Sem vítima;69;BR-101/RS;Sul;Queda de ribanceira;1;1;0;0;0;0;1
22/09/2019;14:42:23;120;Sem vítima;393;BR-386/RS;Sul;Colisão - Traseira;1;1;0;0;0;0;1
22/09/2019;19:46:16;199;Sem vítima;24;BR-101/RS;Sul;Engavetamento;1;8;0;0;0;0;1
23/09/2019;02:47:55;10;com vítima;76;BR-290/RS;Oeste;Colisão - Traseira;1;4;1;0;0;0;1
23/09/2019;09:46:32;78;com vítima;34;BR-101/RS;Norte;Atropelamento - Morador/Trabalhador/Estudante;1;0;0;0;1;0;2
26/09/2019;14:57:18;124;Sem vítima;352;BR-386/RS;Norte;Colisão - Lateral;1;2;0;0;0;0;1
27/09/2019;11:49:21;109;com vítima;69;BR-290/RS;Oeste;Capotamento;1;0;1;0;0;0;1
27/09/2019;19:12:17;189;Sem vítima;240;BR-386/RS;Sul;Colisão - Traseira;1;11;0;0;0;0;1
28/09/2019;15:47:48;154;com vítima;20;BR-101/RS;Norte;Colisão - Traseira;1;2;1;0;0;0;1
30/09/2019;19:45:33;216;Sem vítima;285;BR-386/RS;Sul;Engavetamento;3;5;0;0;0;0;1
01/10/2019;15:38:37;156;Sem vítima;440;BR-386/RS;Sul;Colisão - Lateral;1;1;0;0;0;0;1
01/10/2019;21:33:10;227;Sem vítima;91;BR-290/RS;Leste;Colisão - Transversal;1;2;0;0;0;0;1
01/10/2019;22:36:49;235;com vítima;33;BR-101/RS;Norte;Colisão - Traseira;2;1;1;0;0;0;1
02/10/2019;05:44:10;10;com vítima;273;BR-386/RS;Norte;Tombamento;-1;0;0;1;0;0;2
02/10/2019;16:12:27;119;Sem vítima;361;BR-386/RS;Ambos;Queda de ribanceira;1;1;0;0;0;0;1
