id_acidente_tip; dia; mes; total; id_risco
4;5;1;1;1
122;5;1;2;1
4;8;1;1;2
4;8;1;2;1
124;10;1;1;2
4;15;1;1;2
4;15;1;1;1
4;15;1;1;1
4;15;1;1;1
125;19;1;1;1
3;19;1;1;2
4;19;1;1;1
4;21;1;1;1
4;22;1;1;1
4;22;1;2;2
2;25;1;1;2
4;25;1;1;2
126;25;1;1;1
122;26;1;1;1
6;28;1;1;1
12;29;1;1;3
2;29;1;1;1
4;31;1;1;1
124;2;2;1;1
4;4;2;1;1
2;4;2;1;1
2;4;2;1;1
4;5;2;2;1
4;8;2;1;2
5;8;2;1;1
5;8;2;1;2
5;10;2;1;1
5;11;2;1;1
5;12;2;1;1
4;13;2;1;2
5;15;2;1;1
4;18;2;2;2
7;18;2;2;1
124;18;2;2;1
124;18;2;1;2
4;19;2;1;2
125;21;2;1;1
2;23;2;1;1
5;23;2;1;1
5;23;2;1;1
2;24;2;1;2
4;24;2;1;1
7;25;2;1;3
2;25;2;1;1
2;26;2;1;1
2;26;2;1;1
2;26;2;1;1
4;26;2;1;1
2;27;2;1;1
7;27;2;1;3
7;1;3;1;2
5;1;3;1;1
126;1;3;1;1
4;1;3;2;1
7;1;3;1;3
124;1;3;1;1
124;1;3;1;1
2;2;3;1;1
4;3;3;1;1
4;4;3;2;1
2;4;3;3;2
4;6;3;1;1
4;6;3;2;1
5;8;3;1;2
10;8;3;1;1
5;9;3;1;2
4;10;3;1;1
5;10;3;1;1
4;11;3;1;1
4;11;3;2;2
127;12;3;1;1
5;12;3;1;1
12;12;3;1;1
124;15;3;1;1
5;16;3;1;1
4;16;3;3;1
4;16;3;1;1
127;17;3;1;1
5;17;3;1;1
124;17;3;1;1
2;17;3;1;1
4;19;3;1;1
6;22;3;1;1
5;24;3;1;1
125;25;3;1;1
2;26;3;1;1
5;29;3;1;1
5;29;3;1;1
4;29;3;1;1
6;31;3;1;1
4;31;3;2;1
12;31;3;1;1
5;1;4;1;1
4;1;4;1;1
4;1;4;2;1
4;1;4;1;2
4;4;4;3;1
5;5;4;1;1
2;6;4;1;1
4;11;4;1;1
2;12;4;1;2
125;12;4;1;1
7;13;4;1;2
125;19;4;1;1
4;20;4;1;1
4;21;4;1;1
6;21;4;1;1
4;22;4;1;1
5;22;4;2;1
5;22;4;2;1
4;23;4;1;2
4;24;4;1;1
6;26;4;1;2
2;27;4;1;1
2;27;4;1;1
6;27;4;1;1
5;28;4;1;1
4;29;4;2;1
5;29;4;1;1
7;30;4;1;3
4;30;4;1;1
4;1;5;1;1
12;5;5;1;1
5;5;5;1;3
6;5;5;1;1
4;6;5;1;1
6;9;5;1;1
4;10;5;2;1
126;11;5;1;1
6;11;5;1;2
6;12;5;1;2
5;12;5;1;1
2;12;5;2;1
5;12;5;1;1
125;14;5;1;1
5;16;5;1;1
4;17;5;2;1
126;18;5;1;1
6;18;5;1;1
5;18;5;1;1
10;22;5;1;1
4;24;5;1;1
2;25;5;1;1
5;25;5;1;1
5;26;5;2;1
3;28;5;1;1
3;1;6;1;2
13;2;6;1;2
2;2;6;1;1
4;3;6;1;1
4;4;6;1;1
5;4;6;1;1
5;5;6;1;2
4;6;6;1;1
3;7;6;1;2
4;7;6;1;1
2;8;6;1;2
124;8;6;1;1
5;11;6;1;2
127;12;6;1;1
4;15;6;1;1
4;15;6;1;1
4;16;6;1;1
4;19;6;1;1
12;19;6;1;1
5;21;6;1;1
4;22;6;1;1
126;26;6;1;1
4;27;6;1;1
4;30;6;2;1
5;30;6;2;1
4;1;7;1;1
5;1;7;1;1
5;1;7;1;1
5;1;7;1;2
10;9;7;1;1
6;9;7;1;2
125;10;7;1;1
124;11;7;1;1
125;12;7;1;1
3;13;7;1;2
4;13;7;1;2
5;14;7;2;1
6;15;7;1;2
5;17;7;1;1
5;18;7;1;1
7;18;7;1;2
5;19;7;1;1
52;19;7;1;1
2;21;7;1;1
52;21;7;1;1
5;21;7;1;1
5;22;7;1;1
5;22;7;1;1
126;23;7;1;2
125;23;7;1;1
5;25;7;1;1
4;25;7;1;1
4;28;7;1;1
5;28;7;2;1
4;30;7;4;1
4;30;7;2;1
5;31;7;1;2
5;31;7;1;1
5;2;8;1;1
4;5;8;1;1
5;5;8;2;1
7;6;8;2;3
6;7;8;1;1
125;10;8;1;1
5;10;8;1;1
4;10;8;1;2
5;10;8;2;1
5;11;8;2;1
4;13;8;1;1
4;13;8;1;2
2;15;8;1;1
5;17;8;1;1
4;17;8;2;1
5;19;8;1;1
4;19;8;2;1
4;19;8;1;2
4;20;8;2;1
3;24;8;1;1
5;24;8;1;1
5;25;8;1;1
4;26;8;2;1
5;26;8;1;2
4;27;8;1;2
4;28;8;1;1
4;30;8;1;1
3;30;8;1;2
5;30;8;2;1
4;31;8;2;1
2;31;8;1;1
4;31;8;1;1
6;1;9;1;1
4;1;9;1;1
4;3;9;2;2
2;3;9;1;1
4;4;9;1;1
5;4;9;1;1
4;4;9;1;1
125;6;9;1;1
4;6;9;2;2
6;8;9;1;2
5;10;9;1;1
125;10;9;1;1
4;11;9;1;2
4;13;9;1;1
2;14;9;1;1
5;14;9;1;1
5;15;9;1;1
12;15;9;1;1
5;15;9;1;1
4;16;9;1;1
5;16;9;1;1
126;18;9;1;1
4;18;9;1;1
5;20;9;1;1
6;24;9;1;2
5;24;9;1;1
4;25;9;1;1
6;26;9;1;1
5;30;9;1;1
4;1;10;1;1
5;1;10;1;1
4;2;10;1;2
5;2;10;1;1
4;6;10;1;1
4;6;10;1;1
4;6;10;2;1
4;7;10;1;1
6;8;10;1;2
5;9;10;1;1
5;10;10;1;2
4;11;10;2;1
4;13;10;1;1
6;13;10;1;1
125;15;10;1;1
6;16;10;1;1
5;16;10;1;1
5;16;10;1;1
4;17;10;2;1
125;17;10;1;1
5;17;10;1;1
5;19;10;1;1
4;20;10;1;1
6;22;10;1;2
3;23;10;1;2
4;26;10;1;1
4;28;10;1;2
2;28;10;1;1
125;28;10;1;1
4;30;10;1;1
124;30;10;1;1
4;1;11;1;1
4;3;11;1;1
4;3;11;1;1
6;4;11;1;1
2;4;11;1;2
12;4;11;1;1
4;6;11;1;1
2;8;11;1;1
5;9;11;2;2
5;9;11;2;1
4;9;11;1;1
4;10;11;2;1
12;10;11;1;1
4;10;11;1;1
5;10;11;1;1
4;13;11;1;1
6;17;11;1;1
4;17;11;1;1
12;18;11;1;1
4;19;11;1;1
4;19;11;1;1
4;19;11;1;1
6;19;11;1;1
12;20;11;1;1
4;21;11;1;1
2;23;11;1;1
2;25;11;1;1
5;25;11;1;1
4;25;11;1;1
127;26;11;1;2
123;27;11;1;3
2;30;11;1;1
5;1;12;2;1
4;2;12;1;1
5;6;12;1;1
5;7;12;1;1
2;8;12;1;1
5;8;12;1;1
3;10;12;1;1
5;10;12;1;1
5;11;12;1;1
5;12;12;1;1
4;12;12;1;1
5;13;12;1;2
4;15;12;1;1
6;16;12;1;1
5;16;12;1;1
4;16;12;1;1
4;17;12;1;1
4;17;12;1;1
6;21;12;1;1
5;22;12;1;1
4;22;12;1;1
4;22;12;1;1
4;23;12;1;1
5;23;12;1;1
5;25;12;1;1
5;26;12;1;1
125;27;12;1;1
5;28;12;1;1
5;28;12;1;1
3;28;12;2;1
2;29;12;1;1
125;30;12;1;1
5;30;12;1;1
4;31;12;1;1
12;31;12;1;1
4;5;1;1;1
52;6;1;1;1
5;6;1;1;1
4;7;1;1;1
5;9;1;1;1
4;10;1;2;1
8;10;1;1;1
4;11;1;1;1
12;11;1;1;2
52;12;1;1;1
124;19;1;1;1
3;20;1;1;1
5;20;1;1;1
5;21;1;2;1
124;22;1;1;1
5;23;1;1;2
4;23;1;1;1
12;25;1;1;1
5;27;1;3;1
4;27;1;1;1
5;29;1;1;1
4;30;1;1;3
4;31;1;1;2
4;1;2;2;1
125;1;2;1;1
4;3;2;1;1
5;3;2;2;2
4;3;2;1;1
3;8;2;2;1
123;9;2;1;1
4;15;2;1;1
10;17;2;1;1
4;17;2;2;1
4;18;2;1;1
127;18;2;1;1
5;18;2;1;1
125;18;2;1;1
5;18;2;2;1
4;18;2;1;1
5;19;2;1;1
5;22;2;1;2
2;23;2;1;1
7;23;2;1;3
5;23;2;1;1
4;23;2;1;1
5;23;2;1;1
125;23;2;1;1
6;24;2;1;1
5;24;2;1;2
4;25;2;2;1
4;26;2;2;1
3;26;2;1;1
131;26;2;1;1
5;28;2;1;1
7;28;2;2;1
4;28;2;1;2
6;1;3;1;2
12;1;3;1;1
5;1;3;2;1
6;1;3;1;2
6;2;3;1;2
127;2;3;2;1
2;3;3;1;1
4;3;3;3;1
5;3;3;1;1
5;3;3;1;1
4;3;3;2;1
4;4;3;1;1
4;4;3;1;1
4;4;3;3;1
5;4;3;2;1
125;5;3;1;2
4;5;3;1;1
4;5;3;1;2
7;6;3;1;1
125;8;3;1;2
125;8;3;1;1
5;10;3;1;1
5;10;3;1;1
4;10;3;2;1
3;11;3;1;3
10;13;3;1;1
125;14;3;1;2
3;14;3;1;3
4;15;3;1;1
7;15;3;1;3
5;16;3;1;1
4;16;3;1;1
5;17;3;2;1
124;18;3;1;1
4;19;3;1;2
2;19;3;1;1
2;23;3;1;1
5;23;3;2;1
5;26;3;1;1
4;26;3;2;2
2;27;3;1;2
12;27;3;1;1
7;29;3;1;1
4;29;3;1;1
5;30;3;2;1
4;30;3;1;1
2;30;3;1;1
4;30;3;1;1
4;31;3;1;1
4;4;4;1;1
5;4;4;1;1
5;4;4;1;1
5;5;4;1;1
4;6;4;1;1
5;6;4;1;1
5;6;4;1;1
4;6;4;2;1
4;7;4;1;1
4;8;4;1;1
4;8;4;1;1
4;12;4;1;1
4;12;4;3;1
125;12;4;1;1
5;14;4;1;1
5;14;4;1;1
5;14;4;1;1
4;15;4;1;1
4;15;4;1;1
5;15;4;1;1
125;16;4;1;1
5;17;4;1;1
6;19;4;1;1
5;19;4;3;1
5;20;4;1;2
4;20;4;1;1
4;21;4;1;1
4;21;4;1;1
4;22;4;2;1
6;24;4;1;2
4;25;4;1;1
5;25;4;1;1
4;26;4;1;2
4;26;4;1;2
4;27;4;2;1
6;28;4;1;1
4;29;4;1;1
6;30;4;1;1
2;2;5;1;1
5;3;5;1;1
124;4;5;1;1
4;4;5;2;1
5;4;5;2;2
4;5;5;1;1
5;5;5;1;1
5;5;5;1;1
125;6;5;1;1
5;6;5;2;1
5;7;5;1;1
4;9;5;1;1
5;10;5;1;2
5;12;5;1;2
2;12;5;1;1
12;13;5;1;1
5;13;5;1;1
5;13;5;1;1
4;14;5;1;1
4;14;5;1;1
6;14;5;1;1
5;15;5;2;1
4;17;5;1;2
4;18;5;1;1
2;18;5;1;1
5;18;5;1;1
2;20;5;1;1
5;20;5;1;1
2;20;5;1;1
6;20;5;1;2
4;23;5;1;1
126;23;5;1;1
4;23;5;1;1
122;24;5;1;1
12;26;5;1;1
5;27;5;1;1
5;27;5;1;1
5;27;5;1;1
6;31;5;1;1
12;31;5;1;1
5;31;5;1;1
2;2;6;1;2
4;2;6;1;1
6;3;6;1;3
2;3;6;1;1
5;3;6;1;1
5;7;6;1;1
113;7;6;1;1
2;8;6;2;1
5;8;6;1;1
7;10;6;1;2
5;10;6;1;1
4;10;6;1;1
5;11;6;1;1
6;14;6;1;1
4;16;6;1;1
4;16;6;1;1
5;16;6;1;1
3;17;6;1;1
5;18;6;1;1
5;18;6;1;1
4;21;6;1;2
5;22;6;1;1
127;23;6;1;1
7;24;6;1;2
6;25;6;2;2
132;29;6;1;2
5;30;6;1;1
125;1;7;1;1
125;4;7;1;1
7;4;7;1;1
12;4;7;1;1
4;4;7;1;2
5;5;7;1;2
4;5;7;1;2
5;6;7;1;2
5;6;7;1;1
4;7;7;2;1
4;7;7;1;1
124;7;7;1;1
5;8;7;1;3
5;10;7;1;1
5;12;7;1;1
5;14;7;1;1
5;14;7;1;2
5;14;7;1;1
4;15;7;1;1
4;15;7;1;1
