dia;mes;qt_acidentes;id_acidente_tip;id_risco
1;3;1;18;1
2;3;1;11;1
2;3;1;24;1
3;3;1;24;1
3;3;1;24;2
3;3;1;24;1
3;3;1;13;1
6;3;1;13;1
7;3;1;24;1
7;3;1;20;2
9;3;1;22;1
9;3;1;22;2
9;3;2;13;1
9;3;2;30;1
10;3;1;30;1
10;3;1;24;1
14;3;1;24;1
14;3;1;11;1
14;3;1;150;1
16;3;1;13;1
16;3;1;20;2
16;3;1;13;1
16;3;1;30;3
16;3;1;147;1
17;3;1;30;2
17;3;1;20;2
17;3;1;19;2
19;3;1;75;2
19;3;1;18;1
21;3;1;13;1
22;3;1;19;2
22;3;1;13;1
23;3;1;24;1
23;3;1;19;1
23;3;1;18;1
24;3;1;13;1
24;3;1;24;1
25;3;1;30;2
25;3;1;6;2
26;3;1;30;2
26;3;1;24;1
28;3;1;13;1
28;3;1;13;1
28;3;1;22;1
28;3;1;24;1
29;3;1;24;1
29;3;1;30;1
30;3;2;13;1
31;3;2;13;1
31;3;2;13;1
1;4;1;11;1
3;4;1;13;2
3;4;1;13;1
3;4;1;13;1
4;4;1;147;1
4;4;1;30;2
5;4;1;13;2
5;4;1;24;1
5;4;1;27;1
7;4;1;24;1
7;4;1;22;1
7;4;1;24;1
8;4;1;75;1
10;4;1;13;1
10;4;2;11;1
11;4;1;22;1
11;4;2;13;1
13;4;2;24;1
13;4;1;24;2
13;4;1;147;2
14;4;1;13;1
14;4;1;18;2
15;4;1;24;1
17;4;1;75;1
19;4;1;30;1
20;4;1;13;2
21;4;1;24;2
21;4;1;24;1
22;4;1;19;2
22;4;1;24;1
24;4;1;22;1
25;4;1;24;1
25;4;1;13;1
25;4;1;22;1
25;4;1;13;2
26;4;1;13;1
26;4;2;24;1
27;4;1;13;1
27;4;1;20;1
29;4;1;24;1
30;4;1;24;1
5;5;1;24;1
5;5;1;13;2
6;5;1;20;3
6;5;1;30;2
6;5;1;6;1
6;5;1;24;1
8;5;1;22;2
9;5;1;13;1
9;5;1;147;1
9;5;1;11;1
9;5;1;19;3
10;5;1;24;1
10;5;1;11;1
10;5;1;24;2
10;5;1;24;1
11;5;1;13;1
11;5;1;13;1
12;5;1;11;1
13;5;1;13;2
15;5;1;11;1
