dia;mes;qt_acidentes;id_acidente_tip;id_risco
5;6;1;174;1
13;6;1;172;1
21;6;1;176;1
11;7;1;174;1
29;7;1;172;1
13;7;1;172;1
14;7;1;172;1
14;7;1;172;1
31;7;1;174;1
10;7;1;174;1
3;8;1;172;2
14;8;1;174;1
20;8;1;11;1
21;8;1;172;1
29;8;1;8;1
8;9;1;174;1
8;9;1;174;1
11;9;1;174;1
12;9;1;172;1
16;9;1;172;1
2;10;1;172;1
5;11;1;172;2
6;11;1;172;1
6;11;3;11;1
11;11;1;174;1
27;11;1;172;1
9;12;1;172;2
12;12;2;172;1
21;12;1;172;1
23;12;1;180;1
5;1;2;11;1
7;1;1;172;2
11;1;2;174;1
12;1;2;174;1
7;3;1;172;1
11;3;4;11;3
12;3;1;6;1
14;3;1;172;1
21;3;3;11;1
30;3;1;172;2
12;4;1;20;2
20;4;1;172;2
25;4;1;172;1
1;2;1;172;1
4;2;1;172;1
5;2;1;172;2
6;2;1;11;1
19;2;1;172;1
27;2;1;174;2
13;5;1;18;1
16;5;1;172;1
18;5;1;174;1
25;6;1;172;2
6;7;1;175;1
6;8;1;172;1
22;8;2;172;1
8;9;1;174;1
9;9;1;32;1
2;10;1;175;1
11;10;1;172;1
15;10;1;172;1
25;10;1;174;1
14;11;1;172;1
2;12;1;172;1
8;12;1;174;1
8;12;1;172;1
22;12;1;172;1
4;1;1;174;1
6;1;1;172;1
11;1;1;172;1
23;1;1;172;2
26;1;1;172;1
30;1;1;172;1
31;1;1;172;1
3;2;1;172;1
8;2;1;172;1
13;2;1;174;1
24;2;1;172;1
25;2;1;174;1
2;3;1;174;1
10;3;1;174;1
13;3;1;174;1
14;3;1;172;1
17;3;2;174;1
31;3;2;174;1
4;4;1;172;2
5;4;1;163;1
7;4;1;174;1
13;4;1;172;1
13;4;1;174;1
9;5;1;172;1
18;5;1;172;1
18;5;1;174;1
22;5;1;172;1
26;5;1;172;1
30;5;2;174;1
1;6;1;174;1
9;6;1;172;1
9;6;1;174;1
14;6;1;172;1
14;6;1;174;1
19;6;1;180;1
23;6;1;172;1
23;6;1;174;1
29;6;1;172;1
30;6;1;174;1
3;8;1;174;1
