dia;mes;qt_acidentes;id_acidente_tip;id_risco
4;4;1;17;2
4;4;1;18;1
6;4;1;191;1
6;4;1;191;2
7;4;1;22;1
10;4;1;192;1
10;4;1;14;1
10;4;1;19;2
10;4;1;19;1
11;4;2;192;2
12;4;1;193;1
13;4;1;20;1
13;4;1;19;2
17;4;2;13;1
18;4;1;18;1
19;4;1;21;1
19;4;1;18;1
20;4;1;22;1
24;4;1;14;2
25;4;1;14;1
25;4;1;22;1
26;4;1;17;1
26;4;1;22;3
26;4;1;191;2
3;5;2;22;1
3;5;1;22;1
4;5;1;18;2
5;5;2;19;3
7;5;1;22;2
8;5;1;13;2
14;5;1;22;1
16;5;1;191;1
20;5;1;20;3
21;5;1;191;3
23;5;1;192;1
26;5;1;193;1
27;5;1;13;1
30;5;2;13;2
3;1;3;192;1
12;1;1;191;2
13;1;1;18;1
18;1;1;14;1
18;1;1;13;2
24;1;1;22;1
26;1;2;19;1
26;1;1;192;1
2;2;1;191;1
8;2;1;191;1
8;2;1;18;1
11;2;6;19;3
13;2;1;193;2
15;2;1;191;1
16;2;1;13;1
17;2;1;18;1
18;2;1;14;1
20;2;1;18;3
1;3;1;13;1
3;3;1;22;1
4;3;1;18;1
6;3;1;193;1
7;3;1;22;1
7;3;1;22;1
13;3;1;22;1
14;3;3;13;1
16;3;1;19;2
17;3;1;14;1
21;3;1;191;1
22;3;2;13;1
24;3;1;22;2
24;3;1;17;1
25;3;1;22;2
27;3;1;191;1
28;3;1;191;1
28;3;1;191;1
30;3;2;13;1
5;6;2;13;1
5;6;1;191;2
6;6;1;191;2
6;6;1;19;3
8;6;2;13;1
8;6;2;13;1
8;6;2;13;1
13;6;2;19;2
14;6;1;14;1
15;6;1;193;1
15;6;1;19;2
16;6;1;192;3
17;6;1;22;1
18;6;1;191;2
20;6;2;13;1
20;6;2;13;2
27;6;2;13;1
27;6;1;18;1
28;6;1;191;3
1;7;1;191;2
1;7;1;192;2
6;7;1;18;1
7;7;1;192;2
7;7;1;17;1
9;7;1;19;2
17;7;1;13;1
17;7;2;18;1
18;7;2;193;1
25;7;1;18;1
26;7;1;191;3
30;7;1;14;1
10;8;1;13;1
11;8;1;22;1
12;8;1;19;3
14;8;1;22;1
17;8;2;13;1
22;8;1;22;1
23;8;1;13;2
23;8;1;191;1
24;8;1;191;2
25;8;1;13;1
25;8;2;13;2
29;8;1;191;1
31;8;1;21;1
2;9;1;22;1
5;9;2;191;2
8;9;1;14;1
13;9;1;22;1
14;9;1;191;2
15;9;1;13;1
18;9;1;192;2
26;9;1;18;1
26;9;1;13;2
27;9;1;13;2
4;10;1;22;1
5;10;1;18;2
9;10;1;14;1
10;10;1;22;1
13;10;1;22;1
20;10;1;191;3
20;10;1;22;1
23;10;1;18;1
7;11;1;20;2
8;11;1;18;1
10;11;1;22;1
10;11;1;191;1
12;11;1;18;1
14;11;1;191;1
14;11;1;13;2
16;11;1;193;1
20;11;2;13;3
23;11;1;13;2
27;11;1;13;2
27;11;3;191;1
30;11;1;19;3
1;12;1;18;1
4;12;1;193;1
20;12;2;18;1
21;12;1;14;1
27;12;1;191;1
28;12;1;18;1
29;12;2;191;1
2;1;1;22;1
4;1;1;191;2
5;1;1;191;1
7;1;1;191;1
9;1;1;191;2
10;1;1;22;1
10;1;1;20;2
12;1;1;22;2
13;1;1;191;2
15;1;1;17;1
18;1;1;191;1
18;1;2;191;1
19;1;2;193;1
20;1;2;192;1
24;1;1;191;2
26;1;1;19;3
28;1;1;193;1
30;1;2;13;2
30;1;1;191;1
31;1;1;18;2
6;2;1;193;1
6;2;1;19;2
7;2;1;191;1
8;2;2;13;2
9;2;1;18;2
9;2;1;22;1
9;2;2;13;1
16;2;1;191;1
16;2;1;192;1
17;2;1;22;1
25;2;1;18;2
26;2;1;192;1
28;2;2;13;1
28;2;1;22;1
1;3;2;191;2
13;3;1;18;1
13;3;1;14;1
14;3;1;18;2
15;3;1;191;2
23;3;1;22;1
24;3;1;18;1
24;3;1;191;1
27;3;1;14;1
28;3;2;13;1
30;3;1;22;1
31;3;1;13;2
6;4;1;18;2
6;4;1;191;1
9;4;2;13;1
10;4;2;13;1
14;4;1;22;1
14;4;1;22;1
18;4;2;13;2
18;4;1;191;2
20;4;1;20;3
20;4;1;22;1
20;4;2;192;2
20;4;1;19;2
20;4;3;13;1
23;4;1;22;1
27;4;1;13;1
19;5;1;191;2
31;5;1;191;1
3;6;1;22;1
6;6;1;22;1
6;6;1;20;3
8;6;1;13;2
11;6;1;13;2
11;6;1;191;2
11;6;1;191;1
15;6;1;191;1
17;6;1;193;1
19;6;1;192;1
25;6;1;191;1
26;6;2;191;3
28;6;1;18;2
30;6;1;191;1
3;7;2;192;1
3;7;1;192;1
5;7;1;192;1
9;7;1;191;1
11;7;1;22;1
11;7;1;192;1
13;7;1;13;1
18;7;1;191;2
22;7;1;191;2
27;7;1;19;1
27;7;1;191;1
31;7;2;191;2
1;8;1;22;2
1;8;3;13;2
6;8;1;19;3
10;8;1;13;2
11;8;1;13;2
12;8;1;193;2
20;8;2;13;2
24;8;1;22;1
29;8;2;192;1
29;8;2;191;1
1;9;2;13;1
3;9;1;191;1
4;9;1;191;2
5;9;1;22;1
11;9;1;191;1
18;9;1;18;1
25;9;1;191;2
4;10;2;13;1
4;10;2;191;1
4;10;1;19;2
11;10;1;20;2
12;10;1;19;1
18;10;2;13;2
20;10;1;17;1
21;10;2;13;2
21;10;1;13;2
25;10;1;13;1
1;11;2;191;1
1;11;1;22;1
2;11;1;18;3
8;11;1;13;1
13;11;1;21;1
15;11;2;193;1
16;11;1;191;2
18;11;1;18;1
20;11;2;13;1
24;11;1;191;1
28;11;1;191;2
3;12;1;193;2
5;12;1;191;1
9;12;1;18;1
12;12;1;192;2
17;12;1;13;1
17;12;1;20;2
19;12;1;191;2
20;12;2;19;3
28;12;1;18;1
3;1;2;193;2
9;1;1;19;1
17;1;1;22;1
17;1;1;22;1
21;1;1;22;1
24;1;1;191;1
24;1;1;22;2
26;1;1;20;3
5;2;1;22;1
6;2;1;20;2
10;2;1;19;3
13;2;2;13;1
22;2;1;191;3
24;2;1;18;2
24;2;1;20;2
28;2;1;20;2
7;3;1;191;2
8;3;1;18;1
11;3;1;18;1
12;3;1;22;1
14;3;1;13;2
15;3;1;191;1
22;3;1;19;2
25;3;2;13;1
28;3;3;13;2
28;3;1;18;1
29;3;1;19;2
29;3;1;191;1
30;3;1;191;2
30;3;1;191;1
30;3;1;19;2
3;8;1;13;1
6;8;1;191;1
7;8;1;192;1
9;8;1;18;1
15;8;1;22;1
21;8;1;191;2
23;8;1;193;2
23;8;1;13;2
24;8;1;191;3
25;8;1;17;3
27;8;1;21;1
30;8;1;191;1
31;8;1;191;1
3;9;1;13;1
5;9;1;191;2
15;9;1;22;1
16;9;1;22;1
18;9;1;22;1
25;9;1;19;1
26;9;2;191;2
27;9;1;191;3
1;7;1;19;2
25;7;1;19;3
4;4;1;13;2
8;4;2;18;1
8;4;2;19;1
11;4;1;22;2
13;4;1;19;3
13;4;1;191;1
17;4;1;21;1
17;4;2;191;2
22;4;1;13;1
26;4;2;13;1
30;4;1;22;1
4;6;1;13;2
11;6;3;19;2
12;6;1;191;1
14;6;1;22;2
18;6;1;191;3
23;6;1;192;1
29;6;1;22;2
2;5;1;13;2
4;5;1;191;1
8;5;1;19;1
10;5;1;18;2
13;5;1;13;1
14;5;1;20;3
16;5;1;191;1
16;5;1;191;2
19;5;1;19;2
21;5;1;22;2
21;5;2;22;2
23;5;1;19;3
4;10;1;191;1
14;10;1;19;3
21;10;1;14;1
26;10;1;191;1
30;10;2;18;1
1;11;1;19;2
7;11;2;13;1
12;11;1;193;2
14;11;1;20;3
19;11;1;19;3
25;11;1;20;3
26;11;1;22;2
30;11;2;13;1
6;12;1;191;2
6;12;1;18;1
9;12;1;191;1
10;12;1;19;2
12;12;1;13;2
12;12;2;191;1
15;12;1;191;1
16;12;1;18;1
16;12;1;191;1
23;12;1;192;2
24;12;1;18;1
2;1;2;16;1
3;1;2;22;1
3;1;2;15;1
3;1;2;22;1
3;1;2;15;1
3;1;2;13;2
3;1;2;13;3
3;1;2;18;1
4;1;2;22;2
5;1;2;18;1
5;1;2;17;2
6;1;2;22;2
6;1;2;18;1
7;1;2;22;1
7;1;2;16;1
7;1;2;13;1
7;1;2;14;1
8;1;2;22;1
8;1;2;22;3
8;1;2;22;2
9;1;2;21;2
10;1;2;22;1
10;1;2;22;1
10;1;2;22;1
10;1;2;22;2
10;1;2;21;3
11;1;2;21;2
11;1;2;22;1
11;1;2;15;2
11;1;2;20;1
11;1;2;6;2
12;1;2;13;1
12;1;2;15;1
13;1;2;18;1
13;1;2;16;1
13;1;2;13;1
14;1;2;17;1
16;1;2;22;2
16;1;2;15;2
16;1;2;22;3
16;1;2;22;1
16;1;2;14;2
16;1;2;19;1
16;1;2;22;1
16;1;2;22;1
17;1;2;22;1
17;1;2;15;2
22;2;1;22;1
24;2;1;16;1
25;2;1;21;1
25;2;1;21;1
27;2;1;16;2
28;2;1;22;1
28;2;1;23;1
28;2;1;22;2
1;3;1;22;1
1;3;1;21;1
4;3;1;15;2
4;3;1;22;1
4;3;1;22;2
5;3;1;13;1
5;3;1;22;2
5;3;1;22;1
6;3;1;13;1
6;3;1;22;1
7;3;1;22;1
7;3;1;16;1
9;3;1;22;2
9;3;1;18;1
10;3;1;17;1
10;3;1;13;1
11;3;1;16;2
12;3;1;13;3
12;3;1;15;1
12;3;1;22;2
12;3;1;13;1
12;3;1;15;1
13;3;1;20;1
13;3;1;22;1
13;3;1;15;1
13;3;1;21;1
14;3;1;23;2
14;3;1;20;1
14;3;1;22;2
14;3;1;15;3
14;3;1;22;2
15;3;1;15;2
16;3;1;21;1
16;3;1;15;2
16;3;1;21;1
17;3;1;13;2
17;3;1;13;1
25;3;1;13;1
25;3;1;19;2
27;3;2;15;1
3;4;1;13;2
4;4;1;13;2
4;4;1;22;2
4;4;1;14;1
8;4;1;15;2
8;4;1;22;3
8;4;1;15;1
9;4;1;6;1
10;4;1;15;1
10;4;1;20;1
10;4;2;15;1
11;4;1;13;2
12;4;1;15;1
13;4;2;13;3
13;4;1;22;1
15;4;1;22;1
18;4;1;15;1
18;4;1;21;1
19;4;1;16;1
20;4;1;13;1
20;4;1;18;1
21;4;1;22;1
21;4;1;13;1
21;4;1;13;1
22;4;1;22;1
22;4;1;21;2
23;4;1;13;1
24;4;1;15;1
25;4;1;22;1
29;4;2;19;1
29;4;1;15;2
1;5;1;13;1
1;5;1;23;2
2;5;1;22;1
3;5;1;17;1
3;5;1;15;1
4;5;1;22;2
4;5;1;18;1
5;5;1;22;2
7;5;1;22;2
7;5;1;15;3
8;5;1;13;2
9;5;1;21;3
10;5;1;22;1
10;5;1;22;1
11;5;1;22;1
11;5;1;13;2
11;5;1;15;1
11;5;1;15;1
16;5;2;15;1
18;5;1;15;1
20;5;1;15;1
22;5;1;21;1
23;5;1;17;1
23;5;1;15;2
23;5;3;13;1
24;5;2;6;2
24;5;2;22;3
25;5;1;18;1
26;5;1;18;1
26;5;1;16;1
27;5;1;22;2
27;5;1;22;1
28;5;1;13;1
28;5;1;17;1
28;5;1;13;1
2;6;1;21;1
2;6;1;15;1
2;6;1;15;1
2;6;1;16;1
3;6;1;21;3
3;6;1;21;1
4;6;1;22;3
6;6;2;15;1
6;6;1;15;1
7;6;1;18;1
8;6;1;13;1
8;6;1;22;1
9;6;1;16;1
10;6;1;22;1
10;6;2;22;1
10;6;1;22;1
11;6;2;13;1
12;6;1;20;1
14;6;2;22;1
15;6;1;15;1
15;6;1;21;2
15;6;1;21;2
15;6;1;18;1
16;6;1;15;1
16;6;1;18;2
17;6;2;15;1
19;6;1;13;3
21;6;1;22;1
21;6;1;21;1
21;6;1;21;2
22;6;1;21;1
22;6;1;15;1
24;6;1;22;1
28;6;1;21;1
28;6;1;15;2
29;6;1;14;1
5;7;1;13;1
5;7;1;19;1
6;7;1;21;1
7;7;1;15;2
7;7;1;15;3
9;7;1;13;1
9;7;1;13;1
9;7;1;15;1
9;7;1;15;1
9;7;1;52;1
10;7;1;15;1
12;7;1;15;1
12;7;1;21;1
17;7;2;13;1
17;7;1;22;1
21;7;1;22;1
21;7;1;22;1
22;7;1;13;3
23;7;1;196;1
23;7;2;13;2
23;7;1;15;1
30;7;1;21;1
30;7;2;15;1
30;7;1;21;2
1;8;1;21;1
1;8;1;22;1
2;8;1;13;1
2;8;1;22;2
2;8;1;15;1
6;8;1;22;2
10;8;1;18;1
11;8;1;15;1
11;8;1;18;3
11;8;1;22;1
13;8;1;18;1
16;8;1;13;3
17;8;1;15;1
18;8;2;13;1
18;8;1;13;1
19;8;1;18;1
19;8;1;15;1
19;8;2;192;2
20;8;1;18;2
25;8;1;192;1
28;8;1;22;1
29;8;1;22;1
30;8;3;22;1
31;8;1;15;1
31;8;2;22;3
2;9;1;200;1
3;9;1;22;2
5;9;1;22;1
6;9;1;13;1
8;9;1;22;1
10;9;2;13;1
11;9;1;15;1
12;9;1;192;1
12;9;1;22;1
17;9;1;17;1
17;9;1;22;2
17;9;1;15;1
17;9;2;15;1
19;9;1;21;3
20;9;1;13;1
22;9;1;17;2
23;9;1;22;2
26;9;2;13;2
28;9;1;22;2
28;9;2;18;1
30;9;1;22;1
30;9;1;17;1
30;9;1;13;1
1;10;1;6;2
2;10;1;139;1
2;10;3;22;2
5;10;1;18;3
7;10;1;19;1
7;10;1;22;1
7;10;2;202;1
8;10;1;199;1
8;10;1;6;1
8;10;2;139;1
13;10;1;13;1
16;10;1;18;2
16;10;3;22;1
17;10;1;20;1
18;10;1;22;1
18;10;1;203;1
20;10;1;139;1
21;10;2;139;2
23;10;1;139;2
26;10;3;19;1
26;10;2;13;1
3;11;1;20;2
6;11;4;13;1
12;11;1;39;1
13;11;2;199;1
15;11;1;22;2
17;11;2;19;1
17;11;2;18;1
17;11;2;13;1
20;11;3;21;1
20;11;1;204;1
20;11;1;15;3
21;11;1;22;1
22;11;3;15;2
23;11;1;13;2
23;11;2;205;1
30;11;1;33;1
2;12;1;0;1
8;12;2;0;1
8;12;2;13;1
8;12;3;0;1
14;12;1;18;1
14;12;3;0;1
17;12;2;10;1
17;12;2;209;2
17;12;2;13;1
25;12;2;208;2
25;12;3;207;1
30;12;1;18;1
30;12;2;211;1
30;12;1;211;1
31;12;3;18;1
1;1;1;76;2
2;1;1;13;3
2;1;1;13;2
2;1;2;13;1
3;1;1;76;2
6;1;1;13;2
7;1;2;139;1
8;1;2;76;1
11;1;2;14;1
12;1;2;21;1
13;1;3;139;1
15;1;1;22;2
15;1;2;22;2
16;1;1;22;2
16;1;1;139;1
17;1;4;22;1
22;1;1;76;1
24;1;1;139;3
25;1;1;76;1
26;1;4;39;2
28;1;1;13;1
28;1;4;13;2
29;1;2;199;2
30;1;2;13;1
30;1;1;139;3
31;1;2;10;1
31;1;2;202;1
