dia;mes;qt_acidentes;id_acidente_tip;id_risco
3;9;1;166;1
10;9;1;18;1
12;9;1;55;1
16;9;1;18;1
17;9;1;50;2
17;9;1;55;1
18;9;1;18;1
21;9;1;29;1
21;9;1;35;1
28;9;1;165;1
29;9;1;36;1
1;10;1;18;2
1;10;1;18;2
2;10;1;13;1
2;10;1;80;1
3;10;1;55;1
5;10;2;13;1
7;10;2;13;1
8;10;1;18;1
8;10;2;13;1
11;10;1;165;1
12;10;1;30;2
13;10;1;18;1
13;10;1;21;1
17;10;1;64;3
18;10;1;13;1
19;10;1;18;1
20;10;2;13;1
22;10;1;6;1
23;10;2;6;1
27;10;1;18;1
28;10;1;13;1
29;10;4;55;1
31;10;1;13;3
4;11;1;13;1
6;11;1;163;1
9;11;1;13;2
14;11;1;58;1
14;11;1;55;1
14;11;1;13;2
16;11;1;13;1
16;11;2;13;1
17;11;1;21;1
19;11;1;163;1
20;11;1;163;1
22;11;1;19;1
25;11;1;58;2
26;11;2;30;1
26;11;1;18;1
27;11;1;58;1
27;11;2;11;1
28;11;1;21;1
28;11;1;58;1
5;12;1;47;1
6;12;1;6;1
6;12;1;6;1
7;12;1;166;1
11;12;1;13;1
17;12;1;18;1
17;12;1;13;1
17;12;1;11;1
20;12;1;6;1
23;12;1;58;1
27;12;1;13;1
4;1;1;11;1
8;1;1;35;1
17;1;1;18;1
22;1;1;6;2
22;1;1;13;1
24;1;2;48;1
31;1;1;6;1
3;2;1;166;1
3;2;2;13;1
6;2;1;30;2
8;2;2;13;2
8;2;1;18;1
12;2;1;13;1
12;2;1;13;1
13;2;1;55;1
18;2;1;13;1
19;2;1;49;1
19;2;1;13;1
19;2;2;13;1
20;2;2;30;1
22;2;1;18;1
22;2;1;18;1
23;2;1;58;1
23;2;1;18;1
25;2;1;163;1
26;2;1;18;1
28;2;2;13;2
2;3;1;18;1
2;3;1;58;1
3;3;1;165;1
4;3;1;13;1
8;3;1;49;3
12;3;1;165;1
12;3;1;13;2
12;3;1;170;1
14;3;1;35;1
14;3;2;13;1
16;3;1;165;1
17;3;2;55;1
17;3;1;163;1
17;3;1;30;1
18;3;1;163;1
22;3;1;18;1
23;3;1;6;1
24;3;1;163;1
25;3;2;13;1
25;3;1;30;1
25;3;1;13;1
27;3;1;18;1
1;4;1;13;1
3;4;1;30;2
4;4;1;55;2
6;4;1;163;1
6;4;1;18;1
10;4;1;49;1
12;4;1;36;1
13;4;1;18;1
17;4;1;13;1
18;4;1;58;2
22;4;1;21;1
23;4;1;55;1
26;4;1;21;1
27;4;1;11;1
29;4;1;13;3
30;4;1;55;1
2;5;1;18;2
5;5;2;13;1
7;5;1;18;1
8;5;1;13;1
9;5;1;18;1
9;5;1;55;1
9;5;1;13;2
13;5;1;18;1
13;5;1;55;1
14;5;1;30;2
14;5;1;6;1
16;5;1;30;1
17;5;1;18;1
18;5;1;18;1
20;5;2;55;1
24;5;2;30;1
26;5;1;165;1
26;5;1;55;1
30;5;1;36;2
1;6;1;18;2
2;6;1;165;1
10;6;1;18;2
11;6;1;36;1
16;6;1;13;1
