dia;mes;qt_acidentes;id_acidente_tip;id_risco
11;10;1;54;1
14;10;1;57;1
14;10;1;18;1
16;10;1;59;1
20;10;1;54;1
22;10;1;54;1
22;10;1;63;1
22;10;1;18;2
22;10;1;18;1
23;10;1;18;1
24;10;1;18;1
25;10;1;18;1
26;10;3;59;3
29;10;3;54;1
30;10;1;18;1
2;11;1;57;1
6;11;1;6;1
8;11;1;18;1
8;11;1;54;2
8;11;1;57;1
10;11;1;54;1
10;11;1;18;1
12;11;1;58;3
14;11;1;54;1
16;11;1;54;1
17;11;1;56;1
18;11;1;56;1
18;11;1;55;1
19;11;1;63;1
19;11;1;57;1
22;11;1;59;1
22;11;1;56;1
23;11;2;54;1
25;11;2;55;1
25;11;1;57;1
25;11;1;56;1
25;11;1;54;1
25;11;1;18;1
28;11;1;55;1
29;11;1;59;3
29;11;1;58;1
1;12;1;22;1
1;12;3;246;1
1;12;1;247;1
1;12;1;248;1
2;12;1;6;1
3;12;1;6;1
3;12;1;248;1
3;12;2;63;1
4;12;1;249;2
4;12;1;11;1
6;12;1;6;2
6;12;2;22;1
8;12;1;63;1
8;12;1;22;1
8;12;2;245;1
8;12;2;248;1
9;12;1;245;1
9;12;1;248;1
11;12;2;18;1
11;12;1;6;1
13;12;1;18;2
13;12;1;245;1
13;12;1;250;2
14;12;1;22;1
14;12;2;6;1
14;12;1;22;1
15;12;1;11;1
15;12;3;6;1
15;12;1;6;1
15;12;1;248;1
16;12;2;248;1
16;12;1;18;1
17;12;1;245;1
17;12;1;247;1
17;12;2;22;1
18;12;1;245;1
18;12;1;247;1
18;12;1;246;1
19;12;1;250;1
19;12;1;11;1
20;12;1;248;1
20;12;1;18;1
20;12;1;18;1
20;12;1;247;1
20;12;1;248;1
20;12;1;245;1
20;12;1;11;1
20;12;1;22;1
21;12;1;250;1
21;12;1;22;1
21;12;1;250;1
22;12;1;11;2
22;12;1;249;2
23;12;1;18;1
26;12;1;63;1
27;12;1;6;2
28;12;1;33;1
28;12;1;245;1
30;12;1;247;1
30;12;1;248;1
1;1;1;57;1
3;1;1;54;1
3;1;1;56;1
4;1;1;248;1
4;1;1;249;3
5;1;2;54;1
7;1;1;55;1
7;1;1;56;1
8;1;1;54;1
8;1;1;56;1
9;1;1;63;1
9;1;1;54;1
10;1;1;59;2
11;1;2;56;1
11;1;1;55;1
12;1;1;55;1
12;1;1;54;1
12;1;1;18;1
13;1;2;54;1
13;1;1;54;1
13;1;1;54;1
13;1;1;55;1
14;1;1;54;1
14;1;1;18;1
14;1;1;54;1
14;1;1;57;1
14;1;1;57;1
14;1;1;11;1
15;1;3;58;3
15;1;2;54;1
16;1;3;11;2
16;1;1;249;3
16;1;2;55;1
16;1;1;18;1
17;1;1;54;1
18;1;1;245;1
18;1;1;59;2
18;1;1;6;1
19;1;1;55;3
20;1;1;56;1
20;1;1;57;1
21;1;1;55;1
21;1;1;11;1
21;1;1;248;1
22;1;1;55;1
23;1;1;55;1
23;1;2;54;1
23;1;1;18;1
23;1;1;18;1
23;1;1;63;1
25;1;1;6;1
25;1;1;54;1
25;1;1;59;1
25;1;1;54;2
26;1;1;22;1
26;1;2;54;1
26;1;1;57;1
26;1;2;56;2
27;1;1;6;2
27;1;1;58;1
28;1;2;57;1
29;1;1;18;1
30;1;1;54;1
30;1;1;55;1
31;1;1;55;1
1;2;2;6;2
1;2;1;54;1
2;2;1;58;1
2;2;1;55;2
3;2;2;54;1
4;2;1;54;1
5;2;2;54;1
5;2;1;54;1
6;2;1;57;1
6;2;1;56;1
6;2;1;18;1
6;2;2;58;3
7;2;1;55;1
7;2;2;55;1
8;2;2;57;2
8;2;1;6;1
9;2;1;18;1
9;2;1;18;1
10;2;1;54;1
10;2;1;58;3
10;2;1;56;1
10;2;3;54;1
11;2;1;57;1
12;2;1;55;1
14;2;2;54;1
15;2;1;18;1
16;2;1;57;1
16;2;1;18;1
17;2;1;63;1
18;2;1;56;1
18;2;1;57;1
19;2;1;58;2
19;2;1;55;1
20;2;1;59;2
21;2;1;55;1
22;2;1;57;1
23;2;1;57;1
24;2;1;57;1
24;2;1;64;1
25;2;3;54;2
26;2;1;55;1
28;2;1;58;1
2;3;1;55;1
2;3;1;54;1
3;3;2;55;3
3;3;1;57;1
3;3;1;55;1
4;3;1;18;1
4;3;1;57;1
4;3;1;55;1
5;3;1;57;1
5;3;1;18;1
5;3;1;55;1
5;3;1;55;1
6;3;1;57;1
6;3;1;57;1
6;3;1;54;1
6;3;1;55;1
9;3;1;57;1
9;3;1;55;1
9;3;1;18;1
10;3;1;54;1
11;3;2;58;1
13;3;1;59;1
13;3;1;57;1
14;3;1;55;1
14;3;1;63;1
15;3;1;18;1
15;3;1;55;1
15;3;3;18;1
15;3;1;244;1
16;3;1;244;2
16;3;1;18;1
17;3;1;57;1
17;3;1;54;1
18;3;1;63;1
18;3;2;54;1
18;3;1;55;1
18;3;1;18;2
19;3;1;57;1
19;3;1;56;1
20;3;1;56;1
20;3;1;58;2
21;3;1;55;1
21;3;1;54;1
21;3;2;54;1
21;3;1;54;1
22;3;1;18;1
23;3;1;55;1
26;3;1;58;1
26;3;1;59;1
26;3;1;54;1
27;3;1;54;1
28;3;2;55;1
28;3;1;57;1
28;3;2;11;1
28;3;2;55;1
29;3;1;18;1
29;3;1;58;1
30;3;1;18;1
31;3;1;58;2
1;4;1;59;2
2;4;1;55;1
2;4;2;55;1
4;4;2;54;1
6;4;1;18;1
7;4;1;57;1
7;4;1;18;1
7;4;1;57;1
9;4;1;244;3
10;4;1;55;1
10;4;1;55;1
11;4;1;57;2
12;4;1;63;1
14;4;1;54;1
14;4;1;55;1
15;4;1;57;1
15;4;2;55;1
15;4;1;55;1
16;4;2;54;1
16;4;2;56;2
17;4;1;33;1
17;4;2;11;1
17;4;1;57;2
17;4;2;55;1
20;4;1;18;1
20;4;1;57;1
21;4;1;11;2
21;4;1;18;1
22;4;1;18;1
23;4;1;57;1
23;4;2;56;1
26;4;1;54;1
27;4;1;63;1
29;4;1;18;1
30;4;1;18;1
30;4;1;18;1
1;5;1;55;1
2;5;1;18;1
2;5;1;18;1
3;5;1;18;1
4;5;1;18;1
4;5;2;54;1
6;5;1;63;1
6;5;1;59;2
7;5;1;18;1
7;5;1;18;1
7;5;1;63;1
8;5;2;11;1
8;5;1;54;1
9;5;1;18;1
9;5;1;54;1
10;5;1;59;1
10;5;1;57;1
12;5;1;54;1
12;5;1;55;1
14;5;1;55;1
16;5;1;57;1
16;5;1;18;1
17;5;2;59;1
17;5;2;55;1
18;5;1;64;3
20;5;2;54;1
20;5;1;55;1
20;5;1;55;1
21;5;1;57;1
21;5;1;59;3
22;5;2;54;1
23;5;1;18;1
23;5;2;56;1
23;5;2;54;1
24;5;1;55;1
25;5;1;55;2
25;5;1;18;1
27;5;1;54;1
27;5;1;54;1
28;5;1;18;1
29;5;2;56;1
29;5;1;54;1
29;5;2;55;1
29;5;1;55;1
30;5;1;55;1
30;5;1;55;1
30;5;1;18;2
30;5;1;11;1
30;5;1;18;1
30;5;1;18;1
31;5;1;57;1
31;5;1;54;1
1;6;1;64;2
1;6;1;33;2
1;6;1;55;1
2;6;1;6;2
2;6;1;55;1
2;6;1;54;2
2;6;1;18;2
3;6;2;54;1
4;6;1;18;1
4;6;1;59;2
4;6;1;54;1
5;6;1;55;1
5;6;1;55;2
6;6;1;54;1
7;6;1;18;1
7;6;2;54;1
8;6;1;18;1
9;6;1;18;1
10;6;2;55;1
10;6;1;55;1
11;6;1;54;1
11;6;1;11;1
11;6;1;18;1
12;6;1;18;1
13;6;1;54;1
14;6;1;59;2
14;6;1;55;3
15;6;2;54;1
15;6;2;55;2
15;6;1;54;1
16;6;2;54;1
18;6;3;11;1
19;6;1;55;1
19;6;2;55;1
20;6;1;18;1
21;6;1;54;1
21;6;1;11;1
22;6;1;63;1
23;6;1;64;2
24;6;1;56;1
24;6;1;11;1
24;6;1;57;1
25;6;1;55;1
25;6;1;18;1
25;6;1;55;1
26;6;1;54;2
26;6;1;55;1
26;6;2;11;1
26;6;1;18;1
27;6;2;54;1
29;6;1;54;1
29;6;1;54;1
29;6;1;58;2
30;6;1;11;1
30;6;1;54;1
3;7;1;56;1
3;7;2;55;1
3;7;1;18;2
4;7;1;56;1
4;7;1;56;1
5;7;1;18;1
5;7;2;11;1
6;7;1;65;3
8;7;2;11;1
8;7;1;56;3
8;7;1;56;1
9;7;1;18;1
9;7;1;56;1
10;7;2;11;1
10;7;2;56;2
10;7;1;18;2
12;7;1;55;2
12;7;1;56;1
12;7;1;55;1
12;7;1;56;1
13;7;2;55;1
14;7;2;56;1
14;7;1;18;1
14;7;1;56;2
15;7;2;55;1
16;7;1;56;1
16;7;1;56;1
17;7;1;57;1
18;7;2;56;1
19;7;2;56;1
19;7;1;56;1
19;7;3;55;1
19;7;1;59;3
20;7;1;18;1
20;7;1;63;1
21;7;2;56;1
21;7;1;18;2
21;7;1;55;1
22;7;1;18;1
22;7;1;56;2
22;7;1;6;2
23;7;1;63;1
23;7;1;56;1
24;7;1;55;1
25;7;2;56;1
27;7;1;55;1
28;7;1;11;1
28;7;2;56;1
28;7;2;55;1
29;7;1;18;1
29;7;1;56;1
29;7;1;55;1
29;7;2;56;1
30;7;2;11;1
30;7;1;64;2
30;7;1;59;3
30;7;1;63;1
31;7;1;55;2
31;7;1;18;1
1;8;1;57;1
1;8;1;18;1
3;8;1;54;1
3;8;1;57;1
3;8;1;55;1
4;8;1;18;2
4;8;1;54;1
5;8;1;18;1
6;8;1;55;1
7;8;1;55;1
7;8;1;11;1
8;8;1;56;2
8;8;1;63;1
9;8;1;6;2
9;8;1;6;3
9;8;1;63;1
10;8;1;54;1
10;8;1;18;1
11;8;2;54;1
11;8;3;11;3
11;8;1;18;1
11;8;1;11;1
11;8;1;18;1
12;8;2;54;1
12;8;2;11;1
12;8;1;18;1
13;8;1;18;1
13;8;2;55;1
14;8;1;55;1
15;8;1;54;1
15;8;1;55;1
16;8;1;57;1
17;8;1;55;1
18;8;1;11;1
18;8;1;18;1
19;8;1;57;1
19;8;1;55;1
19;8;1;54;1
20;8;2;58;1
21;8;1;6;2
22;8;1;18;1
22;8;2;54;1
22;8;1;54;1
22;8;1;57;1
22;8;1;63;1
23;8;1;55;1
23;8;1;55;1
24;8;1;55;2
24;8;2;18;1
25;8;1;64;3
25;8;1;54;1
26;8;1;18;1
27;8;1;6;1
27;8;1;58;3
27;8;1;55;1
27;8;2;55;1
28;8;1;6;2
28;8;1;58;1
28;8;2;54;2
28;8;1;54;2
28;8;1;18;1
30;8;1;18;1
30;8;2;54;1
31;8;2;54;1
1;9;1;18;2
2;9;1;18;1
2;9;2;55;1
2;9;2;11;1
4;9;1;55;1
5;9;2;11;2
5;9;1;55;2
8;9;1;6;1
8;9;1;18;1
8;9;1;18;1
8;9;1;18;1
8;9;1;18;1
9;9;1;54;1
11;9;1;6;1
12;9;1;55;2
12;9;1;57;1
13;9;1;55;1
13;9;1;33;1
13;9;1;64;3
14;9;1;6;2
15;9;1;57;1
16;9;1;54;1
16;9;3;54;1
18;9;1;56;1
18;9;1;57;1
19;9;1;54;1
19;9;1;59;2
23;9;1;64;2
24;9;1;57;1
24;9;1;6;2
25;9;1;57;1
25;9;1;54;2
26;9;1;57;1
26;9;1;18;1
26;9;1;58;3
26;9;1;58;3
