dia;mes;qt_acidentes;id_acidente_tip;id_risco
1;1;1;5;1
2;1;1;10;1
2;1;1;4;1
3;1;1;4;1
4;1;1;4;1
4;1;1;4;1
4;1;1;4;1
4;1;1;6;2
4;1;1;4;1
4;1;1;18;1
5;1;2;4;1
5;1;2;4;1
5;1;1;126;2
5;1;1;5;1
5;1;1;5;1
5;1;1;4;1
5;1;1;4;1
6;1;1;11;1
6;1;1;126;2
6;1;2;5;1
6;1;1;4;1
6;1;1;4;1
6;1;2;5;1
6;1;1;18;1
6;1;1;5;1
6;1;2;11;2
6;1;1;4;1
6;1;2;4;1
7;1;1;113;1
7;1;1;4;1
7;1;1;4;1
7;1;1;126;1
7;1;2;5;1
7;1;1;4;3
7;1;1;11;1
8;1;1;127;1
8;1;1;5;1
8;1;1;5;1
8;1;1;11;1
8;1;1;4;2
8;1;1;4;1
8;1;1;4;1
8;1;1;5;1
8;1;1;12;1
8;1;3;4;1
8;1;2;4;1
8;1;1;33;1
8;1;1;4;1
8;1;1;126;1
8;1;2;5;1
9;1;1;5;1
9;1;1;4;1
9;1;1;4;1
9;1;1;11;1
9;1;1;4;1
9;1;2;4;1
9;1;2;11;1
10;1;1;4;1
10;1;1;5;1
10;1;1;5;1
10;1;1;113;1
10;1;1;11;2
11;1;1;4;1
11;1;2;4;1
11;1;2;4;1
11;1;1;18;1
11;1;1;18;1
11;1;1;5;1
11;1;1;9;3
11;1;1;126;1
12;1;2;4;1
12;1;2;4;1
12;1;2;4;1
12;1;1;126;1
12;1;2;4;1
12;1;1;6;1
12;1;2;11;1
12;1;3;10;1
12;1;1;4;1
12;1;1;11;1
12;1;1;18;1
12;1;3;11;1
12;1;1;5;1
12;1;2;4;1
12;1;1;11;1
13;1;3;11;1
13;1;1;127;2
13;1;1;5;1
13;1;1;126;1
13;1;1;113;1
13;1;1;12;1
13;1;1;5;2
13;1;1;113;1
13;1;1;126;1
13;1;1;4;1
13;1;2;4;1
14;1;1;4;2
14;1;2;113;1
14;1;1;33;1
14;1;1;252;1
