dia;mes;qt_acidentes;id_acidente_tip;id_risco
6;1;1;259;1
6;1;1;18;1
6;1;1;13;1
7;1;2;13;2
12;1;1;24;1
13;1;1;19;3
14;1;1;13;1
14;1;1;13;1
16;1;1;18;1
18;1;1;22;1
19;1;1;22;1
21;1;2;24;1
22;1;1;13;1
23;1;2;24;1
24;1;1;24;2
27;1;1;22;1
27;1;1;18;1
28;1;1;259;1
29;1;1;18;1
29;1;1;13;1
30;1;1;6;2
30;1;1;30;2
31;1;1;24;1
31;1;1;22;1
31;1;1;13;1
31;1;1;24;1
31;1;1;13;1
9;2;2;13;1
10;2;1;22;1
22;2;1;22;1
22;2;1;30;1
23;2;1;13;1
25;2;1;259;1
26;2;1;18;1
26;2;1;24;1
27;2;1;13;1
28;2;1;24;1
1;3;1;22;1
2;3;2;13;1
5;3;1;13;1
6;3;1;13;1
8;3;1;13;1
9;3;1;0;2
14;3;1;24;1
14;3;1;13;1
15;3;1;24;1
18;3;1;24;2
18;3;1;30;1
19;3;1;13;1
19;3;2;24;1
19;3;2;19;3
21;3;1;24;1
21;3;1;30;1
25;3;1;24;1
25;3;1;259;1
29;3;1;21;1
29;3;1;21;1
31;3;1;259;1
1;4;1;259;1
4;4;1;13;1
6;4;1;33;1
7;4;1;13;1
8;4;1;24;1
10;4;1;264;1
10;4;1;24;1
11;4;1;30;2
13;4;1;30;1
13;4;1;13;1
14;4;1;13;1
14;4;1;24;1
15;4;1;13;1
15;4;2;24;1
16;4;1;18;1
17;4;1;13;1
17;4;1;24;2
22;4;1;30;1
22;4;1;13;1
23;4;1;263;1
23;4;1;13;1
23;4;1;18;1
23;4;1;24;1
24;4;1;24;1
25;4;1;13;1
25;4;2;13;1
26;4;1;13;1
27;4;1;263;2
27;4;1;18;1
29;4;1;18;1
30;4;1;13;1
3;5;1;18;1
5;5;1;18;1
6;5;1;21;1
6;5;2;13;1
12;5;2;263;1
13;5;1;13;1
13;5;1;18;1
16;5;1;22;1
18;5;1;13;1
20;5;3;24;3
22;5;1;24;1
22;5;1;30;1
23;5;2;24;1
26;5;1;19;3
26;5;1;30;3
27;5;1;24;1
27;5;1;13;1
28;5;1;13;1
28;5;2;13;1
28;5;1;0;1
30;5;1;13;1
30;5;3;11;1
31;5;1;13;1
31;5;1;24;1
1;6;1;22;1
1;6;1;265;1
4;6;1;30;1
4;6;1;13;1
8;6;1;265;1
9;6;1;18;1
11;6;1;13;1
12;6;1;30;1
12;6;1;24;1
12;6;1;30;1
15;6;1;259;1
15;6;1;30;1
16;6;1;18;1
18;6;1;18;1
18;6;1;13;1
20;6;2;24;1
24;6;1;30;1
25;6;1;18;1
28;6;2;13;1
29;6;1;24;1
2;7;1;24;1
2;7;1;19;2
3;7;1;14;1
4;7;1;19;3
7;7;1;13;1
7;7;1;22;1
8;7;1;13;1
9;7;1;13;1
12;7;1;13;1
13;7;3;24;1
15;7;1;263;1
17;7;1;24;1
17;7;1;22;1
18;7;1;13;1
18;7;1;22;1
20;7;1;14;1
20;7;1;13;1
21;7;1;30;1
23;7;1;13;1
25;7;1;30;1
26;7;1;30;1
27;7;1;24;2
29;7;1;30;1
30;7;1;263;1
30;7;1;22;1
30;7;1;18;1
31;7;2;13;1
1;8;1;24;1
2;8;1;24;1
3;8;1;30;2
4;8;1;18;1
5;8;1;13;1
6;8;1;13;1
9;8;1;22;2
10;8;1;22;1
11;8;1;13;2
12;8;1;24;1
13;8;1;24;1
18;8;1;19;3
19;8;1;30;1
22;8;1;30;1
23;8;2;24;1
23;8;1;4;1
23;8;2;24;1
24;8;1;13;1
27;8;2;13;1
29;8;1;24;2
31;8;2;13;1
31;8;1;24;1
31;8;1;4;1
31;8;1;18;1
1;9;1;18;1
2;9;1;13;1
4;9;1;30;1
5;9;1;0;1
5;9;1;24;1
5;9;1;30;1
7;9;1;6;2
9;9;1;30;1
11;9;1;24;1
12;9;1;22;1
13;9;1;30;2
13;9;2;24;1
16;9;1;13;1
16;9;1;24;1
16;9;1;33;1
20;9;1;24;2
21;9;1;13;1
22;9;1;24;1
23;9;1;13;1
30;9;1;22;1
30;9;2;24;1
1;10;1;13;1
2;10;1;263;1
2;10;1;6;1
2;10;1;22;1
2;10;1;24;1
4;10;1;14;1
5;10;2;24;1
7;10;1;14;1
7;10;1;13;1
9;10;1;24;2
11;10;1;13;1
13;10;1;22;1
14;10;1;24;1
15;10;2;13;1
17;10;1;13;1
17;10;1;19;3
17;10;2;19;3
19;10;1;22;1
21;10;1;13;1
22;10;1;30;1
22;10;1;24;1
25;10;2;18;3
26;10;2;13;1
27;10;2;13;2
27;10;2;24;1
29;10;1;13;1
30;10;1;18;1
31;10;1;22;1
31;10;1;22;1
2;11;1;24;1
2;11;1;30;3
3;11;2;24;1
4;11;1;24;1
8;11;1;30;3
9;11;1;19;3
9;11;1;24;3
9;11;1;22;1
9;11;1;22;1
12;11;1;24;2
15;11;2;13;1
17;11;1;30;1
17;11;2;30;1
17;11;1;18;1
19;11;1;19;3
19;11;1;13;1
19;11;1;24;1
19;11;1;266;1
19;11;1;30;1
20;11;1;30;1
21;11;2;24;1
22;11;1;22;1
23;11;1;30;3
24;11;1;18;1
26;11;1;24;2
26;11;1;30;1
28;11;1;13;1
29;11;1;24;1
30;11;2;13;1
1;12;2;13;1
2;12;1;30;1
2;12;1;13;1
8;12;1;13;1
9;12;1;13;1
12;12;1;33;1
13;12;2;30;1
15;12;2;13;1
15;12;1;24;1
17;12;2;24;1
18;12;1;22;1
19;12;1;13;2
21;12;2;13;1
22;12;2;24;1
24;12;1;22;1
24;12;1;22;1
30;12;1;18;1
2;2;1;30;1
2;2;1;0;3
3;2;1;24;1
4;2;2;13;1
4;2;2;13;1
5;2;1;30;1
6;2;2;13;1
6;2;1;13;1
6;2;1;30;1
8;2;1;30;2
9;2;1;13;1
10;2;2;13;1
12;2;2;13;1
12;2;2;13;1
12;2;1;30;1
13;2;2;24;1
13;2;1;22;1
14;2;1;30;1
14;2;1;13;1
15;2;1;6;1
15;2;1;22;1
20;2;1;24;2
21;2;1;22;1
21;2;1;0;3
22;2;1;24;1
24;2;1;24;1
26;2;1;24;1
1;3;1;19;2
3;3;1;24;1
4;3;1;22;1
4;3;1;22;1
10;3;1;30;1
10;3;1;13;1
14;3;1;30;1
17;3;2;13;1
17;3;1;13;1
21;3;1;30;1
21;3;2;24;1
22;3;1;18;1
23;3;1;30;1
25;3;1;6;1
26;3;1;30;1
26;3;1;13;1
26;3;1;21;1
27;3;3;13;1
27;3;1;22;1
27;3;1;18;1
29;3;2;13;1
5;4;1;30;1
6;4;1;22;1
6;4;1;13;1
7;4;1;30;3
11;4;1;30;2
11;4;1;13;1
12;4;1;22;1
16;4;1;24;1
16;4;1;24;1
17;4;1;24;1
17;4;1;21;1
20;4;1;24;1
23;4;1;30;1
26;4;2;13;1
26;4;1;13;1
28;4;1;13;1
28;4;2;30;1
28;4;2;13;1
29;4;1;13;1
2;5;1;13;1
2;5;1;30;1
4;5;1;13;1
5;5;1;18;2
5;5;1;14;1
8;5;2;13;1
8;5;2;24;1
8;5;1;13;1
9;5;1;18;1
12;5;1;19;3
12;5;1;18;1
14;5;1;267;1
17;5;2;13;1
17;5;1;30;1
20;5;1;30;1
21;5;1;19;1
22;5;1;13;1
23;5;2;13;1
24;5;1;268;1
24;5;1;30;1
25;5;1;13;1
26;5;1;30;1
27;5;1;24;1
27;5;1;30;1
29;5;1;13;1
29;5;1;24;2
30;5;1;14;1
4;6;1;30;1
4;6;1;24;1
5;6;1;24;1
7;6;1;30;3
7;6;1;13;1
8;6;1;13;1
9;6;1;18;1
9;6;1;13;1
10;6;2;11;1
11;6;1;30;2
11;6;1;18;2
14;6;1;22;1
15;6;1;11;1
15;6;1;24;1
