dia;mes;qt_acidentes;id_acidente_tip;id_risco
3;1;1;6;1
4;1;1;6;1
9;1;1;7;1
9;1;1;7;1
9;1;1;6;1
15;1;1;3;1
16;1;1;6;1
24;1;1;4;1
25;1;1;4;1
25;1;1;2;1
27;1;1;2;1
1;2;2;13;1
1;2;2;14;1
4;2;4;15;1
5;2;1;6;3
5;2;1;17;2
5;2;2;13;1
7;2;1;13;1
9;2;1;16;1
10;2;1;6;1
10;2;1;14;1
13;2;2;17;1
14;2;1;20;3
14;2;1;13;1
15;2;1;13;1
19;2;1;16;1
20;2;1;13;1
22;2;2;13;1
24;2;1;18;1
24;2;1;23;1
25;2;1;18;1
25;2;1;13;1
26;2;1;13;2
27;2;1;21;1
1;3;2;13;1
1;3;1;22;1
2;3;1;13;1
2;3;1;22;1
2;3;2;11;1
3;3;2;16;1
3;3;1;13;1
5;3;2;16;1
7;3;1;22;1
7;3;1;13;1
7;3;1;15;1
9;3;1;20;2
12;3;2;13;1
13;3;2;15;1
14;3;1;16;1
14;3;1;16;1
15;3;1;17;2
16;3;1;23;2
16;3;2;23;1
16;3;1;22;1
18;3;1;21;1
18;3;1;15;1
19;3;1;15;1
20;3;1;16;1
21;3;1;23;1
21;3;1;18;1
22;3;1;17;1
23;3;1;18;2
23;3;1;15;1
26;3;2;13;1
27;3;1;14;1
27;3;1;22;1
27;3;1;13;1
29;3;2;4;1
29;3;1;5;2
30;3;1;7;2
30;3;1;12;1
31;3;2;7;2
1;4;1;18;2
1;4;1;19;1
3;4;2;13;1
4;4;1;23;2
4;4;1;22;1
5;4;2;13;1
5;4;1;13;1
5;4;1;13;1
7;4;1;15;1
8;4;1;13;1
8;4;1;11;1
10;4;2;19;1
10;4;1;15;2
11;4;3;22;1
13;4;1;13;1
14;4;2;20;1
14;4;1;22;1
15;4;2;18;2
16;4;2;13;1
18;4;1;18;1
20;4;1;19;2
20;4;2;23;1
21;4;1;18;1
21;4;2;15;3
22;4;1;22;3
22;4;2;11;1
27;4;1;20;3
