dia;mes;qt_acidentes;id_acidente_tip;id_risco
22;10;1;273;1
22;10;1;4;1
22;10;1;4;1
22;10;1;4;1
23;10;1;4;1
23;10;1;119;1
24;10;1;119;2
24;10;3;4;2
24;10;2;117;1
25;10;2;4;1
25;10;1;33;1
25;10;1;118;2
25;10;1;119;1
25;10;1;6;1
26;10;2;119;2
26;10;1;33;1
26;10;2;33;1
26;10;1;126;1
26;10;2;117;1
27;10;1;4;1
27;10;1;119;1
27;10;1;4;1
27;10;1;6;1
27;10;1;117;1
27;10;1;117;1
28;10;1;127;1
28;10;1;4;2
28;10;1;273;1
29;10;1;4;1
29;10;1;4;1
30;10;1;33;2
30;10;1;33;1
30;10;1;7;2
30;10;1;119;1
30;10;1;117;1
30;10;1;119;1
30;10;1;33;1
30;10;1;33;1
31;10;1;33;1
31;10;2;4;2
31;10;1;119;1
31;10;1;4;1
31;10;1;117;1
31;10;1;4;1
31;10;1;4;1
31;10;1;119;1
1;11;1;6;2
1;11;2;4;2
2;11;1;33;1
3;11;1;33;1
3;11;1;4;1
3;11;1;4;1
3;11;1;119;2
4;11;1;127;1
4;11;2;4;1
4;11;2;117;1
4;11;1;4;1
4;11;1;119;1
5;11;1;117;1
5;11;1;4;1
5;11;1;4;1
5;11;2;4;1
5;11;2;4;2
6;11;1;273;1
6;11;1;4;1
6;11;2;4;1
7;11;1;117;1
7;11;2;119;1
7;11;1;33;1
7;11;1;4;1
7;11;2;126;1
8;11;1;4;1
8;11;1;119;1
8;11;1;117;1
8;11;1;33;2
8;11;1;6;1
8;11;1;63;1
8;11;1;63;1
9;11;1;273;1
9;11;1;273;1
9;11;1;7;2
10;11;1;119;1
10;11;1;33;1
10;11;1;6;1
10;11;1;6;1
10;11;1;4;1
10;11;2;4;2
10;11;1;119;1
10;11;1;6;1
10;11;1;4;1
10;11;1;33;1
10;11;1;119;1
11;11;1;4;1
11;11;1;4;1
11;11;1;119;1
11;11;1;119;1
11;11;1;119;1
11;11;1;33;1
11;11;1;33;1
12;11;1;33;1
12;11;1;119;1
12;11;1;4;1
12;11;1;33;2
12;11;2;4;1
12;11;1;4;1
12;11;1;126;2
12;11;1;4;1
12;11;1;33;1
13;11;2;4;1
13;11;1;6;1
13;11;4;7;2
13;11;1;119;1
13;11;1;119;2
14;11;1;4;1
14;11;1;33;1
14;11;1;33;1
14;11;1;6;1
14;11;1;117;1
14;11;1;6;1
14;11;1;120;3
15;11;1;33;1
15;11;1;4;1
15;11;1;127;1
15;11;1;33;1
15;11;1;33;1
15;11;1;119;1
15;11;1;117;1
16;11;2;4;1
16;11;1;4;1
17;11;1;119;1
18;11;1;4;1
18;11;1;258;1
19;11;1;4;1
19;11;1;7;2
19;11;2;4;1
19;11;1;4;1
19;11;1;273;1
19;11;1;4;1
19;11;2;4;1
20;11;1;4;1
20;11;1;117;1
20;11;1;117;1
20;11;1;4;2
20;11;1;7;1
20;11;1;4;1
21;11;1;4;1
21;11;1;119;2
22;11;1;4;3
22;11;3;7;2
22;11;1;117;2
22;11;1;4;1
22;11;1;119;1
23;11;1;119;1
23;11;1;119;1
23;11;1;33;2
23;11;1;33;1
23;11;1;273;1
23;11;1;4;1
23;11;1;119;1
23;11;1;33;1
24;11;1;4;1
24;11;2;119;1
24;11;1;119;2
24;11;1;4;1
25;11;1;4;2
25;11;2;117;1
25;11;1;4;1
26;11;1;119;1
26;11;1;119;2
26;11;1;6;1
26;11;1;33;1
26;11;1;117;1
26;11;1;119;1
26;11;1;273;1
27;11;1;4;2
27;11;1;119;1
27;11;1;33;1
27;11;1;33;1
28;11;1;273;1
28;11;1;4;1
28;11;1;273;1
28;11;1;117;2
28;11;1;273;1
28;11;1;119;1
28;11;1;33;1
28;11;1;33;1
29;11;1;119;1
29;11;1;119;1
30;11;1;33;1
30;11;1;126;1
30;11;1;7;3
1;12;1;33;1
1;12;1;119;1
1;12;2;4;1
1;12;2;118;1
1;12;1;33;1
2;12;1;119;1
2;12;1;4;1
2;12;1;4;1
3;12;1;33;1
4;12;1;4;1
4;12;1;4;1
4;12;1;117;2
5;12;1;6;2
5;12;1;119;1
5;12;1;119;1
5;12;1;4;1
5;12;1;4;1
5;12;1;119;1
6;12;1;119;1
6;12;1;33;1
6;12;1;6;1
8;12;1;33;1
9;12;1;4;1
9;12;1;117;1
9;12;1;119;1
10;12;1;4;1
10;12;1;4;1
10;12;2;117;1
10;12;2;33;1
11;12;2;117;1
11;12;2;4;1
11;12;1;63;1
11;12;2;4;1
11;12;1;117;1
11;12;1;33;3
12;12;1;4;1
13;12;1;119;1
13;12;1;119;1
13;12;1;126;1
13;12;1;119;1
13;12;1;33;1
13;12;1;119;1
14;12;1;4;1
14;12;1;33;1
14;12;1;273;1
14;12;1;4;1
14;12;1;124;1
14;12;1;7;1
15;12;1;4;1
15;12;1;119;2
15;12;1;117;1
15;12;1;119;2
15;12;1;4;1
16;12;1;119;1
17;12;1;117;2
18;12;1;4;1
18;12;2;4;1
18;12;1;119;3
18;12;2;4;1
19;12;1;4;1
19;12;1;4;1
19;12;1;117;1
19;12;1;4;1
19;12;1;4;1
20;12;1;33;1
20;12;1;7;2
20;12;1;117;1
20;12;1;4;1
20;12;1;273;2
20;12;1;273;2
20;12;1;4;1
21;12;1;119;1
21;12;1;119;1
21;12;1;33;1
21;12;1;33;1
21;12;1;4;1
21;12;1;119;1
22;12;1;119;1
22;12;1;119;1
22;12;2;4;1
22;12;1;63;1
23;12;1;4;1
23;12;1;33;1
23;12;1;4;1
23;12;2;117;1
24;12;1;119;1
24;12;1;119;2
25;12;1;6;1
25;12;1;7;2
26;12;1;4;1
26;12;1;4;2
28;12;1;4;1
29;12;1;4;1
29;12;1;119;3
30;12;1;7;3
31;12;1;126;1
31;12;1;33;1
1;1;1;33;1
3;1;1;4;1
3;1;1;119;1
4;1;1;33;1
4;1;1;7;3
4;1;1;4;1
4;1;1;7;3
4;1;1;33;1
5;1;1;4;1
6;1;1;4;1
6;1;1;119;2
6;1;1;4;1
7;1;1;4;1
7;1;1;4;1
8;1;1;127;1
8;1;1;33;1
9;1;1;4;2
9;1;1;117;1
9;1;1;4;1
11;1;2;4;2
11;1;1;119;1
11;1;1;117;3
12;1;1;117;2
12;1;1;6;1
12;1;1;119;1
13;1;1;4;1
13;1;1;33;1
14;1;1;33;1
14;1;1;117;1
14;1;1;33;1
14;1;1;4;1
15;1;1;118;1
15;1;2;4;1
15;1;1;33;1
15;1;1;7;1
15;1;1;33;1
15;1;1;6;1
15;1;2;4;1
16;1;1;117;1
16;1;1;4;1
16;1;1;7;3
16;1;1;117;1
16;1;2;117;1
16;1;1;4;1
17;1;1;117;1
17;1;1;117;1
17;1;1;33;1
19;1;1;119;1
19;1;1;6;2
19;1;1;119;1
20;1;1;4;1
20;1;2;117;1
21;1;1;119;1
21;1;1;4;1
21;1;1;119;1
21;1;2;117;1
22;1;1;117;1
22;1;1;119;1
22;1;2;117;1
22;1;1;4;1
22;1;1;33;1
23;1;1;117;1
23;1;2;7;3
23;1;1;4;1
23;1;1;117;2
23;1;1;33;1
23;1;1;119;1
24;1;1;7;3
24;1;1;273;1
24;1;1;4;1
24;1;1;6;1
24;1;1;117;1
24;1;1;7;1
25;1;1;4;1
25;1;1;33;1
25;1;1;33;1
26;1;2;126;1
26;1;1;119;1
26;1;1;4;1
26;1;1;117;1
26;1;1;119;1
26;1;1;119;3
27;1;1;4;1
27;1;1;4;1
27;1;1;4;1
27;1;1;4;1
27;1;1;117;2
27;1;1;4;1
27;1;1;4;2
28;1;1;117;1
28;1;1;4;1
28;1;2;117;1
28;1;1;4;1
28;1;2;4;2
28;1;1;4;1
29;1;1;7;2
29;1;1;4;1
29;1;1;119;1
30;1;1;33;1
30;1;2;4;1
30;1;1;273;2
30;1;1;127;1
30;1;1;4;1
30;1;2;4;1
31;1;1;119;2
31;1;1;33;1
31;1;1;4;1
31;1;1;117;1
31;1;1;126;1
31;1;1;63;1
31;1;2;7;1
1;2;1;117;1
2;2;1;4;2
2;2;2;4;1
3;2;1;118;1
3;2;1;7;1
4;2;1;4;1
4;2;1;119;1
4;2;1;4;1
5;2;1;119;1
5;2;1;119;1
5;2;1;4;1
5;2;1;117;3
5;2;1;119;1
5;2;1;33;1
6;2;1;117;2
6;2;1;117;1
6;2;1;33;1
6;2;1;117;1
7;2;1;119;1
7;2;1;119;1
7;2;1;6;1
7;2;1;119;1
7;2;1;33;1
8;2;1;117;1
8;2;1;117;1
8;2;1;33;1
8;2;1;4;2
8;2;1;126;1
8;2;1;117;1
8;2;1;119;2
9;2;1;117;1
9;2;1;33;1
9;2;1;273;1
9;2;1;33;1
9;2;1;117;1
10;2;1;117;2
10;2;1;258;3
11;2;1;124;1
11;2;2;4;1
12;2;1;117;1
12;2;2;4;1
12;2;1;117;1
12;2;1;119;1
13;2;1;117;1
13;2;1;4;1
13;2;1;117;1
