dia;mes;qt_acidentes;id_acidente_tip;id_risco
1;5;1;76;1
2;5;1;172;2
11;5;1;172;1
14;5;1;11;1
16;5;1;178;2
20;5;1;34;2
27;5;1;172;1
28;5;1;32;3
4;6;1;174;1
8;6;1;172;1
9;6;1;172;1
12;6;1;175;1
16;6;1;18;1
30;6;1;18;1
6;7;2;52;1
10;7;1;174;1
23;7;1;174;1
28;7;1;172;1
5;8;1;174;1
7;8;1;172;1
8;8;1;291;3
8;8;1;172;2
14;8;1;33;1
19;8;1;174;1
23;8;1;172;1
29;8;1;44;1
2;9;1;172;2
10;9;1;173;1
15;9;1;174;1
29;9;1;18;1
4;10;1;172;1
12;10;1;76;1
13;10;1;172;1
14;10;1;172;1
25;10;1;18;1
1;11;1;4;1
1;11;1;55;1
5;11;1;75;1
6;11;1;55;1
19;11;1;4;1
20;11;1;18;1
22;11;1;55;1
30;11;1;4;1
10;12;1;55;2
15;12;1;53;1
17;12;1;18;1
18;12;1;4;2
22;12;2;4;1
2;4;1;75;1
4;4;2;4;1
15;4;1;53;3
15;4;1;10;1
29;4;2;4;1
30;4;1;4;2
6;5;1;55;1
25;5;1;75;1
27;5;2;55;2
31;5;1;125;1
30;6;2;4;1
1;7;1;4;1
1;7;1;55;1
1;7;1;4;1
2;7;1;4;1
5;7;1;18;1
5;7;1;4;1
5;7;2;4;1
10;7;1;4;1
11;7;1;10;1
12;7;1;53;1
13;7;1;53;1
13;7;1;18;1
15;7;1;53;1
17;7;1;4;1
24;7;1;53;1
24;7;1;53;1
26;7;1;53;1
27;7;1;53;1
28;7;1;53;1
30;7;1;53;1
2;8;1;53;1
8;8;1;53;1
8;8;1;53;1
9;8;1;53;1
9;8;1;53;1
9;8;1;53;1
14;8;1;53;1
16;8;1;53;1
16;8;1;53;1
17;8;1;53;1
23;8;1;53;1
25;8;1;53;1
25;8;1;53;1
26;8;1;53;1
26;8;1;53;1
26;8;1;53;1
29;8;1;53;1
30;8;1;53;1
31;8;1;4;3
2;9;1;53;1
3;9;1;53;1
6;9;1;55;1
6;9;1;4;1
6;9;1;53;1
7;9;1;60;1
8;9;1;4;1
9;9;1;55;1
9;9;1;75;1
9;9;1;53;1
9;9;1;55;1
10;9;1;4;1
10;9;1;55;1
10;9;1;4;2
10;9;1;55;1
11;9;1;55;1
14;9;1;53;1
14;9;1;4;1
18;9;1;53;1
22;9;1;4;1
22;9;1;53;1
23;9;1;53;1
23;9;1;53;1
24;9;1;53;1
26;9;1;53;1
27;9;1;53;1
28;9;1;53;1
30;9;1;53;1
5;10;1;53;1
11;10;1;53;1
14;10;1;53;1
18;10;1;53;1
20;10;1;53;1
24;10;1;53;1
25;10;1;53;1
26;10;1;53;1
26;10;1;53;1
27;10;1;53;1
1;11;1;53;1
3;11;1;4;1
6;11;1;53;1
7;11;1;53;1
8;11;1;53;1
11;11;1;53;1
12;11;1;53;1
17;11;1;53;1
20;11;1;53;1
21;11;1;53;1
25;11;1;53;1
29;11;1;4;1
2;12;1;53;1
3;12;1;53;1
7;12;1;53;1
8;12;1;53;1
8;12;1;53;1
9;12;1;53;1
11;12;1;53;1
11;12;1;53;1
15;12;1;53;1
16;12;1;53;1
21;12;1;53;1
26;12;1;53;1
28;12;1;53;1
29;12;1;53;1
3;1;1;53;1
4;1;1;53;1
9;1;1;75;1
9;1;1;53;1
10;1;1;53;1
10;1;1;53;1
10;1;1;4;1
10;1;1;8;3
11;1;1;55;1
11;1;1;18;2
12;1;1;75;1
12;1;1;75;1
12;1;1;4;1
13;1;1;53;1
15;1;1;53;1
16;1;1;53;1
16;1;1;53;1
18;1;1;53;1
18;1;1;53;1
20;1;1;53;1
21;1;1;53;1
25;1;1;53;1
31;1;1;53;1
31;1;1;53;1
31;1;1;53;1
31;1;1;53;1
3;2;1;53;1
3;2;1;53;1
7;2;1;53;1
9;2;1;53;1
10;2;1;53;1
15;2;1;53;1
15;2;1;53;1
21;2;1;53;1
21;2;1;53;1
21;2;1;53;1
21;2;1;53;1
21;2;1;53;1
21;2;1;53;1
22;2;1;53;1
22;2;1;53;1
22;2;1;53;1
23;2;1;53;1
23;2;1;53;1
23;2;1;53;1
23;2;1;53;1
23;2;1;53;1
23;2;1;53;1
23;2;1;53;1
23;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
24;2;1;53;1
25;2;1;53;1
25;2;1;53;1
25;2;1;53;1
28;2;1;53;1
28;2;1;53;1
28;2;1;53;1
1;3;1;53;1
1;3;1;53;1
1;3;1;53;1
1;3;1;53;1
1;3;1;53;1
1;3;1;53;1
1;3;1;53;1
1;3;1;53;1
2;3;1;53;1
2;3;1;53;1
2;3;1;53;1
2;3;1;53;1
2;3;1;53;1
3;3;1;53;1
3;3;1;53;1
3;3;1;53;1
3;3;1;53;1
4;3;1;53;1
5;3;1;53;1
5;3;1;53;1
5;3;1;53;1
5;3;1;53;1
5;3;1;53;1
6;3;1;53;1
6;3;1;53;1
6;3;1;53;1
6;3;1;53;1
6;3;1;53;1
6;3;1;53;1
9;3;1;53;1
10;3;1;53;1
14;4;1;53;1
14;4;1;4;1
31;5;1;53;1
1;6;1;53;1
6;6;1;53;1
7;6;1;75;1
14;6;1;53;1
14;6;1;53;1
15;6;1;53;1
23;6;1;53;1
24;6;1;4;1
16;7;1;53;1
27;7;1;53;1
8;8;1;53;1
9;8;1;53;1
17;8;1;18;1
24;8;1;53;1
25;8;1;53;1
27;8;1;55;1
28;8;1;53;1
1;11;1;18;2
3;11;1;55;1
5;11;1;75;1
6;11;2;55;1
9;11;1;18;1
10;11;2;55;1
10;11;1;18;1
11;11;1;53;1
12;11;1;4;1
12;11;1;4;1
13;11;1;4;1
13;11;1;75;1
13;11;1;55;1
13;11;2;55;1
14;11;1;53;1
14;11;1;18;1
15;11;1;18;1
15;11;1;55;1
16;11;1;11;1
17;11;2;4;1
18;11;1;55;1
20;11;1;75;1
22;11;1;53;1
23;11;1;75;1
24;11;1;4;1
24;11;1;4;1
25;11;1;55;1
25;11;1;55;1
25;11;1;4;1
26;11;1;53;1
26;11;1;53;1
26;11;1;53;1
27;11;1;53;1
29;11;1;55;1
30;11;1;55;1
1;12;2;4;1
1;12;1;77;1
2;12;1;77;1
3;12;1;53;1
4;12;1;53;1
6;12;1;75;1
6;12;2;55;1
6;12;1;53;1
7;12;2;53;1
7;12;1;75;1
7;12;1;55;1
8;12;1;53;1
8;12;1;53;1
12;12;1;53;1
13;12;1;18;1
13;12;1;18;1
13;12;1;53;1
14;12;1;53;1
14;12;1;53;1
14;12;1;4;1
15;12;1;18;2
15;12;1;53;1
15;12;1;18;1
16;12;1;18;1
17;12;2;4;1
21;12;1;4;1
27;12;1;55;1
30;12;1;53;1
8;1;1;7;1
12;1;1;4;1
13;1;1;4;1
14;1;1;75;1
14;1;1;4;1
14;1;1;11;1
17;1;2;11;1
17;1;1;18;1
18;1;1;53;2
19;1;1;53;1
20;1;1;75;1
21;1;1;4;1
22;1;2;4;1
23;1;1;53;1
27;1;1;55;1
28;1;1;11;1
1;2;1;18;1
2;2;1;53;1
3;2;1;53;1
4;2;1;75;1
7;2;1;75;1
8;2;1;55;1
8;2;1;4;1
14;2;1;53;1
15;2;1;11;1
17;2;1;55;1
21;2;1;75;1
23;2;1;18;1
24;2;1;4;1
28;2;1;7;1
3;3;1;75;1
6;3;1;53;1
7;3;2;53;1
8;3;1;55;1
9;3;1;4;1
10;3;1;55;2
12;3;1;53;1
14;3;1;55;1
14;3;1;4;1
15;3;1;18;1
15;3;1;4;1
15;3;1;7;1
16;3;1;53;1
17;3;1;55;1
21;3;1;4;1
29;3;1;55;1
31;3;1;55;1
1;4;1;53;1
4;4;1;77;1
6;4;1;55;1
8;4;1;55;1
11;4;1;4;1
12;4;1;53;1
14;4;1;4;1
19;4;1;77;2
21;4;1;4;1
25;4;1;4;1
26;4;1;53;1
29;4;1;55;2
29;4;1;75;2
2;5;1;18;1
2;5;1;53;1
4;5;1;53;1
5;5;2;55;1
5;5;1;18;1
5;5;1;55;1
5;5;1;4;1
5;5;1;4;1
6;5;1;18;1
6;5;1;53;1
9;5;1;75;1
9;5;1;4;2
9;5;1;53;1
10;5;1;4;1
10;5;1;18;1
11;5;1;53;1
11;5;1;77;1
11;5;1;10;1
13;5;1;53;1
13;5;1;4;1
13;5;1;4;1
13;5;1;55;1
15;5;1;75;1
16;5;1;53;1
16;5;1;55;1
17;5;1;53;1
17;5;2;77;1
19;5;1;18;1
19;5;1;77;1
19;5;1;55;1
20;5;1;55;1
20;5;1;53;1
21;5;1;77;1
21;5;1;53;1
23;5;1;53;1
23;5;1;18;1
23;5;1;18;1
26;5;1;18;1
27;5;1;77;1
28;5;1;55;1
29;5;1;18;1
29;5;1;55;1
29;5;1;4;1
30;5;2;55;1
31;5;1;4;2
31;5;1;53;1
31;5;1;60;1
31;5;1;77;1
1;6;1;18;1
2;6;1;55;1
5;6;1;18;1
6;6;1;4;1
9;6;1;53;1
9;6;1;75;1
9;6;1;55;1
10;6;2;55;1
10;6;1;55;1
10;6;1;75;1
11;6;1;18;1
12;6;1;75;1
12;6;1;55;1
13;6;1;55;1
13;6;1;53;1
13;6;1;55;1
17;6;2;55;1
20;6;1;55;1
20;6;1;4;1
23;6;1;18;1
23;6;1;4;1
23;6;1;55;1
24;6;1;53;1
28;6;1;53;1
28;6;1;11;1
30;6;1;53;1
30;6;1;53;1
1;7;1;4;1
1;7;1;4;1
1;7;1;77;1
1;7;2;55;1
4;7;1;11;1
5;7;1;53;1
5;7;1;18;1
6;7;1;18;1
6;7;1;77;1
6;7;1;77;1
7;7;1;53;1
7;7;1;4;1
8;7;1;53;1
8;7;1;18;1
8;7;1;55;1
10;7;1;53;1
10;7;1;75;1
11;7;1;4;1
11;7;1;53;1
12;7;1;53;1
12;7;1;55;1
