dia;mes;qt_acidentes;id_acidente_tip;id_risco
22;4;1;18;1
2;5;1;175;1
2;5;1;18;2
7;5;1;6;1
8;5;1;76;1
10;5;1;252;1
11;5;1;52;1
11;5;1;174;2
14;5;2;172;1
15;5;1;252;1
16;5;1;52;1
16;5;1;175;1
17;5;1;18;1
19;5;1;52;1
21;5;1;18;1
22;5;1;172;1
23;5;1;18;1
30;5;1;6;1
2;6;1;18;1
3;6;2;174;1
4;6;2;172;1
5;6;1;174;1
6;6;1;252;1
10;6;1;18;1
17;6;1;174;1
26;6;1;174;1
27;6;4;21;1
28;6;1;252;1
28;6;1;18;1
29;6;1;252;1
2;8;1;172;1
4;8;1;21;1
6;8;2;21;2
9;8;1;172;1
9;8;1;174;1
10;8;1;174;1
11;8;1;33;1
12;8;2;52;1
12;8;1;172;1
12;8;1;175;1
12;8;2;186;1
15;8;1;174;1
16;8;1;52;1
16;8;2;172;1
18;8;1;175;1
19;8;2;172;2
19;8;1;174;1
21;8;1;172;1
21;8;2;172;1
1;7;1;252;1
1;7;1;172;1
3;7;2;288;1
5;7;1;252;1
5;7;1;174;1
5;7;1;18;1
9;7;1;172;2
9;7;2;172;1
10;7;1;18;1
10;7;1;172;1
13;7;2;175;1
16;7;1;172;1
18;7;1;174;1
20;7;2;252;1
23;7;1;175;1
23;7;2;173;1
24;7;1;18;1
30;7;1;18;1
30;7;2;172;1
1;9;1;174;1
2;9;1;174;1
4;9;1;172;1
4;9;1;11;1
4;9;1;18;1
5;9;1;172;1
6;9;1;289;2
6;9;1;178;3
6;9;1;178;1
6;9;1;172;1
8;9;1;174;1
9;9;1;18;1
10;9;1;172;1
10;9;1;172;1
11;9;1;18;1
11;9;2;177;1
12;9;1;174;1
12;9;1;172;1
13;9;1;172;2
13;9;1;174;1
15;9;1;44;2
15;9;1;8;1
17;9;1;18;1
17;9;2;172;1
17;9;1;252;1
17;9;1;172;1
18;9;1;252;1
18;9;2;252;1
18;9;1;18;1
19;9;1;6;1
19;9;1;76;1
21;9;1;252;1
22;9;1;172;1
22;9;1;11;1
23;9;1;172;1
23;9;1;289;2
26;9;1;174;1
27;9;1;6;1
27;9;1;172;1
28;9;1;172;1
30;9;3;11;1
1;10;1;174;1
1;10;1;177;1
1;10;2;172;1
2;10;-1;18;2
2;10;1;252;1
3;10;1;174;1
3;10;-1;18;2
4;10;2;252;1
4;10;-1;174;1
4;10;-1;174;1
4;10;1;174;1
4;10;1;18;1
4;10;2;174;1
5;10;1;18;1
5;10;1;252;1
6;10;1;172;2
7;10;1;172;1
7;10;1;40;1
7;10;-1;172;1
9;10;-2;11;1
10;10;-1;18;1
10;10;-1;172;1
11;10;1;252;1
11;10;1;52;1
12;10;-1;18;1
12;10;1;18;1
12;10;-1;52;2
14;10;1;252;1
14;10;1;252;1
14;10;-1;18;1
15;10;-1;172;1
16;10;-1;252;1
16;10;1;252;1
16;10;-1;44;3
16;10;3;172;1
16;10;1;252;1
17;10;-1;174;1
17;10;1;174;1
17;10;1;172;1
18;10;1;172;1
21;10;-1;252;1
22;10;2;21;1
23;10;1;252;1
23;10;1;174;1
24;10;-1;252;1
24;10;1;174;1
24;10;1;252;1
25;10;-1;174;1
25;10;-1;172;1
26;10;1;252;1
26;10;1;174;2
26;10;1;172;1
27;10;1;18;2
27;10;1;252;1
29;10;1;252;1
29;10;-1;252;1
29;10;-1;174;1
30;10;1;172;3
31;10;1;52;1
31;10;1;252;1
31;10;2;174;1
31;10;1;174;1
1;11;1;252;1
1;11;1;174;1
2;11;1;174;1
4;11;1;172;1
4;11;1;33;1
5;11;1;252;1
5;11;1;76;1
5;11;1;18;1
5;11;1;181;1
5;11;1;172;1
6;11;3;172;2
6;11;1;174;1
6;11;1;252;1
7;11;1;252;1
7;11;1;252;1
8;11;1;178;2
8;11;1;174;1
8;11;1;172;1
8;11;1;172;1
8;11;1;172;1
9;11;2;288;1
9;11;2;172;1
9;11;1;76;1
10;11;1;174;1
11;11;1;172;2
11;11;1;172;1
11;11;2;18;1
11;11;1;33;1
13;11;1;174;1
13;11;2;172;1
14;11;1;178;2
14;11;2;172;1
14;11;1;172;1
17;11;1;172;1
17;11;1;174;1
18;11;1;172;1
18;11;1;252;1
18;11;1;172;1
18;11;1;18;1
19;11;1;252;1
19;11;1;172;1
19;11;2;174;1
19;11;1;174;3
21;11;1;52;1
21;11;1;174;1
22;11;1;21;1
22;11;1;172;1
22;11;1;76;1
25;11;1;18;1
25;11;1;174;1
26;11;1;174;2
26;11;1;18;1
26;11;1;180;2
27;11;1;18;1
27;11;2;172;1
27;11;2;172;1
28;11;2;172;3
30;11;1;8;3
1;12;1;33;1
2;12;1;172;2
2;12;1;172;1
3;12;1;172;1
3;12;2;172;1
3;12;1;44;2
4;12;1;289;2
5;12;1;176;1
6;12;1;172;1
6;12;1;174;1
6;12;1;180;1
6;12;1;172;2
6;12;1;172;1
7;12;1;8;1
8;12;1;18;2
8;12;1;172;1
10;12;1;172;1
10;12;1;52;1
11;12;1;172;1
11;12;1;172;1
11;12;1;76;1
12;12;1;172;1
13;12;1;172;1
13;12;2;180;1
13;12;1;172;1
13;12;1;172;1
14;12;1;252;2
15;12;1;176;1
16;12;1;174;1
16;12;1;174;1
17;12;1;32;1
18;12;1;174;1
19;12;1;172;1
20;12;1;172;1
21;12;1;172;2
21;12;1;76;1
23;12;1;178;2
27;12;1;18;1
27;12;1;18;1
29;12;1;178;3
29;12;1;174;1
30;12;1;174;1
30;12;1;172;1
2;1;1;172;2
3;1;1;76;1
3;1;1;174;1
3;1;1;176;1
6;1;1;252;1
6;1;1;174;1
6;1;1;172;1
8;1;1;252;1
8;1;1;172;1
8;1;1;6;2
9;1;1;174;1
9;1;1;18;1
10;1;1;172;1
10;1;1;172;1
11;1;1;174;1
11;1;1;252;2
13;1;1;174;1
14;1;1;180;1
14;1;1;18;1
16;1;1;176;1
16;1;1;172;1
17;1;1;172;1
17;1;1;11;1
18;1;1;11;1
18;1;1;172;1
20;1;1;52;1
20;1;1;174;1
20;1;1;6;1
20;1;1;174;1
21;1;2;174;1
22;1;1;174;1
24;1;1;6;2
25;1;1;252;1
28;1;2;11;1
28;1;1;21;1
29;1;1;11;2
29;1;1;174;1
30;1;1;252;1
31;1;1;174;1
31;1;1;172;1
31;1;1;252;1
31;1;1;252;1
1;7;1;174;1
2;7;1;173;1
10;7;1;172;1
13;7;1;174;1
13;7;1;175;1
15;7;1;172;1
25;7;1;173;1
1;6;1;44;2
1;6;1;11;1
1;6;1;172;1
1;6;1;288;1
1;6;1;174;1
3;6;1;174;1
4;6;2;172;1
4;6;2;172;1
5;6;1;252;1
5;6;1;172;1
5;6;1;174;1
5;6;1;252;1
5;6;1;174;2
5;6;2;76;1
7;6;1;172;2
8;6;1;174;1
8;6;2;172;1
8;6;2;172;1
8;6;2;174;1
8;6;1;18;1
10;6;1;172;1
11;6;1;252;1
12;6;1;172;2
13;6;1;174;1
13;6;1;172;1
14;6;1;174;1
15;6;1;8;1
17;6;1;174;1
18;6;1;288;1
18;6;1;18;2
18;6;1;172;1
20;6;1;174;1
21;6;1;172;1
21;6;1;174;2
22;6;1;174;1
23;6;1;52;1
23;6;1;172;1
24;6;1;293;1
24;6;1;176;1
24;6;1;174;2
24;6;1;252;1
24;6;1;293;2
25;6;1;172;1
25;6;1;288;1
26;6;1;18;1
26;6;1;18;1
27;6;1;172;1
28;6;1;18;1
28;6;1;252;1
28;6;1;174;1
28;6;1;172;1
30;6;1;52;1
30;6;1;288;1
30;6;1;252;1
30;6;1;252;2
30;6;1;174;1
30;6;1;180;1
30;6;1;252;1
30;6;1;252;1
3;5;1;8;2
3;5;1;18;1
5;5;1;76;2
5;5;1;119;1
5;5;1;174;1
6;5;1;172;1
7;5;1;172;1
7;5;1;172;1
7;5;1;252;1
8;5;1;174;2
8;5;1;172;1
11;5;1;172;1
11;5;1;172;1
13;5;1;172;1
14;5;1;172;1
14;5;2;172;1
17;5;1;252;1
17;5;1;11;1
19;5;1;252;1
21;5;1;174;1
21;5;1;252;1
21;5;1;174;1
21;5;1;178;1
22;5;1;18;1
23;5;1;293;2
25;5;1;174;1
26;5;2;174;1
28;5;1;178;3
28;5;1;11;1
31;5;1;174;1
1;4;1;172;1
3;4;1;18;1
3;4;1;252;1
4;4;1;252;1
6;4;1;172;2
7;4;1;32;1
10;4;1;252;1
10;4;1;18;1
13;4;1;174;1
15;4;1;174;1
16;4;1;18;2
17;4;1;172;1
20;4;1;18;1
25;4;1;172;1
26;4;1;173;1
27;4;1;178;3
28;4;1;52;1
28;4;1;177;1
30;4;1;6;1
2;3;1;172;1
3;3;1;178;2
3;3;1;252;1
6;3;1;172;1
6;3;1;172;1
6;3;1;11;1
6;3;1;177;1
8;3;2;11;2
9;3;1;172;1
10;3;1;252;1
10;3;1;172;1
11;3;1;76;1
12;3;1;18;2
12;3;2;172;2
13;3;1;44;2
13;3;1;172;1
13;3;1;172;1
14;3;1;172;1
14;3;1;172;1
16;3;1;18;1
17;3;1;18;1
19;3;1;174;1
21;3;1;18;1
22;3;1;18;3
22;3;1;172;1
24;3;1;172;1
25;3;1;172;1
28;3;1;21;1
28;3;1;175;1
30;3;3;173;1
30;3;1;178;1
2;2;3;174;1
2;2;1;174;1
2;2;1;174;1
4;2;2;172;1
5;2;1;176;1
5;2;1;174;1
6;2;1;18;1
6;2;2;174;1
6;2;1;172;1
6;2;1;174;1
6;2;1;76;1
7;2;1;76;1
7;2;1;172;1
7;2;1;172;1
9;2;1;252;1
9;2;1;174;1
11;2;1;174;1
11;2;1;172;1
12;2;1;174;1
12;2;1;172;1
12;2;1;172;2
13;2;2;172;1
14;2;2;174;1
14;2;1;174;1
14;2;1;172;1
15;2;1;76;1
17;2;2;172;1
17;2;1;176;1
18;2;1;174;1
18;2;1;252;1
19;2;1;172;1
20;2;1;76;1
20;2;1;172;1
20;2;1;174;2
21;2;1;174;2
21;2;1;174;1
21;2;1;18;1
21;2;2;172;3
22;2;1;52;1
23;2;2;172;1
24;2;1;174;1
26;2;1;180;1
26;2;1;172;1
26;2;1;172;1
28;2;2;174;1
2;8;1;76;2
3;8;1;174;1
4;8;1;174;1
5;8;1;18;1
7;8;1;172;1
8;8;1;172;1
10;8;1;174;1
10;8;1;172;1
10;8;1;252;1
10;8;1;52;1
14;8;1;252;1
14;8;1;174;3
17;8;1;8;1
20;8;1;252;1
21;8;1;252;1
23;8;1;174;1
25;8;1;8;1
25;8;1;174;1
26;8;1;174;1
28;8;1;290;1
28;8;1;288;1
29;8;1;172;1
31;8;1;174;1
2;9;2;11;1
3;9;1;52;1
4;9;1;172;1
6;9;1;172;1
10;9;1;18;1
10;9;1;174;1
12;9;1;172;1
13;9;1;76;1
16;9;2;172;1
17;9;1;252;1
17;9;1;18;1
18;9;1;174;1
18;9;1;173;1
18;9;1;174;1
19;9;1;172;1
22;9;1;252;1
23;9;2;176;1
25;9;1;174;1
25;9;1;172;1
28;9;1;172;1
29;9;1;172;2
30;9;1;252;1
30;9;1;252;1
1;10;1;288;1
2;10;1;18;1
2;10;1;252;1
3;10;1;76;1
4;10;1;252;1
8;10;2;172;1
10;10;1;172;1
13;10;1;180;1
14;10;1;252;1
14;10;1;175;1
18;10;1;76;1
19;10;1;174;1
19;10;1;174;1
19;10;1;174;1
