id_acidente_tip;dia;mes;qt_acidentes;id_risco
29;1;1;1;1
24;2;1;1;1
33;2;1;1;1
13;2;1;1;1
18;3;1;1;1
28;4;1;1;1
13;4;1;1;1
13;4;1;1;1
13;4;1;1;1
28;4;1;1;1
18;4;1;1;1
13;5;1;1;1
33;5;1;1;1
13;5;1;1;1
18;5;1;1;2
13;5;1;1;1
28;5;1;1;2
18;5;1;1;1
13;6;1;1;1
18;6;1;1;1
18;6;1;1;1
33;6;1;1;1
18;6;1;1;1
25;7;1;1;1
24;7;1;1;1
25;7;1;1;1
13;7;1;2;1
13;7;1;2;2
13;8;1;1;1
11;8;1;1;1
33;8;1;1;1
11;8;1;3;1
13;8;1;1;1
13;9;1;1;1
24;9;1;1;1
21;9;1;1;1
21;9;1;1;1
18;9;1;1;1
18;9;1;1;1
35;9;1;1;1
13;9;1;1;1
49;10;1;1;1
24;10;1;1;1
49;10;1;2;1
24;10;1;1;1
13;11;1;1;1
28;11;1;1;3
28;11;1;1;1
13;11;1;2;1
29;11;1;1;1
34;11;1;1;1
25;12;1;1;1
13;12;1;3;1
18;12;1;1;1
18;12;1;1;1
33;12;1;1;1
13;12;1;1;1
18;12;1;1;1
13;13;1;1;1
24;13;1;1;1
24;13;1;1;1
25;13;1;1;1
13;13;1;2;1
29;13;1;1;1
18;13;1;1;1
13;14;1;2;1
24;14;1;1;1
24;14;1;2;1
13;14;1;1;1
25;14;1;1;1
13;14;1;2;1
24;15;1;1;1
18;15;1;1;1
28;15;1;2;1
28;15;1;1;1
36;15;1;1;1
13;15;1;1;1
18;15;1;1;2
13;15;1;1;2
18;15;1;1;1
28;16;1;1;2
11;16;1;1;1
36;17;1;1;1
18;17;1;1;1
18;17;1;1;1
29;17;1;1;1
13;17;1;1;1
13;18;1;2;1
36;18;1;1;1
18;18;1;1;1
28;19;1;1;1
24;19;1;1;1
28;19;1;1;1
18;19;1;1;1
41;19;1;1;1
33;19;1;1;1
13;19;1;1;2
28;19;1;1;1
29;19;1;1;1
25;19;1;1;1
33;19;1;1;1
13;20;1;1;1
11;20;1;3;1
13;20;1;1;1
13;20;1;1;1
28;20;1;1;1
29;20;1;1;1
25;20;1;1;1
28;20;1;1;1
18;20;1;1;1
13;20;1;1;1
11;21;1;2;1
28;21;1;1;1
11;21;1;1;1
28;21;1;1;1
13;21;1;1;1
18;21;1;1;2
29;21;1;1;3
18;21;1;1;1
24;21;1;1;1
25;21;1;1;1
28;21;1;1;1
13;22;1;2;1
24;22;1;1;1
13;22;1;1;1
13;22;1;1;1
28;22;1;1;1
18;22;1;1;1
18;22;1;1;1
13;22;1;2;1
11;23;1;1;1
28;23;1;1;1
13;23;1;1;2
24;23;1;1;1
36;23;1;1;1
21;23;1;1;1
24;24;1;1;1
24;24;1;2;1
28;25;1;1;1
24;25;1;1;1
13;25;1;2;1
