id_acidente_tip;dia;mes;qt_acidentes;id_risco
24;10;3;1;2
29;14;7;1;1
24;3;11;1;2
29;15;11;1;1
19;9;12;1;1
25;2;2;1;1
18;12;8;1;1
29;16;9;1;1
13;5;12;1;1
29;30;4;1;2
24;26;2;1;1
19;30;11;3;2
19;17;4;1;3
13;20;4;2;1
19;8;1;1;1
13;28;4;1;1
24;31;8;2;1
19;7;3;1;1
21;16;3;1;1
18;3;2;1;2
13;13;5;1;1
24;1;3;1;2
13;1;3;2;1
21;9;9;1;1
24;6;1;1;1
29;28;10;1;1
18;14;1;1;1
24;9;7;3;2
29;22;12;1;1
34;17;9;1;1
21;18;11;1;1
24;20;1;2;2
24;1;3;1;1
11;26;10;4;3
24;15;5;2;1
21;25;9;1;1
13;18;6;1;1
18;14;1;1;1
19;4;11;3;2
24;18;11;1;1
29;1;9;2;1
29;15;2;1;1
13;25;4;1;1
13;16;8;1;1
19;5;4;1;1
21;16;10;1;1
11;26;3;3;1
24;7;11;1;1
19;8;5;2;1
19;20;11;1;3
29;9;5;1;2
18;22;5;1;1
13;23;8;1;1
18;19;3;1;3
18;23;4;1;1
30;28;9;1;1
18;23;1;1;2
29;16;8;1;1
24;23;11;1;1
18;7;1;1;2
24;2;2;1;1
18;5;9;1;1
18;18;9;1;1
21;7;8;1;1
21;27;2;1;1
21;27;2;1;1
29;8;3;1;1
18;18;5;1;1
29;8;12;1;1
24;5;1;1;1
18;7;12;1;1
30;16;5;1;2
24;4;12;1;1
30;17;6;1;1
29;26;2;1;1
29;1;4;1;2
24;9;4;2;2
24;1;5;2;3
18;9;5;1;1
29;18;8;1;1
19;26;9;4;3
13;17;10;3;1
19;7;11;2;2
24;6;3;2;2
24;30;6;1;1
13;27;10;2;2
13;1;11;2;2
13;12;5;1;1
18;27;7;1;1
47;31;1;1;1
28;2;3;1;1
29;9;6;1;1
29;24;8;1;1
18;29;3;1;1
24;1;11;1;1
13;28;11;2;1
29;22;12;1;1
19;23;6;1;1
29;30;4;1;2
18;24;6;1;2
13;19;9;1;1
13;13;10;1;2
13;30;10;2;1
13;29;11;1;1
11;1;2;1;1
13;8;2;1;1
13;12;2;1;1
13;13;2;1;1
13;3;3;1;1
18;8;1;1;1
18;23;1;1;1
24;27;5;1;1
18;17;3;1;1
29;2;12;1;1
18;16;12;1;1
18;5;1;1;1
18;5;10;1;1
18;12;10;1;1
18;26;10;1;1
21;20;2;1;1
29;13;3;1;2
29;1;5;1;1
21;8;10;1;1
13;23;1;1;1
6;25;6;1;2
13;21;8;2;1
19;2;8;1;3
19;21;12;1;3
34;11;12;1;2
13;27;10;2;1
13;30;1;1;1
19;12;4;1;2
47;23;1;1;1
24;16;5;1;2
31;17;8;1;3
18;1;3;1;2
19;14;12;1;3
13;15;12;1;1
13;17;1;3;1
24;8;6;2;1
24;19;9;2;1
13;18;10;2;1
19;26;10;1;1
19;10;9;2;2
29;25;8;2;1
13;2;3;1;2
13;23;9;2;2
19;7;8;2;3
19;21;1;2;2
29;10;10;1;1
24;5;11;1;1
37;28;1;1;2
24;2;7;1;2
30;22;2;1;1
29;20;6;1;1
19;30;12;1;2
19;4;9;1;3
24;17;8;1;1
29;14;2;1;2
19;1;4;1;1
24;27;6;1;2
24;4;1;1;1
18;1;1;1;2
18;28;9;1;1
29;30;12;1;1
18;2;3;1;2
24;4;9;1;1
13;11;1;1;1
19;21;1;1;3
18;26;3;1;1
18;22;2;1;1
24;25;6;1;1
21;3;4;1;1
13;29;7;2;2
13;2;3;1;1
18;18;7;1;2
29;6;11;1;1
24;2;3;1;1
11;2;3;1;2
13;1;3;2;1
19;3;4;1;3
19;14;4;1;3
24;16;4;1;1
24;6;8;1;1
19;24;10;2;3
19;30;8;1;3
19;17;11;1;3
33;21;1;1;2
24;22;1;1;1
19;12;8;2;1
13;2;1;2;1
13;4;12;1;1
19;12;6;1;2
24;18;1;1;2
24;24;6;1;1
29;1;9;1;3
13;14;12;1;3
13;19;11;2;1
24;3;1;1;1
24;28;10;1;1
21;17;1;1;1
24;3;5;1;1
18;28;12;1;1
18;14;12;1;1
19;25;1;1;3
19;8;11;2;2
13;28;10;1;1
13;5;12;2;1
19;16;3;2;1
24;25;9;1;2
19;17;2;1;1
24;15;2;1;2
30;25;4;1;2
24;11;1;2;1
24;30;1;1;1
19;3;11;1;1
29;22;2;1;1
24;1;6;1;2
13;28;6;1;1
30;3;6;1;1
24;16;7;2;1
21;28;11;1;1
29;22;5;1;1
29;7;9;1;1
29;27;1;1;1
13;6;8;1;1
24;21;10;1;1
18;23;2;1;2
30;14;6;1;2
47;8;9;2;1
35;5;5;1;1
19;9;9;1;2
13;24;9;1;1
11;13;1;1;1
30;1;7;1;2
24;31;1;1;1
19;9;9;1;3
24;19;10;1;1
24;17;12;1;1
19;9;3;1;1
30;23;2;1;2
30;30;4;1;3
19;9;2;1;1
13;1;10;2;1
25;9;4;1;1
24;14;5;1;2
21;1;4;1;1
28;20;5;1;1
24;30;7;1;1
30;3;9;1;2
13;17;1;1;1
19;17;1;1;3
13;5;2;1;1
24;13;4;1;1
13;4;10;2;1
24;15;11;1;1
21;23;8;1;1
80;6;8;1;1
24;11;9;1;1
13;12;9;2;1
35;15;9;1;1
13;21;9;1;1
11;24;10;1;1
13;9;12;1;1
13;28;12;2;1
13;6;1;1;1
80;23;1;1;1
13;2;2;2;1
80;16;2;1;1
11;3;3;1;2
13;22;5;1;1
13;1;8;1;1
80;12;8;1;1
38;22;11;1;1
11;13;12;2;1
13;15;2;1;1
24;26;4;2;1
13;12;7;2;2
13;24;7;1;1
13;5;1;1;1
13;15;1;2;1
13;17;1;2;1
13;4;5;1;1
29;23;5;1;1
13;5;7;1;1
13;18;7;1;1
13;21;8;2;1
24;9;9;2;1
13;19;11;2;1
13;26;8;1;1
13;5;10;1;1
38;26;11;1;1
13;2;7;1;1
13;3;8;2;1
35;12;12;1;1
24;6;12;2;1
24;27;1;2;1
30;18;8;1;2
13;8;10;1;1
47;3;8;1;1
19;27;9;1;3
24;19;4;1;1
19;24;3;1;2
19;6;4;1;3
18;4;6;1;1
24;1;2;2;1
19;21;6;1;1
24;4;2;1;2
30;11;7;1;2
19;10;11;1;2
30;23;1;1;2
24;12;8;1;1
25;14;10;1;1
24;13;2;1;2
30;29;3;1;2
30;5;7;1;1
13;20;9;1;2
44;4;4;1;1
13;13;4;2;1
13;1;1;1;2
19;16;11;1;3
13;12;6;2;2
19;15;11;1;2
29;16;11;1;1
21;5;1;1;1
21;22;8;1;1
13;27;9;1;1
13;15;2;1;1
24;26;2;1;1
24;27;4;1;2
13;3;5;2;1
24;26;5;1;1
19;15;8;1;2
19;18;12;1;1
21;30;4;1;1
24;8;8;1;1
19;4;12;1;2
43;16;9;1;2
13;3;11;1;2
21;21;1;1;1
30;20;12;1;1
24;23;10;1;3
21;20;1;1;1
18;12;8;1;1
24;24;10;1;1
33;2;11;1;1
30;16;1;1;1
13;30;3;2;1
24;2;2;1;1
19;30;8;1;1
13;14;9;2;2
24;23;9;1;2
29;26;11;1;1
30;31;12;1;2
30;3;10;1;1
28;15;6;1;1
21;19;6;1;1
30;7;10;2;2
24;30;5;1;3
13;29;6;1;2
13;8;11;2;1
19;3;7;1;1
28;6;10;2;2
24;5;3;1;2
28;15;3;1;3
24;20;6;1;1
24;3;12;1;2
13;30;1;2;1
21;1;4;1;1
21;13;4;1;1
24;11;5;1;1
13;17;12;1;1
19;5;9;2;2
19;1;12;1;3
24;24;10;1;1
24;11;1;1;1
30;14;7;1;3
30;3;9;1;1
13;18;8;1;1
24;6;12;1;3
19;2;10;1;3
24;25;1;1;1
30;11;7;1;1
21;5;9;1;1
30;14;12;1;1
24;14;3;1;1
19;15;3;1;3
28;13;10;2;2
19;16;2;1;1
30;28;9;1;2
32;13;1;1;1
18;5;7;1;1
24;30;10;1;1
24;14;2;1;1
13;6;2;1;1
24;3;7;1;1
18;18;7;1;1
13;23;12;2;1
11;14;7;2;1
45;16;11;1;1
24;9;8;1;1
24;15;12;1;2
19;9;6;1;2
24;11;5;1;3
19;14;6;1;2
19;23;6;1;1
30;22;12;1;2
19;25;7;1;2
47;19;9;1;1
34;19;11;1;1
24;27;5;1;2
6;16;8;1;2
31;4;11;1;2
24;10;11;1;1
24;8;1;1;1
24;3;3;1;1
30;31;5;1;1
47;12;10;1;1
18;18;11;1;1
19;8;12;1;1
18;4;9;1;1
24;29;9;1;2
30;22;3;1;1
13;13;8;1;1
21;11;2;1;1
29;15;5;1;1
30;6;9;1;2
19;3;7;1;2
30;18;3;1;2
24;14;4;1;1
13;28;6;2;1
19;18;9;2;2
24;29;11;1;1
11;20;1;1;2
18;22;7;1;1
30;24;3;1;1
13;16;1;1;2
13;22;5;2;1
24;8;8;1;1
24;31;1;1;1
19;18;4;1;1
13;10;5;1;2
13;12;6;1;3
31;16;11;1;2
13;4;2;1;1
19;9;2;1;3
29;3;8;1;1
18;22;9;2;1
30;3;11;1;2
18;6;9;1;1
11;28;9;1;1
21;21;1;1;1
21;6;4;1;1
18;16;6;1;1
24;3;3;1;1
31;10;9;1;3
19;22;6;1;2
37;10;9;1;1
18;16;2;1;1
31;16;2;1;2
19;8;7;1;2
13;1;11;1;1
21;29;11;1;1
13;4;1;1;1
30;27;4;1;3
29;9;1;1;2
35;3;8;1;1
13;25;8;2;1
34;11;12;1;2
13;9;2;1;2
13;9;2;1;2
13;5;10;1;1
37;22;10;1;2
13;4;2;1;1
13;15;5;1;1
13;8;9;2;2
30;11;10;1;1
13;10;4;2;1
31;5;8;1;1
24;16;1;1;1
19;17;5;1;3
35;8;7;1;1
19;9;7;1;3
13;18;8;2;1
13;20;10;1;1
13;16;12;1;3
13;3;3;1;1
18;31;8;1;1
13;19;9;2;1
40;9;11;1;2
13;4;12;1;2
13;13;12;1;1
24;18;12;1;2
11;16;1;1;1
13;21;1;1;1
11;26;1;2;1
13;27;1;1;1
30;13;3;1;1
13;20;6;2;1
13;14;8;1;1
13;16;9;2;1
13;27;9;1;1
13;19;1;1;1
13;25;1;1;1
34;3;3;1;2
30;21;3;1;1
13;5;4;1;1
35;27;7;1;1
19;27;7;1;2
13;12;9;2;1
13;12;10;2;1
11;5;11;2;1
30;28;2;1;1
19;13;5;2;2
24;10;11;1;1
13;4;1;2;1
24;14;1;2;1
11;28;6;1;1
13;1;7;1;1
11;21;8;1;1
13;27;8;2;1
13;5;9;1;1
24;20;1;1;2
13;7;3;2;1
13;6;7;2;1
19;13;7;1;3
24;20;8;1;1
24;26;8;1;1
13;5;10;2;1
24;31;10;1;1
13;19;12;1;1
24;6;2;1;1
13;25;5;1;1
24;26;5;1;1
13;27;6;2;1
13;30;8;1;1
24;11;9;1;1
24;16;9;2;1
13;26;9;2;1
19;22;10;1;2
13;2;1;1;1
24;10;1;1;1
30;13;1;1;1
18;10;4;1;1
13;13;5;1;1
13;15;5;1;1
33;8;6;1;2
13;15;6;1;1
24;2;7;1;1
13;8;8;2;1
24;8;9;1;1
13;19;9;1;1
24;17;10;1;1
28;27;10;1;2
18;23;12;1;1
13;6;3;1;1
24;6;3;1;1
13;25;3;1;1
13;29;3;1;1
50;1;5;1;2
24;3;5;1;1
24;2;7;1;1
40;7;7;1;2
19;24;9;2;1
13;24;9;1;1
24;24;9;1;1
13;2;10;1;1
13;10;11;1;1
13;29;1;1;1
13;7;2;1;1
13;28;4;1;1
30;29;6;1;1
24;16;7;1;1
47;18;7;1;2
