id_acidente_tip; dia; mes; total; id_risco
47;2;1;1;1
29;3;1;1;1
13;4;1;1;1
24;4;1;1;1
24;5;1;2;1
33;6;1;2;1
29;6;1;1;1
13;7;1;2;1
47;7;1;1;1
30;8;1;1;1
24;8;1;2;1
13;9;1;1;1
25;10;1;1;1
29;11;1;1;1
29;12;1;1;1
29;12;1;1;1
29;12;1;1;3
25;12;1;1;1
24;14;1;1;1
29;14;1;1;1
13;14;1;1;1
13;14;1;1;1
47;16;1;1;1
29;17;1;1;1
29;17;1;1;1
24;18;1;1;1
27;18;1;1;1
13;18;1;1;1
13;18;1;1;1
45;19;1;1;1
13;20;1;2;1
18;22;1;1;1
29;22;1;1;1
48;22;1;1;1
24;23;1;1;1
30;23;1;1;1
19;26;1;3;1
19;26;1;2;1
24;26;1;1;1
24;28;1;1;1
30;28;1;1;1
29;28;1;1;1
13;29;1;2;1
24;30;1;1;1
24;31;1;1;1
13;31;1;2;1
45;31;1;1;1
29;1;2;1;1
18;1;2;1;1
29;1;2;1;1
18;2;2;1;1
33;2;2;1;1
24;2;2;2;2
45;2;2;1;1
13;2;2;2;1
47;2;2;1;1
24;3;2;2;1
13;3;2;1;1
80;4;2;1;1
30;5;2;1;1
24;5;2;2;1
13;6;2;1;1
21;6;2;1;1
24;6;2;1;1
24;8;2;1;1
24;8;2;1;1
29;8;2;1;3
30;8;2;1;1
13;9;2;2;1
30;10;2;2;1
38;10;2;1;1
24;10;2;1;1
30;10;2;1;1
44;11;2;1;3
24;11;2;1;1
24;11;2;2;1
13;11;2;2;1
24;11;2;1;1
47;12;2;1;1
24;12;2;1;1
25;13;2;1;1
29;13;2;1;1
25;13;2;1;1
24;13;2;1;1
80;14;2;1;1
24;14;2;1;1
18;15;2;1;1
29;15;2;1;1
11;16;2;1;1
47;17;2;1;1
13;18;2;1;1
47;18;2;1;1
35;18;2;1;1
13;18;2;2;1
25;19;2;1;1
13;21;2;1;1
19;22;2;1;3
35;23;2;1;1
45;23;2;1;1
13;23;2;2;1
80;23;2;1;1
24;24;2;2;1
47;25;2;1;1
13;25;2;2;1
29;25;2;1;1
24;26;2;1;1
47;27;2;1;1
24;27;2;1;2
29;27;2;1;1
47;27;2;1;1
47;27;2;1;1
13;28;2;1;2
13;2;3;2;1
18;2;3;1;1
35;3;3;1;1
13;4;3;2;1
24;4;3;1;1
11;4;3;2;1
44;4;3;1;1
13;4;3;2;1
24;4;3;2;1
13;5;3;2;1
21;5;3;1;1
24;5;3;1;1
24;6;3;1;1
18;7;3;1;1
30;8;3;1;1
29;8;3;1;1
13;8;3;2;1
30;9;3;1;1
18;9;3;1;1
30;11;3;1;2
47;11;3;1;1
30;11;3;1;1
81;11;3;1;1
24;12;3;1;1
13;12;3;2;1
30;12;3;1;1
33;13;3;1;1
34;14;3;1;1
30;14;3;1;1
24;15;3;1;1
47;15;3;1;1
24;15;3;1;1
24;15;3;1;1
47;16;3;1;1
13;16;3;1;1
24;17;3;2;1
24;17;3;1;1
47;18;3;1;1
13;18;3;1;1
48;18;3;1;1
24;18;3;1;3
33;19;3;1;1
45;19;3;1;1
24;20;3;1;1
30;21;3;1;1
18;21;3;1;1
13;22;3;1;1
29;22;3;1;1
29;22;3;1;1
29;22;3;1;1
24;23;3;1;1
29;24;3;1;1
24;24;3;2;3
29;24;3;1;1
29;24;3;1;1
13;25;3;1;1
19;25;3;1;3
29;25;3;2;1
13;26;3;1;1
24;26;3;1;2
13;27;3;1;1
19;27;3;1;3
25;28;3;1;1
80;28;3;1;1
24;28;3;2;1
24;28;3;1;1
18;29;3;1;1
30;30;3;1;1
13;31;3;1;3
49;31;3;2;1
24;1;4;1;1
13;1;4;1;1
30;1;4;1;1
30;1;4;1;1
48;1;4;2;1
24;2;4;1;1
24;2;4;1;1
24;2;4;1;1
80;2;4;1;1
30;3;4;1;1
30;3;4;1;3
47;4;4;1;1
25;5;4;1;1
31;5;4;1;1
24;6;4;2;1
47;7;4;2;1
29;8;4;1;1
24;8;4;1;1
21;10;4;1;1
18;10;4;1;1
24;10;4;3;1
19;11;4;1;2
18;11;4;1;2
41;13;4;1;1
13;13;4;1;1
6;13;4;1;1
33;14;4;1;1
30;14;4;1;1
24;14;4;2;1
29;15;4;1;1
30;15;4;2;2
19;16;4;1;1
13;16;4;1;1
80;16;4;1;1
28;18;4;1;1
18;18;4;1;1
33;18;4;1;1
13;19;4;1;1
18;19;4;1;1
47;20;4;2;1
30;21;4;1;1
24;21;4;2;1
18;21;4;1;1
29;21;4;1;1
33;21;4;1;1
29;21;4;1;1
48;21;4;1;1
29;21;4;1;1
13;21;4;2;1
30;22;4;1;3
29;22;4;1;1
24;23;4;2;1
30;23;4;1;2
29;23;4;1;1
30;23;4;1;1
29;24;4;1;1
29;24;4;1;1
19;24;4;1;1
33;24;4;1;1
47;26;4;1;1
47;26;4;1;1
47;26;4;1;1
30;26;4;1;1
48;26;4;2;1
11;26;4;3;1
29;26;4;1;1
24;28;4;1;2
24;28;4;2;1
13;29;4;1;1
80;29;4;1;1
13;29;4;1;1
30;29;4;2;1
48;30;4;1;1
24;30;4;1;1
35;30;4;1;1
29;1;5;1;1
13;1;5;1;1
13;1;5;2;1
33;1;5;1;1
18;2;5;1;2
30;3;5;1;1
13;3;5;1;1
21;3;5;2;1
24;4;5;1;1
29;5;5;1;1
24;5;5;1;1
19;5;5;1;1
30;6;5;2;1
13;6;5;1;1
13;6;5;2;1
13;7;5;1;1
24;7;5;1;1
24;7;5;2;1
41;7;5;1;1
24;9;5;3;3
48;10;5;1;1
24;10;5;1;1
13;11;5;2;1
13;11;5;1;1
30;11;5;2;1
30;12;5;1;1
13;13;5;1;3
29;13;5;1;1
47;13;5;1;1
11;13;5;2;1
30;15;5;1;1
13;16;5;1;1
30;17;5;1;1
30;17;5;1;1
13;18;5;1;1
13;18;5;2;1
30;19;5;1;2
45;20;5;1;1
29;21;5;1;1
24;21;5;1;1
24;21;5;1;1
29;21;5;1;1
19;22;5;2;3
29;22;5;1;1
30;22;5;1;1
24;22;5;1;1
13;22;5;2;1
18;22;5;1;1
29;23;5;1;3
24;24;5;2;1
29;25;5;1;1
13;27;5;1;1
30;27;5;1;1
30;27;5;1;2
13;27;5;1;1
29;27;5;1;1
