id_acidente_tip; dia; mes; total; id_risco
24;1;1;2;1
18;2;1;1;1
13;2;1;1;1
13;2;1;2;1
18;3;1;1;3
13;3;1;1;2
18;3;1;1;1
28;3;1;2;2
13;4;1;1;1
18;4;1;1;1
29;4;1;1;1
18;5;1;1;2
24;5;1;1;1
29;5;1;1;1
18;5;1;1;1
13;5;1;1;1
18;5;1;1;1
13;5;1;2;1
29;5;1;2;1
30;5;1;1;1
13;5;1;2;1
24;5;1;1;1
13;6;1;1;1
24;6;1;1;1
13;6;1;1;2
45;6;1;1;1
13;6;1;2;1
18;6;1;1;1
41;6;1;1;1
29;6;1;1;1
34;6;1;1;1
18;7;1;1;1
13;7;1;1;1
13;7;1;2;1
13;7;1;1;1
29;7;1;1;1
29;7;1;1;1
18;7;1;1;1
13;8;1;1;1
13;8;1;1;1
24;8;1;1;1
29;8;1;1;1
18;8;1;1;1
29;8;1;1;1
29;8;1;1;1
18;8;1;1;1
29;8;1;1;1
29;9;1;1;1
29;9;1;1;1
29;9;1;1;1
18;9;1;1;1
18;9;1;1;1
33;9;1;1;1
13;9;1;1;1
11;10;1;2;1
24;10;1;1;1
29;10;1;1;1
41;10;1;1;1
18;10;1;1;1
24;11;1;2;1
13;11;1;2;1
24;11;1;2;1
13;11;1;1;1
21;11;1;1;1
29;11;1;1;1
18;11;1;1;1
29;12;1;1;1
18;12;1;1;1
18;12;1;1;1
11;12;1;1;1
18;12;1;1;1
18;12;1;1;1
29;12;1;1;1
11;13;1;1;1
13;13;1;2;1
18;13;1;1;1
13;13;1;2;2
13;13;1;2;1
18;14;1;1;1
24;14;1;1;1
24;14;1;1;1
18;14;1;1;1
13;14;1;2;1
24;14;1;2;1
29;14;1;1;1
33;14;1;1;1
24;14;1;2;1
13;14;1;1;1
29;14;1;2;1
24;15;1;1;1
18;15;1;1;1
13;15;1;2;1
18;15;1;1;1
13;15;1;1;1
18;16;1;1;2
29;16;1;1;1
13;17;1;1;1
24;17;1;1;1
13;17;1;2;1
29;17;1;1;1
18;17;1;1;1
34;18;1;1;1
29;18;1;1;1
25;18;1;1;1
18;18;1;1;1
24;19;1;1;1
29;19;1;1;1
48;19;1;2;1
13;19;1;2;1
13;20;1;1;1
30;20;1;2;1
29;20;1;1;1
24;20;1;1;1
24;20;1;1;1
29;20;1;1;1
29;20;1;1;2
13;20;1;2;1
13;21;1;1;1
24;21;1;1;1
13;21;1;2;1
24;21;1;2;1
13;21;1;2;2
29;21;1;1;1
40;21;1;1;1
18;21;1;1;1
18;21;1;1;1
13;21;1;2;1
13;21;1;1;2
34;21;1;1;1
13;21;1;1;1
18;21;1;1;1
6;22;1;1;1
18;22;1;1;1
25;22;1;1;1
29;22;1;1;1
19;22;1;1;1
24;22;1;2;1
29;22;1;1;1
18;22;1;1;1
13;22;1;1;1
24;23;1;2;1
13;23;1;1;1
13;23;1;1;1
13;23;1;1;1
24;23;1;1;1
13;23;1;3;1
18;23;1;1;1
13;23;1;2;3
13;23;1;2;1
18;23;1;1;1
29;24;1;1;1
13;24;1;2;1
29;24;1;1;1
31;24;1;1;3
13;24;1;2;1
29;24;1;1;1
13;24;1;2;3
13;25;1;1;3
13;25;1;2;1
18;25;1;1;1
18;25;1;1;1
29;25;1;1;1
13;26;1;2;1
29;26;1;1;1
13;26;1;2;1
24;26;1;2;1
35;26;1;1;1
25;26;1;1;1
13;27;1;1;1
80;27;1;1;1
29;27;1;1;1
13;27;1;2;1
13;27;1;2;1
29;27;1;1;1
6;27;1;1;1
18;28;1;1;1
11;28;1;4;1
18;28;1;1;1
29;28;1;1;1
29;28;1;1;1
18;28;1;1;1
13;28;1;2;1
13;28;1;1;1
29;28;1;1;1
28;29;1;1;1
18;29;1;1;1
21;29;1;1;1
29;29;1;1;1
18;29;1;1;1
29;29;1;1;1
24;29;1;1;1
18;29;1;1;1
18;29;1;1;1
13;30;1;1;1
18;30;1;1;1
18;30;1;1;1
25;31;1;1;1
11;31;1;1;1
44;31;1;1;2
13;31;1;1;2
29;31;1;1;1
18;31;1;1;1
24;31;1;2;1
24;1;2;1;1
33;1;2;1;1
25;1;2;1;1
21;2;2;2;1
13;2;2;1;1
19;2;2;2;2
13;2;2;2;1
21;2;2;1;1
31;2;2;1;3
24;3;2;1;1
13;3;2;1;1
13;3;2;1;1
13;3;2;2;1
13;3;2;2;1
13;4;2;2;1
18;4;2;1;1
11;4;2;3;1
24;4;2;2;1
24;4;2;1;1
31;4;2;1;3
13;4;2;1;1
13;4;2;1;1
34;4;2;1;1
13;4;2;2;1
13;4;2;2;1
24;5;2;1;1
13;5;2;2;1
29;5;2;1;1
13;5;2;1;1
29;5;2;1;1
29;5;2;2;1
13;5;2;2;1
18;5;2;1;1
38;5;2;1;1
13;6;2;2;1
13;6;2;1;1
18;6;2;1;3
29;6;2;1;1
25;6;2;1;1
18;7;2;1;1
24;7;2;1;1
19;7;2;1;1
29;7;2;1;1
18;7;2;1;1
18;8;2;1;1
29;8;2;1;1
18;8;2;1;1
29;9;2;1;1
40;9;2;1;3
13;9;2;1;1
13;9;2;2;3
43;9;2;1;3
24;9;2;1;1
13;9;2;2;1
29;9;2;1;1
18;9;2;1;2
29;9;2;1;1
29;9;2;1;1
13;9;2;1;1
41;9;2;1;1
18;10;2;1;1
29;10;2;1;1
13;10;2;1;1
13;10;2;2;1
29;10;2;1;1
18;10;2;1;1
18;10;2;1;1
29;10;2;1;1
13;10;2;1;1
18;11;2;1;2
13;11;2;2;1
24;11;2;2;1
13;11;2;2;1
13;11;2;1;1
29;11;2;1;1
33;11;2;1;1
13;11;2;1;1
13;11;2;2;3
24;11;2;1;1
24;11;2;1;1
13;12;2;1;1
29;12;2;1;1
13;12;2;2;1
29;12;2;1;1
13;12;2;2;2
11;13;2;1;1
11;13;2;1;1
11;13;2;1;1
18;13;2;1;1
29;13;2;1;1
29;13;2;1;1
24;13;2;1;1
13;14;2;1;1
13;14;2;1;1
29;14;2;1;1
18;14;2;1;1
13;15;2;2;1
24;16;2;1;1
11;16;2;1;2
29;16;2;1;1
13;16;2;2;1
41;17;2;1;1
24;17;2;1;1
35;17;2;1;1
6;17;2;1;2
13;17;2;2;1
29;18;2;1;1
29;18;2;1;1
29;18;2;1;1
18;18;2;1;1
18;18;2;1;1
24;19;2;1;1
13;19;2;2;2
18;19;2;1;1
46;19;2;1;1
13;19;2;2;1
29;20;2;1;1
24;20;2;2;1
18;21;2;1;1
13;21;2;1;1
18;21;2;1;1
13;21;2;2;1
25;22;2;1;1
43;22;2;1;1
18;22;2;1;1
29;22;2;1;1
