id_acidente_tip; dia; mes; total; id_risco
18;1;4;1;1
29;2;4;1;1
29;4;4;1;1
13;5;4;1;1
29;5;4;1;1
13;7;4;1;1
13;8;4;1;1
13;9;4;1;1
13;9;4;2;1
29;9;4;1;1
18;9;4;1;1
13;11;4;1;1
11;12;4;1;1
18;12;4;1;1
29;12;4;1;1
13;12;4;1;1
29;12;4;1;1
13;12;4;2;1
18;12;4;1;1
18;12;4;1;1
45;12;4;1;1
18;13;4;1;1
13;14;4;1;1
18;14;4;2;1
52;14;4;1;1
18;15;4;1;1
24;15;4;1;2
18;15;4;1;1
33;15;4;1;1
11;15;4;2;1
18;15;4;1;1
13;16;4;1;1
24;17;4;2;1
24;17;4;3;1
13;17;4;1;1
52;18;4;1;1
52;18;4;2;1
24;19;4;1;1
29;19;4;1;1
24;19;4;1;2
18;20;4;1;1
13;21;4;1;1
6;21;4;1;1
33;22;4;2;1
29;22;4;1;1
83;22;4;1;1
13;22;4;1;1
18;22;4;1;1
19;23;4;2;1
18;23;4;1;1
18;23;4;1;1
18;23;4;1;1
13;24;4;3;1
30;24;4;1;3
13;24;4;2;1
13;24;4;2;1
6;24;4;1;1
13;25;4;1;1
29;27;4;1;1
29;28;4;1;3
24;28;4;2;1
11;28;4;2;1
29;28;4;2;1
21;29;4;1;1
29;30;4;2;1
18;30;4;1;1
13;30;4;2;1
47;1;5;2;1
18;1;5;1;1
13;2;5;1;1
24;2;5;1;1
11;2;5;4;2
13;3;5;2;1
6;3;5;1;3
18;5;5;1;1
13;5;5;2;1
30;6;5;1;1
11;6;5;4;2
13;6;5;3;2
18;6;5;1;1
13;6;5;1;1
19;7;5;2;1
19;7;5;1;1
35;7;5;1;1
13;8;5;2;1
18;10;5;1;1
33;10;5;1;1
37;10;5;1;1
52;10;5;1;1
19;12;5;2;1
13;12;5;1;1
6;12;5;1;1
11;13;5;4;1
24;13;5;1;3
13;13;5;1;1
13;14;5;2;1
19;14;5;1;3
11;14;5;1;1
30;14;5;1;1
13;14;5;1;1
30;15;5;1;1
93;15;5;1;1
52;15;5;1;1
19;16;5;1;1
29;16;5;1;2
24;17;5;1;1
13;18;5;1;1
29;18;5;1;1
19;18;5;2;1
13;19;5;1;1
13;19;5;1;1
13;19;5;1;1
13;19;5;1;1
24;19;5;1;1
19;20;5;1;1
52;20;5;1;1
19;20;5;1;3
13;21;5;1;1
19;22;5;2;2
29;22;5;1;1
11;22;5;3;1
18;23;5;1;1
19;23;5;2;1
19;23;5;2;2
24;23;5;1;1
24;23;5;1;1
52;24;5;1;1
18;24;5;1;1
13;24;5;1;1
18;25;5;1;1
11;25;5;2;1
13;26;5;1;1
13;26;5;1;1
24;27;5;1;2
13;27;5;1;1
18;28;5;1;1
13;28;5;1;1
13;28;5;1;1
6;28;5;1;2
11;29;5;3;1
24;29;5;2;1
24;30;5;1;1
13;30;5;1;3
18;30;5;1;2
24;31;5;1;1
52;31;5;1;3
29;31;5;1;1
52;31;5;1;1
24;31;5;1;1
29;1;6;1;1
13;2;6;2;1
24;2;6;1;1
18;3;6;1;1
29;3;6;1;1
18;3;6;1;1
24;4;6;1;3
13;4;6;2;1
24;4;6;1;2
13;6;6;1;2
13;6;6;2;1
19;6;6;1;2
19;7;6;1;3
18;7;6;1;1
24;8;6;1;1
18;8;6;1;1
33;8;6;1;1
24;9;6;1;1
24;9;6;1;1
29;9;6;1;1
29;9;6;1;1
29;10;6;1;1
13;10;6;2;1
6;10;6;1;1
11;10;6;1;1
29;11;6;1;2
13;12;6;4;1
29;12;6;2;1
52;12;6;1;1
19;13;6;2;3
13;15;6;1;1
19;15;6;1;1
30;15;6;1;1
13;16;6;1;1
13;16;6;1;1
11;17;6;3;2
18;17;6;1;1
13;17;6;1;1
13;17;6;1;1
51;18;6;1;3
11;18;6;3;1
24;18;6;1;1
47;18;6;1;1
24;19;6;3;1
13;19;6;1;1
19;20;6;1;2
29;20;6;1;1
11;21;6;4;3
6;21;6;1;1
13;21;6;1;1
13;21;6;2;1
29;21;6;1;1
13;22;6;2;1
13;22;6;2;3
29;23;6;1;1
19;23;6;2;3
13;23;6;2;1
13;23;6;2;1
24;24;6;2;1
24;25;6;1;1
13;25;6;1;1
19;25;6;2;1
18;26;6;1;1
29;28;6;1;1
13;28;6;1;1
6;28;6;1;1
13;28;6;1;1
19;29;6;2;1
18;29;6;1;1
52;29;6;1;1
13;29;6;2;1
13;30;6;2;2
13;30;6;2;1
18;1;7;1;3
29;1;7;1;1
24;1;7;1;1
13;1;7;1;1
29;2;7;1;1
19;2;7;1;3
93;2;7;1;1
24;2;7;1;1
18;3;7;1;1
24;4;7;1;1
19;4;7;2;3
13;4;7;1;1
11;5;7;1;3
24;7;7;2;1
29;8;7;1;1
24;8;7;1;2
13;8;7;1;1
18;9;7;1;3
24;10;7;1;2
6;10;7;1;1
18;10;7;1;1
13;10;7;2;1
13;12;7;2;2
29;14;7;1;1
24;14;7;2;1
29;14;7;2;1
18;14;7;1;1
13;14;7;1;1
18;14;7;2;1
52;14;7;2;1
13;15;7;2;1
29;15;7;1;1
19;15;7;1;1
29;15;7;1;1
29;16;7;1;2
11;16;7;3;1
93;16;7;1;1
52;16;7;1;1
19;16;7;2;1
11;16;7;1;1
11;16;7;1;1
18;17;7;1;2
11;17;7;3;1
6;17;7;1;2
52;17;7;2;1
24;19;7;1;1
29;19;7;1;1
13;20;7;2;1
24;20;7;1;1
29;20;7;1;1
29;20;7;1;1
6;20;7;1;1
18;21;7;1;1
19;21;7;1;2
13;21;7;1;1
13;22;7;2;1
29;22;7;1;1
29;22;7;1;1
29;22;7;1;1
