dia;mes;qt_acidentes;id_acidente_tip;id_risco
4;9;2;13;2
5;9;3;30;1
5;9;1;52;1
6;9;1;52;2
6;9;1;52;1
6;9;1;52;3
6;9;1;52;1
7;9;1;6;1
7;9;2;52;1
8;9;1;18;1
8;9;1;52;1
9;9;2;30;3
9;9;1;52;1
9;9;1;52;1
10;9;1;52;1
10;9;1;52;1
11;9;1;52;1
11;9;2;13;1
12;9;1;52;1
12;9;1;18;2
12;9;2;52;1
12;9;2;52;1
13;9;1;32;1
13;9;1;13;1
13;9;1;6;1
13;9;1;52;1
16;9;1;52;1
16;9;2;52;1
17;9;2;52;1
18;9;1;18;2
18;9;1;52;1
18;9;1;52;1
18;9;1;13;1
18;9;1;52;1
19;9;1;52;1
19;9;1;52;1
19;9;1;52;1
20;9;1;52;1
20;9;1;45;2
20;9;2;52;2
21;9;1;52;1
21;9;1;18;1
21;9;1;18;1
21;9;1;6;1
21;9;2;52;1
21;9;1;52;1
22;9;1;52;1
22;9;1;52;1
23;9;2;24;1
23;9;2;24;3
23;9;1;85;1
24;9;2;13;1
24;9;1;13;1
24;9;1;11;1
24;9;2;47;1
24;9;1;6;1
24;9;1;6;1
25;9;2;13;1
25;9;3;52;1
25;9;1;52;1
25;9;3;11;1
25;9;1;52;1
26;9;1;52;1
26;9;1;52;1
26;9;1;19;3
26;9;2;19;1
27;9;1;52;1
27;9;1;18;1
28;9;1;18;1
29;9;1;13;1
30;9;2;13;1
1;10;1;18;1
1;10;1;13;1
1;10;1;29;1
1;10;1;30;1
1;10;2;52;1
2;10;1;13;1
2;10;1;52;1
3;10;2;13;1
3;10;2;13;1
4;10;1;18;1
5;10;1;52;1
5;10;1;24;1
5;10;1;52;1
6;10;1;52;1
6;10;1;52;1
6;10;1;13;3
6;10;2;13;1
6;10;1;13;1
6;10;2;52;2
6;10;1;52;1
7;10;2;52;1
7;10;1;13;1
7;10;1;24;1
7;10;1;52;1
8;10;1;52;1
8;10;1;52;1
8;10;1;52;1
9;10;2;52;1
9;10;1;30;1
9;10;1;18;1
11;10;1;18;1
11;10;1;52;1
11;10;1;18;1
11;10;2;13;1
13;10;1;18;1
13;10;2;11;2
13;10;2;19;3
13;10;2;13;1
13;10;1;6;3
13;10;2;30;1
13;10;2;52;1
14;10;1;24;1
14;10;2;19;1
14;10;1;18;1
14;10;1;29;1
14;10;1;13;1
14;10;1;24;1
15;10;1;13;1
15;10;2;30;1
15;10;3;24;1
16;10;1;13;1
16;10;2;13;1
16;10;1;18;1
16;10;2;13;1
16;10;1;52;1
17;10;1;13;1
18;10;1;52;1
18;10;1;24;1
18;10;1;19;1
19;10;3;52;1
19;10;1;63;1
20;10;1;13;1
20;10;1;52;1
20;10;1;37;3
20;10;2;13;1
20;10;1;52;1
20;10;1;13;1
21;10;1;29;1
21;10;3;24;1
21;10;2;24;1
21;10;2;24;1
22;10;1;13;1
22;10;2;19;2
22;10;3;52;1
23;10;1;13;1
23;10;2;24;1
23;10;4;19;3
23;10;1;29;1
23;10;1;18;1
23;10;2;13;1
23;10;2;13;1
24;10;1;18;1
24;10;1;19;3
24;10;1;13;1
24;10;1;24;1
25;10;1;13;1
25;10;2;13;1
25;10;1;24;1
25;10;1;18;1
25;10;1;19;1
25;10;1;52;1
25;10;2;24;1
26;10;1;29;1
26;10;1;19;2
26;10;1;6;1
27;10;1;18;1
27;10;2;13;1
27;10;1;18;1
27;10;1;13;1
28;10;1;18;1
28;10;1;13;1
28;10;1;18;1
28;10;1;96;1
28;10;1;24;1
28;10;1;13;1
28;10;2;13;1
28;10;1;52;1
29;10;1;52;1
29;10;2;13;1
29;10;1;32;1
30;10;1;24;1
30;10;1;34;2
31;10;2;13;1
31;10;1;30;1
31;10;1;24;1
31;10;1;52;1
1;11;1;37;3
1;11;1;6;1
1;11;1;52;1
1;11;1;29;1
1;11;1;6;3
1;11;1;24;1
1;11;1;13;1
2;11;1;24;1
2;11;2;13;1
2;11;1;13;1
3;11;2;19;2
3;11;1;52;1
3;11;1;24;1
3;11;1;29;1
3;11;1;29;1
4;11;1;29;1
4;11;1;13;1
4;11;1;24;2
4;11;1;18;1
4;11;1;18;1
4;11;1;13;1
4;11;1;24;1
4;11;3;13;2
4;11;1;19;3
5;11;1;6;3
5;11;1;6;1
5;11;2;29;1
5;11;1;29;1
5;11;1;19;2
6;11;1;24;1
6;11;1;24;1
6;11;1;13;3
6;11;2;30;3
6;11;2;13;1
7;11;1;63;1
7;11;1;18;1
7;11;1;13;1
7;11;1;24;1
7;11;1;18;1
7;11;1;13;1
8;11;2;13;1
8;11;1;24;1
9;11;1;52;1
10;11;2;13;1
10;11;1;18;1
10;11;1;6;1
10;11;1;29;1
11;11;1;13;1
11;11;1;29;1
11;11;1;13;1
11;11;1;29;1
12;11;1;30;1
12;11;1;29;1
12;11;1;13;1
12;11;1;32;1
12;11;1;52;1
12;11;2;11;1
12;11;1;18;1
12;11;1;52;1
12;11;2;13;1
12;11;3;35;1
13;11;1;18;1
13;11;2;24;1
14;11;1;34;1
14;11;1;35;1
14;11;1;19;1
14;11;1;11;1
14;11;1;44;2
14;11;1;44;1
15;11;1;87;1
15;11;1;11;1
15;11;1;13;1
16;11;1;18;1
17;11;1;29;3
17;11;1;30;1
17;11;1;19;1
17;11;2;13;1
17;11;1;18;1
18;11;2;13;2
19;11;1;19;3
19;11;1;6;1
19;11;1;18;1
19;11;2;13;1
20;11;3;11;1
20;11;1;24;1
20;11;1;52;1
20;11;3;18;1
21;11;2;13;1
21;11;1;13;3
21;11;2;11;1
22;11;2;24;1
22;11;1;6;1
23;11;1;35;1
23;11;2;13;1
24;11;1;13;1
24;11;1;18;1
24;11;1;30;1
25;11;1;13;1
25;11;2;19;3
25;11;1;29;1
25;11;1;29;1
25;11;1;29;1
25;11;2;13;1
25;11;1;24;1
25;11;1;29;1
25;11;3;18;1
25;11;1;24;1
26;11;1;52;1
26;11;2;13;1
26;11;1;87;1
26;11;1;52;1
26;11;3;24;1
27;11;2;13;1
27;11;2;24;1
27;11;2;11;1
27;11;1;29;2
27;11;2;30;1
27;11;1;24;1
27;11;2;13;1
27;11;3;47;1
