id_acidente_tip;dia;mes;qt_acidentes;id_risco
24;2;1;2;1
24;2;1;1;2
13;4;1;1;1
24;4;1;1;1
24;5;1;1;1
112;5;1;1;1
24;5;1;1;1
13;5;1;1;1
112;6;1;1;1
2;6;1;1;1
33;6;1;1;1
13;7;1;1;1
13;8;1;2;1
11;8;1;1;3
13;8;1;1;1
24;9;1;1;1
18;9;1;1;1
13;9;1;1;1
11;11;1;1;1
11;11;1;1;1
24;12;1;1;1
24;12;1;1;1
24;12;1;1;1
13;13;1;1;2
24;13;1;1;1
18;14;1;1;1
24;14;1;1;1
13;14;1;2;2
24;14;1;1;1
24;14;1;1;1
24;14;1;1;1
24;14;1;1;1
112;15;1;1;1
18;15;1;1;2
24;15;1;1;1
13;15;1;1;1
2;15;1;1;1
24;16;1;1;1
13;17;1;1;2
112;18;1;1;1
18;18;1;1;1
11;18;1;2;2
18;19;1;1;2
24;20;1;1;1
2;21;1;1;1
112;21;1;1;1
24;21;1;1;1
13;22;1;1;1
112;22;1;1;1
24;23;1;1;1
18;23;1;1;1
13;23;1;1;1
112;23;1;1;1
2;23;1;1;1
13;23;1;1;1
13;25;1;2;1
18;25;1;1;1
2;25;1;1;1
2;25;1;1;1
24;26;1;1;1
24;26;1;1;1
13;27;1;1;1
2;27;1;2;1
13;27;1;2;2
11;28;1;2;1
2;29;1;1;1
13;30;1;1;1
13;30;1;1;1
24;31;1;1;1
24;1;2;2;1
13;1;2;2;1
52;2;2;1;1
24;3;2;2;1
2;3;2;1;1
24;3;2;1;1
24;4;2;1;2
13;5;2;1;1
13;6;2;1;1
64;6;2;1;2
52;6;2;1;2
13;6;2;1;1
24;7;2;1;1
112;8;2;1;1
24;8;2;1;1
24;9;2;2;1
2;10;2;1;1
13;10;2;1;2
13;10;2;1;1
52;10;2;1;1
13;10;2;1;1
24;10;2;1;1
13;11;2;1;1
13;12;2;1;1
13;12;2;1;1
24;12;2;1;1
30;13;2;1;1
6;13;2;1;1
24;16;2;1;1
24;17;2;1;2
112;17;2;1;2
11;17;2;1;1
24;19;2;1;1
18;22;2;1;2
24;22;2;1;1
24;22;2;1;1
18;22;2;1;1
13;23;2;2;2
13;23;2;1;1
2;24;2;1;1
2;24;2;1;1
2;24;2;1;1
24;25;2;1;1
30;25;2;1;2
13;25;2;1;1
6;26;2;1;1
13;26;2;1;1
11;27;2;2;1
30;27;2;1;1
112;1;3;1;1
24;1;3;2;1
13;1;3;1;1
11;1;3;2;1
24;1;3;1;1
24;1;3;2;1
13;1;3;1;1
24;1;3;1;1
2;2;3;1;1
13;2;3;1;2
18;3;3;1;1
13;3;3;2;1
24;3;3;1;1
63;4;3;1;1
24;4;3;1;1
24;4;3;1;1
112;5;3;1;1
11;5;3;1;1
13;6;3;1;1
2;7;3;1;1
24;7;3;1;2
2;7;3;1;1
18;9;3;1;2
24;9;3;1;1
24;9;3;1;1
24;9;3;1;1
112;10;3;1;1
18;10;3;1;2
