dia;mes;qt_acidentes;id_risco
1;1;3;1
1;2;16;1
1;3;15;1
1;4;12;1
1;4;2;2
1;5;3;1
1;5;1;3
1;6;8;1
1;6;2;2
1;7;10;1
1;7;2;2
1;8;12;1
1;9;9;1
1;9;2;2
1;10;14;1
1;11;5;1
1;12;10;1
1;12;2;2
2;1;1;1
2;2;9;1
2;2;5;2
2;3;9;1
2;4;8;1
2;4;1;2
2;5;11;1
2;6;10;1
2;6;1;2
2;7;16;1
2;8;9;1
2;8;3;2
2;9;7;1
2;9;1;2
2;10;21;1
2;10;1;3
2;11;3;1
2;12;17;1
3;1;3;1
3;2;14;1
3;3;3;1
3;3;2;2
3;4;7;1
3;5;8;1
3;6;15;1
3;7;17;1
3;7;2;2
3;8;18;1
3;9;17;1
3;9;1;2
3;10;13;1
3;10;2;2
3;11;7;1
3;12;20;1
4;1;9;1
4;2;10;1
4;3;16;1
4;3;2;2
4;4;9;1
4;5;7;1
4;6;9;1
4;7;11;1
4;7;1;3
4;8;9;1
4;9;10;1
4;9;3;2
4;10;19;1
4;10;2;2
4;11;8;1
4;12;20;1
5;1;2;1
5;2;15;1
5;2;4;2
5;3;14;1
5;4;1;1
5;4;2;3
5;5;11;1
5;6;8;1
5;7;14;1
5;8;9;1
5;8;5;3
5;9;3;1
5;10;10;1
5;11;13;1
5;12;15;1
5;12;5;2
6;1;8;1
6;2;6;1
6;2;2;2
6;3;12;1
6;3;3;2
6;4;10;1
6;5;8;1
6;5;1;2
6;6;10;1
6;6;1;2
6;7;17;1
6;8;7;1
6;9;3;1
6;10;9;1
6;10;1;2
6;11;17;1
6;12;20;1
7;1;1;2
7;1;1;3
7;2;17;1
7;2;2;2
7;3;3;1
7;4;7;1
7;4;1;2
7;4;3;3
7;5;7;1
7;6;6;1
7;6;2;2
7;7;15;1
7;8;9;1
7;8;2;2
7;9;2;1
7;10;12;1
7;10;3;3
7;11;16;1
7;12;12;1
7;12;2;2
8;1;6;1
8;1;2;2
8;2;13;1
8;3;11;1
8;4;7;1
8;5;9;1
8;6;12;1
8;6;2;2
8;6;2;3
8;7;15;1
8;7;4;2
8;8;7;1
8;8;2;2
8;9;9;1
8;10;10;1
8;10;2;2
8;11;8;1
8;11;1;2
8;12;21;1
8;12;2;3
9;1;10;1
9;2;20;1
9;3;13;1
9;4;6;1
9;4;1;3
9;5;11;1
9;5;1;2
9;6;8;1
9;7;9;1
9;7;1;3
9;8;12;1
9;8;3;2
9;9;5;1
9;10;10;1
9;10;2;2
9;11;6;1
9;11;1;2
9;12;18;1
9;12;1;2
10;1;14;1
10;2;9;1
10;2;2;2
10;3;10;1
10;4;4;1
10;5;9;1
10;6;9;1
10;7;20;1
10;7;2;3
10;8;7;1
10;8;1;2
10;9;3;1
10;10;24;1
10;10;1;3
10;11;12;1
10;12;20;1
10;12;4;2
11;1;17;1
11;2;12;1
11;3;15;1
11;3;5;2
11;4;8;1
11;4;3;2
11;4;1;3
11;5;6;1
11;5;1;2
11;6;8;1
11;6;2;2
11;7;16;1
11;7;2;3
11;8;14;1
11;8;1;3
11;9;12;1
11;9;1;2
11;10;25;1
11;10;1;2
11;11;13;1
11;11;2;2
11;12;21;1
12;1;15;1
12;2;22;1
12;3;7;1
12;4;6;1
12;5;9;1
12;5;1;3
12;6;15;1
12;6;1;2
12;7;8;1
12;7;4;2
12;7;2;3
12;8;7;1
12;9;13;1
12;10;5;1
12;11;10;1
12;12;17;1
12;12;4;2
13;1;23;1
13;2;26;1
13;2;2;2
13;3;17;1
13;4;7;1
13;4;1;2
13;5;8;1
13;6;7;1
13;6;2;2
13;7;8;1
13;8;8;1
13;9;12;1
13;10;9;1
13;11;13;1
13;11;1;3
13;12;8;1
13;12;1;3
14;1;15;1
14;1;2;3
14;2;19;1
14;3;9;1
14;4;6;1
14;4;2;3
14;5;3;1
14;6;18;1
14;7;13;1
14;8;10;1
14;9;13;1
14;10;14;1
14;10;2;2
14;11;6;1
14;11;2;2
14;12;16;1
15;1;19;1
15;1;1;3
15;2;16;1
15;2;2;2
15;3;9;1
15;4;7;1
15;4;3;3
15;5;12;1
15;6;16;1
15;6;4;2
15;6;2;3
15;7;9;1
15;8;13;1
15;9;14;1
15;10;6;1
15;11;6;1
15;11;3;2
15;12;11;1
15;12;1;2
15;12;2;3
16;1;14;1
16;1;2;2
16;2;16;1
16;2;2;2
16;3;18;1
16;3;2;2
16;4;15;1
16;4;1;2
16;5;8;1
16;6;9;1
16;6;1;2
16;7;24;1
16;7;1;2
16;8;10;1
16;9;12;1
16;10;11;1
16;10;2;2
16;11;17;1
16;12;15;1
17;1;21;1
17;2;19;1
17;3;10;1
17;4;15;1
17;5;6;1
17;6;16;1
17;6;1;2
17;6;3;3
17;7;9;1
17;7;2;2
17;7;1;3
17;8;11;1
17;9;19;1
17;10;14;1
17;10;2;2
17;11;14;1
17;12;16;1
18;1;23;1
18;1;2;2
18;2;13;1
18;3;18;1
18;3;2;2
18;3;2;3
18;4;8;1
18;4;2;2
18;5;5;1
18;5;4;3
18;6;19;1
18;6;4;2
18;7;22;1
18;7;1;2
18;8;14;1
18;9;10;1
18;9;2;2
18;10;10;1
18;10;1;2
18;11;8;1
18;11;2;2
18;12;14;1
19;1;12;1
19;2;11;1
19;3;11;1
19;3;1;2
19;3;1;3
19;4;5;1
19;5;18;1
19;6;27;1
19;6;1;3
19;7;20;1
19;8;18;1
19;8;2;2
19;8;1;3
19;9;11;1
19;10;19;1
19;11;11;1
19;12;13;1
20;1;14;1
20;2;14;1
20;3;7;1
20;3;2;3
20;4;21;1
20;5;13;1
20;6;11;1
20;7;13;1
20;8;14;1
20;9;11;1
20;10;14;1
20;10;2;2
20;11;9;1
20;11;2;2
20;12;11;1
20;12;2;2
21;1;13;1
21;1;3;2
21;1;2;3
21;2;14;1
21;2;3;2
21;3;10;1
21;3;2;2
21;4;3;1
21;4;1;2
21;5;18;1
21;6;8;1
21;6;1;2
21;6;1;3
21;7;18;1
21;8;18;1
21;9;9;1
21;9;2;2
21;10;17;1
21;11;9;1
21;12;15;1
22;1;20;1
22;1;2;2
22;2;22;1
22;3;4;1
22;3;2;2
22;4;2;1
22;5;18;1
22;5;2;2
22;5;2;3
22;6;15;1
22;7;9;1
22;7;1;2
22;8;11;1
22;8;4;2
22;9;19;1
22;10;8;1
22;11;6;1
22;12;6;1
23;1;16;1
23;1;6;2
23;2;18;1
23;3;9;1
23;4;8;1
23;5;8;1
23;6;18;1
23;7;17;1
23;7;2;2
23;8;12;1
23;8;2;3
23;9;7;1
23;10;11;1
23;11;16;1
23;11;4;2
23;12;15;1
24;1;20;1
24;1;1;2
24;2;7;1
24;3;7;1
24;4;3;1
24;4;2;2
24;5;15;1
24;5;2;2
24;6;17;1
24;7;20;1
24;7;1;2
24;8;19;1
24;9;11;1
24;9;1;3
24;10;7;1
24;11;15;1
24;12;2;2
25;1;36;1
25;2;10;1
25;2;2;2
25;3;10;1
25;3;2;2
25;4;12;1
25;4;1;2
25;5;10;1
25;6;14;1
25;6;2;2
25;7;11;1
25;7;3;2
25;7;2;3
25;8;7;1
25;8;2;2
25;9;11;1
25;10;6;1
25;11;14;1
26;1;20;1
26;2;23;1
26;2;3;2
26;3;10;1
26;3;2;2
26;4;11;1
26;4;1;3
26;5;14;1
26;6;22;1
26;7;13;1
26;8;10;1
26;9;5;1
26;10;14;1
26;10;1;2
26;11;9;1
26;11;1;2
26;12;7;1
27;1;10;1
27;1;3;3
27;2;20;1
27;3;12;1
27;4;20;1
27;4;2;2
27;5;6;1
