dia;mes;qt_acidentes;id_risco
1;2;2;1
1;3;3;1
1;4;1;2
1;5;1;1
1;6;3;1
1;7;1;1
1;8;1;1
1;9;5;1
1;10;1;1
1;11;2;1
1;12;3;2
2;5;1;1
2;6;1;1
2;6;1;2
2;9;2;1
2;11;1;1
2;12;1;1
3;2;1;1
3;3;4;1
3;4;1;1
3;6;2;1
3;7;3;1
3;7;1;2
3;10;1;1
3;11;1;1
4;2;2;1
4;4;3;1
4;5;1;1
4;5;1;2
4;6;2;1
4;7;1;1
4;8;1;1
4;9;1;1
4;10;1;1
4;11;1;2
4;12;2;1
5;1;2;1
5;2;6;1
5;3;1;1
5;5;4;1
5;6;1;1
5;8;2;1
5;9;1;1
5;10;1;1
5;11;2;1
5;12;2;1
6;1;1;1
6;2;1;3
6;3;4;1
6;4;2;1
6;5;1;1
6;6;1;1
6;8;1;1
6;10;2;1
6;11;3;1
7;3;1;2
7;4;1;2
7;8;1;1
7;11;1;1
8;1;2;1
8;3;1;1
8;4;8;1
8;5;2;1
8;6;1;1
8;7;1;2
8;8;1;1
8;8;1;2
8;9;4;1
8;10;2;1
9;1;2;3
9;2;2;1
9;4;1;1
9;5;1;2
9;6;1;1
9;8;4;1
9;9;1;1
9;10;2;1
9;12;1;1
10;1;1;1
10;2;1;1
10;3;1;1
10;5;3;1
10;6;2;1
10;8;1;1
10;9;4;1
10;10;1;1
10;11;1;2
10;12;1;1
11;1;2;1
11;2;1;2
11;4;2;1
11;10;3;1
11;11;1;1
11;11;1;2
11;12;1;1
12;1;2;1
12;3;3;1
12;4;1;1
12;7;2;1
12;8;2;1
12;9;1;1
12;10;1;1
13;1;1;1
13;3;5;1
13;4;1;1
13;5;2;1
13;7;1;1
13;8;3;1
13;9;2;1
13;10;1;2
13;11;2;1
14;1;1;1
14;3;4;1
14;6;2;1
14;7;2;1
14;8;2;1
14;9;1;1
14;10;1;1
14;11;1;1
15;1;1;1
15;2;3;1
15;3;1;1
15;4;1;2
15;6;1;1
15;7;1;2
15;9;1;1
16;1;2;1
16;2;1;1
16;3;1;1
16;3;1;2
16;4;4;1
16;5;1;2
16;7;1;1
16;8;1;1
16;10;1;1
16;11;1;1
16;12;3;1
17;1;1;2
17;2;1;1
17;3;1;1
17;4;2;1
17;5;1;2
17;7;3;2
17;8;1;1
17;8;1;2
17;9;1;1
17;11;2;1
17;11;1;2
18;1;4;1
18;2;1;1
18;3;1;1
18;3;1;2
18;4;1;1
18;6;4;1
18;7;1;1
18;8;1;1
18;9;3;2
18;11;4;1
18;12;5;1
18;12;2;2
19;2;1;1
19;3;1;1
19;4;1;1
19;5;1;1
19;6;1;1
19;7;2;1
19;8;3;1
19;12;7;1
19;12;1;2
20;4;1;1
20;4;1;2
20;5;2;1
20;6;2;1
20;7;4;1
20;8;4;1
20;9;1;1
20;10;3;1
20;11;1;2
20;12;1;1
21;1;1;1
21;3;1;1
21;3;1;2
21;5;1;1
21;5;2;2
21;6;1;1
21;7;3;1
21;8;2;1
21;9;4;1
21;10;2;3
22;1;1;1
22;2;2;1
22;3;1;1
22;6;1;1
22;7;3;1
22;9;1;1
22;10;1;1
23;1;2;1
23;3;5;1
23;3;1;2
23;5;1;1
23;5;1;2
23;6;1;3
23;8;1;1
23;10;2;2
23;11;5;1
23;12;1;1
24;5;2;1
24;7;1;1
24;8;1;1
25;1;1;1
25;4;1;1
25;6;2;1
25;9;4;1
25;10;1;1
25;11;1;1
26;2;2;1
26;3;1;1
26;3;1;2
26;4;3;1
26;6;2;1
26;7;2;1
26;8;1;1
26;10;3;1
26;11;3;1
26;12;2;1
27;2;3;1
27;3;3;1
27;4;3;1
27;6;2;2
27;9;1;1
27;10;2;1
27;10;1;2
27;11;4;1
27;11;2;2
27;12;6;1
28;1;2;1
28;3;4;1
28;7;1;1
28;9;2;1
28;11;2;1
29;1;1;1
29;2;2;1
29;3;2;1
29;6;3;1
29;9;1;1
29;9;1;2
29;11;4;1
29;12;2;1
29;12;1;2
30;1;1;1
30;6;4;1
30;7;2;1
30;9;1;1
30;9;1;3
30;10;1;2
30;12;2;2
31;5;2;1
31;7;4;1
31;8;4;1
31;10;1;1
