dia;mes;qt_acidentes;id_risco
1;1;4;1
1;2;5;1
1;3;7;1
1;4;12;1
1;4;2;3
1;5;2;1
1;6;4;1
1;7;6;1
1;7;1;2
1;8;3;1
1;8;1;2
1;9;11;1
1;10;12;1
1;11;7;1
1;11;1;2
1;12;5;1
1;12;1;2
2;1;4;1
2;2;9;1
2;2;1;2
2;3;12;1
2;3;1;2
2;3;1;3
2;4;1;1
2;4;2;2
2;5;10;1
2;6;6;1
2;6;1;2
2;7;17;1
2;7;1;2
2;8;9;1
2;8;2;2
2;9;12;1
2;9;2;2
2;10;8;1
2;10;1;2
2;11;3;1
2;11;2;2
2;12;4;1
3;1;15;1
3;1;1;2
3;2;5;1
3;3;6;1
3;4;11;1
3;4;2;2
3;5;3;1
3;5;1;2
3;6;9;1
3;6;2;2
3;6;2;3
3;7;12;1
3;7;3;2
3;8;15;1
3;9;16;1
3;10;4;1
3;10;2;2
3;11;9;1
3;12;12;1
3;12;2;2
4;1;6;1
4;2;4;1
4;2;1;2
4;2;2;3
4;3;8;1
4;4;9;1
4;5;5;1
4;5;1;2
4;5;1;3
4;6;6;1
4;6;3;2
4;7;6;1
4;7;3;2
4;7;1;3
4;8;12;1
4;9;10;1
4;10;7;1
4;11;2;1
4;12;11;1
4;12;1;3
5;1;2;1
5;2;11;1
5;3;2;1
5;4;6;1
5;4;1;2
5;5;2;1
5;5;1;2
5;6;5;1
5;7;13;1
5;7;1;2
5;8;10;1
5;8;1;2
5;9;15;1
5;9;2;2
5;10;21;1
5;11;12;1
5;11;2;3
5;12;6;1
6;1;9;1
6;2;8;1
6;2;2;2
6;3;4;1
6;4;8;1
6;5;13;1
6;5;1;2
6;6;6;1
6;6;4;2
6;7;10;1
6;8;3;1
6;9;5;1
6;9;2;2
6;10;6;1
6;10;1;2
6;11;9;1
6;11;1;2
6;11;1;3
6;12;11;1
7;1;11;1
7;1;1;2
7;1;2;3
7;2;8;1
7;3;14;1
7;4;8;1
7;4;6;2
7;5;10;1
7;6;9;1
7;6;2;2
7;7;5;1
7;8;10;1
