id_acidente_tip; dia; mes; total; id_risco
13;9;7;1;ec5
24;10;7;1;ec5
29;10;7;1;ec5
24;11;7;1;ec5
13;12;7;1;ec5
13;13;7;1;ec5
18;16;7;1;ec5
13;18;7;1;ec5
30;18;7;1;ec5
18;20;7;1;ec5
13;20;7;1;ec5
18;20;7;1;ec5
48;21;7;1;ec5
45;21;7;1;ec5
49;22;7;2;ec5
19;22;7;3;ec5
13;23;7;1;ec5
13;23;7;1;ec5
13;23;7;1;ec5
36;23;7;1;ec5
161;24;7;1;ec5
48;24;7;1;ec5
30;25;7;2;ec5
18;26;7;1;ec5
29;28;7;1;ec5
160;29;7;1;ec5
30;29;7;2;ec5
13;29;7;1;ec5
13;29;7;1;ec5
46;30;7;1;ec5
96;30;7;1;ec5
30;31;7;2;ec5
24;1;8;1;ec5
24;2;8;1;ec5
24;2;8;1;ec5
13;3;8;1;ec5
30;3;8;1;ec5
29;6;8;1;ec5
11;6;8;1;ec5
19;8;8;3;ec5
13;8;8;1;ec5
13;9;8;1;ec5
6;9;8;2;ec5
18;10;8;1;ec5
13;11;8;2;ec5
13;12;8;1;ec5
63;13;8;1;ec5
161;14;8;1;ec5
18;15;8;1;ec5
13;16;8;1;ec5
18;17;8;1;ec5
24;17;8;1;ec5
13;19;8;1;ec5
13;21;8;1;ec5
29;22;8;1;ec5
18;22;8;1;ec5
11;25;8;1;ec5
24;25;8;1;ec5
49;27;8;1;ec5
18;27;8;1;ec5
18;28;8;1;ec5
96;28;8;1;ec5
29;28;8;1;ec5
13;28;8;1;ec5
30;28;8;1;ec5
13;29;8;1;ec5
30;29;8;1;ec5
161;2;9;1;ec5
29;3;9;1;ec5
161;4;9;1;ec5
13;4;9;3;ec5
29;4;9;1;ec5
13;4;9;1;ec5
161;5;9;1;ec5
13;5;9;1;ec5
13;6;9;1;ec5
18;8;9;1;ec5
13;9;9;1;ec5
6;9;9;1;ec5
18;10;9;1;ec5
13;11;9;1;ec5
19;11;9;1;ec5
13;11;9;1;ec5
24;13;9;1;ec5
13;14;9;1;ec5
24;14;9;1;ec5
13;14;9;1;ec5
18;14;9;1;ec5
13;16;9;2;ec5
161;17;9;1;ec5
13;17;9;1;ec5
18;18;9;1;ec5
18;19;9;1;ec5
161;19;9;1;ec5
13;19;9;3;ec5
18;20;9;1;ec5
18;22;9;3;ec5
11;24;9;1;ec5
29;25;9;1;ec5
13;26;9;1;ec5
18;27;9;1;ec5
24;28;9;1;ec5
29;29;9;1;ec5
24;29;9;1;ec5
13;29;9;1;ec5
161;29;9;1;ec5
18;1;10;1;ec5
63;1;10;1;ec5
18;2;10;1;ec5
13;3;10;1;ec5
30;4;10;1;ec5
24;5;10;1;ec5
11;6;10;1;ec5
18;6;10;2;ec5
24;7;10;1;ec5
18;8;10;1;ec5
18;9;10;1;ec5
24;10;10;1;ec5
18;10;10;1;ec5
6;10;10;1;ec5
30;11;10;1;ec5
13;11;10;1;ec5
13;13;10;1;ec5
13;13;10;1;ec5
18;14;10;1;ec5
18;14;10;1;ec5
13;15;10;1;ec5
18;15;10;1;ec5
13;16;10;1;ec5
41;16;10;1;ec5
18;17;10;1;ec5
18;17;10;1;ec5
13;17;10;1;ec5
13;18;10;2;ec5
13;19;10;1;ec5
24;20;10;1;ec5
24;20;10;1;ec5
161;20;10;1;ec5
6;21;10;1;ec5
18;22;10;1;ec5
19;22;10;1;ec5
161;22;10;1;ec5
161;24;10;1;ec5
161;24;10;1;ec5
161;25;10;1;ec5
13;26;10;1;ec5
18;27;10;1;ec5
18;28;10;1;ec5
24;28;10;1;ec5
48;28;10;1;ec5
18;28;10;1;ec5
19;29;10;3;ec5
19;29;10;1;ec5
29;29;10;1;ec5
161;30;10;1;ec5
13;30;10;2;ec5
30;30;10;3;ec5
29;31;10;1;ec5
13;31;10;1;ec5
160;31;10;1;ec5
24;31;10;1;ec5
161;1;11;2;ec5
46;1;11;2;ec5
13;1;11;1;ec5
24;1;11;1;ec5
13;2;11;1;ec5
11;3;11;1;ec5
11;3;11;1;ec5
48;3;11;1;ec5
161;3;11;1;ec5
24;4;11;1;ec5
13;4;11;1;ec5
29;6;11;1;ec5
160;8;11;1;ec5
18;10;11;1;ec5
18;10;11;1;ec5
161;10;11;1;ec5
24;10;11;1;ec5
13;11;11;2;ec5
29;12;11;1;ec5
13;12;11;1;ec5
96;12;11;1;ec5
30;12;11;1;ec5
11;12;11;1;ec5
96;13;11;1;ec5
24;13;11;1;ec5
24;14;11;1;ec5
30;14;11;1;ec5
6;15;11;1;ec5
30;16;11;2;ec5
13;18;11;1;ec5
24;19;11;1;ec5
24;19;11;1;ec5
13;21;11;1;ec5
34;21;11;1;ec5
96;21;11;1;ec5
24;24;11;1;ec5
13;24;11;2;ec5
24;24;11;1;ec5
19;25;11;3;ec5
13;26;11;1;ec5
18;26;11;1;ec5
29;27;11;1;ec5
13;27;11;1;ec5
29;27;11;1;ec5
19;27;11;2;ec5
18;28;11;1;ec5
24;28;11;1;ec5
45;29;11;1;ec5
11;29;11;1;ec5
18;29;11;1;ec5
18;1;12;1;ec5
18;1;12;1;ec5
6;1;12;1;ec5
19;2;12;2;ec5
13;2;12;1;ec5
29;3;12;1;ec5
18;3;12;1;ec5
24;3;12;1;ec5
18;4;12;1;ec5
24;5;12;1;ec5
96;6;12;1;ec5
18;6;12;1;ec5
13;7;12;1;ec5
96;7;12;1;ec5
24;10;12;1;ec5
18;12;12;1;ec5
29;12;12;1;ec5
13;13;12;1;ec5
19;14;12;2;ec5
18;15;12;1;ec5
18;16;12;2;ec5
48;16;12;1;ec5
6;17;12;1;ec5
24;17;12;1;ec5
96;17;12;1;ec5
13;19;12;1;ec5
18;19;12;1;ec5
29;20;12;1;ec5
13;20;12;1;ec5
18;21;12;1;ec5
29;22;12;1;ec5
29;22;12;1;ec5
29;23;12;1;ec5
48;24;12;1;ec5
30;24;12;1;ec5
24;29;12;1;ec5
18;2;1;1;ec5
18;2;1;1;ec5
18;5;1;1;ec5
18;7;1;1;ec5
13;10;1;1;ec5
13;11;1;1;ec5
19;11;1;3;ec5
18;12;1;2;ec5
18;13;1;1;ec5
18;14;1;1;ec5
24;15;1;1;ec5
29;15;1;1;ec5
29;15;1;1;ec5
13;15;1;1;ec5
24;16;1;1;ec5
29;16;1;1;ec5
30;18;1;2;ec5
24;18;1;1;ec5
38;21;1;1;ec5
18;23;1;3;ec5
18;23;1;1;ec5
18;24;1;1;ec5
38;27;1;1;ec5
19;29;1;2;ec5
13;29;1;1;ec5
13;29;1;1;ec5
24;29;1;1;ec5
30;30;1;1;ec5
24;30;1;1;ec5
13;31;1;1;ec5
96;1;2;1;ec5
161;4;2;1;ec5
29;4;2;1;ec5
18;4;2;1;ec5
36;5;2;1;ec5
13;6;2;1;ec5
24;7;2;1;ec5
30;9;2;2;ec5
49;10;2;1;ec5
24;11;2;1;ec5
29;12;2;1;ec5
19;12;2;3;ec5
18;13;2;1;ec5
29;13;2;1;ec5
13;14;2;1;ec5
32;17;2;1;ec5
161;17;2;1;ec5
44;17;2;3;ec5
30;19;2;1;ec5
18;20;2;3;ec5
30;23;2;1;ec5
6;24;2;1;ec5
18;25;2;1;ec5
161;25;2;1;ec5
29;25;2;1;ec5
63;27;2;1;ec5
13;27;2;1;ec5
63;27;2;1;ec5
13;27;2;1;ec5
96;28;2;1;ec5
6;1;3;1;ec5
34;6;3;1;ec5
44;7;3;2;ec5
29;7;3;1;ec5
24;8;3;1;ec5
30;8;3;3;ec5
19;9;3;1;ec5
29;10;3;1;ec5
13;10;3;1;ec5
161;10;3;1;ec5
30;10;3;1;ec5
30;10;3;2;ec5
18;11;3;1;ec5
13;11;3;1;ec5
34;12;3;1;ec5
13;12;3;1;ec5
24;12;3;1;ec5
24;12;3;1;ec5
18;12;3;1;ec5
18;13;3;2;ec5
13;14;3;1;ec5
29;16;3;2;ec5
18;17;3;1;ec5
30;18;3;1;ec5
24;20;3;1;ec5
24;20;3;2;ec5
29;21;3;1;ec5
96;22;3;1;ec5
24;24;3;1;ec5
13;24;3;1;ec5
96;24;3;1;ec5
13;26;3;1;ec5
24;27;3;1;ec5
13;28;3;2;ec5
13;28;3;3;ec5
29;28;3;1;ec5
29;29;3;1;ec5
29;29;3;1;ec5
24;29;3;1;ec5
24;31;3;1;ec5
24;1;4;1;ec5
13;1;4;2;ec5
18;1;4;1;ec5
18;2;4;1;ec5
13;2;4;1;ec5
13;3;4;2;ec5
18;5;4;1;ec5
24;5;4;1;ec5
13;6;4;1;ec5
13;10;4;1;ec5
18;10;4;1;ec5
32;12;4;1;ec5
13;13;4;1;ec5
18;14;4;1;ec5
24;14;4;1;ec5
18;14;4;1;ec5
13;14;4;1;ec5
18;16;4;1;ec5
13;16;4;1;ec5
6;16;4;2;ec5
13;17;4;1;ec5
18;17;4;1;ec5
29;18;4;1;ec5
29;18;4;1;ec5
160;18;4;1;ec5
24;18;4;1;ec5
96;18;4;1;ec5
63;20;4;1;ec5
18;22;4;2;ec5
18;22;4;2;ec5
13;24;4;1;ec5
18;25;4;1;ec5
29;25;4;1;ec5
96;26;4;1;ec5
18;26;4;2;ec5
13;27;4;1;ec5
18;27;4;1;ec5
29;28;4;2;ec5
18;28;4;1;ec5
24;29;4;1;ec5
96;29;4;1;ec5
13;29;4;2;ec5
13;29;4;1;ec5
96;4;5;1;ec5
47;5;5;1;ec5
18;5;5;1;ec5
63;5;5;1;ec5
24;5;5;2;ec5
24;6;5;1;ec5
24;7;5;1;ec5
29;7;5;1;ec5
24;7;5;1;ec5
13;8;5;1;ec5
30;9;5;2;ec5
29;10;5;1;ec5
13;10;5;1;ec5
24;12;5;1;ec5
19;13;5;2;ec5
18;14;5;1;ec5
24;14;5;1;ec5
19;15;5;2;ec5
29;15;5;1;ec5
6;20;5;2;ec5
13;21;5;1;ec5
63;21;5;1;ec5
18;22;5;1;ec5
13;22;5;2;ec5
13;22;5;1;ec5
96;25;5;1;ec5
24;25;5;1;ec5
13;27;5;1;ec5
24;28;5;1;ec5
24;28;5;2;ec5
18;29;5;1;ec5
18;29;5;1;ec5
24;29;5;1;ec5
6;30;5;2;ec5
161;30;5;2;ec5
13;1;6;1;ec5
18;2;6;1;ec5
24;3;6;2;ec5
13;3;6;2;ec5
18;3;6;1;ec5
24;8;6;2;ec5
48;9;6;2;ec5
24;10;6;1;ec5
13;10;6;1;ec5
18;12;6;1;ec5
49;12;6;1;ec5
13;12;6;1;ec5
18;17;6;2;ec5
13;17;6;1;ec5
13;18;6;1;ec5
13;22;6;1;ec5
18;22;6;1;ec5
117;22;6;1;ec5
29;24;6;1;ec5
13;25;6;1;ec5
18;26;6;1;ec5
18;26;6;1;ec5
13;29;6;2;ec5
30;30;6;2;ec5
18;1;7;1;ec5
13;1;7;1;ec5
161;2;7;1;ec5
24;3;7;1;ec5
29;4;7;1;ec5
30;4;7;2;ec5
13;6;7;1;ec5
161;8;7;1;ec5
18;9;7;1;ec5
13;9;7;2;ec5
13;10;7;1;ec5
11;10;7;1;ec5
13;11;7;2;ec5
13;15;7;3;ec5
31;16;7;3;ec5
24;16;7;1;ec5
13;17;7;3;ec5
30;17;7;2;ec5
24;17;7;1;ec5
45;17;7;1;ec5
13;20;7;1;ec5
30;22;7;1;ec5
18;22;7;2;ec5
24;22;7;1;ec5
18;24;7;1;ec5
161;26;7;1;ec5
6;27;7;2;ec5
24;28;7;1;ec5
29;28;7;1;ec5
48;29;7;1;ec5
18;30;7;1;ec5
18;4;8;2;ec5
96;7;8;1;ec5
24;7;8;1;ec5
29;7;8;1;ec5
13;7;8;1;ec5
13;8;8;3;ec5
161;10;8;1;ec5
13;10;8;1;ec5
63;11;8;1;ec5
30;11;8;1;ec5
18;12;8;1;ec5
161;15;8;2;ec5
18;17;8;1;ec5
24;17;8;1;ec5
13;17;8;1;ec5
18;25;8;1;ec5
24;27;8;1;ec5
63;27;8;1;ec5
13;27;8;1;ec5
161;29;8;1;ec5
13;31;8;1;ec5
40;2;9;3;ec5
13;2;9;1;ec5
13;2;9;2;ec5
13;3;9;1;ec5
13;3;9;1;ec5
13;4;9;1;ec5
18;4;9;1;ec5
96;8;9;1;ec5
6;9;9;1;ec5
13;9;9;1;ec5
38;10;9;1;ec5
30;10;9;2;ec5
13;12;9;2;ec5
13;12;9;1;ec5
13;13;9;1;ec5
24;15;9;1;ec5
13;18;9;2;ec5
13;21;9;1;ec5
48;22;9;1;ec5
30;22;9;1;ec5
46;23;9;3;ec5
29;23;9;1;ec5
24;25;9;1;ec5
29;28;9;2;ec5
30;30;9;2;ec5
24;3;10;1;ec5
30;4;10;1;ec5
18;6;10;1;ec5
18;7;10;1;ec5
29;7;10;1;ec5
18;9;10;1;ec5
19;9;10;3;ec5
48;10;10;1;ec5
13;11;10;1;ec5
13;13;10;2;ec5
13;15;10;1;ec5
96;16;10;1;ec5
29;17;10;1;ec5
29;18;10;1;ec5
13;18;10;1;ec5
24;19;10;1;ec5
13;21;10;2;ec5
24;21;10;1;ec5
13;22;10;1;ec5
29;22;10;1;ec5
18;22;10;1;ec5
18;23;10;1;ec5
18;23;10;1;ec5
29;24;10;1;ec5
13;24;10;1;ec5
6;27;10;2;ec5
13;27;10;1;ec5
63;27;10;3;ec5
18;28;10;2;ec5
13;28;10;1;ec5
161;28;10;1;ec5
161;28;10;1;ec5
34;28;10;2;ec5
24;29;10;1;ec5
13;29;10;1;ec5
24;29;10;1;ec5
36;5;11;1;ec5
18;5;11;1;ec5
13;8;11;1;ec5
18;10;11;1;ec5
13;11;11;1;ec5
24;12;11;1;ec5
47;12;11;1;ec5
24;14;11;1;ec5
18;15;11;1;ec5
24;16;11;1;ec5
29;16;11;1;ec5
161;17;11;1;ec5
48;18;11;2;ec5
96;19;11;1;ec5
18;20;11;1;ec5
18;20;11;1;ec5
18;21;11;1;ec5
13;22;11;2;ec5
24;23;11;1;ec5
29;23;11;1;ec5
24;25;11;1;ec5
48;26;11;1;ec5
34;26;11;2;ec5
13;27;11;1;ec5
24;27;11;1;ec5
30;29;11;1;ec5
13;1;12;3;ec5
161;2;12;1;ec5
30;6;12;1;ec5
18;8;12;1;ec5
96;8;12;1;ec5
29;8;12;1;ec5
30;10;12;3;ec5
6;10;12;2;ec5
6;11;12;3;ec5
13;11;12;1;ec5
13;11;12;1;ec5
13;12;12;2;ec5
19;13;12;3;ec5
18;14;12;1;ec5
6;15;12;2;ec5
13;16;12;1;ec5
13;16;12;2;ec5
96;19;12;1;ec5
13;20;12;2;ec5
36;20;12;1;ec5
24;23;12;2;ec5
18;24;12;1;ec5
34;25;12;1;ec5
49;28;12;3;ec5
24;1;1;2;ec5
18;4;1;1;ec5
161;6;1;1;ec5
13;9;1;1;ec5
6;11;1;2;ec5
161;12;1;2;ec5
24;13;1;1;ec5
24;13;1;1;ec5
13;13;1;1;ec5
24;14;1;1;ec5
31;17;1;2;ec5
24;18;1;1;ec5
6;19;1;2;ec5
24;20;1;1;ec5
13;20;1;3;ec5
36;21;1;1;ec5
13;22;1;2;ec5
29;22;1;1;ec5
13;22;1;1;ec5
21;22;1;1;ec5
41;23;1;1;ec5
18;23;1;2;ec5
13;25;1;1;ec5
18;26;1;2;ec5
24;26;1;1;ec5
13;27;1;1;ec5
29;27;1;1;ec5
29;28;1;1;ec5
29;28;1;1;ec5
30;29;1;2;ec5
161;31;1;1;ec5
161;1;2;1;ec5
13;3;2;1;ec5
18;4;2;1;ec5
13;5;2;2;ec5
161;6;2;2;ec5
6;9;2;1;ec5
30;10;2;1;ec5
18;11;2;1;ec5
6;12;2;1;ec5
29;13;2;1;ec5
18;13;2;2;ec5
18;14;2;1;ec5
18;14;2;2;ec5
29;14;2;1;ec5
13;16;2;1;ec5
18;18;2;1;ec5
13;19;2;3;ec5
13;20;2;3;ec5
13;24;2;2;ec5
49;25;2;1;ec5
13;26;2;1;ec5
18;28;2;1;ec5
19;29;2;2;ec5
18;29;2;1;ec5
18;29;2;1;ec5
18;1;3;1;ec5
29;2;3;1;ec5
24;2;3;1;ec5
24;4;3;2;ec5
18;7;3;2;ec5
18;8;3;2;ec5
24;8;3;1;ec5
6;9;3;2;ec5
30;9;3;2;ec5
13;9;3;1;ec5
29;10;3;1;ec5
6;10;3;3;ec5
24;10;3;1;ec5
13;11;3;1;ec5
38;13;3;1;ec5
29;14;3;1;ec5
13;16;3;1;ec5
18;16;3;1;ec5
11;17;3;1;ec5
24;17;3;1;ec5
161;18;3;1;ec5
18;18;3;1;ec5
29;18;3;1;ec5
6;19;3;1;ec5
18;21;3;1;ec5
24;22;3;1;ec5
6;23;3;2;ec5
18;25;3;1;ec5
161;27;3;1;ec5
19;27;3;3;ec5
18;27;3;1;ec5
24;29;3;1;ec5
27;31;3;2;ec5
13;1;4;2;ec5
24;1;4;1;ec5
18;2;4;1;ec5
30;3;4;2;ec5
13;4;4;1;ec5
29;5;4;1;ec5
13;6;4;1;ec5
13;6;4;1;ec5
18;7;4;1;ec5
13;9;4;1;ec5
13;12;4;1;ec5
18;12;4;1;ec5
11;15;4;1;ec5
30;18;4;1;ec5
161;19;4;1;ec5
13;21;4;2;ec5
24;22;4;1;ec5
18;25;4;1;ec5
13;25;4;1;ec5
24;26;4;1;ec5
24;26;4;1;ec5
30;28;4;2;ec5
13;28;4;1;ec5
13;29;4;1;ec5
24;29;4;2;ec5
18;29;4;1;ec5
13;1;5;2;ec5
13;2;5;3;ec5
18;3;5;1;ec5
24;6;5;2;ec5
13;6;5;1;ec5
13;9;5;1;ec5
18;9;5;1;ec5
18;11;5;1;ec5
24;13;5;1;ec5
13;13;5;1;ec5
96;14;5;1;ec5
160;16;5;1;ec5
19;16;5;2;ec5
18;18;5;2;ec5
24;19;5;2;ec5
24;21;5;2;ec5
13;23;5;1;ec5
161;23;5;1;ec5
