id_conce; id_acidente_tip; dia; mes; total; id_risco
14;172;2;1;1;1
14;174;3;1;1;1
14;174;11;1;1;1
14;8;12;1;1;1
14;172;17;1;1;1
14;172;20;1;1;1
14;172;26;1;1;1
14;172;29;1;1;1
14;172;2;2;3;1
14;174;9;2;1;1
14;174;9;2;1;1
14;172;10;2;1;1
14;174;17;2;1;1
14;174;17;2;2;1
14;11;19;2;1;1
14;172;19;2;1;1
14;172;24;2;1;1
14;172;2;3;1;1
14;172;3;3;1;1
14;174;5;3;1;1
14;174;9;3;1;1
14;174;15;3;1;1
14;174;15;3;1;1
14;174;16;3;1;1
14;180;23;3;1;1
14;172;26;3;1;1
14;174;29;3;1;1
14;174;29;3;2;1
14;177;11;4;1;1
14;172;12;4;1;1
14;11;13;4;1;1
14;172;16;4;1;2
14;172;16;4;1;1
14;172;18;4;1;1
14;174;1;5;1;1
14;172;3;5;1;1
14;20;4;5;1;1
14;172;8;5;1;2
14;174;11;5;2;1
14;172;8;6;1;1
14;172;15;6;1;1
14;18;30;6;1;2
14;172;9;8;1;1
14;174;17;8;1;1
14;172;23;8;1;1
14;172;23;8;1;1
14;185;23;8;1;1
14;172;24;8;1;1
14;172;24;8;1;1
14;172;29;8;1;1
14;174;30;8;1;1
14;174;3;7;1;1
14;172;4;7;1;1
14;174;6;7;1;1
14;172;12;7;1;1
14;11;14;7;1;1
14;174;19;7;1;1
14;172;21;7;1;1
14;174;24;7;1;1
14;174;30;7;1;1
14;174;1;11;1;1
14;174;6;11;1;1
14;11;14;11;2;1
14;174;20;11;1;1
14;174;28;11;1;1
14;172;3;9;1;1
14;172;5;9;1;1
14;11;7;9;1;1
14;174;10;9;1;1
14;172;23;9;1;1
14;174;3;10;1;1
14;174;4;10;1;1
14;172;17;10;2;1
14;177;21;10;1;1
14;174;22;10;1;1
14;172;3;12;1;1
14;172;7;12;2;1
14;172;7;12;1;1
14;174;11;12;2;1
14;174;12;12;1;1
14;11;20;12;1;1
