dia;mes;qt_acidentes;id_risco
1;2;2;1
1;3;1;1
1;5;1;1
1;7;3;1
1;7;1;2
1;8;3;1
1;8;3;2
1;9;4;1
1;10;4;2
1;11;3;1
1;11;1;2
2;1;3;1
2;1;1;2
2;1;1;3
2;2;4;1
2;4;3;1
2;5;1;1
2;5;1;2
2;6;1;1
2;8;1;1
2;9;1;1
3;1;2;2
3;1;2;3
3;2;2;1
3;3;1;1
3;4;3;1
3;4;1;2
3;5;1;1
3;6;1;1
3;6;1;2
3;7;2;1
3;8;1;1
3;9;1;1
3;10;1;3
3;11;2;1
4;3;1;1
4;4;2;1
4;4;3;2
4;5;2;2
4;6;2;1
4;6;3;2
4;9;2;1
4;10;3;1
4;11;1;1
4;12;1;1
5;1;1;2
5;2;1;1
5;3;1;1
5;4;1;1
5;4;2;2
5;6;4;1
5;7;3;1
5;8;1;2
5;9;1;1
6;1;1;2
6;3;3;1
6;5;6;1
6;8;1;1
6;9;3;1
6;11;4;1
6;12;1;1
7;1;2;1
7;2;3;1
7;4;1;1
7;4;1;2
7;5;1;1
7;6;2;1
7;7;1;1
7;8;2;1
7;11;2;1
8;2;2;2
8;2;2;3
8;3;1;1
8;4;4;1
8;4;1;2
8;5;2;2
8;5;1;3
8;6;7;1
8;6;1;2
8;6;1;3
8;7;1;1
8;8;1;2
8;9;2;1
8;10;2;1
8;10;1;2
8;11;6;1
8;12;3;1
8;12;1;2
9;2;2;1
9;3;1;2
9;4;2;1
9;7;3;1
9;11;2;3
9;12;1;1
10;1;1;2
10;3;2;1
10;4;7;1
10;5;1;2
10;6;1;1
10;7;1;2
10;8;2;1
10;8;1;2
10;9;4;1
10;11;1;2
11;3;1;1
11;4;1;2
11;5;2;1
11;5;1;2
11;6;2;1
11;6;1;2
11;8;2;1
11;8;1;2
11;11;3;1
12;1;2;1
12;1;1;2
12;2;1;1
12;3;1;1
12;3;4;2
12;3;1;3
12;5;2;1
12;6;3;1
12;7;1;1
12;11;2;2
12;11;1;3
12;12;1;2
13;1;2;1
13;2;2;1
13;2;1;2
13;2;2;3
13;3;2;1
13;4;3;1
13;4;2;3
13;5;4;1
13;5;1;2
13;7;1;1
13;8;1;1
13;9;1;1
13;10;2;1
14;2;2;2
14;3;4;1
14;3;1;2
14;5;1;1
14;6;1;1
14;7;1;1
14;9;2;1
14;10;1;1
14;11;1;1
14;11;1;2
14;12;1;1
14;12;1;2
15;2;2;2
15;5;1;1
15;9;1;1
15;11;2;2
16;2;2;1
16;2;1;2
16;3;1;1
16;3;1;2
16;4;4;1
16;5;1;1
16;6;4;1
16;8;1;1
16;8;1;3
17;1;1;1
17;1;2;2
17;2;2;1
17;3;1;1
17;3;2;2
17;4;4;1
17;4;1;3
17;7;4;1
17;8;2;1
17;10;1;1
17;10;2;3
17;11;2;1
17;11;1;2
17;12;4;1
18;1;1;2
18;2;5;1
18;4;3;1
18;4;2;2
18;7;1;1
18;7;1;2
18;8;5;1
18;10;1;1
18;10;2;2
18;11;1;2
19;1;1;1
19;4;4;1
19;4;1;2
19;6;4;1
19;6;1;3
19;7;1;1
19;9;1;1
19;10;1;1
19;12;3;1
20;1;1;1
20;2;1;3
20;4;5;1
20;4;1;2
20;6;5;1
20;6;2;2
20;7;1;1
20;8;2;2
20;9;1;1
20;11;2;1
20;11;2;3
20;12;2;1
21;1;2;1
21;2;2;1
21;4;2;1
21;9;2;1
21;10;2;1
21;10;3;2
22;1;2;2
22;2;3;1
22;3;4;1
22;4;1;1
22;4;3;2
22;5;1;1
22;6;1;3
22;7;2;1
22;7;1;3
22;9;2;1
22;10;1;1
23;1;1;2
23;3;2;1
23;4;2;1
23;5;4;1
23;7;2;2
23;8;2;2
23;11;2;2
23;12;1;1
24;2;1;1
24;4;1;1
24;6;3;1
24;7;2;2
24;9;1;1
25;1;4;1
25;3;3;1
25;4;1;1
25;5;1;1
25;6;4;1
25;7;2;2
25;8;1;1
25;8;2;2
25;10;1;1
25;11;1;1
25;11;1;2
25;12;2;3
26;4;3;1
26;5;1;1
26;6;1;1
26;7;2;3
26;9;3;2
26;10;2;1
26;12;3;1
27;2;2;1
27;2;3;2
27;3;5;1
27;4;1;1
27;5;4;1
27;6;2;1
27;7;1;1
27;8;1;1
27;8;2;2
27;9;1;2
27;10;1;2
27;11;1;2
28;1;1;1
28;1;4;2
28;2;3;1
28;3;3;1
28;3;3;2
28;3;1;3
28;4;2;1
28;4;2;2
28;5;2;1
28;6;2;1
28;7;1;1
28;11;1;1
28;12;1;1
28;12;1;2
29;1;2;1
29;3;2;2
29;4;1;1
29;8;1;2
29;9;4;1
29;11;2;2
29;12;1;3
30;1;6;1
30;1;2;2
30;3;3;1
30;4;1;1
30;5;1;1
30;5;2;2
30;7;1;1
30;9;4;1
30;9;1;2
30;11;4;1
31;3;1;1
31;3;2;2
31;5;3;1
31;10;1;3
31;12;2;1
