dia;mes;qt_acidentes;id_acidente_tip
11;10;1;54
14;10;1;57
14;10;1;18
16;10;1;59
20;10;1;54
22;10;1;54
22;10;1;63
22;10;1;18
22;10;1;18
23;10;1;18
24;10;1;18
25;10;1;18
26;10;3;59
29;10;3;54
30;10;1;18
2;11;1;57
6;11;1;6
8;11;1;18
8;11;1;54
8;11;1;57
10;11;1;54
10;11;1;18
12;11;1;58
14;11;1;54
16;11;1;54
17;11;1;56
18;11;1;56
18;11;1;55
19;11;1;63
19;11;1;57
22;11;1;59
22;11;1;56
23;11;2;54
25;11;2;55
25;11;1;57
25;11;1;56
25;11;1;54
25;11;1;18
28;11;1;55
29;11;1;59
29;11;1;58
1;12;1;22
1;12;3;246
1;12;1;247
1;12;1;248
2;12;1;6
3;12;1;6
3;12;1;248
3;12;2;63
4;12;1;249
4;12;1;11
6;12;1;6
6;12;2;22
8;12;1;63
8;12;1;22
8;12;2;245
8;12;2;248
9;12;1;245
9;12;1;248
11;12;2;18
11;12;1;6
13;12;1;18
13;12;1;245
13;12;1;250
14;12;1;22
14;12;2;6
14;12;1;22
15;12;1;11
15;12;3;6
15;12;1;6
15;12;1;248
16;12;2;248
16;12;1;18
17;12;1;245
17;12;1;247
17;12;2;22
18;12;1;245
18;12;1;247
18;12;1;246
19;12;1;250
19;12;1;11
20;12;1;248
20;12;1;18
20;12;1;18
20;12;1;247
20;12;1;248
20;12;1;245
20;12;1;11
20;12;1;22
21;12;1;250
21;12;1;22
21;12;1;250
22;12;1;11
22;12;1;249
23;12;1;18
26;12;1;63
27;12;1;6
28;12;1;33
28;12;1;245
30;12;1;247
30;12;1;248
1;1;1;57
3;1;1;54
3;1;1;56
4;1;1;248
4;1;1;249
5;1;2;54
7;1;1;55
7;1;1;56
8;1;1;54
8;1;1;56
9;1;1;63
9;1;1;54
10;1;1;59
11;1;2;56
11;1;1;55
12;1;1;55
12;1;1;54
12;1;1;18
13;1;2;54
13;1;1;54
13;1;1;54
13;1;1;55
14;1;1;54
14;1;1;18
14;1;1;54
14;1;1;57
14;1;1;57
14;1;1;11
15;1;3;58
15;1;2;54
16;1;3;11
16;1;1;249
16;1;2;55
16;1;1;18
17;1;1;54
18;1;1;245
18;1;1;59
18;1;1;6
19;1;1;55
20;1;1;56
20;1;1;57
21;1;1;55
21;1;1;11
21;1;1;248
22;1;1;55
23;1;1;55
23;1;2;54
23;1;1;18
23;1;1;18
23;1;1;63
25;1;1;6
25;1;1;54
25;1;1;59
25;1;1;54
26;1;1;22
26;1;2;54
26;1;1;57
26;1;2;56
27;1;1;6
27;1;1;58
28;1;2;57
29;1;1;18
30;1;1;54
30;1;1;55
31;1;1;55
1;2;2;6
1;2;1;54
2;2;1;58
2;2;1;55
3;2;2;54
4;2;1;54
5;2;2;54
5;2;1;54
6;2;1;57
6;2;1;56
6;2;1;18
6;2;2;58
7;2;1;55
7;2;2;55
8;2;2;57
8;2;1;6
9;2;1;18
9;2;1;18
10;2;1;54
10;2;1;58
10;2;1;56
10;2;3;54
11;2;1;57
12;2;1;55
14;2;2;54
15;2;1;18
16;2;1;57
16;2;1;18
17;2;1;63
18;2;1;56
18;2;1;57
19;2;1;58
19;2;1;55
20;2;1;59
21;2;1;55
22;2;1;57
23;2;1;57
24;2;1;57
24;2;1;64
25;2;3;54
26;2;1;55
28;2;1;58
2;3;1;55
2;3;1;54
3;3;2;55
3;3;1;57
3;3;1;55
4;3;1;18
4;3;1;57
4;3;1;55
5;3;1;57
5;3;1;18
5;3;1;55
5;3;1;55
6;3;1;57
6;3;1;57
6;3;1;54
6;3;1;55
9;3;1;57
9;3;1;55
9;3;1;18
10;3;1;54
11;3;2;58
13;3;1;59
13;3;1;57
14;3;1;55
14;3;1;63
15;3;1;18
15;3;1;55
15;3;3;18
15;3;1;244
16;3;1;244
16;3;1;18
17;3;1;57
17;3;1;54
18;3;1;63
18;3;2;54
18;3;1;55
18;3;1;18
19;3;1;57
19;3;1;56
20;3;1;56
20;3;1;58
21;3;1;55
21;3;1;54
21;3;2;54
21;3;1;54
22;3;1;18
23;3;1;55
26;3;1;58
26;3;1;59
26;3;1;54
27;3;1;54
28;3;2;55
28;3;1;57
28;3;2;11
28;3;2;55
29;3;1;18
29;3;1;58
30;3;1;18
31;3;1;58
1;4;1;59
2;4;1;55
2;4;2;55
4;4;2;54
6;4;1;18
7;4;1;57
7;4;1;18
7;4;1;57
9;4;1;244
10;4;1;55
10;4;1;55
11;4;1;57
12;4;1;63
14;4;1;54
14;4;1;55
15;4;1;57
15;4;2;55
15;4;1;55
16;4;2;54
16;4;2;56
17;4;1;33
17;4;2;11
17;4;1;57
17;4;2;55
20;4;1;18
20;4;1;57
21;4;1;11
21;4;1;18
22;4;1;18
23;4;1;57
23;4;2;56
26;4;1;54
27;4;1;63
29;4;1;18
30;4;1;18
30;4;1;18
1;5;1;55
2;5;1;18
2;5;1;18
3;5;1;18
4;5;1;18
4;5;2;54
6;5;1;63
6;5;1;59
7;5;1;18
7;5;1;18
7;5;1;63
8;5;2;11
8;5;1;54
9;5;1;18
9;5;1;54
10;5;1;59
10;5;1;57
12;5;1;54
12;5;1;55
14;5;1;55
16;5;1;57
16;5;1;18
17;5;2;59
17;5;2;55
18;5;1;64
20;5;2;54
20;5;1;55
20;5;1;55
21;5;1;57
21;5;1;59
22;5;2;54
23;5;1;18
23;5;2;56
23;5;2;54
24;5;1;55
25;5;1;55
25;5;1;18
27;5;1;54
27;5;1;54
28;5;1;18
29;5;2;56
29;5;1;54
29;5;2;55
29;5;1;55
30;5;1;55
30;5;1;55
30;5;1;18
30;5;1;11
30;5;1;18
30;5;1;18
31;5;1;57
31;5;1;54
1;6;1;64
1;6;1;33
1;6;1;55
2;6;1;6
2;6;1;55
2;6;1;54
2;6;1;18
3;6;2;54
4;6;1;18
4;6;1;59
4;6;1;54
5;6;1;55
5;6;1;55
6;6;1;54
7;6;1;18
7;6;2;54
8;6;1;18
9;6;1;18
10;6;2;55
10;6;1;55
11;6;1;54
11;6;1;11
11;6;1;18
12;6;1;18
13;6;1;54
14;6;1;59
14;6;1;55
15;6;2;54
15;6;2;55
15;6;1;54
16;6;2;54
18;6;3;11
19;6;1;55
19;6;2;55
20;6;1;18
21;6;1;54
21;6;1;11
22;6;1;63
23;6;1;64
24;6;1;56
24;6;1;11
24;6;1;57
25;6;1;55
25;6;1;18
25;6;1;55
26;6;1;54
26;6;1;55
26;6;2;11
26;6;1;18
27;6;2;54
29;6;1;54
29;6;1;54
29;6;1;58
30;6;1;11
30;6;1;54
3;7;1;56
3;7;2;55
3;7;1;18
4;7;1;56
4;7;1;56
5;7;1;18
5;7;2;11
6;7;1;65
8;7;2;11
8;7;1;56
8;7;1;56
9;7;1;18
9;7;1;56
10;7;2;11
10;7;2;56
10;7;1;18
12;7;1;55
12;7;1;56
12;7;1;55
12;7;1;56
13;7;2;55
14;7;2;56
14;7;1;18
14;7;1;56
15;7;2;55
16;7;1;56
16;7;1;56
17;7;1;57
18;7;2;56
19;7;2;56
19;7;1;56
19;7;3;55
19;7;1;59
20;7;1;18
20;7;1;63
21;7;2;56
21;7;1;18
21;7;1;55
22;7;1;18
22;7;1;56
22;7;1;6
23;7;1;63
23;7;1;56
24;7;1;55
25;7;2;56
27;7;1;55
28;7;1;11
28;7;2;56
28;7;2;55
29;7;1;18
29;7;1;56
29;7;1;55
29;7;2;56
30;7;2;11
30;7;1;64
30;7;1;59
30;7;1;63
31;7;1;55
31;7;1;18
1;8;1;57
1;8;1;18
3;8;1;54
3;8;1;57
3;8;1;55
4;8;1;18
4;8;1;54
5;8;1;18
6;8;1;55
7;8;1;55
7;8;1;11
8;8;1;56
8;8;1;63
9;8;1;6
9;8;1;6
9;8;1;63
10;8;1;54
10;8;1;18
11;8;2;54
11;8;3;11
11;8;1;18
11;8;1;11
11;8;1;18
12;8;2;54
12;8;2;11
12;8;1;18
13;8;1;18
13;8;2;55
14;8;1;55
15;8;1;54
15;8;1;55
16;8;1;57
17;8;1;55
18;8;1;11
18;8;1;18
19;8;1;57
19;8;1;55
19;8;1;54
20;8;2;58
21;8;1;6
22;8;1;18
22;8;2;54
22;8;1;54
22;8;1;57
22;8;1;63
23;8;1;55
23;8;1;55
24;8;1;55
24;8;2;18
25;8;1;64
25;8;1;54
26;8;1;18
27;8;1;6
27;8;1;58
27;8;1;55
27;8;2;55
28;8;1;6
28;8;1;58
28;8;2;54
28;8;1;54
28;8;1;18
30;8;1;18
30;8;2;54
31;8;2;54
1;9;1;18
2;9;1;18
2;9;2;55
2;9;2;11
4;9;1;55
5;9;2;11
5;9;1;55
8;9;1;6
8;9;1;18
8;9;1;18
8;9;1;18
8;9;1;18
9;9;1;54
11;9;1;6
12;9;1;55
12;9;1;57
13;9;1;55
13;9;1;33
13;9;1;64
14;9;1;6
15;9;1;57
16;9;1;54
16;9;3;54
18;9;1;56
18;9;1;57
19;9;1;54
19;9;1;59
23;9;1;64
24;9;1;57
24;9;1;6
25;9;1;57
25;9;1;54
26;9;1;57
26;9;1;18
26;9;1;58
26;9;1;58
27;9;2;54
28;9;1;55
28;9;1;55
29;9;2;54
30;9;1;57
30;9;1;63
1;10;1;18
1;10;1;18
2;10;1;64
2;10;2;54
3;10;1;54
3;10;1;18
6;10;1;54
6;10;2;54
7;10;1;55
7;10;1;18
7;10;1;58
7;10;1;55
9;10;1;58
9;10;1;33
9;10;1;11
10;10;1;54
12;10;1;54
12;10;1;56
13;10;1;58
14;10;2;58
15;10;2;55
17;10;1;55
19;10;1;6
19;10;1;57
19;10;1;57
19;10;1;57
20;10;1;63
21;10;1;6
22;10;1;54
22;10;1;33
25;10;1;63
25;10;1;56
25;10;2;18
26;10;1;18
26;10;1;57
26;10;1;54
28;10;1;63
28;10;1;54
28;10;1;55
30;10;1;55
31;10;1;18
31;10;1;56
31;10;1;57
1;11;1;55
1;11;2;55
1;11;1;18
2;11;2;56
2;11;1;56
3;11;1;56
3;11;1;57
3;11;2;55
4;11;1;55
4;11;2;18
5;11;1;57
5;11;1;54
7;11;1;63
8;11;1;18
9;11;1;57
9;11;1;6
10;11;1;54
11;11;1;11
11;11;1;54
11;11;1;54
13;11;1;57
13;11;1;18
14;11;1;54
17;11;1;18
17;11;1;55
17;11;1;56
18;11;2;56
19;11;1;54
20;11;2;54
20;11;1;54
20;11;1;18
20;11;1;18
21;11;2;54
21;11;1;18
21;11;1;63
22;11;1;18
23;11;1;18
23;11;2;54
24;11;1;18
26;11;1;54
27;11;1;57
27;11;1;58
28;11;1;18
28;11;1;18
30;11;1;54
1;12;1;18
1;12;1;55
1;12;2;54
2;12;1;54
2;12;1;57
3;12;1;18
4;12;1;57
4;12;1;54
4;12;1;59
4;12;2;54
4;12;1;59
4;12;1;57
5;12;1;63
5;12;1;18
6;12;1;59
6;12;1;6
7;12;1;18
7;12;1;54
7;12;2;55
7;12;1;54
8;12;2;54
9;12;1;18
9;12;1;18
9;12;1;57
10;12;1;59
