dia;mes;id_sentido; id_trecho; total;id_risco
1;1;3;1;2;1
1;1;3;2;1;1
1;1;3;2;2;2
1;1;4;1;8;1
1;1;4;2;2;1
2;1;3;1;8;1
2;1;3;1;2;2
2;1;3;2;8;1
2;1;4;1;8;1
2;1;4;1;2;2
2;1;4;2;18;1
3;1;3;1;18;1
3;1;3;1;4;2
3;1;3;2;17;1
3;1;3;2;6;2
3;1;3;2;3;3
3;1;4;1;19;1
3;1;4;1;12;2
3;1;4;2;17;1
3;1;4;2;4;2
4;1;3;1;17;1
4;1;3;1;8;2
4;1;3;2;18;1
4;1;3;2;10;2
4;1;4;1;15;1
4;1;4;1;4;2
4;1;4;2;8;1
4;1;4;2;2;2
5;1;2;1;1;1
5;1;3;1;9;1
5;1;3;1;4;2
5;1;3;2;17;1
5;1;3;2;4;2
5;1;4;1;17;1
5;1;4;1;6;2
5;1;4;2;15;1
5;1;4;2;8;2
6;1;1;1;2;1
6;1;3;1;10;1
6;1;3;1;8;2
6;1;3;1;6;3
6;1;3;2;21;1
6;1;3;2;12;2
6;1;4;1;17;1
6;1;4;1;8;2
6;1;4;2;19;1
6;1;4;2;8;2
7;1;3;1;11;1
7;1;3;1;10;2
7;1;3;2;18;1
7;1;3;2;4;2
7;1;4;1;11;1
7;1;4;1;12;2
7;1;4;1;3;3
7;1;4;2;13;1
7;1;4;2;6;2
8;1;1;1;1;1
8;1;3;1;16;1
8;1;3;1;10;2
8;1;3;2;18;1
8;1;3;2;12;2
8;1;4;1;16;1
8;1;4;1;4;2
8;1;4;1;3;3
8;1;4;2;11;1
9;1;3;1;18;1
9;1;3;1;2;2
9;1;3;2;10;1
9;1;3;2;10;2
9;1;4;1;15;1
9;1;4;1;4;2
9;1;4;2;11;1
9;1;4;2;4;2
10;1;3;1;18;1
10;1;3;1;6;2
10;1;3;2;28;1
10;1;4;1;30;1
10;1;4;1;4;2
10;1;4;2;16;1
10;1;4;2;10;2
11;1;1;1;1;1
11;1;3;1;25;1
11;1;3;1;6;2
11;1;3;2;25;1
11;1;3;2;18;2
11;1;4;1;14;1
11;1;4;1;2;2
11;1;4;2;21;1
11;1;4;2;10;2
12;1;3;1;20;1
12;1;3;1;10;2
12;1;3;1;3;3
12;1;3;2;21;1
12;1;3;2;10;2
12;1;3;2;3;3
12;1;4;1;16;1
12;1;4;1;16;2
12;1;4;1;3;3
12;1;4;2;18;1
12;1;4;2;2;2
13;1;2;1;1;1
13;1;3;1;22;1
13;1;3;1;8;2
13;1;3;2;20;1
13;1;3;2;8;2
13;1;4;1;22;1
13;1;4;1;6;2
13;1;4;1;3;3
13;1;4;2;17;1
13;1;4;2;2;2
14;1;3;1;19;1
14;1;3;1;20;2
14;1;3;1;3;3
14;1;3;2;22;1
14;1;3;2;6;2
14;1;4;1;14;1
14;1;4;1;14;2
14;1;4;2;22;1
14;1;4;2;6;2
15;1;3;1;14;1
15;1;3;1;2;2
15;1;3;1;6;3
15;1;3;2;21;1
15;1;3;2;8;2
15;1;4;1;26;1
15;1;4;1;8;2
15;1;4;2;16;1
15;1;4;2;8;2
16;1;3;1;34;1
16;1;3;1;2;2
16;1;3;2;19;1
16;1;3;2;2;2
16;1;4;1;20;1
16;1;4;1;6;2
16;1;4;2;18;1
16;1;4;2;2;2
17;1;3;1;20;1
17;1;3;1;10;2
17;1;3;2;21;1
17;1;3;2;12;2
17;1;4;1;24;1
17;1;4;1;2;2
17;1;4;2;16;1
17;1;4;2;16;2
18;1;1;1;2;2
18;1;3;1;19;1
18;1;3;1;20;2
18;1;3;1;6;3
18;1;3;2;23;1
18;1;3;2;6;2
18;1;4;1;23;1
18;1;4;1;8;2
18;1;4;1;4;3
18;1;4;2;21;1
18;1;4;2;2;2
19;1;1;1;1;1
19;1;3;1;22;1
19;1;3;1;4;2
19;1;3;2;18;1
19;1;3;2;14;2
19;1;4;1;12;1
19;1;4;1;12;2
19;1;4;2;13;1
19;1;4;2;4;2
20;1;3;1;16;1
20;1;3;1;10;2
20;1;3;2;18;1
20;1;3;2;4;2
20;1;4;1;25;1
20;1;4;1;8;2
20;1;4;1;3;3
20;1;4;2;14;1
20;1;4;2;10;2
21;1;3;1;19;1
21;1;3;1;10;2
21;1;3;1;6;3
21;1;3;2;22;1
21;1;3;2;8;2
21;1;3;2;3;3
21;1;4;1;19;1
21;1;4;1;6;2
21;1;4;1;4;3
21;1;4;2;6;1
21;1;4;2;6;2
22;1;3;1;17;1
22;1;3;1;16;2
22;1;3;2;19;1
22;1;3;2;8;2
22;1;4;1;27;1
22;1;4;1;6;2
22;1;4;2;18;1
22;1;4;2;2;2
23;1;3;1;20;1
23;1;3;1;4;2
23;1;3;1;9;3
23;1;3;2;11;1
23;1;3;2;8;2
23;1;4;1;24;1
23;1;4;1;10;2
23;1;4;2;14;1
23;1;4;2;8;2
24;1;3;1;14;1
