dia;mes;qt_acidentes;id_risco
1;1;1;1
1;2;13;1
1;3;11;1
1;4;4;1
1;5;6;1
1;5;1;2
1;6;9;1
1;6;2;2
1;7;13;1
1;7;2;3
1;8;4;1
1;9;10;1
1;9;4;2
1;10;14;1
1;10;1;2
1;11;17;1
1;11;2;2
1;11;1;3
1;12;5;1
1;12;3;2
2;1;1;1
2;2;18;1
2;2;2;2
2;3;6;1
2;4;9;1
2;5;8;1
2;5;2;2
2;6;20;1
2;6;2;2
2;7;10;1
2;7;2;2
2;8;14;1
2;9;17;1
2;10;17;1
2;11;5;1
2;11;3;2
2;12;8;1
2;12;4;2
3;1;4;1
3;1;2;2
3;1;3;3
3;2;9;1
3;3;7;1
3;4;11;1
3;4;2;2
3;5;9;1
3;5;2;2
3;6;10;1
3;7;5;1
3;7;3;2
3;8;21;1
3;9;19;1
3;9;3;2
3;10;17;1
3;10;1;2
3;11;12;1
3;11;1;2
3;12;6;1
4;1;4;1
4;2;14;1
4;2;1;2
4;3;11;1
4;3;3;2
4;4;12;1
4;5;12;1
4;5;1;2
4;6;5;1
4;7;6;1
4;8;15;1
4;9;19;1
4;9;2;2
4;10;10;1
4;11;23;1
4;11;2;2
4;12;15;1
5;1;8;1
5;2;18;1
5;2;4;2
5;3;10;1
5;4;13;1
5;4;2;2
5;5;6;1
5;5;2;2
5;6;2;1
5;7;10;1
5;7;3;2
5;8;12;1
5;8;2;2
5;9;15;1
5;10;7;1
5;11;16;1
5;11;7;2
5;12;8;1
6;1;13;1
6;2;15;1
6;2;1;2
6;2;3;3
6;3;5;1
6;3;2;2
6;4;13;1
6;4;1;2
6;5;14;1
6;5;5;2
6;5;1;3
6;6;11;1
6;6;4;2
6;7;13;1
6;8;13;1
6;8;4;2
6;9;17;1
6;9;4;2
6;10;11;1
6;10;4;2
6;11;17;1
6;11;2;2
6;12;12;1
6;12;2;3
7;1;12;1
7;2;13;1
7;2;2;2
7;3;14;1
7;3;2;2
7;4;12;1
7;4;2;2
7;5;16;1
7;5;2;2
7;5;1;3
7;6;10;1
7;6;1;2
7;7;14;1
7;7;2;3
7;8;11;1
7;8;1;3
7;9;10;1
7;9;1;2
7;10;17;1
7;10;1;2
7;11;15;1
7;11;1;2
7;12;6;1
7;12;2;2
8;1;5;1
8;2;11;1
8;3;7;1
8;3;2;2
8;4;5;1
8;4;2;2
8;5;10;1
8;5;2;2
8;5;1;3
8;6;11;1
8;6;2;2
8;7;20;1
8;7;1;2
8;8;13;1
8;8;1;3
8;9;12;1
8;9;4;2
8;9;1;3
8;10;9;1
8;11;10;1
8;11;2;2
8;12;16;1
8;12;2;2
9;1;10;1
9;2;6;1
9;2;2;2
9;3;15;1
9;3;1;2
9;4;10;1
9;4;5;3
9;5;10;1
9;6;6;1
9;6;2;2
9;7;5;1
9;8;6;1
9;8;3;2
9;9;20;1
9;9;4;2
9;10;16;1
9;11;17;1
9;11;1;2
9;12;19;1
9;12;2;2
10;1;7;1
10;2;10;1
10;2;1;3
10;3;12;1
10;3;1;2
10;4;7;1
10;4;2;2
10;5;19;1
10;5;1;2
10;6;19;1
10;6;2;2
10;7;8;1
10;8;16;1
10;9;29;1
10;9;2;2
10;10;17;1
10;10;1;2
10;11;19;1
10;12;25;1
11;1;9;1
11;1;1;2
11;2;20;1
11;2;3;2
11;3;11;1
11;4;6;1
11;4;1;2
11;5;13;1
11;5;1;2
11;6;22;1
11;6;3;2
11;7;9;1
11;7;1;2
11;8;12;1
11;8;2;2
11;8;1;3
11;9;14;1
11;9;3;2
11;10;11;1
11;10;2;2
11;10;1;3
11;11;19;1
11;11;1;2
11;11;2;3
11;12;20;1
11;12;4;2
12;1;4;1
12;2;19;1
12;2;1;2
12;3;12;1
12;3;1;2
12;4;13;1
12;4;1;2
12;5;15;1
12;5;1;2
12;6;13;1
12;6;1;2
12;7;7;1
12;8;16;1
12;9;18;1
12;9;2;3
12;10;6;1
12;11;25;1
12;11;3;3
12;12;18;1
13;1;13;1
13;2;12;1
13;3;13;1
13;4;11;1
13;5;10;1
13;5;2;3
13;6;13;1
13;6;2;2
13;7;6;1
13;8;19;1
13;9;11;1
13;9;1;2
13;10;10;1
13;11;16;1
13;11;2;2
13;12;17;1
13;12;1;2
14;1;18;1
14;2;20;1
14;3;15;1
14;3;1;3
14;4;12;1
14;4;1;2
14;5;23;1
14;6;9;1
14;6;1;2
14;7;8;1
14;8;12;1
14;9;8;1
14;9;3;2
14;10;10;1
14;10;2;2
14;11;14;1
14;11;2;3
14;12;8;1
14;12;4;2
15;1;7;1
15;1;1;2
15;2;14;1
15;3;3;1
15;3;1;2
15;4;7;1
15;4;2;2
15;5;17;1
15;5;2;2
15;6;14;1
15;7;7;1
15;7;1;2
15;8;4;1
15;8;2;2
15;9;18;1
15;10;10;1
15;10;2;2
15;11;18;1
15;11;1;3
15;12;8;1
16;1;6;1
16;1;1;2
16;2;7;1
16;2;2;2
16;3;7;1
16;4;16;1
16;4;2;2
16;5;17;1
16;5;3;2
16;6;17;1
16;6;2;2
16;7;18;1
16;7;2;2
16;8;6;1
16;8;2;2
16;9;13;1
16;10;9;1
16;11;9;1
16;11;3;2
16;12;17;1
16;12;2;2
17;1;16;1
17;2;19;1
17;3;18;1
17;4;10;1
17;4;4;2
17;5;12;1
17;6;8;1
17;6;1;3
17;7;8;1
17;7;2;2
17;8;13;1
17;9;13;1
17;9;1;2
17;10;20;1
17;10;2;2
17;11;20;1
17;12;9;1
17;12;3;2
18;1;6;1
18;2;15;1
18;2;2;2
18;3;10;1
18;3;3;2
18;4;6;1
18;5;12;1
18;5;1;2
18;6;7;1
18;6;1;3
18;7;7;1
18;8;14;1
18;8;3;2
18;9;16;1
18;9;2;2
18;10;11;1
18;11;19;1
18;11;2;2
18;12;10;1
19;1;10;1
19;1;2;2
19;2;19;1
19;2;2;2
19;3;14;1
19;3;1;2
19;4;10;1
19;5;11;1
19;5;3;2
19;6;5;1
19;7;3;1
19;7;1;2
19;8;15;1
19;8;3;2
19;8;1;3
19;9;11;1
19;9;1;3
19;10;16;1
19;10;1;2
19;11;14;1
19;12;15;1
19;12;1;2
19;12;1;3
20;1;6;1
20;1;2;2
20;2;15;1
20;2;2;2
20;3;9;1
20;4;9;1
20;5;13;1
20;5;3;2
20;6;8;1
20;6;2;2
20;7;9;1
20;8;12;1
20;9;11;1
20;9;2;2
20;10;15;1
20;11;11;1
20;11;4;2
20;12;4;1
21;1;9;1
21;2;6;1
21;2;3;2
21;3;19;1
21;4;6;1
21;5;13;1
21;5;4;2
21;6;9;1
21;7;12;1
21;8;10;1
21;9;9;1
21;9;1;2
21;10;13;1
21;10;5;2
21;11;12;1
21;12;11;1
21;12;2;2
22;1;15;1
22;1;2;2
22;2;15;1
22;2;2;2
22;3;12;1
22;4;9;1
22;5;14;1
22;5;1;3
22;6;8;1
22;6;1;2
22;7;8;1
22;8;5;1
22;8;2;3
22;9;7;1
22;9;2;3
22;10;8;1
22;10;1;2
22;11;15;1
22;12;14;1
23;1;11;1
23;2;9;1
23;3;8;1
23;4;7;1
23;4;2;2
23;5;9;1
23;6;10;1
23;7;5;1
23;8;19;1
23;9;17;1
23;9;2;2
23;9;1;3
23;10;10;1
23;11;21;1
23;11;1;3
23;12;7;1
23;12;2;2
24;1;12;1
24;2;10;1
24;2;2;2
24;3;15;1
24;3;4;2
24;4;10;1
24;4;3;2
24;5;8;1
24;5;1;2
24;6;10;1
24;6;2;2
24;7;10;1
24;8;14;1
24;8;1;2
24;9;22;1
24;9;1;2
24;10;7;1
24;10;3;2
24;11;17;1
24;11;3;2
24;11;1;3
24;12;2;1
25;1;8;1
25;2;20;1
25;2;1;2
25;3;10;1
25;4;7;1
25;4;2;2
25;5;5;1
25;5;2;2
25;6;9;1
25;6;1;2
25;7;6;1
25;7;1;2
25;8;11;1
25;8;6;2
25;9;13;1
25;9;2;2
25;9;1;3
25;10;4;1
25;11;27;1
25;11;3;2
25;12;1;1
25;12;1;2
26;1;3;1
26;2;9;1
26;2;1;2
26;3;19;1
26;4;7;1
26;4;3;2
26;5;10;1
26;5;2;2
26;5;1;3
26;6;20;1
26;6;5;2
26;6;1;3
26;7;6;1
26;7;5;2
26;8;10;1
26;9;5;1
26;9;2;2
26;10;10;1
26;11;23;1
26;11;3;2
26;12;5;1
26;12;2;2
26;12;2;3
27;1;6;1
27;2;15;1
27;2;1;2
27;3;13;1
27;3;1;2
27;4;12;1
27;5;8;1
27;5;2;2
27;6;16;1
27;6;2;2
27;6;2;3
27;7;5;1
27;8;10;1
27;8;3;2
27;9;13;1
27;10;9;1
27;11;18;1
27;11;5;2
27;12;3;1
27;12;3;2
28;1;11;1
28;2;7;1
28;2;1;3
28;3;7;1
28;3;4;2
28;4;10;1
28;4;2;2
28;5;12;1
28;5;2;2
28;6;9;1
28;6;1;3
28;7;11;1
28;8;16;1
28;8;1;2
28;9;8;1
28;9;1;2
28;10;8;1
28;11;22;1
28;11;2;2
28;12;8;1
28;12;1;2
29;1;6;1
29;2;2;1
29;2;1;2
29;3;6;1
29;4;19;1
29;4;1;2
29;5;8;1
29;6;7;1
29;6;2;2
