id_conce; id_acidente_tip; dia; mes; total; id_risco
19;30;3;1;1;1
19;11;3;1;1;1
19;24;4;1;1;3
19;22;5;1;1;1
19;22;5;1;1;1
19;19;5;1;1;1
19;22;6;1;1;1
19;18;8;1;1;1
19;19;8;1;1;2
19;24;11;1;1;1
19;22;12;1;1;1
19;11;12;1;1;1
19;30;12;1;1;1
19;22;12;1;1;1
19;30;14;1;1;1
19;19;15;1;1;1
19;13;16;1;1;1
19;30;17;1;1;1
19;259;18;1;1;1
19;11;18;1;1;1
19;13;18;1;1;1
19;13;20;1;1;1
19;18;22;1;1;1
19;13;22;1;1;1
19;13;23;1;1;1
19;24;25;1;1;1
19;11;25;1;2;1
19;13;26;1;1;1
19;13;30;1;1;1
19;22;1;2;1;1
19;13;2;2;2;3
19;0;3;2;1;1
19;24;4;2;1;1
19;11;7;2;1;1
19;24;9;2;1;1
19;24;9;2;1;1
19;24;9;2;1;1
19;13;9;2;2;1
19;24;10;2;1;1
19;13;14;2;1;2
19;30;14;2;1;1
19;13;15;2;1;1
19;24;17;2;1;1
19;13;20;2;2;1
19;21;22;2;1;1
19;13;22;2;1;1
19;30;22;2;1;1
19;30;22;2;1;1
19;13;23;2;1;1
19;13;25;2;1;1
19;30;26;2;1;1
19;19;26;2;1;3
19;22;27;2;1;1
19;13;3;3;1;1
19;13;7;3;1;2
19;30;9;3;2;1
19;11;9;3;1;1
19;24;10;3;1;1
19;24;11;3;1;2
19;24;12;3;1;1
19;11;14;3;2;2
19;24;14;3;1;1
19;30;15;3;1;1
19;13;15;3;1;1
19;11;16;3;1;1
19;30;16;3;1;3
19;30;18;3;1;2
19;13;20;3;2;1
19;13;22;3;2;2
19;22;23;3;1;1
19;11;23;3;1;1
19;13;26;3;2;2
19;22;27;3;1;1
19;30;31;3;1;3
19;21;1;4;1;1
19;22;4;4;1;1
19;30;4;4;1;1
19;13;5;4;1;1
19;30;6;4;1;1
19;22;6;4;1;2
19;24;7;4;1;1
19;24;16;4;1;1
19;13;16;4;1;1
19;33;17;4;1;1
19;30;18;4;1;1
19;22;19;4;1;1
19;13;19;4;2;1
19;13;20;4;2;1
19;21;21;4;1;1
19;30;22;4;1;2
19;250;23;4;1;1
19;18;25;4;1;2
19;13;27;4;1;1
19;13;28;4;2;1
19;19;29;4;1;1
19;13;30;4;1;1
19;13;2;8;1;1
19;24;3;8;1;1
19;21;4;8;1;1
19;24;10;8;1;1
19;19;11;8;1;1
19;13;12;8;2;1
19;24;13;8;1;1
19;30;13;8;1;1
19;30;18;8;1;1
19;24;21;8;3;1
19;13;24;8;1;1
19;24;24;8;1;2
19;13;31;8;1;1
19;30;31;8;1;1
19;13;31;8;2;1
19;30;1;7;1;1
19;13;2;7;1;2
19;18;3;7;1;1
19;11;5;7;1;1
19;30;5;7;1;1
19;24;6;7;1;1
19;30;7;7;1;1
19;24;12;7;1;2
19;22;12;7;1;1
19;18;13;7;1;1
19;19;14;7;1;1
19;18;14;7;1;1
19;13;16;7;1;2
19;13;16;7;1;1
19;24;18;7;1;1
19;11;19;7;2;1
19;18;20;7;1;1
19;13;20;7;2;1
19;24;23;7;1;1
19;13;27;7;2;1
19;11;30;7;1;1
19;24;1;6;1;1
19;30;2;6;1;1
19;18;4;6;1;1
19;22;4;6;1;1
19;24;5;6;1;1
19;11;8;6;1;1
19;24;8;6;1;1
19;13;9;6;1;2
19;30;9;6;1;1
19;13;9;6;1;1
19;30;10;6;2;1
19;13;13;6;2;1
19;24;14;6;1;1
19;13;17;6;1;1
19;0;18;6;1;2
19;30;18;6;1;1
19;263;19;6;3;1
19;13;22;6;1;1
19;33;22;6;1;1
19;30;24;6;1;1
19;21;3;5;1;1
19;13;6;5;1;1
19;24;9;5;1;1
19;13;10;5;1;1
19;13;10;5;1;1
19;22;14;5;1;1
19;24;15;5;1;1
19;18;16;5;1;1
19;24;17;5;1;1
19;24;19;5;1;1
19;24;21;5;1;1
19;24;1;9;1;1
19;13;5;9;2;1
19;13;5;9;2;1
19;30;6;9;1;2
19;24;10;9;1;1
19;30;13;9;1;1
19;24;14;9;2;1
19;30;14;9;1;1
19;19;17;9;1;3
19;13;19;9;1;1
19;13;21;9;2;1
19;13;25;9;1;1
19;30;28;9;1;1
19;18;30;9;1;1
19;18;1;10;1;3
19;13;3;10;1;1
19;13;4;10;2;1
19;13;6;10;1;1
