dia;mes;qt_acidentes;id_risco
1;2;2;1
1;3;4;1
1;4;5;1
1;5;2;1
1;6;5;1
1;7;1;1
1;8;2;1
1;10;5;1
1;10;2;2
1;11;3;1
2;2;1;1
2;3;3;1
2;4;2;1
2;7;3;1
2;8;3;1
2;9;1;2
3;1;3;1
3;3;2;1
3;4;3;1
3;5;1;1
3;6;2;1
3;7;1;1
3;9;1;1
3;10;2;1
3;11;2;1
4;1;2;1
4;2;2;1
4;3;2;1
4;5;3;1
4;12;2;1
5;1;1;1
5;2;3;1
5;3;2;1
5;4;4;1
5;5;5;1
5;5;1;2
5;6;2;1
5;7;2;1
5;8;1;2
5;9;2;1
5;10;1;1
5;11;2;1
6;1;2;1
6;3;2;1
6;4;1;1
6;5;2;1
6;6;1;1
6;7;1;1
6;8;2;1
6;8;2;2
6;10;3;1
6;11;2;1
6;12;1;1
7;2;1;1
7;3;3;1
7;5;2;1
7;8;2;1
7;9;1;1
7;10;5;1
7;11;2;1
7;12;5;1
8;1;1;1
8;2;3;1
8;4;4;1
8;5;1;1
8;6;1;1
8;7;1;1
8;8;1;1
8;9;1;1
8;10;3;1
8;11;1;1
8;12;2;1
9;3;1;1
9;4;2;1
9;5;4;1
9;6;2;1
9;8;5;1
9;9;2;1
9;10;3;1
9;12;1;1
10;2;1;1
10;3;2;1
10;4;2;1
10;5;3;1
10;7;5;1
10;9;3;1
10;10;1;1
10;12;3;1
10;12;2;2
11;1;3;1
11;3;1;1
11;5;3;1
11;6;1;1
11;9;1;1
11;10;1;1
11;11;2;1
12;3;2;1
12;5;2;1
12;7;1;1
12;10;3;1
12;11;2;1
13;3;3;1
13;4;1;1
13;6;4;1
13;7;2;1
13;8;3;1
13;9;2;1
13;12;2;1
14;1;4;1
14;2;2;1
14;3;3;1
14;5;3;1
14;7;1;1
14;8;4;1
14;10;3;1
14;11;1;1
14;12;3;1
15;2;2;1
15;3;2;1
15;5;1;1
15;6;3;1
15;7;2;1
15;8;2;1
15;9;2;1
15;10;1;1
15;11;2;1
15;12;2;1
16;1;1;1
16;2;3;1
16;3;2;1
16;4;6;1
16;5;1;1
16;6;1;1
16;7;1;1
16;9;1;1
16;10;3;1
16;12;1;1
17;1;1;1
17;4;4;1
17;8;5;1
17;9;3;1
17;10;2;1
18;1;2;1
18;4;3;1
18;6;2;1
18;7;2;1
18;9;1;1
18;10;3;1
18;11;1;1
18;12;1;1
19;1;1;1
19;3;1;1
19;4;1;1
19;5;1;1
19;6;2;1
19;8;2;1
19;8;1;2
19;9;5;1
19;12;1;1
20;2;5;1
20;3;4;1
20;4;1;1
20;5;4;1
20;6;2;1
20;6;1;2
20;8;3;1
20;10;2;1
20;11;1;1
20;12;2;1
21;1;1;1
21;2;3;1
21;3;1;2
21;4;4;1
21;5;1;1
21;6;2;1
21;7;2;1
21;8;1;1
21;9;2;1
21;12;6;1
22;1;2;1
22;2;2;1
22;3;2;1
22;4;2;1
22;5;2;1
22;5;2;2
22;7;2;1
22;8;2;1
22;9;4;1
22;10;2;1
22;12;1;1
23;1;1;1
23;2;1;1
23;3;2;1
23;5;2;1
23;6;2;1
23;8;2;1
23;9;6;1
23;11;5;1
23;12;1;1
24;1;2;1
24;3;2;1
24;4;4;1
24;5;2;1
24;7;7;1
24;7;2;3
24;8;4;1
24;9;1;2
24;10;4;1
24;11;4;1
25;1;1;1
25;2;1;1
25;3;2;1
25;4;2;1
25;5;3;1
25;7;2;1
25;8;1;1
25;9;2;1
25;10;6;1
25;11;3;1
26;2;1;1
26;2;1;2
26;3;2;1
26;8;1;1
26;9;5;1
26;10;1;1
26;11;3;1
27;2;6;1
27;3;2;1
27;5;1;1
27;6;3;1
27;7;2;1
27;9;2;1
27;10;2;1
27;11;2;1
27;12;1;1
28;1;2;1
28;2;2;1
28;3;4;1
28;4;1;1
28;9;5;1
28;9;2;2
28;10;1;1
28;11;1;1
29;1;4;1
29;3;3;1
29;4;3;1
29;7;1;1
29;8;2;1
29;9;3;1
29;10;1;1
29;11;1;1
29;12;1;1
30;3;2;1
30;3;2;2
30;5;1;1
30;5;1;2
30;7;2;1
30;10;3;1
30;11;1;1
30;12;1;1
31;1;2;1
31;7;2;1
31;8;2;1
31;8;2;2
31;10;1;2
