id_acidente_tip; dia; mes; total; id_risco
273;22;10;1;v04
4;22;10;1;v04
4;22;10;1;v04
4;22;10;1;v04
4;23;10;1;v04
119;23;10;1;v04
119;24;10;2;v04
4;24;10;2;v04
117;24;10;1;v04
4;25;10;1;v04
33;25;10;1;v04
118;25;10;2;v04
119;25;10;1;v04
6;25;10;1;v04
119;26;10;2;v04
33;26;10;1;v04
33;26;10;1;v04
126;26;10;1;v04
117;26;10;1;v04
4;27;10;1;v04
119;27;10;1;v04
4;27;10;1;v04
6;27;10;1;v04
117;27;10;1;v04
117;27;10;1;v04
127;28;10;1;v04
4;28;10;2;v04
273;28;10;1;v04
4;29;10;1;v04
4;29;10;1;v04
33;30;10;2;v04
33;30;10;1;v04
7;30;10;2;v04
119;30;10;1;v04
117;30;10;1;v04
119;30;10;1;v04
33;30;10;1;v04
33;30;10;1;v04
33;31;10;1;v04
4;31;10;2;v04
119;31;10;1;v04
4;31;10;1;v04
117;31;10;1;v04
4;31;10;1;v04
4;31;10;1;v04
119;31;10;1;v04
6;1;11;2;v04
4;1;11;2;v04
33;2;11;1;v04
33;3;11;1;v04
4;3;11;1;v04
4;3;11;1;v04
119;3;11;2;v04
127;4;11;1;v04
4;4;11;1;v04
117;4;11;1;v04
4;4;11;1;v04
119;4;11;1;v04
117;5;11;1;v04
4;5;11;1;v04
4;5;11;1;v04
4;5;11;1;v04
4;5;11;2;v04
273;6;11;1;v04
4;6;11;1;v04
4;6;11;1;v04
117;7;11;1;v04
119;7;11;1;v04
33;7;11;1;v04
4;7;11;1;v04
126;7;11;1;v04
4;8;11;1;v04
119;8;11;1;v04
117;8;11;1;v04
33;8;11;2;v04
6;8;11;1;v04
63;8;11;1;v04
63;8;11;1;v04
273;9;11;1;v04
273;9;11;1;v04
7;9;11;2;v04
119;10;11;1;v04
33;10;11;1;v04
6;10;11;1;v04
6;10;11;1;v04
4;10;11;1;v04
4;10;11;2;v04
119;10;11;1;v04
6;10;11;1;v04
4;10;11;1;v04
33;10;11;1;v04
119;10;11;1;v04
4;11;11;1;v04
4;11;11;1;v04
119;11;11;1;v04
119;11;11;1;v04
119;11;11;1;v04
33;11;11;1;v04
33;11;11;1;v04
33;12;11;1;v04
119;12;11;1;v04
4;12;11;1;v04
33;12;11;2;v04
4;12;11;1;v04
4;12;11;1;v04
126;12;11;2;v04
4;12;11;1;v04
33;12;11;1;v04
4;13;11;1;v04
6;13;11;1;v04
7;13;11;2;v04
119;13;11;1;v04
119;13;11;2;v04
4;14;11;1;v04
33;14;11;1;v04
33;14;11;1;v04
6;14;11;1;v04
117;14;11;1;v04
6;14;11;1;v04
120;14;11;3;v04
