id_acidente_tip; dia; mes; total; id_risco
76;1;5;1;vct
172;2;5;2;vct
172;11;5;1;vct
11;14;5;1;vct
178;16;5;2;vct
34;20;5;2;vct
172;27;5;1;vct
32;28;5;3;vct
174;4;6;1;vct
172;8;6;1;vct
172;9;6;1;vct
175;12;6;1;vct
18;16;6;1;vct
18;30;6;1;vct
52;6;7;1;vct
174;10;7;1;vct
174;23;7;1;vct
172;28;7;1;vct
174;5;8;1;vct
172;7;8;1;vct
291;8;8;3;vct
172;8;8;2;vct
33;14;8;1;vct
174;19;8;1;vct
172;23;8;1;vct
44;29;8;1;vct
172;2;9;2;vct
173;10;9;1;vct
174;15;9;1;vct
18;29;9;1;vct
172;4;10;1;vct
76;12;10;1;vct
172;13;10;1;vct
172;14;10;1;vct
18;25;10;1;vct
4;1;11;1;vct
55;1;11;1;vct
75;5;11;1;vct
55;6;11;1;vct
4;19;11;1;vct
18;20;11;1;vct
55;22;11;1;vct
4;30;11;1;vct
55;10;12;2;vct
53;15;12;1;vct
18;17;12;1;vct
4;18;12;2;vct
4;22;12;1;vct
75;2;4;1;vct
4;4;4;1;vct
53;15;4;3;vct
10;15;4;1;vct
4;29;4;1;vct
4;30;4;2;vct
55;6;5;1;vct
75;25;5;1;vct
55;27;5;2;vct
125;31;5;1;vct
4;30;6;1;vct
4;1;7;1;vct
55;1;7;1;vct
4;1;7;1;vct
4;2;7;1;vct
18;5;7;1;vct
4;5;7;1;vct
4;5;7;1;vct
4;10;7;1;vct
10;11;7;1;vct
53;12;7;1;vct
53;13;7;1;vct
18;13;7;1;vct
53;15;7;1;vct
4;17;7;1;vct
53;24;7;1;vct
53;24;7;1;vct
53;26;7;1;vct
53;27;7;1;vct
53;28;7;1;vct
53;30;7;1;vct
53;2;8;1;vct
53;8;8;1;vct
53;8;8;1;vct
53;9;8;1;vct
53;9;8;1;vct
53;9;8;1;vct
53;14;8;1;vct
53;16;8;1;vct
53;16;8;1;vct
53;17;8;1;vct
53;23;8;1;vct
53;25;8;1;vct
53;25;8;1;vct
53;26;8;1;vct
53;26;8;1;vct
53;26;8;1;vct
53;29;8;1;vct
53;30;8;1;vct
4;31;8;3;vct
53;2;9;1;vct
53;3;9;1;vct
55;6;9;1;vct
4;6;9;1;vct
53;6;9;1;vct
60;7;9;1;vct
4;8;9;1;vct
55;9;9;1;vct
75;9;9;1;vct
53;9;9;1;vct
55;9;9;1;vct
4;10;9;1;vct
55;10;9;1;vct
4;10;9;2;vct
55;10;9;1;vct
55;11;9;1;vct
53;14;9;1;vct
4;14;9;1;vct
53;18;9;1;vct
4;22;9;1;vct
53;22;9;1;vct
53;23;9;1;vct
53;23;9;1;vct
53;24;9;1;vct
53;26;9;1;vct
53;27;9;1;vct
53;28;9;1;vct
53;30;9;1;vct
53;5;10;1;vct
53;11;10;1;vct
53;14;10;1;vct
53;18;10;1;vct
53;20;10;1;vct
53;24;10;1;vct
53;25;10;1;vct
53;26;10;1;vct
53;26;10;1;vct
53;27;10;1;vct
53;1;11;1;vct
4;3;11;1;vct
53;6;11;1;vct
53;7;11;1;vct
53;8;11;1;vct
53;11;11;1;vct
53;12;11;1;vct
53;17;11;1;vct
53;20;11;1;vct
53;21;11;1;vct
53;25;11;1;vct
4;29;11;1;vct
53;2;12;1;vct
53;3;12;1;vct
53;7;12;1;vct
53;8;12;1;vct
53;8;12;1;vct
53;9;12;1;vct
53;11;12;1;vct
53;11;12;1;vct
53;15;12;1;vct
53;16;12;1;vct
53;21;12;1;vct
53;26;12;1;vct
53;28;12;1;vct
53;29;12;1;vct
53;3;1;1;vct
53;4;1;1;vct
75;9;1;1;vct
53;9;1;1;vct
53;10;1;1;vct
53;10;1;1;vct
4;10;1;1;vct
8;10;1;3;vct
55;11;1;1;vct
18;11;1;2;vct
75;12;1;1;vct
75;12;1;1;vct
4;12;1;1;vct
53;13;1;1;vct
53;15;1;1;vct
53;16;1;1;vct
53;16;1;1;vct
53;18;1;1;vct
53;18;1;1;vct
53;20;1;1;vct
53;21;1;1;vct
53;25;1;1;vct
53;31;1;1;vct
53;31;1;1;vct
53;31;1;1;vct
53;31;1;1;vct
53;3;2;1;vct
53;3;2;1;vct
53;7;2;1;vct
53;9;2;1;vct
53;10;2;1;vct
53;15;2;1;vct
53;15;2;1;vct
53;21;2;1;vct
53;21;2;1;vct
53;21;2;1;vct
53;21;2;1;vct
53;21;2;1;vct
53;21;2;1;vct
53;22;2;1;vct
53;22;2;1;vct
53;22;2;1;vct
53;23;2;1;vct
53;23;2;1;vct
53;23;2;1;vct
53;23;2;1;vct
53;23;2;1;vct
53;23;2;1;vct
53;23;2;1;vct
53;23;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;24;2;1;vct
53;25;2;1;vct
53;25;2;1;vct
53;25;2;1;vct
53;28;2;1;vct
53;28;2;1;vct
53;28;2;1;vct
53;1;3;1;vct
53;1;3;1;vct
53;1;3;1;vct
53;1;3;1;vct
53;1;3;1;vct
53;1;3;1;vct
53;1;3;1;vct
53;1;3;1;vct
53;2;3;1;vct
53;2;3;1;vct
53;2;3;1;vct
53;2;3;1;vct
53;2;3;1;vct
53;3;3;1;vct
53;3;3;1;vct
53;3;3;1;vct
53;3;3;1;vct
53;4;3;1;vct
53;5;3;1;vct
53;5;3;1;vct
53;5;3;1;vct
53;5;3;1;vct
53;5;3;1;vct
53;6;3;1;vct
53;6;3;1;vct
53;6;3;1;vct
53;6;3;1;vct
53;6;3;1;vct
53;6;3;1;vct
53;9;3;1;vct
53;10;3;1;vct
53;14;4;1;vct
4;14;4;1;vct
53;31;5;1;vct
53;1;6;1;vct
53;6;6;1;vct
75;7;6;1;vct
53;14;6;1;vct
53;14;6;1;vct
53;15;6;1;vct
53;23;6;1;vct
4;24;6;1;vct
53;16;7;1;vct
53;27;7;1;vct
53;8;8;1;vct
53;9;8;1;vct
18;17;8;1;vct
53;24;8;1;vct
53;25;8;1;vct
55;27;8;1;vct
53;28;8;1;vct
18;1;11;2;vct
55;3;11;1;vct
75;5;11;1;vct
55;6;11;1;vct
18;9;11;1;vct
55;10;11;1;vct
18;10;11;1;vct
53;11;11;1;vct
4;12;11;1;vct
4;12;11;1;vct
4;13;11;1;vct
75;13;11;1;vct
55;13;11;1;vct
55;13;11;1;vct
53;14;11;1;vct
18;14;11;1;vct
18;15;11;1;vct
55;15;11;1;vct
11;16;11;1;vct
4;17;11;1;vct
55;18;11;1;vct
75;20;11;1;vct
53;22;11;1;vct
75;23;11;1;vct
4;24;11;1;vct
4;24;11;1;vct
55;25;11;1;vct
55;25;11;1;vct
4;25;11;1;vct
53;26;11;1;vct
53;26;11;1;vct
53;26;11;1;vct
53;27;11;1;vct
55;29;11;1;vct
55;30;11;1;vct
4;1;12;1;vct
77;1;12;1;vct
77;2;12;1;vct
53;3;12;1;vct
53;4;12;1;vct
75;6;12;1;vct
55;6;12;1;vct
53;6;12;1;vct
53;7;12;1;vct
75;7;12;1;vct
55;7;12;1;vct
53;8;12;1;vct
53;8;12;1;vct
53;12;12;1;vct
18;13;12;1;vct
18;13;12;1;vct
53;13;12;1;vct
53;14;12;1;vct
53;14;12;1;vct
4;14;12;1;vct
18;15;12;2;vct
53;15;12;1;vct
18;15;12;1;vct
18;16;12;1;vct
4;17;12;1;vct
4;21;12;1;vct
55;27;12;1;vct
53;30;12;1;vct
7;8;1;1;vct
4;12;1;1;vct
4;13;1;1;vct
75;14;1;1;vct
4;14;1;1;vct
11;14;1;1;vct
11;17;1;1;vct
18;17;1;1;vct
53;18;1;2;vct
53;19;1;1;vct
75;20;1;1;vct
4;21;1;1;vct
4;22;1;1;vct
53;23;1;1;vct
55;27;1;1;vct
11;28;1;1;vct
18;1;2;1;vct
53;2;2;1;vct
53;3;2;1;vct
75;4;2;1;vct
75;7;2;1;vct
55;8;2;1;vct
4;8;2;1;vct
53;14;2;1;vct
11;15;2;1;vct
55;17;2;1;vct
75;21;2;1;vct
18;23;2;1;vct
4;24;2;1;vct
7;28;2;1;vct
75;3;3;1;vct
53;6;3;1;vct
53;7;3;1;vct
55;8;3;1;vct
4;9;3;1;vct
55;10;3;2;vct
53;12;3;1;vct
55;14;3;1;vct
4;14;3;1;vct
18;15;3;1;vct
4;15;3;1;vct
7;15;3;1;vct
53;16;3;1;vct
55;17;3;1;vct
4;21;3;1;vct
55;29;3;1;vct
55;31;3;1;vct
53;1;4;1;vct
77;4;4;1;vct
55;6;4;1;vct
55;8;4;1;vct
4;11;4;1;vct
53;12;4;1;vct
4;14;4;1;vct
77;19;4;2;vct
4;21;4;1;vct
4;25;4;1;vct
