id_acidente_tip; dia; mes; total; id_risco
18;22;4;1;vis
175;2;5;1;vis
18;2;5;2;vis
6;7;5;1;vis
76;8;5;1;vis
252;10;5;1;vis
52;11;5;1;vis
174;11;5;2;vis
172;14;5;1;vis
252;15;5;1;vis
52;16;5;1;vis
175;16;5;1;vis
18;17;5;1;vis
52;19;5;1;vis
18;21;5;1;vis
172;22;5;1;vis
18;23;5;1;vis
6;30;5;1;vis
18;2;6;1;vis
174;3;6;1;vis
172;4;6;1;vis
174;5;6;1;vis
252;6;6;1;vis
18;10;6;1;vis
174;17;6;1;vis
174;26;6;1;vis
21;27;6;1;vis
252;28;6;1;vis
18;28;6;1;vis
252;29;6;1;vis
172;2;8;1;vis
21;4;8;1;vis
21;6;8;2;vis
172;9;8;1;vis
174;9;8;1;vis
174;10;8;1;vis
33;11;8;1;vis
52;12;8;1;vis
172;12;8;1;vis
175;12;8;1;vis
186;12;8;1;vis
174;15;8;1;vis
52;16;8;1;vis
172;16;8;1;vis
175;18;8;1;vis
172;19;8;2;vis
174;19;8;1;vis
172;21;8;1;vis
172;21;8;1;vis
252;1;7;1;vis
172;1;7;1;vis
288;3;7;1;vis
252;5;7;1;vis
174;5;7;1;vis
18;5;7;1;vis
172;9;7;2;vis
172;9;7;1;vis
18;10;7;1;vis
172;10;7;1;vis
175;13;7;1;vis
172;16;7;1;vis
174;18;7;1;vis
252;20;7;1;vis
175;23;7;1;vis
173;23;7;1;vis
18;24;7;1;vis
18;30;7;1;vis
172;30;7;1;vis
174;1;9;1;vis
174;2;9;1;vis
172;4;9;1;vis
11;4;9;1;vis
18;4;9;1;vis
172;5;9;1;vis
289;6;9;2;vis
178;6;9;3;vis
178;6;9;1;vis
172;6;9;1;vis
174;8;9;1;vis
18;9;9;1;vis
172;10;9;1;vis
172;10;9;1;vis
18;11;9;1;vis
177;11;9;1;vis
174;12;9;1;vis
172;12;9;1;vis
172;13;9;2;vis
174;13;9;1;vis
44;15;9;2;vis
8;15;9;1;vis
18;17;9;1;vis
172;17;9;1;vis
252;17;9;1;vis
172;17;9;1;vis
252;18;9;1;vis
252;18;9;1;vis
18;18;9;1;vis
6;19;9;1;vis
76;19;9;1;vis
252;21;9;1;vis
172;22;9;1;vis
11;22;9;1;vis
172;23;9;1;vis
289;23;9;2;vis
174;26;9;1;vis
6;27;9;1;vis
172;27;9;1;vis
172;28;9;1;vis
11;30;9;1;vis
174;1;10;1;vis
177;1;10;1;vis
172;1;10;1;vis
18;2;10;2;vis
252;2;10;1;vis
174;3;10;1;vis
18;3;10;2;vis
252;4;10;1;vis
174;4;10;1;vis
174;4;10;1;vis
174;4;10;1;vis
18;4;10;1;vis
174;4;10;1;vis
18;5;10;1;vis
252;5;10;1;vis
172;6;10;2;vis
172;7;10;1;vis
40;7;10;1;vis
172;7;10;1;vis
11;9;10;1;vis
18;10;10;1;vis
172;10;10;1;vis
252;11;10;1;vis
52;11;10;1;vis
18;12;10;1;vis
18;12;10;1;vis
52;12;10;2;vis
252;14;10;1;vis
252;14;10;1;vis
18;14;10;1;vis
172;15;10;1;vis
252;16;10;1;vis
252;16;10;1;vis
44;16;10;3;vis
172;16;10;1;vis
252;16;10;1;vis
174;17;10;1;vis
174;17;10;1;vis
172;17;10;1;vis
172;18;10;1;vis
252;21;10;1;vis
21;22;10;1;vis
252;23;10;1;vis
174;23;10;1;vis
252;24;10;1;vis
174;24;10;1;vis
252;24;10;1;vis
174;25;10;1;vis
172;25;10;1;vis
252;26;10;1;vis
174;26;10;2;vis
172;26;10;1;vis
18;27;10;2;vis
252;27;10;1;vis
252;29;10;1;vis
252;29;10;1;vis
174;29;10;1;vis
172;30;10;3;vis
52;31;10;1;vis
252;31;10;1;vis
174;31;10;1;vis
174;31;10;1;vis
252;1;11;1;vis
174;1;11;1;vis
174;2;11;1;vis
172;4;11;1;vis
33;4;11;1;vis
252;5;11;1;vis
76;5;11;1;vis
18;5;11;1;vis
181;5;11;1;vis
172;5;11;1;vis
172;6;11;2;vis
174;6;11;1;vis
252;6;11;1;vis
252;7;11;1;vis
252;7;11;1;vis
178;8;11;2;vis
174;8;11;1;vis
172;8;11;1;vis
172;8;11;1;vis
172;8;11;1;vis
288;9;11;1;vis
172;9;11;1;vis
76;9;11;1;vis
174;10;11;1;vis
172;11;11;2;vis
172;11;11;1;vis
18;11;11;1;vis
33;11;11;1;vis
174;13;11;1;vis
172;13;11;1;vis
178;14;11;2;vis
172;14;11;1;vis
172;14;11;1;vis
172;17;11;1;vis
174;17;11;1;vis
172;18;11;1;vis
252;18;11;1;vis
172;18;11;1;vis
18;18;11;1;vis
252;19;11;1;vis
172;19;11;1;vis
174;19;11;1;vis
174;19;11;3;vis
52;21;11;1;vis
174;21;11;1;vis
21;22;11;1;vis
172;22;11;1;vis
76;22;11;1;vis
18;25;11;1;vis
174;25;11;1;vis
174;26;11;2;vis
18;26;11;1;vis
180;26;11;2;vis
18;27;11;1;vis
172;27;11;1;vis
172;27;11;1;vis
172;28;11;3;vis
8;30;11;3;vis
33;1;12;1;vis
172;2;12;2;vis
172;2;12;1;vis
172;3;12;1;vis
172;3;12;1;vis
44;3;12;2;vis
289;4;12;2;vis
176;5;12;1;vis
172;6;12;1;vis
174;6;12;1;vis
180;6;12;1;vis
172;6;12;2;vis
172;6;12;1;vis
8;7;12;1;vis
18;8;12;2;vis
172;8;12;1;vis
172;10;12;1;vis
52;10;12;1;vis
172;11;12;1;vis
172;11;12;1;vis
76;11;12;1;vis
172;12;12;1;vis
172;13;12;1;vis
180;13;12;1;vis
172;13;12;1;vis
172;13;12;1;vis
252;14;12;2;vis
176;15;12;1;vis
174;16;12;1;vis
174;16;12;1;vis
