dia;mes;qt_acidentes;id_risco
1;1;6;1
1;1;2;2
1;2;24;1
1;2;1;2
1;2;2;3
1;3;30;1
1;3;2;2
1;3;1;3
1;4;28;1
1;5;14;1
1;5;3;2
1;6;17;1
1;6;3;2
1;6;1;3
1;7;23;1
1;7;3;2
1;8;10;1
1;8;3;2
1;8;2;3
1;9;21;1
1;9;4;2
1;9;2;3
1;10;44;1
1;10;3;2
1;11;25;1
1;11;1;2
1;12;35;1
1;12;1;2
1;12;2;3
2;1;19;1
2;2;25;1
2;2;2;2
2;3;26;1
2;3;4;2
2;4;36;1
2;4;3;2
2;5;15;1
2;5;3;2
2;5;2;3
2;6;36;1
2;6;8;2
2;7;35;1
2;7;2;2
2;8;34;1
2;8;4;2
2;9;9;1
2;10;27;1
2;10;3;2
2;11;33;1
2;12;39;1
3;1;20;1
3;1;4;2
3;2;23;1
3;2;3;2
3;3;44;1
3;3;4;2
3;4;29;1
3;4;4;2
3;5;18;1
3;5;4;2
3;6;28;1
3;6;1;2
3;7;25;1
3;7;5;2
3;7;2;3
3;8;28;1
3;8;3;2
3;8;1;3
3;9;28;1
3;9;5;2
3;10;45;1
3;10;2;2
3;11;21;1
3;11;3;2
3;12;40;1
4;1;20;1
4;1;1;2
4;1;1;3
4;2;33;1
4;2;6;2
4;3;24;1
4;3;1;2
4;4;26;1
4;4;1;2
4;5;23;1
4;5;3;2
4;5;1;3
4;6;19;1
4;6;4;2
4;6;2;3
4;7;29;1
4;7;7;2
4;7;2;3
4;8;27;1
4;8;4;2
4;9;40;1
4;9;2;2
4;9;2;3
4;10;36;1
4;10;1;2
4;11;28;1
4;12;32;1
4;12;2;3
5;1;18;1
5;1;1;2
5;2;46;1
5;3;33;1
5;3;6;2
5;4;20;1
5;4;4;2
5;4;1;3
5;5;19;1
5;5;2;2
5;5;2;3
5;6;23;1
5;6;1;2
5;7;24;1
5;7;2;2
5;8;20;1
5;8;6;2
5;9;47;1
5;9;8;2
5;10;47;1
5;10;1;2
5;11;37;1
5;11;3;2
5;12;46;1
5;12;2;2
6;1;19;1
6;1;3;3
6;2;22;1
6;2;3;2
6;3;25;1
6;3;4;2
6;3;1;3
6;4;25;1
6;4;3;2
6;5;17;1
6;5;4;2
6;5;1;3
6;6;32;1
6;6;4;2
6;7;41;1
6;7;4;2
6;7;2;3
6;8;18;1
6;8;4;2
6;9;27;1
6;9;3;2
6;10;31;1
6;10;2;2
6;11;34;1
6;11;2;3
6;12;30;1
6;12;6;2
7;1;26;1
7;1;6;2
7;1;2;3
7;2;30;1
7;2;1;2
7;3;23;1
7;3;2;2
7;4;29;1
7;5;24;1
7;5;1;2
7;6;36;1
7;6;1;3
7;7;35;1
7;7;3;2
7;8;25;1
7;8;3;2
7;9;11;1
7;9;6;2
7;10;24;1
7;10;5;2
7;11;42;1
7;12;38;1
7;12;5;2
7;12;2;3
8;1;19;1
8;1;5;2
8;1;2;3
8;2;34;1
8;2;5;2
8;3;26;1
8;3;2;2
8;4;27;1
8;4;8;2
8;4;1;3
8;5;20;1
8;5;1;2
8;5;2;3
8;6;20;1
8;6;2;3
8;7;34;1
8;7;2;2
8;7;1;3
8;8;22;1
8;8;1;2
8;8;2;3
8;9;19;1
8;9;5;2
8;10;25;1
8;11;26;1
8;11;7;2
8;12;22;1
8;12;4;2
8;12;1;3
9;1;23;1
9;1;2;2
9;1;1;3
9;2;21;1
9;2;3;2
9;2;1;3
9;3;25;1
9;3;4;2
9;4;38;1
9;4;3;2
9;5;29;1
9;5;2;2
9;6;40;1
9;6;4;2
9;7;27;1
9;7;1;2
9;7;1;3
9;8;28;1
9;9;26;1
9;9;6;2
9;10;31;1
9;10;2;2
9;11;36;1
9;11;4;2
9;12;29;1
9;12;3;2
10;1;32;1
10;1;2;2
10;2;25;1
10;2;3;2
10;2;1;3
10;3;28;1
10;3;4;2
10;3;2;3
10;4;32;1
10;4;2;2
10;5;20;1
10;5;7;2
10;5;1;3
10;6;36;1
10;6;3;2
10;6;1;3
10;7;34;1
10;7;2;2
10;8;33;1
10;8;3;2
10;9;16;1
10;9;1;3
10;10;40;1
10;10;5;2
10;11;36;1
10;11;3;2
10;12;31;1
10;12;5;2
10;12;2;3
11;1;27;1
11;1;2;2
11;2;36;1
11;2;2;2
11;3;28;1
11;3;2;2
11;4;12;1
11;5;28;1
11;5;1;2
11;6;28;1
11;6;2;2
11;7;23;1
11;7;2;2
11;8;20;1
11;8;1;2
11;9;31;1
11;9;9;2
11;10;32;1
11;10;3;2
11;10;2;3
11;11;26;1
11;11;2;2
11;12;26;1
12;1;32;1
12;1;3;2
12;2;27;1
12;2;5;2
12;3;25;1
12;3;3;2
12;3;1;3
12;4;34;1
12;4;4;2
12;5;11;1
12;5;6;2
12;5;2;3
12;6;35;1
12;6;2;2
12;7;31;1
12;7;4;2
12;7;4;3
12;8;30;1
12;8;5;2
12;9;33;1
12;9;2;2
12;10;20;1
12;10;2;2
12;11;38;1
12;11;6;2
12;11;2;3
12;12;39;1
12;12;2;2
13;1;32;1
13;2;33;1
13;2;5;2
13;3;37;1
13;3;1;2
13;4;35;1
13;4;2;3
13;5;25;1
13;5;4;2
13;6;13;1
13;7;26;1
13;7;1;2
13;8;34;1
13;8;4;2
13;9;33;1
13;9;1;2
13;10;31;1
13;11;48;1
13;11;2;2
13;11;1;3
13;12;29;1
14;1;33;1
14;1;2;2
14;1;1;3
14;2;19;1
14;2;1;2
14;3;32;1
14;3;5;2
14;3;2;3
14;4;14;1
14;4;5;2
14;4;2;3
14;5;44;1
14;5;1;3
14;6;30;1
14;6;4;2
14;7;38;1
14;8;23;1
14;8;3;2
14;8;1;3
14;9;27;1
14;10;28;1
14;10;4;2
14;11;48;1
14;11;3;2
14;11;1;3
14;12;39;1
14;12;3;2
15;1;27;1
15;1;2;2
15;2;21;1
15;2;6;2
15;3;35;1
15;3;3;2
15;4;33;1
15;4;2;2
15;4;2;3
15;5;27;1
15;5;3;2
15;5;2;3
15;6;25;1
15;7;36;1
15;7;1;2
15;8;18;1
15;8;2;2
15;8;1;3
15;9;27;1
15;10;39;1
15;10;4;2
15;10;1;3
15;11;37;1
15;11;1;3
15;12;34;1
15;12;4;2
16;1;23;1
16;2;25;1
16;2;3;3
16;3;30;1
16;3;3;2
16;4;43;1
16;4;5;2
16;4;4;3
16;5;27;1
16;6;34;1
16;6;8;2
16;7;27;1
16;7;2;3
16;8;22;1
16;8;1;2
16;8;3;3
16;9;28;1
16;9;5;2
16;9;1;3
16;10;14;1
