dia;mes;qt_acidentes;id_risco
1;1;1;1
1;1;1;2
1;2;7;1
1;2;2;3
1;3;22;1
1;4;10;1
1;5;3;1
1;6;5;1
1;6;1;2
1;7;11;1
1;7;1;2
1;8;15;1
1;9;13;1
1;10;12;1
1;11;6;1
1;11;3;2
1;12;4;1
1;12;1;2
2;1;7;1
2;2;7;1
2;3;5;1
2;3;1;2
2;5;4;1
2;6;7;1
2;7;8;1
2;7;1;2
2;8;6;1
2;9;4;1
2;9;2;2
2;10;7;1
2;11;4;1
2;12;10;1
3;1;11;1
3;1;2;2
3;2;8;1
3;3;3;1
3;3;2;2
3;4;3;1
3;4;1;2
3;5;10;1
3;6;6;1
3;6;5;2
3;7;8;1
3;7;1;3
3;8;8;1
3;9;10;1
3;9;1;2
3;10;8;1
3;10;2;3
3;11;2;2
3;12;8;1
3;12;1;2
4;1;17;1
4;1;2;2
4;2;19;1
4;2;2;2
4;3;12;1
4;3;1;2
4;3;2;3
4;4;7;1
4;5;5;1
4;6;8;1
4;7;6;1
4;7;1;2
4;8;8;1
4;8;1;2
4;8;2;3
4;9;5;1
4;9;2;2
4;10;10;1
4;11;12;1
4;11;1;2
4;12;15;1
4;12;1;2
4;12;2;3
5;1;5;1
5;2;12;1
5;2;1;2
5;3;4;1
5;3;2;2
5;4;8;1
5;5;8;1
5;5;2;2
5;6;3;1
5;7;14;1
5;8;4;1
5;8;1;2
5;9;7;1
5;9;7;2
5;10;18;1
5;11;8;1
5;12;16;1
6;1;5;1
6;2;10;1
6;3;14;1
6;4;7;1
6;5;13;1
6;6;6;1
6;6;6;2
6;7;8;1
6;8;5;1
6;8;1;2
6;9;18;1
6;10;7;1
6;10;1;3
6;11;5;1
6;11;1;2
6;11;2;3
6;12;12;1
6;12;4;2
7;1;8;1
7;2;9;1
7;2;2;2
7;3;18;1
7;4;7;1
7;4;1;2
7;5;5;1
7;5;1;2
7;5;1;3
7;6;7;1
7;7;9;1
7;8;3;1
7;9;3;1
7;10;10;1
7;10;1;3
7;11;7;1
7;12;11;1
7;12;2;2
8;1;6;1
8;2;8;1
8;2;1;2
8;3;6;1
8;4;8;1
8;5;5;1
8;6;6;1
8;6;5;2
8;7;5;1
8;8;17;1
8;8;1;2
8;8;1;3
8;9;3;1
8;9;4;2
8;10;7;1
8;10;1;2
8;11;9;1
8;11;1;2
8;11;1;3
8;12;7;1
8;12;3;2
9;1;13;1
9;2;6;1
9;2;2;2
9;3;2;1
9;3;3;2
9;4;10;1
9;4;2;2
9;5;3;1
9;6;7;1
9;6;2;2
9;7;1;1
9;7;1;2
9;8;12;1
9;9;2;1
9;10;8;1
9;11;6;1
9;11;2;3
9;12;11;1
10;1;23;1
10;1;2;2
10;2;12;1
10;2;2;2
10;3;12;1
10;3;2;2
10;4;5;1
10;5;4;1
10;5;1;2
10;5;1;3
10;6;11;1
10;6;1;2
10;7;9;1
10;7;1;2
10;8;4;1
10;9;7;1
10;10;9;1
10;10;2;2
10;11;8;1
10;12;7;1
10;12;5;2
11;1;10;1
11;1;2;3
11;2;4;1
11;2;2;2
11;3;9;1
11;4;8;1
11;5;10;1
11;5;2;2
11;6;11;1
11;7;8;1
11;8;2;1
11;8;2;3
11;9;7;1
11;9;1;2
11;10;8;1
11;11;8;1
11;12;8;1
11;12;2;2
12;1;13;1
12;1;1;3
12;2;18;1
12;2;1;2
12;3;9;1
12;3;2;2
12;4;6;1
12;5;8;1
12;6;11;1
12;6;2;2
12;6;3;3
12;7;4;1
12;7;2;2
12;8;9;1
12;8;1;2
12;8;1;3
12;9;10;1
12;10;5;1
12;10;1;2
12;11;8;1
12;12;15;1
13;1;8;1
13;1;5;2
13;2;8;1
13;2;1;2
13;3;4;1
13;3;2;2
13;4;11;1
13;4;1;2
13;5;12;1
13;5;1;2
13;6;5;1
13;7;6;1
13;8;12;1
13;8;1;2
13;9;8;1
13;10;6;1
13;10;1;2
13;10;1;3
13;11;15;1
13;11;1;3
13;12;14;1
13;12;5;2
13;12;1;3
14;1;5;1
14;1;2;2
14;2;3;1
14;3;13;1
14;4;5;1
14;4;1;2
14;5;8;1
14;5;1;2
14;6;3;1
14;7;17;1
14;7;1;2
14;8;10;1
14;9;16;1
14;9;2;2
14;10;13;1
14;11;13;1
14;11;3;2
14;11;1;3
14;12;9;1
14;12;1;3
15;1;16;1
15;2;14;1
15;2;1;2
15;3;8;1
15;3;2;2
15;4;7;1
15;5;11;1
15;5;1;3
15;6;12;1
15;7;8;1
15;8;6;1
15;9;6;1
15;10;7;1
15;11;6;1
15;12;8;1
16;1;14;1
16;1;4;2
16;2;5;1
16;2;1;2
16;3;5;1
16;3;2;2
16;4;3;1
16;5;6;1
16;6;11;1
16;7;8;1
16;7;1;2
16;8;12;1
16;9;8;1
16;9;2;3
16;10;9;1
16;10;2;2
16;11;4;1
16;12;23;1
16;12;3;2
16;12;1;3
17;1;15;1
17;2;8;1
17;3;6;1
17;4;5;1
17;5;7;1
17;6;7;1
17;7;13;1
17;7;2;2
17;8;10;1
17;8;1;2
17;9;8;1
17;10;8;1
17;11;9;1
17;11;2;2
17;12;13;1
18;1;10;1
18;2;11;1
18;3;1;1
18;4;10;1
18;4;1;2
18;5;6;1
18;5;1;2
18;6;5;1
18;7;10;1
18;7;3;2
18;8;10;1
18;8;1;2
18;9;16;1
18;10;12;1
18;11;11;1
18;11;1;3
18;12;13;1
19;1;11;1
19;1;2;3
19;2;2;1
19;2;1;3
19;3;3;1
19;4;7;1
19;5;8;1
19;6;7;1
19;6;2;2
19;7;12;1
19;7;1;2
19;8;8;1
19;9;9;1
19;9;2;2
19;10;9;1
19;10;2;2
19;11;14;1
19;11;1;3
19;12;13;1
20;1;9;1
20;2;8;1
20;2;1;2
20;3;9;1
20;3;1;2
20;4;5;1
20;5;11;1
20;5;2;2
20;6;7;1
20;7;7;1
20;7;2;2
20;8;9;1
20;8;2;2
20;9;12;1
20;9;2;2
20;10;9;1
20;10;1;2
20;11;7;1
20;11;1;2
20;12;9;1
20;12;3;2
21;1;10;1
21;1;2;2
21;1;2;3
21;2;10;1
21;3;8;1
21;3;1;2
21;4;2;1
21;5;5;1
21;6;14;1
21;7;10;1
21;8;12;1
21;8;1;2
21;9;7;1
21;9;1;2
21;10;9;1
21;11;9;1
21;11;1;2
21;12;17;1
21;12;2;2
22;1;7;1
22;1;1;2
22;2;7;1
22;3;10;1
22;3;2;2
22;4;3;1
22;5;7;1
22;5;2;2
22;6;2;1
22;7;4;1
22;7;1;2
22;8;9;1
22;8;2;2
22;9;10;1
22;10;10;1
22;10;2;2
22;11;9;1
22;12;18;1
22;12;2;2
23;1;10;1
23;2;7;1
23;2;2;2
23;3;7;1
23;3;2;2
23;4;10;1
23;5;2;1
23;5;1;2
23;6;8;1
23;6;2;2
23;7;5;1
23;7;2;3
23;8;5;1
23;9;15;1
23;9;7;2
23;10;10;1
23;10;3;2
23;11;9;1
23;11;2;2
23;12;12;1
23;12;2;2
24;1;7;1
24;1;1;2
24;2;8;1
24;3;5;1
24;4;10;1
24;4;1;2
24;5;8;1
24;6;3;1
24;6;3;2
24;7;6;1
24;8;6;1
24;8;2;2
24;9;8;1
24;9;2;2
24;10;5;1
24;10;1;2
24;11;10;1
24;11;1;2
24;12;7;1
24;12;2;2
25;1;7;1
25;2;9;1
25;2;1;2
25;3;10;1
25;3;2;2
25;4;6;1
25;5;10;1
25;5;3;2
25;6;3;1
25;6;1;2
25;7;12;1
25;7;1;3
25;8;8;1
25;8;2;2
25;9;11;1
25;9;3;2
25;10;11;1
25;11;10;1
25;11;1;2
25;12;2;1
26;1;16;1
26;2;9;1
26;2;1;2
26;3;10;1
26;3;1;2
26;4;3;1
26;5;7;1
26;5;1;2
26;6;1;1
26;7;4;1
26;7;1;2
26;8;13;1
26;9;9;1
26;10;16;1
26;10;2;2
26;11;9;1
26;11;2;3
26;12;3;1
27;1;5;1
27;2;10;1
27;2;2;2
27;3;4;1
27;4;7;1
27;4;1;2
27;5;9;1
27;5;1;2
27;6;12;1
27;7;4;1
27;7;1;2
27;8;9;1
27;9;13;1
27;9;2;2
27;10;10;1
27;10;2;2
27;10;2;3
27;11;8;1
27;11;2;2
27;12;5;1
28;1;14;1
28;1;1;2
28;2;7;1
28;3;3;1
28;4;8;1
28;5;7;1
28;6;13;1
28;7;7;1
28;7;2;3
28;8;5;1
28;9;7;1
28;10;7;1
28;10;1;3
28;11;10;1
28;12;12;1
29;1;9;1
29;1;2;2
29;2;8;1
29;3;9;1
29;3;1;2
29;4;10;1
29;5;10;1
29;6;13;1
29;6;3;2
29;7;9;1
29;7;2;2
29;7;1;3
29;8;4;1
29;9;9;1
29;9;2;2
