dia;mes;total;id_risco
1;1;6;1
1;1;2;2
1;2;29;1
1;2;1;2
1;2;1;3
1;3;28;1
1;3;4;2
1;3;1;3
1;4;33;1
1;4;1;2
1;4;2;3
1;5;9;1
1;6;36;1
1;6;5;2
1;7;32;1
1;7;5;2
1;8;34;1
1;8;1;2
1;8;4;3
1;9;40;1
1;9;2;2
1;10;37;1
1;10;1;2
1;11;27;1
1;11;1;2
1;11;4;3
1;12;26;1
1;12;5;2
1;12;3;3
2;1;32;1
2;2;34;1
2;2;5;2
2;3;42;1
2;3;1;2
2;4;32;1
2;4;2;2
2;4;1;3
2;5;29;1
2;5;1;2
2;6;39;1
2;6;4;2
2;7;30;1
2;7;1;2
2;8;26;1
2;8;4;2
2;9;28;1
2;10;37;1
2;10;4;2
2;10;1;3
2;11;22;1
2;11;1;3
2;12;35;1
2;12;5;2
3;1;38;1
3;1;2;2
3;2;24;1
3;2;2;2
3;3;41;1
3;3;2;2
3;4;25;1
3;4;8;2
3;5;31;1
3;5;4;2
3;6;26;1
3;6;5;2
3;7;35;1
3;7;5;2
3;7;2;3
3;8;38;1
3;8;4;2
3;8;4;3
3;9;38;1
3;9;2;2
3;10;33;1
3;10;2;2
3;11;22;1
3;11;5;2
3;11;3;3
3;12;39;1
3;12;5;2
3;12;3;3
4;1;36;1
4;1;3;2
4;1;1;3
4;2;25;1
4;2;2;2
4;3;41;1
4;3;1;2
4;3;1;3
4;4;21;1
4;4;1;2
4;5;34;1
4;5;2;3
4;6;39;1
4;6;2;2
4;6;1;3
4;7;34;1
4;7;1;2
4;7;1;3
4;8;37;1
4;8;1;2
4;8;1;3
4;9;40;1
4;10;29;1
4;10;1;2
4;11;36;1
4;12;43;1
5;1;37;1
5;1;1;2
5;2;31;1
5;2;1;2
5;3;44;1
5;3;3;2
5;3;1;3
5;4;28;1
5;4;5;2
5;5;31;1
5;5;6;2
5;6;28;1
5;6;4;2
5;7;16;1
5;7;2;2
5;7;3;3
5;8;28;1
5;8;4;2
5;8;1;3
5;9;37;1
5;9;1;2
5;10;37;1
5;10;1;3
5;11;43;1
5;11;4;2
5;12;29;1
5;12;8;2
5;12;2;3
6;1;32;1
6;1;1;2
6;1;1;3
6;2;34;1
6;2;5;2
6;3;39;1
6;3;1;2
6;4;26;1
6;4;3;2
6;5;28;1
6;5;3;2
6;6;26;1
6;6;3;2
6;7;32;1
6;7;2;2
6;8;27;1
6;8;6;2
6;8;1;3
6;9;50;1
6;10;28;1
6;10;2;2
6;10;2;3
6;11;32;1
6;11;2;2
6;12;43;1
6;12;2;2
7;1;38;1
7;1;2;2
7;2;39;1
7;2;7;2
7;3;38;1
7;3;7;2
7;4;25;1
7;4;1;2
7;4;2;3
7;5;40;1
7;5;4;2
7;6;34;1
7;6;2;2
7;6;3;3
7;7;31;1
7;7;1;3
7;8;43;1
7;9;30;1
7;10;35;1
7;10;4;2
7;11;37;1
7;11;1;2
7;12;44;1
7;12;4;2
8;1;31;1
8;1;5;2
8;2;34;1
8;2;2;2
8;3;42;1
8;3;4;2
8;3;1;3
8;4;32;1
8;4;4;2
8;4;2;3
8;5;36;1
8;5;2;2
8;5;2;3
8;6;33;1
8;6;1;2
8;7;23;1
8;7;1;2
8;7;1;3
8;8;36;1
8;8;1;2
8;9;43;1
8;10;33;1
8;10;2;2
8;11;34;1
8;11;5;3
8;12;36;1
8;12;3;2
9;1;23;1
9;1;1;2
9;2;39;1
9;2;6;2
9;3;42;1
9;3;5;2
9;4;41;1
9;4;1;2
9;5;32;1
9;5;6;2
9;6;31;1
9;6;2;2
9;7;39;1
9;7;4;2
9;7;1;3
9;8;39;1
9;8;1;2
9;8;1;3
9;9;26;1
9;9;6;2
9;10;35;1
9;10;7;2
9;11;50;1
9;11;2;2
9;12;48;1
9;12;3;2
10;1;41;1
10;1;6;2
10;2;32;1
10;2;6;2
10;2;2;3
10;3;28;1
10;3;2;2
10;4;16;1
10;4;2;2
10;5;33;1
10;5;1;2
10;5;1;3
10;6;23;1
10;6;4;2
10;7;29;1
10;7;5;3
10;8;21;1
10;9;31;1
10;9;2;2
10;10;50;1
10;10;4;2
10;10;2;3
10;11;34;1
10;11;1;2
10;12;45;1
10;12;7;2
11;1;48;1
11;1;1;2
11;1;1;3
11;2;35;1
11;2;2;3
11;3;28;1
11;3;1;2
11;3;2;3
11;4;12;1
11;4;2;2
11;5;32;1
11;5;1;2
11;5;1;3
11;6;29;1
11;6;3;2
11;6;1;3
11;7;29;1
11;7;1;3
11;8;20;1
11;8;2;2
11;9;28;1
11;9;2;2
11;10;26;1
11;10;3;2
11;11;26;1
11;11;2;2
11;11;1;3
11;12;35;1
11;12;8;2
12;1;35;1
12;1;1;2
12;2;52;1
12;2;1;2
12;2;2;3
12;3;38;1
12;3;4;2
12;4;26;1
12;4;2;2
12;4;2;3
12;5;31;1
12;5;3;2
12;6;30;1
12;6;3;2
12;7;25;1
12;7;2;2
12;8;41;1
12;8;2;2
12;8;2;3
12;9;17;1
12;9;1;2
12;10;33;1
12;10;5;2
12;11;40;1
12;11;7;2
12;12;49;1
12;12;2;2
12;12;2;3
13;1;43;1
13;1;1;3
13;2;48;1
13;2;1;2
13;3;21;1
13;3;2;2
13;3;7;3
13;4;35;1
13;4;2;2
13;5;37;1
13;5;1;2
13;6;34;1
13;6;7;2
13;6;2;3
13;7;22;1
13;7;8;2
13;7;2;3
13;8;31;1
13;8;3;2
13;8;2;3
13;9;34;1
13;9;5;2
13;10;43;1
13;10;1;2
13;10;2;3
13;11;35;1
13;11;3;2
13;12;29;1
13;12;6;2
14;1;39;1
14;1;2;3
14;2;32;1
14;2;3;2
14;3;35;1
14;3;6;2
14;4;32;1
14;4;2;2
14;5;32;1
14;5;1;2
14;5;4;3
14;6;21;1
14;7;50;1
14;7;2;2
14;7;2;3
14;8;36;1
14;8;4;2
14;9;41;1
14;9;1;3
14;10;36;1
14;10;2;2
14;11;44;1
14;11;2;2
14;12;28;1
14;12;1;2
15;1;39;1
15;2;35;1
15;3;38;1
15;3;2;2
15;4;21;1
15;4;2;2
15;5;41;1
15;6;23;1
15;6;1;2
15;7;36;1
15;7;3;2
15;8;35;1
15;8;1;2
15;9;14;1
15;9;1;2
15;9;1;3
15;10;37;1
15;10;2;2
15;10;2;3
15;11;35;1
15;11;3;2
15;11;1;3
15;12;42;1
16;1;36;1
16;1;5;2
16;1;2;3
16;2;25;1
16;3;34;1
16;3;6;2
16;4;34;1
16;4;2;2
16;4;1;3
16;5;30;1
