id_conce; id_acidente_tip; dia; mes; total; id_risco
5;24;4;1;1;1
5;13;4;1;1;1
5;18;5;1;1;1
5;30;10;1;1;2
5;34;10;1;1;1
5;30;10;1;1;1
5;13;12;1;1;2
5;30;13;1;1;1
5;13;16;1;1;1
5;30;16;1;2;1
5;13;17;1;1;1
5;19;18;1;2;1
5;13;18;1;1;1
5;19;18;1;1;3
5;13;19;1;1;1
5;13;19;1;2;1
5;25;24;1;1;1
5;25;24;1;1;1
5;30;26;1;1;1
5;29;29;1;1;1
5;18;29;1;2;1
5;24;31;1;1;1
5;24;31;1;1;1
5;24;31;1;1;1
5;13;31;1;1;2
5;30;31;1;1;3
5;13;1;2;1;1
5;24;1;2;1;1
5;30;2;2;1;1
5;18;2;2;1;1
5;11;3;2;2;1
5;24;7;2;1;1
5;18;7;2;1;1
5;19;7;2;1;1
5;13;7;2;1;1
5;47;7;2;1;1
5;24;8;2;1;1
5;30;10;2;1;1
5;30;10;2;1;1
5;13;10;2;2;2
5;30;10;2;1;1
5;40;10;2;1;1
5;31;12;2;1;2
5;30;12;2;1;1
5;24;13;2;1;1
5;24;15;2;1;1
5;18;15;2;1;1
5;25;15;2;1;1
5;13;15;2;1;1
5;32;15;2;1;1
5;30;16;2;1;1
5;24;17;2;1;1
5;19;17;2;1;1
5;24;18;2;1;1
5;13;19;2;1;1
5;13;20;2;2;1
5;13;20;2;2;1
5;30;21;2;1;1
5;13;22;2;1;1
5;30;23;2;1;1
5;13;23;2;2;1
5;13;25;2;1;1
5;30;26;2;1;1
5;13;26;2;1;1
5;30;27;2;1;1
5;29;27;2;1;1
5;48;28;2;1;1
5;24;28;2;1;1
5;30;28;2;1;1
5;24;1;3;1;1
5;24;2;3;1;1
5;45;3;3;1;1
5;29;4;3;1;1
5;41;5;3;1;1
5;13;6;3;1;1
5;25;6;3;1;1
5;13;7;3;1;1
5;48;8;3;1;1
5;41;9;3;1;1
5;24;10;3;1;1
5;18;10;3;1;1
5;24;11;3;1;1
5;19;11;3;1;2
5;13;13;3;1;1
5;47;13;3;1;1
5;30;13;3;1;1
5;18;14;3;1;1
5;18;14;3;1;2
5;19;14;3;1;3
5;41;15;3;1;1
5;30;15;3;2;1
5;30;17;3;1;1
5;30;19;3;1;1
5;29;20;3;1;1
5;24;21;3;1;1
5;13;21;3;2;1
5;24;23;3;1;1
5;19;24;3;1;3
5;34;25;3;1;1
5;41;27;3;1;1
5;18;27;3;1;1
5;13;28;3;1;1
5;45;28;3;2;1
5;30;28;3;1;1
5;24;2;4;1;1
5;30;2;4;1;1
5;31;2;4;1;3
5;24;3;4;2;1
5;24;4;4;2;1
5;24;5;4;1;1
5;24;5;4;1;1
5;25;6;4;1;1
5;18;7;4;1;1
5;13;8;4;2;1
5;34;11;4;1;1
5;24;11;4;1;1
5;24;11;4;1;1
5;13;11;4;1;1
5;24;12;4;2;1
5;13;14;4;1;1
5;18;15;4;1;1
5;18;17;4;1;1
5;48;17;4;1;1
5;24;18;4;1;1
5;41;19;4;1;1
5;13;20;4;1;1
5;29;20;4;1;1
5;30;20;4;1;1
5;25;20;4;1;1
5;24;21;4;1;1
5;13;22;4;1;1
5;21;22;4;1;1
5;24;23;4;1;1
5;13;23;4;2;1
5;13;23;4;1;1
5;48;24;4;1;2
5;13;25;4;1;1
5;24;26;4;1;1
5;13;27;4;1;1
5;29;28;4;1;1
5;18;1;8;2;1
5;29;3;8;1;1
5;24;6;8;1;1
5;29;6;8;1;1
5;18;7;8;1;1
5;11;7;8;3;2
5;13;7;8;1;1
5;13;9;8;2;1
5;30;9;8;1;1
5;30;10;8;1;2
5;18;10;8;1;1
5;13;11;8;1;1
5;24;11;8;1;1
5;18;12;8;1;1
5;30;14;8;1;1
5;13;14;8;1;1
5;30;15;8;1;1
5;35;16;8;1;1
5;24;17;8;1;1
5;30;19;8;1;1
5;13;21;8;1;1
5;48;21;8;1;1
5;19;21;8;1;3
5;29;22;8;1;1
5;13;22;8;1;1
5;30;22;8;1;1
5;24;23;8;1;1
5;24;24;8;1;1
5;25;24;8;1;1
5;30;24;8;1;1
5;18;24;8;1;1
5;13;25;8;1;1
