id_conce,dia;mes;qt_acidentes;id_risco
1;2;2;1;1
1;3;1;1;1
1;3;9;1;3
1;3;10;1;1
1;4;1;1;1
1;4;4;2;1
1;4;7;1;2
1;5;2;1;3
1;6;1;1;2
1;6;2;1;1
1;6;9;2;3
1;6;11;1;2
1;8;3;1;3
1;8;7;2;1
1;8;9;1;1
1;9;1;1;1
1;9;2;1;2
1;10;2;1;1
1;10;5;1;1
1;11;1;1;1
1;11;8;1;1
1;11;12;1;1
1;15;9;1;1
1;16;1;1;1
1;17;1;1;3
1;17;10;1;2
1;20;2;1;1
1;20;11;1;2
1;22;3;1;1
1;22;10;1;1
1;23;9;1;1
1;23;10;1;1
1;25;1;1;1
1;25;4;1;1
1;25;10;1;1
1;25;11;1;1
1;26;11;2;1
1;27;3;1;2
1;27;11;2;2
1;30;12;2;3
1;31;8;1;2
2;1;1;1;1
2;1;2;1;2
2;1;5;2;1
2;1;5;1;3
2;1;7;2;1
2;1;7;1;3
2;1;8;1;2
2;1;10;1;1
2;1;10;2;3
2;1;11;3;1
2;1;12;2;1
2;1;12;1;2
2;2;3;1;1
2;2;6;2;1
2;2;7;1;1
2;2;8;2;1
2;2;10;1;1
2;2;12;3;1
2;3;4;1;1
2;3;7;1;1
2;3;9;4;1
2;3;10;1;1
2;3;11;3;1
2;4;2;1;1
2;4;8;1;2
2;4;8;1;3
2;4;10;1;1
2;4;11;1;3
2;4;12;1;1
2;4;12;1;2
2;5;2;2;1
2;5;2;1;2
2;5;3;1;2
2;5;4;1;1
2;5;5;1;1
2;5;7;1;1
2;5;11;2;1
2;5;12;1;1
2;6;2;1;1
2;6;2;1;3
2;6;4;1;1
2;6;6;1;1
2;6;8;1;1
2;6;11;1;1
2;6;11;1;3
2;7;2;2;1
2;7;2;1;2
2;7;3;1;1
2;7;4;2;1
2;7;5;1;1
2;7;6;1;1
2;7;7;2;1
2;7;8;3;1
2;7;8;1;2
2;7;11;1;1
2;7;12;2;1
2;8;6;1;3
2;8;7;1;1
2;8;7;1;2
2;8;7;1;3
2;8;8;2;1
2;8;9;2;1
2;8;10;1;1
2;9;2;2;1
2;9;2;1;2
2;9;3;1;1
2;9;7;1;1
2;9;9;1;1
2;9;9;1;2
2;9;10;3;1
2;9;11;1;1
2;9;12;1;2
2;10;3;2;1
2;10;4;2;1
2;10;6;3;1
2;10;7;1;1
2;10;7;1;2
2;10;8;1;3
2;10;11;1;1
2;11;2;1;2
2;11;3;1;1
2;11;6;1;1
2;11;7;2;1
2;11;7;1;2
2;11;9;1;2
2;11;10;1;1
2;12;1;1;1
2;12;2;1;3
2;12;6;1;1
2;12;7;3;1
2;12;7;1;2
2;12;8;1;1
2;12;8;1;3
2;12;10;1;1
2;12;11;1;1
2;12;11;1;3
2;12;12;1;1
2;12;12;2;2
2;13;1;1;3
2;13;2;2;1
2;13;4;1;1
2;13;7;1;1
2;13;11;1;1
2;13;12;2;1
2;14;2;1;1
2;14;3;3;1
2;14;4;1;1
2;14;4;1;2
2;14;7;2;1
2;14;12;1;1
2;15;1;1;1
2;15;2;1;1
2;15;3;1;2
2;15;4;1;1
2;15;5;1;1
2;15;6;1;1
2;15;6;1;2
2;15;8;1;1
2;15;8;1;3
2;15;10;1;1
2;15;11;1;2
2;15;12;1;1
2;16;2;1;1
2;16;3;1;1
2;16;4;1;1
2;16;6;2;1
2;16;6;1;3
2;16;7;2;1
2;16;9;1;1
2;16;11;2;1
2;16;12;1;1
2;16;12;1;2
2;17;5;1;1
2;17;5;1;2
2;17;7;1;1
2;17;7;1;2
2;17;10;1;1
2;17;10;1;3
2;17;11;2;1
2;17;12;1;1
2;18;3;1;1
2;18;4;1;2
2;18;5;1;2
2;18;6;2;1
2;18;6;1;3
2;18;10;1;3
