id_conce; id_acidente_tip; dia; mes; total; id_risco
6;24;1;1;1;1
6;13;2;1;2;1
6;18;2;1;1;2
6;13;2;1;2;1
6;13;3;1;2;1
6;0;3;1;1;1
6;0;4;1;1;1
6;13;5;1;1;3
6;41;5;1;1;1
6;13;5;1;1;1
6;13;5;1;3;1
6;13;6;1;2;1
6;29;6;1;1;1
6;13;6;1;1;1
6;13;7;1;1;1
6;13;7;1;2;1
6;11;7;1;2;1
6;29;8;1;1;1
6;44;8;1;1;1
6;13;8;1;1;1
6;19;8;1;1;1
6;0;8;1;1;1
6;11;8;1;2;1
6;13;8;1;2;1
6;13;8;1;1;1
6;24;8;1;1;1
6;18;8;1;2;1
6;13;9;1;1;1
6;29;9;1;1;1
6;41;9;1;1;1
6;36;9;1;1;1
6;6;9;1;1;1
6;13;9;1;1;1
6;24;9;1;1;1
6;13;10;1;2;1
6;45;10;1;1;1
6;29;10;1;1;1
6;13;10;1;1;2
6;6;10;1;1;1
6;29;10;1;1;1
6;18;11;1;1;1
6;13;11;1;1;1
6;18;12;1;1;1
6;0;12;1;1;1
6;13;12;1;1;1
6;18;12;1;1;1
6;36;13;1;1;1
6;6;13;1;2;1
6;6;13;1;1;1
6;13;13;1;3;2
6;24;13;1;1;1
6;18;14;1;1;2
6;0;14;1;1;1
6;13;15;1;1;1
6;29;15;1;1;1
6;24;15;1;1;1
6;29;15;1;1;1
6;13;16;1;1;1
6;24;16;1;2;1
6;24;16;1;1;1
6;13;16;1;2;2
6;13;16;1;1;1
6;0;17;1;1;1
6;0;17;1;1;1
6;13;17;1;1;2
6;24;17;1;1;1
6;18;17;1;1;1
6;24;17;1;2;1
6;50;17;1;1;3
6;18;18;1;1;1
6;13;18;1;2;3
6;13;18;1;2;1
6;13;18;1;1;1
6;11;19;1;2;3
6;24;19;1;2;1
6;41;20;1;1;1
6;21;20;1;1;1
6;50;20;1;1;2
6;24;20;1;1;1
6;36;20;1;1;1
6;13;20;1;1;1
6;18;21;1;1;1
6;31;21;1;1;3
6;29;21;1;1;1
6;13;21;1;2;1
6;34;21;1;1;1
6;80;21;1;1;1
6;11;21;1;1;1
6;29;21;1;2;1
6;0;21;1;1;1
6;13;21;1;1;1
6;13;22;1;1;1
6;24;22;1;1;1
6;31;22;1;1;2
6;13;22;1;2;1
6;18;23;1;1;1
6;18;23;1;1;1
6;6;24;1;1;1
6;30;24;1;1;1
6;0;24;1;1;1
6;29;24;1;1;2
6;13;24;1;2;1
6;18;24;1;1;1
6;13;24;1;2;1
6;45;25;1;1;1
6;29;25;1;1;1
6;18;25;1;1;1
6;18;25;1;1;1
6;0;26;1;1;1
6;13;26;1;2;2
6;0;26;1;1;1
6;0;26;1;1;1
6;29;26;1;1;1
6;18;26;1;1;1
6;13;26;1;2;1
6;0;26;1;1;1
6;0;26;1;1;1
6;13;27;1;1;1
6;24;27;1;1;1
6;24;27;1;1;1
6;0;28;1;1;1
6;6;29;1;1;1
6;24;29;1;1;1
6;18;29;1;1;1
6;29;29;1;1;1
6;18;30;1;1;3
6;0;30;1;1;1
6;29;30;1;1;1
6;13;30;1;2;2
6;0;31;1;1;1
6;24;31;1;2;1
6;24;31;1;1;1
6;29;31;1;1;1
6;13;31;1;1;1
6;13;31;1;2;1
6;29;1;2;1;1
6;18;1;2;1;1
6;13;1;2;1;1
6;18;1;2;1;1
6;18;1;2;1;1
6;13;1;2;2;1
6;13;1;2;2;1
6;24;1;2;1;1
6;13;2;2;1;1
6;6;2;2;1;2
6;29;2;2;1;1
6;18;2;2;1;1
6;19;3;2;1;1
6;83;3;2;1;1
6;24;4;2;1;1
6;18;4;2;1;1
6;13;5;2;2;1
6;18;6;2;1;3
6;13;6;2;1;1
6;13;6;2;2;1
6;13;7;2;2;1
6;47;7;2;1;1
6;24;7;2;1;1
6;18;7;2;1;1
6;24;7;2;1;1
6;13;7;2;2;1
6;18;7;2;1;1
6;11;7;2;2;1
6;13;8;2;2;1
6;24;8;2;1;2
6;21;8;2;1;1
6;18;8;2;3;1
6;29;8;2;1;1
6;13;8;2;1;2
6;13;8;2;2;1
6;13;9;2;2;1
6;29;9;2;2;1
6;13;9;2;1;1
6;33;9;2;1;1
6;25;9;2;1;1
6;25;9;2;1;1
6;24;10;2;1;1
6;13;10;2;1;1
6;13;10;2;1;1
6;24;10;2;2;1
6;18;11;2;1;1
6;13;12;2;1;1
6;25;12;2;1;1
6;25;13;2;1;1
6;13;13;2;1;1
6;18;14;2;1;1
6;18;14;2;1;2
6;24;14;2;1;1
6;24;15;2;2;1
6;25;15;2;1;1
6;24;15;2;1;1
