id_conce;dia;mes;qt_acidentes;id_risco
8;1;1;2;2
8;1;2;15;1
8;1;2;1;2
8;1;3;10;1
8;1;4;8;1
8;1;5;5;1
8;1;6;18;1
8;1;7;5;1
8;1;8;4;1
8;1;8;1;2
8;1;9;6;1
8;1;10;18;1
8;1;10;1;2
8;1;10;1;3
8;1;11;5;1
8;1;12;12;1
8;1;12;3;2
8;2;1;4;1
8;2;2;14;1
8;2;2;1;2
8;2;3;11;1
8;2;3;1;2
8;2;4;9;1
8;2;4;2;2
8;2;4;1;3
8;2;5;8;1
8;2;6;13;1
8;2;6;1;2
8;2;7;11;1
8;2;7;2;2
8;2;8;11;1
8;2;9;19;1
8;2;10;16;1
8;2;11;10;1
8;2;12;9;1
8;2;12;4;2
8;2;12;1;3
8;3;1;10;1
8;3;2;23;1
8;3;2;2;2
8;3;2;2;3
8;3;3;15;1
8;3;3;1;2
8;3;4;15;1
8;3;4;1;3
8;3;5;12;1
8;3;6;15;1
8;3;6;2;2
8;3;6;2;3
8;3;7;14;1
8;3;8;5;1
8;3;8;1;2
8;3;8;1;3
8;3;9;17;1
8;3;9;4;2
8;3;10;14;1
8;3;11;6;1
8;3;12;20;1
8;4;1;10;1
8;4;1;1;2
8;4;2;13;1
8;4;2;1;3
8;4;3;17;1
8;4;3;1;2
8;4;4;3;1
8;4;4;1;3
8;4;5;14;1
8;4;5;1;2
8;4;6;3;1
8;4;7;10;1
8;4;7;3;2
8;4;8;15;1
8;4;8;4;2
8;4;9;8;1
8;4;9;6;2
8;4;9;1;3
8;4;10;8;1
8;4;10;2;2
8;4;11;16;1
8;4;11;4;2
8;4;12;14;1
8;4;12;1;2
8;5;1;11;1
8;5;1;1;2
8;5;1;2;3
8;5;3;16;1
8;5;3;4;2
8;5;4;8;1
8;5;4;5;2
8;5;5;12;1
8;5;5;4;2
8;5;6;8;1
8;5;7;15;1
8;5;8;12;1
8;5;8;2;2
8;5;9;11;1
8;5;9;2;2
8;5;10;13;1
8;5;11;8;1
8;5;12;19;1
8;6;1;5;1
8;6;2;21;1
8;6;2;3;2
8;6;2;1;3
8;6;3;16;1
8;6;3;4;2
8;6;3;3;3
8;6;4;18;1
8;6;4;4;2
8;6;5;8;1
8;6;6;11;1
8;6;6;1;2
8;6;7;10;1
8;6;8;11;1
8;6;8;3;2
8;6;9;12;1
8;6;9;2;2
8;6;10;8;1
8;6;10;2;3
8;6;11;9;1
8;6;11;2;2
8;6;11;1;3
8;6;12;14;1
8;6;12;2;2
8;7;1;12;1
8;7;1;1;2
8;7;2;16;1
8;7;2;1;2
8;7;3;10;1
8;7;3;1;2
8;7;4;11;1
8;7;4;2;2
8;7;5;5;1
8;7;6;13;1
8;7;7;11;1
8;7;8;4;1
8;7;8;3;2
8;7;9;10;1
8;7;10;22;1
8;7;10;2;2
8;7;11;21;1
8;7;11;2;2
8;7;12;16;1
8;8;1;2;1
8;8;1;2;3
8;8;2;10;1
8;8;2;1;2
8;8;3;15;1
8;8;3;1;2
8;8;4;7;1
8;8;5;8;1
8;8;6;7;1
8;8;6;2;2
8;8;6;3;3
8;8;7;9;1
8;8;8;7;1
8;8;8;4;2
8;8;9;9;1
8;8;9;4;2
8;8;10;12;1
8;8;11;15;1
8;8;12;14;1
8;9;1;17;1
8;9;1;1;2
8;9;2;10;1
8;9;2;2;2
8;9;3;17;1
8;9;4;12;1
8;9;5;3;1
8;9;5;2;2
8;9;6;11;1
8;9;6;3;2
8;9;7;31;1
8;9;7;7;2
8;9;8;13;1
8;9;8;2;2
8;9;9;8;1
8;9;9;2;2
8;9;9;1;3
8;9;10;7;1
8;9;10;1;3
8;9;11;12;1
8;9;11;1;2
8;9;12;16;1
8;10;1;3;1
8;10;2;22;1
8;10;2;2;2
8;10;3;13;1
8;10;4;18;1
8;10;4;2;2
8;10;5;12;1
8;10;6;13;1
8;10;6;3;2
8;10;7;14;1
8;10;8;12;1
8;10;8;1;3
8;10;9;10;1
8;10;10;15;1
8;10;10;1;2
8;10;10;1;3
8;10;11;18;1
8;10;12;15;1
8;10;12;1;2
8;11;1;9;1
8;11;1;2;2
8;11;1;1;3
8;11;2;10;1
8;11;2;2;2
8;11;3;7;1
8;11;4;6;1
8;11;4;2;2
8;11;4;1;3
8;11;5;18;1
8;11;5;1;2
8;11;5;2;3
8;11;6;8;1
8;11;7;8;1
8;11;7;1;2
8;11;8;10;1
8;11;8;3;2
8;11;9;10;1
8;11;10;19;1
8;11;10;2;2
8;11;11;12;1
8;11;11;3;3
8;11;12;11;1
8;11;12;2;2
8;12;1;5;1
8;12;2;10;1
8;12;3;7;1
8;12;3;2;2
8;12;4;15;1
8;12;5;15;1
8;12;5;2;2
8;12;6;10;1
8;12;6;1;2
8;12;6;2;3
8;12;7;9;1
8;12;7;1;3
8;12;8;9;1
8;12;8;1;2
8;12;9;9;1
8;12;9;1;2
8;12;9;1;3
8;12;10;9;1
8;12;11;18;1
8;12;11;2;2
8;12;12;12;1
8;12;12;2;2
8;13;1;11;1
8;13;2;12;1
8;13;3;10;1
8;13;3;2;2
8;13;3;2;3
8;13;4;9;1
8;13;4;1;2
8;13;4;1;3
8;13;5;12;1
8;13;5;1;2
8;13;6;13;1
8;13;6;5;2
8;13;7;7;1
8;13;7;1;2
8;13;8;17;1
8;13;9;10;1
8;13;9;5;2
8;13;10;11;1
8;13;11;25;1
8;13;11;1;2
8;13;12;12;1
8;14;1;7;1
8;14;1;1;2
8;14;2;7;1
8;14;2;2;3
8;14;3;11;1
8;14;3;4;2
8;14;4;13;1
8;14;4;2;2
8;14;4;1;3
8;14;5;17;1
8;14;5;1;2
8;14;5;2;3
8;14;6;9;1
8;14;6;1;2
8;14;7;9;1
8;14;8;5;1
8;14;9;19;1
8;14;10;13;1
8;14;10;1;2
8;14;11;12;1
8;14;11;3;2
8;14;12;27;1
8;14;12;3;2
8;15;1;20;1
8;15;1;2;2
8;15;2;19;1
8;15;2;1;2
8;15;3;16;1
8;15;4;8;1
8;15;4;1;2
8;15;4;2;3
8;15;5;5;1
8;15;6;13;1
8;15;7;12;1
8;15;7;1;2
8;15;8;15;1
8;15;8;2;2
8;15;9;27;1
8;15;10;16;1
8;15;10;2;2
8;15;11;12;1
8;15;12;12;1
8;15;12;4;2
8;16;1;17;1
8;16;1;1;2
8;16;2;7;1
8;16;3;6;1
8;16;3;7;2
8;16;4;5;1
8;16;5;13;1
8;16;5;2;2
8;16;6;10;1
8;16;6;2;3
8;16;7;10;1
8;16;7;7;2
8;16;8;9;1
8;16;8;3;2
8;16;8;1;3
8;16;9;8;1
8;16;9;2;3
8;16;10;14;1
8;16;10;3;2
8;16;11;16;1
8;16;11;2;2
8;16;11;1;3
8;16;12;14;1
8;17;1;12;1
8;17;1;1;2
8;17;2;13;1
8;17;2;3;2
8;17;3;19;1
8;17;3;1;2
8;17;3;1;3
8;17;4;5;1
8;17;4;1;2
8;17;5;8;1
8;17;5;4;2
8;17;6;18;1
8;17;7;24;1
8;17;8;10;1
8;17;8;1;2
8;17;9;14;1
8;17;9;3;2
8;17;10;15;1
8;17;10;1;2
8;17;11;14;1
8;17;12;11;1
8;17;12;3;2
8;18;1;10;1
8;18;1;1;2
8;18;2;14;1
8;18;2;4;2
8;18;2;1;3
8;18;3;14;1
8;18;4;8;1
8;18;4;1;2
8;18;5;18;1
8;18;5;1;3
8;18;6;12;1
8;18;6;2;2
8;18;7;9;1
8;18;7;3;2
8;18;8;2;1
8;18;8;1;2
8;18;8;2;3
8;18;9;10;1
8;18;9;1;3
8;18;10;9;1
8;18;10;2;2
8;18;11;18;1
8;18;11;5;2
8;18;12;8;1
8;18;12;3;2
8;19;1;9;1
8;19;1;3;2
8;19;2;14;1
8;19;2;2;2
8;19;2;2;3
8;19;3;9;1
8;19;3;3;2
8;19;4;6;1
8;19;5;3;1
8;19;5;1;2
8;19;6;7;1
8;19;6;2;2
8;19;7;15;1
8;19;7;2;2
8;19;8;6;1
8;19;8;2;2
8;19;8;2;3
8;19;9;6;1
8;19;9;1;2
8;19;10;11;1
8;19;10;1;2
8;19;11;18;1
8;19;12;9;1
8;19;12;2;2
8;19;12;2;3
8;20;1;15;1
8;20;1;1;2
8;20;2;13;1
8;20;2;1;3
8;20;3;19;1
8;20;3;6;2
8;20;4;12;1
8;20;4;2;2
8;20;5;9;1
8;20;5;4;2
8;20;6;7;1
8;20;6;6;2
8;20;7;15;1
8;20;7;1;3
8;20;8;9;1
8;20;8;2;2
8;20;9;10;1
8;20;10;26;1
8;20;10;3;2
8;20;11;7;1
8;20;11;3;2
8;20;12;14;1
8;20;12;1;2
8;21;1;13;1
8;21;1;3;2
8;21;2;6;1
8;21;2;1;2
8;21;3;11;1
8;21;3;3;2
8;21;3;2;3
8;21;4;7;1
8;21;5;8;1
8;21;5;3;2
8;21;6;7;1
8;21;6;3;2
8;21;7;8;1
8;21;7;1;2
8;21;8;11;1
8;21;8;1;2
8;21;9;13;1
8;21;9;2;2
8;21;10;14;1
8;21;11;15;1
8;21;11;2;2
8;21;11;1;3
8;21;12;20;1
8;22;1;9;1
8;22;1;5;2
8;22;1;1;3
8;22;2;16;1
8;22;2;1;2
8;22;3;10;1
8;22;3;2;2
8;22;4;5;1
8;22;4;1;2
8;22;5;7;1
8;22;6;11;1
8;22;6;1;3
8;22;7;11;1
8;22;7;4;3
8;22;8;13;1
8;22;8;1;2
8;22;9;15;1
8;22;9;2;2
8;22;10;16;1
8;22;10;3;2
8;22;11;8;1
8;22;12;23;1
8;22;12;2;2
8;23;1;9;1
8;23;1;1;2
8;23;2;17;1
8;23;3;10;1
8;23;3;1;3
8;23;4;14;1
8;23;4;1;2
8;23;5;4;1
8;23;6;17;1
8;23;6;5;2
8;23;7;8;1
8;23;7;1;2
8;23;8;5;1
8;23;8;2;2
8;23;8;3;3
8;23;9;7;1
8;23;9;2;2
8;23;10;13;1
8;23;10;1;2
8;23;10;1;3
8;23;11;10;1
8;23;11;1;2
8;23;12;10;1
8;23;12;2;2
8;24;1;14;1
8;24;1;1;2
8;24;2;17;1
8;24;2;1;2
8;24;2;2;3
8;24;3;9;1
8;24;4;8;1
8;24;5;5;1
8;24;6;6;1
8;24;7;10;1
8;24;7;3;3
8;24;8;9;1
8;24;8;2;2
8;24;8;2;3
8;24;9;13;1
8;24;9;2;2
8;24;10;12;1
8;24;11;10;1
8;24;11;1;2
8;24;12;7;1
8;24;12;1;3
8;25;1;8;1
8;25;1;2;2
8;25;2;12;1
8;25;2;1;2
8;25;3;4;1
8;25;3;2;3
8;25;4;6;1
8;25;4;2;2
8;25;4;1;3
8;25;5;12;1
8;25;5;1;2
8;25;6;8;1
8;25;7;12;1
8;25;8;14;1
8;25;8;1;2
8;25;9;9;1
8;25;9;2;2
8;25;10;10;1
8;25;11;23;1
8;25;12;1;1
8;26;1;12;1
8;26;1;2;2
8;26;2;8;1
8;26;2;4;2
