dia;mes;qt_acidentes;id_risco
1;1;1;1
1;2;3;1
1;3;3;1
1;4;2;1
1;5;1;1
1;6;6;1
1;7;2;1
1;8;1;1
1;9;3;1
1;10;6;1
1;11;4;1
1;12;5;1
2;1;1;1
2;2;3;1
2;3;6;1
2;4;3;1
2;5;4;1
2;6;3;1
2;7;2;1
2;7;1;2
2;8;5;1
2;8;1;2
2;9;1;1
2;10;1;1
2;11;1;1
2;12;9;1
3;1;6;1
3;2;5;1
3;2;1;2
3;3;4;1
3;4;3;1
3;5;6;1
3;6;2;1
3;7;3;1
3;8;2;1
3;8;1;3
3;9;1;1
3;10;7;1
3;11;7;1
3;12;10;1
4;1;8;1
4;2;3;1
4;3;7;1
4;4;6;1
4;5;4;1
4;5;1;2
4;6;1;1
4;7;2;1
4;8;5;1
4;10;6;1
4;11;8;1
4;12;7;1
5;1;7;1
5;1;1;2
5;2;10;1
5;3;5;1
5;3;1;3
5;4;5;1
5;5;7;1
5;6;1;1
5;7;3;1
5;7;1;2
5;8;3;1
5;9;2;1
5;9;1;2
5;10;8;1
5;10;1;2
5;11;8;1
5;12;6;1
5;12;1;2
6;1;3;1
6;2;7;1
6;3;6;1
6;4;5;1
6;5;4;1
6;5;1;2
6;6;1;1
6;7;2;2
6;8;5;1
6;9;3;1
6;10;2;1
6;12;7;1
7;1;3;1
7;2;5;1
7;3;10;1
7;4;5;1
7;4;1;2
7;5;1;2
7;6;3;1
7;7;3;1
7;8;3;1
7;9;3;1
7;10;2;1
7;11;5;1
7;12;11;1
8;1;2;1
8;2;2;1
8;3;7;1
8;4;3;1
8;5;1;1
8;5;1;2
8;6;5;1
8;7;1;1
8;9;3;1
8;10;4;1
8;11;4;1
8;11;2;2
8;12;10;1
9;1;8;1
9;1;1;3
9;2;3;1
9;3;9;1
9;4;3;1
9;4;1;3
9;5;1;1
9;6;4;1
9;7;1;1
9;7;2;2
9;7;1;3
9;8;5;1
9;9;5;1
9;10;6;1
9;10;1;2
9;11;10;1
9;12;5;1
10;1;3;1
10;2;4;1
10;3;8;1
10;4;2;1
10;4;1;2
10;5;1;1
10;6;5;1
10;6;1;3
10;7;1;1
10;8;1;1
10;9;2;1
10;10;1;1
10;11;10;1
10;12;12;1
11;1;7;1
11;2;1;1
11;3;7;1
11;4;4;1
11;4;1;2
11;5;4;1
11;6;3;1
11;7;1;1
11;8;1;1
11;9;2;1
11;11;9;1
11;12;8;1
12;1;5;1
12;2;2;1
12;3;7;1
12;4;2;1
12;5;5;1
12;6;7;1
12;8;3;1
12;9;5;1
12;10;1;1
12;11;11;1
12;12;3;1
13;1;5;1
13;2;2;1
13;2;1;2
13;3;5;1
13;4;3;1
13;5;4;1
13;6;1;1
13;7;3;1
13;8;2;1
13;9;1;1
13;10;6;1
13;11;7;1
13;11;1;2
13;12;12;1
14;1;8;1
14;1;1;2
14;2;3;1
14;3;6;1
14;4;4;1
14;5;6;1
14;5;1;2
14;6;5;1
14;7;3;1
14;7;2;2
14;8;5;1
14;9;1;1
14;10;6;1
14;11;4;1
14;11;1;2
14;12;11;1
15;1;8;1
15;2;3;1
15;3;6;1
15;4;4;1
15;5;3;1
15;5;1;2
15;6;5;1
15;7;2;1
15;8;1;1
15;9;3;1
15;9;1;2
15;10;4;1
15;11;3;1
15;11;1;2
15;12;8;1
16;1;4;1
16;2;7;1
16;2;1;2
16;3;4;1
16;3;1;2
16;4;3;1
16;5;2;1
16;6;2;1
16;7;2;1
16;8;3;1
16;9;1;1
16;10;2;1
16;10;1;2
16;11;5;1
16;12;8;1
17;1;6;1
17;2;7;1
17;3;11;1
17;4;2;1
17;5;3;1
17;7;1;1
17;7;1;2
17;8;3;1
17;9;4;1
17;9;1;3
17;10;1;1
17;10;1;2
17;11;5;1
17;11;1;2
17;11;1;3
17;12;6;1
18;1;5;1
18;2;9;1
18;3;6;1
18;4;3;1
18;5;6;1
18;6;3;1
18;7;2;1
18;8;1;1
18;9;1;1
18;10;4;1
18;11;8;1
18;11;2;2
18;12;4;1
19;1;1;1
19;2;4;1
19;3;6;1
19;3;1;2
19;4;7;1
19;5;4;1
19;6;1;1
19;7;2;1
19;8;2;1
19;9;1;1
19;10;4;1
19;11;8;1
19;12;5;1
20;1;4;1
20;2;3;1
20;2;1;2
20;3;4;1
20;4;2;1
20;5;1;1
20;6;2;1
20;7;2;1
20;8;1;1
20;9;2;1
20;10;5;1
20;11;6;1
20;12;9;1
21;1;6;1
21;1;1;2
21;2;9;1
21;3;7;1
21;3;2;2
21;4;3;1
21;5;3;1
21;6;4;1
21;6;2;2
21;7;2;1
21;8;1;1
21;9;2;1
21;10;10;1
21;10;1;2
21;11;2;1
21;12;8;1
22;1;1;1
22;2;2;1
22;3;3;1
22;5;5;1
22;6;3;1
22;7;5;1
22;8;3;1
22;9;6;1
22;10;5;1
22;11;8;1
22;12;8;1
23;1;4;1
23;2;9;1
23;3;1;1
23;4;3;1
23;5;5;1
23;6;4;1
23;7;1;1
23;7;1;2
23;8;2;1
23;9;2;1
23;10;7;1
23;11;6;1
23;12;7;1
23;12;3;3
24;1;6;1
24;2;7;1
24;3;3;1
24;4;1;1
24;6;5;1
24;7;1;1
24;7;1;2
24;9;2;1
24;10;3;1
24;11;2;1
24;12;4;1
24;12;1;2
25;1;6;1
25;2;5;1
25;3;4;1
25;4;7;1
25;5;2;1
25;6;5;1
25;8;3;1
25;9;7;1
25;10;4;1
25;10;1;2
25;11;14;1
25;12;1;1
25;12;1;2
26;1;4;1
26;2;6;1
26;2;1;2
26;3;5;1
26;4;3;1
26;5;2;1
26;6;5;1
26;7;8;1
26;7;1;3
26;8;4;1
26;9;4;1
26;10;9;1
26;10;1;2
26;11;4;1
26;12;1;1
27;1;4;1
27;2;14;1
27;3;5;1
27;4;1;2
27;5;2;1
27;5;1;2
27;6;3;1
27;7;1;1
27;8;1;1
27;9;2;1
27;10;9;1
27;11;6;1
27;11;1;2
27;12;6;1
28;1;7;1
28;2;2;1
28;3;5;1
28;4;5;1
28;4;1;2
28;5;2;1
28;6;2;1
28;7;1;1
28;8;3;1
28;9;2;1
28;10;5;1
28;10;1;2
28;11;3;1
28;12;7;1
29;1;7;1
29;2;1;1
29;3;3;1
29;4;7;1
29;5;5;1
29;6;1;1
29;7;3;1
29;8;1;1
29;9;6;1
29;11;3;1
29;11;1;2
29;12;2;1
30;1;4;1
30;3;5;1
30;3;2;3
30;5;5;1
30;6;3;1
30;7;2;1
30;8;2;1
30;9;7;1
30;9;1;2
30;10;4;1
30;11;7;1
30;11;1;2
30;12;6;1
30;12;2;2
31;1;4;1
31;3;5;1
31;3;1;2
31;5;5;1
31;5;1;2
31;7;3;1
31;8;2;1
31;10;8;1
31;12;4;1
31;12;1;2
