dia;mes;qt_acidentes;id_risco
1;1;2;2
1;2;15;1
1;2;1;2
1;3;10;1
1;4;8;1
1;5;5;1
1;6;18;1
1;7;5;1
1;8;4;1
1;8;1;2
1;9;6;1
1;10;18;1
1;10;1;2
1;10;1;3
1;11;5;1
1;12;12;1
1;12;3;2
2;1;4;1
2;2;14;1
2;2;1;2
2;3;11;1
2;3;1;2
2;4;9;1
2;4;2;2
2;4;1;3
2;5;8;1
2;6;13;1
2;6;1;2
2;7;11;1
2;7;2;2
2;8;11;1
2;9;19;1
2;10;16;1
2;11;10;1
2;12;9;1
2;12;4;2
2;12;1;3
3;1;10;1
3;2;23;1
3;2;2;2
3;2;2;3
3;3;15;1
3;3;1;2
3;4;15;1
3;4;1;3
3;5;12;1
3;6;15;1
3;6;2;2
3;6;2;3
3;7;14;1
3;8;5;1
3;8;1;2
3;8;1;3
3;9;17;1
3;9;4;2
3;10;14;1
3;11;6;1
3;12;20;1
4;1;10;1
4;1;1;2
4;2;13;1
4;2;1;3
4;3;17;1
4;3;1;2
4;4;3;1
4;4;1;3
4;5;14;1
4;5;1;2
4;6;3;1
4;7;10;1
4;7;3;2
4;8;15;1
4;8;4;2
4;9;8;1
4;9;6;2
4;9;1;3
4;10;8;1
4;10;2;2
4;11;16;1
4;11;4;2
4;12;14;1
4;12;1;2
5;1;11;1
5;1;1;2
5;1;2;3
5;3;16;1
5;3;4;2
5;4;8;1
5;4;5;2
5;5;12;1
5;5;4;2
5;6;8;1
5;7;15;1
5;8;12;1
5;8;2;2
5;9;11;1
5;9;2;2
5;10;13;1
5;11;8;1
5;12;19;1
6;1;5;1
6;2;21;1
6;2;3;2
6;2;1;3
6;3;16;1
6;3;4;2
6;3;3;3
6;4;18;1
6;4;4;2
6;5;8;1
6;6;11;1
6;6;1;2
6;7;10;1
6;8;11;1
6;8;3;2
6;9;12;1
6;9;2;2
6;10;8;1
6;10;2;3
6;11;9;1
6;11;2;2
6;11;1;3
6;12;14;1
6;12;2;2
7;1;12;1
7;1;1;2
7;2;16;1
7;2;1;2
7;3;10;1
7;3;1;2
7;4;11;1
7;4;2;2
7;5;5;1
7;6;13;1
7;7;11;1
7;8;4;1
7;8;3;2
7;9;10;1
7;10;22;1
7;10;2;2
7;11;21;1
7;11;2;2
7;12;16;1
8;1;2;1
8;1;2;3
8;2;10;1
8;2;1;2
8;3;15;1
8;3;1;2
8;4;7;1
8;5;8;1
8;6;7;1
8;6;2;2
8;6;3;3
8;7;9;1
8;8;7;1
8;8;4;2
8;9;9;1
8;9;4;2
8;10;12;1
8;11;15;1
8;12;14;1
9;1;17;1
9;1;1;2
9;2;10;1
9;2;2;2
9;3;17;1
9;4;12;1
9;5;3;1
9;5;2;2
9;6;11;1
9;6;3;2
9;7;31;1
9;7;7;2
9;8;13;1
9;8;2;2
9;9;8;1
9;9;2;2
9;9;1;3
9;10;7;1
9;10;1;3
9;11;12;1
9;11;1;2
9;12;16;1
10;1;3;1
10;2;22;1
10;2;2;2
10;3;13;1
10;4;18;1
10;4;2;2
10;5;12;1
10;6;13;1
10;6;3;2
10;7;14;1
10;8;12;1
10;8;1;3
10;9;10;1
10;10;15;1
10;10;1;2
10;10;1;3
10;11;18;1
10;12;15;1
10;12;1;2
11;1;9;1
11;1;2;2
11;1;1;3
11;2;10;1
11;2;2;2
11;3;7;1
11;4;6;1
11;4;2;2
11;4;1;3
11;5;18;1
11;5;1;2
11;5;2;3
11;6;8;1
11;7;8;1
11;7;1;2
11;8;10;1
11;8;3;2
11;9;10;1
11;10;19;1
11;10;2;2
11;11;12;1
11;11;3;3
11;12;11;1
11;12;2;2
12;1;5;1
12;2;10;1
12;3;7;1
12;3;2;2
12;4;15;1
12;5;15;1
12;5;2;2
12;6;10;1
12;6;1;2
12;6;2;3
12;7;9;1
12;7;1;3
12;8;9;1
12;8;1;2
12;9;9;1
12;9;1;2
12;9;1;3
12;10;9;1
12;11;18;1
12;11;2;2
12;12;12;1
12;12;2;2
13;1;11;1
13;2;12;1
13;3;10;1
13;3;2;2
13;3;2;3
13;4;9;1
13;4;1;2
13;4;1;3
13;5;12;1
13;5;1;2
13;6;13;1
13;6;5;2
13;7;7;1
13;7;1;2
13;8;17;1
13;9;10;1
13;9;5;2
13;10;11;1
13;11;25;1
13;11;1;2
13;12;12;1
14;1;7;1
14;1;1;2
14;2;7;1
14;2;2;3
14;3;11;1
14;3;4;2
14;4;13;1
14;4;2;2
14;4;1;3
14;5;17;1
14;5;1;2
14;5;2;3
14;6;9;1
14;6;1;2
14;7;9;1
14;8;5;1
14;9;19;1
14;10;13;1
14;10;1;2
14;11;12;1
14;11;3;2
14;12;27;1
14;12;3;2
15;1;20;1
15;1;2;2
15;2;19;1
15;2;1;2
15;3;16;1
15;4;8;1
15;4;1;2
15;4;2;3
15;5;5;1
15;6;13;1
15;7;12;1
15;7;1;2
15;8;15;1
15;8;2;2
15;9;27;1
15;10;16;1
15;10;2;2
15;11;12;1
15;12;12;1
15;12;4;2
16;1;17;1
16;1;1;2
16;2;7;1
16;3;6;1
16;3;7;2
16;4;5;1
16;5;13;1
16;5;2;2
16;6;10;1
16;6;2;3
16;7;10;1
16;7;7;2
16;8;9;1
16;8;3;2
16;8;1;3
16;9;8;1
16;9;2;3
16;10;14;1
16;10;3;2
16;11;16;1
16;11;2;2
16;11;1;3
16;12;14;1
17;1;12;1
17;1;1;2
17;2;13;1
17;2;3;2
17;3;19;1
17;3;1;2
17;3;1;3
17;4;5;1
17;4;1;2
17;5;8;1
17;5;4;2
17;6;18;1
17;7;24;1
17;8;10;1
17;8;1;2
17;9;14;1
17;9;3;2
17;10;15;1
17;10;1;2
17;11;14;1
17;12;11;1
17;12;3;2
18;1;10;1
18;1;1;2
18;2;14;1
18;2;4;2
18;2;1;3
18;3;14;1
18;4;8;1
18;4;1;2
18;5;18;1
18;5;1;3
18;6;12;1
18;6;2;2
18;7;9;1
18;7;3;2
18;8;2;1
18;8;1;2
18;8;2;3
18;9;10;1
18;9;1;3
18;10;9;1
18;10;2;2
18;11;18;1
18;11;5;2
18;12;8;1
18;12;3;2
19;1;9;1
19;1;3;2
19;2;14;1
19;2;2;2
19;2;2;3
19;3;9;1
19;3;3;2
19;4;6;1
19;5;3;1
19;5;1;2
19;6;7;1
19;6;2;2
19;7;15;1
19;7;2;2
19;8;6;1
19;8;2;2
19;8;2;3
19;9;6;1
19;9;1;2
19;10;11;1
19;10;1;2
19;11;18;1
19;12;9;1
19;12;2;2
19;12;2;3
20;1;15;1
20;1;1;2
20;2;13;1
20;2;1;3
20;3;19;1
20;3;6;2
20;4;12;1
20;4;2;2
20;5;9;1
20;5;4;2
20;6;7;1
20;6;6;2
20;7;15;1
20;7;1;3
20;8;9;1
20;8;2;2
20;9;10;1
20;10;26;1
20;10;3;2
20;11;7;1
20;11;3;2
20;12;14;1
20;12;1;2
21;1;13;1
21;1;3;2
21;2;6;1
21;2;1;2
21;3;11;1
21;3;3;2
21;3;2;3
21;4;7;1
21;5;8;1
21;5;3;2
21;6;7;1
21;6;3;2
21;7;8;1
21;7;1;2
21;8;11;1
21;8;1;2
21;9;13;1
21;9;2;2
21;10;14;1
21;11;15;1
21;11;2;2
21;11;1;3
21;12;20;1
22;1;9;1
22;1;5;2
22;1;1;3
22;2;16;1
22;2;1;2
22;3;10;1
22;3;2;2
22;4;5;1
22;4;1;2
22;5;7;1
22;6;11;1
22;6;1;3
22;7;11;1
22;7;4;3
22;8;13;1
22;8;1;2
22;9;15;1
22;9;2;2
22;10;16;1
22;10;3;2
22;11;8;1
22;12;23;1
22;12;2;2
23;1;9;1
23;1;1;2
23;2;17;1
23;3;10;1
23;3;1;3
23;4;14;1
23;4;1;2
23;5;4;1
23;6;17;1
23;6;5;2
23;7;8;1
23;7;1;2
23;8;5;1
