dia;mes;qt_acidentes;id_risco
1;2;9;1
1;2;1;2
1;3;11;1
1;3;2;2
1;4;8;1
1;4;1;2
1;4;2;3
1;5;2;1
1;5;1;2
1;6;5;1
1;6;1;3
1;7;5;1
1;7;2;2
1;8;7;1
1;8;2;2
1;9;3;1
1;9;1;2
1;9;2;3
1;10;7;1
1;11;5;1
1;11;2;2
1;12;8;1
2;1;1;1
2;2;7;1
2;2;1;2
2;3;6;1
2;3;1;2
2;4;8;1
2;5;7;1
2;5;3;2
2;6;2;1
2;6;2;2
2;7;5;1
2;8;6;1
2;8;1;2
2;9;5;1
2;9;1;2
2;10;9;1
2;11;1;1
2;12;8;1
3;1;10;1
3;2;4;1
3;3;8;1
3;3;2;2
3;4;2;1
3;5;10;1
3;5;1;2
3;6;5;1
3;6;1;2
3;7;15;1
3;8;7;1
3;8;2;2
3;9;6;1
3;9;2;2
3;10;12;1
3;10;1;2
3;11;11;1
3;12;3;1
3;12;1;2
4;1;5;1
4;2;7;1
4;3;5;1
4;3;1;2
4;4;5;1
4;5;7;1
4;5;1;2
4;6;7;1
4;7;4;1
4;7;4;2
4;7;1;3
4;8;4;1
4;8;3;2
4;9;3;1
4;9;3;2
4;10;11;1
4;10;1;3
4;11;8;1
4;11;1;2
4;12;10;1
5;1;5;1
5;2;7;1
5;3;10;1
5;3;2;3
5;4;5;1
5;4;2;2
5;5;5;1
5;6;6;1
5;7;9;1
5;8;7;1
5;8;2;2
5;9;4;1
5;9;1;2
5;9;1;3
5;10;10;1
5;11;5;1
5;11;1;2
5;12;8;1
5;12;1;2
6;1;1;1
6;2;12;1
6;2;2;2
6;3;16;1
6;3;1;2
6;4;1;1
6;5;3;1
6;5;1;3
6;6;2;1
6;7;1;1
6;8;4;1
6;9;7;1
6;9;1;2
6;10;9;1
6;10;2;2
6;11;8;1
6;12;5;1
7;1;6;1
7;2;8;1
7;3;5;1
7;3;2;2
7;3;1;3
7;4;6;1
7;5;5;1
7;5;2;2
7;6;7;1
7;7;7;1
7;8;9;1
7;9;2;1
7;9;1;3
7;10;3;1
7;11;2;1
7;11;3;2
7;12;7;1
8;1;11;1
8;2;8;1
8;3;9;1
8;4;7;1
8;4;4;2
8;5;4;1
8;6;3;1
8;6;2;2
8;7;9;1
8;8;2;1
8;9;4;1
8;9;1;2
8;10;8;1
8;10;1;2
8;11;9;1
8;11;1;2
8;12;9;1
9;1;10;1
9;2;4;1
9;3;7;1
9;3;1;2
9;4;4;1
9;5;9;1
9;6;9;1
9;6;2;2
9;7;9;1
9;7;2;2
9;8;9;1
9;9;10;1
9;10;7;1
9;11;4;1
9;11;1;2
9;12;7;1
9;12;3;2
10;1;6;1
10;2;14;1
10;2;1;2
10;3;17;1
10;4;5;1
10;4;1;3
10;5;10;1
10;6;13;1
10;7;2;1
10;8;3;1
10;9;9;1
10;10;15;1
10;10;1;2
10;11;6;1
10;11;1;3
10;12;5;1
11;1;7;1
11;1;2;2
11;2;9;1
11;3;3;1
11;4;4;1
11;4;2;2
11;5;4;1
11;5;2;3
11;6;7;1
11;6;1;2
11;7;8;1
11;8;6;1
11;9;4;1
11;9;1;2
11;10;7;1
11;10;3;2
11;11;8;1
11;12;8;1
12;1;1;1
12;1;2;2
12;2;8;1
12;2;1;3
12;3;5;1
12;3;2;2
12;4;6;1
12;5;3;1
12;6;5;1
12;7;4;1
12;7;4;2
12;8;13;1
12;9;11;1
12;10;6;1
12;11;4;1
12;11;1;3
12;12;6;1
12;12;1;2
13;1;9;1
13;1;1;2
13;2;7;1
13;3;11;1
13;3;2;2
13;4;4;1
13;4;1;2
13;5;2;1
13;6;7;1
13;7;10;1
13;7;2;2
13;8;14;1
13;8;1;3
13;9;10;1
13;9;1;2
13;10;4;1
13;11;4;1
13;12;7;1
13;12;2;3
14;1;6;1
14;1;7;2
14;2;4;1
14;3;9;1
14;3;2;2
14;4;8;1
14;4;1;2
14;5;8;1
14;5;4;2
14;6;2;2
14;7;6;1
14;7;2;2
14;8;3;1
14;9;6;1
14;9;1;2
14;10;5;1
14;11;5;1
14;11;2;2
14;12;8;1
14;12;2;2
15;1;6;1
15;1;1;2
15;2;5;1
15;3;5;1
15;3;1;2
15;4;9;1
15;5;9;1
15;6;12;1
15;7;10;1
15;7;1;2
15;8;6;1
15;9;2;1
15;10;6;1
15;11;2;1
15;12;7;1
15;12;1;2
16;1;12;1
16;1;1;2
16;1;1;3
16;2;3;1
16;2;2;2
16;3;8;1
16;4;8;1
16;5;8;1
16;5;1;2
16;6;3;1
16;6;1;2
16;7;6;1
16;7;1;2
16;8;8;1
16;8;4;2
16;9;8;1
16;9;2;2
16;10;7;1
16;10;2;2
16;11;5;1
16;11;1;2
16;12;15;1
16;12;1;2
17;1;15;1
17;1;1;2
17;2;5;1
17;2;1;2
17;3;12;1
17;3;1;2
17;4;8;1
17;4;2;2
17;5;6;1
17;6;5;1
17;6;2;2
17;7;6;1
17;7;1;2
17;8;10;1
17;8;1;2
17;9;4;1
17;9;1;2
17;10;6;1
17;11;2;1
17;12;10;1
18;1;9;1
18;2;6;1
18;3;5;1
18;3;1;2
18;4;8;1
18;5;2;1
18;5;1;2
18;6;8;1
18;6;7;2
18;7;4;1
18;8;5;1
18;9;2;1
18;10;5;1
18;10;2;2
18;11;5;1
18;11;2;3
18;12;8;1
19;1;8;1
19;2;7;1
19;2;1;2
19;3;11;1
19;4;2;1
19;4;1;2
19;5;2;2
19;6;9;1
19;7;7;1
19;7;1;2
19;8;2;1
19;8;2;2
19;9;4;1
19;9;1;3
19;10;7;1
19;10;1;2
19;11;5;1
19;11;2;2
19;12;10;1
19;12;1;3
20;1;5;1
20;2;5;1
20;3;6;1
20;4;1;1
20;4;4;2
20;5;4;1
20;6;3;1
20;6;2;2
20;7;7;1
20;7;2;2
20;7;1;3
20;8;10;1
20;8;2;2
20;8;1;3
20;9;15;1
20;9;2;2
20;10;9;1
20;10;1;3
20;11;5;1
20;11;1;2
20;11;1;3
20;12;10;1
21;1;6;1
21;1;3;2
21;2;12;1
21;3;3;1
21;3;1;2
21;3;1;3
21;4;1;1
21;4;1;2
