[2023-12-06 21:52:59,011] INFO _log() L96   [33mPress CTRL+C to quit[0m - call_trace=C:\mvp\puc-rio-mvp-sprint-04-sistemas-inteligentes\projeto\API\venv\Lib\site-packages\werkzeug\_internal.py L96  
[2023-12-06 21:53:02,175] INFO _log() L96   127.0.0.1 - - [06/Dec/2023 21:53:02] "[32mGET / HTTP/1.1[0m" 302 - - call_trace=C:\mvp\puc-rio-mvp-sprint-04-sistemas-inteligentes\projeto\API\venv\Lib\site-packages\werkzeug\_internal.py L96  
[2023-12-06 21:53:02,200] INFO _log() L96   127.0.0.1 - - [06/Dec/2023 21:53:02] "GET /openapi/ HTTP/1.1" 200 - - call_trace=C:\mvp\puc-rio-mvp-sprint-04-sistemas-inteligentes\projeto\API\venv\Lib\site-packages\werkzeug\_internal.py L96  
[2023-12-06 21:53:02,300] INFO _log() L96   127.0.0.1 - - [06/Dec/2023 21:53:02] "[36mGET /openapi/static/images/swagger.svg HTTP/1.1[0m" 304 - - call_trace=C:\mvp\puc-rio-mvp-sprint-04-sistemas-inteligentes\projeto\API\venv\Lib\site-packages\werkzeug\_internal.py L96  
[2023-12-06 21:53:02,315] INFO _log() L96   127.0.0.1 - - [06/Dec/2023 21:53:02] "[36mGET /openapi/static/images/redoc.svg HTTP/1.1[0m" 304 - - call_trace=C:\mvp\puc-rio-mvp-sprint-04-sistemas-inteligentes\projeto\API\venv\Lib\site-packages\werkzeug\_internal.py L96  
[2023-12-06 21:53:02,322] INFO _log() L96   127.0.0.1 - - [06/Dec/2023 21:53:02] "[36mGET /openapi/static/images/rapidoc.svg HTTP/1.1[0m" 304 - - call_trace=C:\mvp\puc-rio-mvp-sprint-04-sistemas-inteligentes\projeto\API\venv\Lib\site-packages\werkzeug\_internal.py L96  
[2023-12-06 21:53:03,470] INFO _log() L96   127.0.0.1 - - [06/Dec/2023 21:53:03] "GET /openapi/swagger HTTP/1.1" 200 - - call_trace=C:\mvp\puc-rio-mvp-sprint-04-sistemas-inteligentes\projeto\API\venv\Lib\site-packages\werkzeug\_internal.py L96  
[2023-12-06 21:53:03,501] INFO _log() L96   127.0.0.1 - - [06/Dec/2023 21:53:03] "[36mGET /openapi/static/css/swagger-ui.css HTTP/1.1[0m" 304 - - call_trace=C:\mvp\puc-rio-mvp-sprint-04-sistemas-inteligentes\projeto\API\venv\Lib\site-packages\werkzeug\_internal.py L96  
[2023-12-06 21:53:03,505] INFO _log() L96   127.0.0.1 - - [06/Dec/2023 21:53:03] "[36mGET /openapi/static/js/swagger-ui-bundle.js HTTP/1.1[0m" 304 - - call_trace=C:\mvp\puc-rio-mvp-sprint-04-sistemas-inteligentes\projeto\API\venv\Lib\site-packages\werkzeug\_internal.py L96  
[2023-12-06 21:53:03,506] INFO _log() L96   127.0.0.1 - - [06/Dec/2023 21:53:03] "[36mGET /openapi/static/js/swagger-ui-standalone-preset.js HTTP/1.1[0m" 304 - - call_trace=C:\mvp\puc-rio-mvp-sprint-04-sistemas-inteligentes\projeto\API\venv\Lib\site-packages\werkzeug\_internal.py L96  
[2023-12-06 21:53:03,684] INFO _log() L96   127.0.0.1 - - [06/Dec/2023 21:53:03] "GET /openapi/openapi.json HTTP/1.1" 200 - - call_trace=C:\mvp\puc-rio-mvp-sprint-04-sistemas-inteligentes\projeto\API\venv\Lib\site-packages\werkzeug\_internal.py L96  
